MJD,MJD_minus_50000,mag_A,err_A,mag_B,err_B,mag_C,err_C,observatory,detector
55122.200,5122.200,21.100,0.030,21.430,0.040,21.510,0.050,SDSS,SDSS
55828.935,5828.935,20.949,0.009,21.422,0.009,21.987,0.009,NOT,MOSCA
56182.963,6182.963,21.092,0.009,21.441,0.009,22.111,0.009,NOT,MOSCA
56185.985,6185.985,21.094,0.009,21.465,0.009,22.111,0.009,NOT,MOSCA
56244.907,6244.907,21.170,0.014,21.473,0.017,22.145,0.030,NOT,ALFOSC
56244.911,6244.911,21.148,0.014,21.524,0.014,22.083,0.019,NOT,ALFOSC
56244.915,6244.915,21.155,0.014,21.507,0.014,22.100,0.021,NOT,ALFOSC
56266.907,6266.907,21.187,0.014,21.509,0.015,22.101,0.023,NOT,ALFOSC
56266.911,6266.911,21.214,0.014,21.513,0.015,22.080,0.022,NOT,ALFOSC
56270.830,6270.830,21.218,0.015,21.529,0.014,22.122,0.021,NOT,ALFOSC
56270.834,6270.834,21.213,0.015,21.518,0.014,22.089,0.020,NOT,ALFOSC
56270.838,6270.838,21.224,0.015,21.499,0.014,22.070,0.020,NOT,ALFOSC
56291.811,6291.811,21.301,0.019,21.527,0.024,22.120,0.037,NOT,ALFOSC
56291.815,6291.815,21.242,0.015,21.516,0.017,22.168,0.028,NOT,ALFOSC
56291.819,6291.819,21.288,0.014,21.568,0.015,22.201,0.024,NOT,ALFOSC
56430.182,6430.182,21.396,0.015,21.792,0.015,22.189,0.019,NOT,ALFOSC
56430.189,6430.189,21.441,0.015,21.815,0.015,22.243,0.019,NOT,ALFOSC
56430.197,6430.197,21.413,0.015,21.741,0.014,22.198,0.019,NOT,ALFOSC
56446.168,6446.168,21.363,0.015,21.683,0.020,22.191,0.028,NOT,ALFOSC
56446.182,6446.182,21.327,0.014,21.655,0.019,22.111,0.025,NOT,ALFOSC
56454.178,6454.178,21.430,0.014,21.821,0.019,22.234,0.026,NOT,ALFOSC
56454.182,6454.182,21.443,0.015,21.763,0.018,22.261,0.026,NOT,ALFOSC
56454.186,6454.186,21.382,0.014,21.764,0.018,22.233,0.025,NOT,ALFOSC
56457.183,6457.183,21.388,0.007,21.767,0.014,22.254,0.015,NOT,ALFOSC
56457.190,6457.190,21.401,0.011,21.800,0.014,22.260,0.016,NOT,ALFOSC
56457.198,6457.198,21.373,0.011,21.778,0.014,22.260,0.016,NOT,ALFOSC
56477.090,6477.090,21.452,0.015,21.765,0.014,22.207,0.019,NOT,ALFOSC
56477.097,6477.097,21.455,0.014,21.749,0.014,22.251,0.018,NOT,ALFOSC
56477.105,6477.105,21.463,0.014,21.767,0.014,22.295,0.018,NOT,ALFOSC
56488.137,6488.137,21.472,0.010,21.728,0.015,22.249,0.016,NOT,ALFOSC
56488.145,6488.145,21.443,0.010,21.719,0.015,22.227,0.016,NOT,ALFOSC
56507.150,6507.150,21.470,0.016,21.781,0.021,22.289,0.030,NOT,ALFOSC
56507.158,6507.158,21.455,0.016,21.757,0.021,22.265,0.030,NOT,ALFOSC
56507.165,6507.165,21.445,0.015,21.751,0.020,22.283,0.030,NOT,ALFOSC
56518.141,6518.141,21.451,0.015,21.761,0.015,22.288,0.020,NOT,ALFOSC
