obs_id,instrument_name,filters,target_name,t_min,t_exptime,calib_level,dataproduct_type,proposal_pi,s_ra,s_dec
hlsp_skysurf_hst_acs-wfc_mv-165_f606w,ACS/WFC,CLEAR2L;F606W,mv-165,56940.7111408,4944,4,image,Rogier Windhorst,335.5369603307,27.75936011802
hlsp_skysurf_hst_acs-wfc_mv-185_f814w,ACS/WFC,CLEAR1L;F814W,mv-185,56941.5628308,4944,4,image,Rogier Windhorst,335.5369603307,27.75936011802
hlsp_skysurf_hst_acs-wfc_mv-36_f435w,ACS/WFC,CLEAR1L;F435W,mv-36,56940.56751821,3296,4,image,Rogier Windhorst,335.5369603307,27.75936011802
hlsp_skysurf_hst_acs-wfc_sv-172_f435w,ACS/WFC,CLEAR1L;F435W,sv-172,56940.56751821,3296,4,image,Rogier Windhorst,335.5369603307,27.75936011802
hlsp_skysurf_hst_acs-wfc_sv-380_f606w,ACS/WFC,CLEAR2L;F606W,sv-380,56940.7111408,4944,4,image,Rogier Windhorst,335.5369603307,27.75936011802
hlsp_skysurf_hst_acs-wfc_sv-457_f814w,ACS/WFC,CLEAR1L;F814W,sv-457,56941.5628308,4944,4,image,Rogier Windhorst,335.5369603307,27.75936011802
hlsp_skysurf_hst_wfc3-ir_mv-234_f110w,WFC3/IR,F110W,mv-234,56879.85445562,1211.753908,4,image,Rogier Windhorst,335.536849311,27.75990828894
hlsp_skysurf_hst_wfc3-ir_mv-571_f160w,WFC3/IR,F160W,mv-571,56879.85030043,1311.75598,4,image,Rogier Windhorst,335.536849311,27.75990828894
hlsp_skysurf_hst_wfc3-ir_sv-1433_f160w,WFC3/IR,F160W,sv-1433,56879.85030043,1311.75598,4,image,Rogier Windhorst,335.536849311,27.75990828894
hlsp_skysurf_hst_wfc3-ir_sv-360_f110w,WFC3/IR,F110W,sv-360,56879.85445562,1211.753908,4,image,Rogier Windhorst,335.536849311,27.75990828894
hst_13337_01_acs_wfc_f435w,ACS/WFC,F435W,SDSSJ2222+2745,56940.56751,4944,3,image,Sharon,335.53164607872725,27.74893216638203
hst_13337_01_acs_wfc_f435w_jcac01,ACS/WFC,F435W,SDSSJ2222+2745,56940.56751821,4944,3,image,"Sharon, Keren",335.5357083333,27.75944444444
hst_13337_01_acs_wfc_total,ACS/WFC,DETECTION,SDSSJ2222+2745,56940.56751,4944,3,image,Sharon,335.53164607872725,27.74893216638203
hst_13337_01_acs_wfc_total_jcac01,ACS/WFC,detection,SDSSJ2222+2745,56940.56751821,4944,3,image,"Sharon, Keren",335.5357083333,27.75944444444
hst_13337_02_acs_wfc_f606w,ACS/WFC,F606W,SDSSJ2222+2745,56940.71113,4944,3,image,Sharon,335.54254246094456,27.76643981839497
hst_13337_02_acs_wfc_f606w_jcac02,ACS/WFC,F606W,SDSSJ2222+2745,56940.7111408,4944,3,image,"Sharon, Keren",335.5357083333,27.75944444444
hst_13337_02_acs_wfc_total,ACS/WFC,DETECTION,SDSSJ2222+2745,56940.71113,4944,3,image,Sharon,335.54254246094456,27.76643981839497
hst_13337_02_acs_wfc_total_jcac02,ACS/WFC,detection,SDSSJ2222+2745,56940.7111408,4944,3,image,"Sharon, Keren",335.5357083333,27.75944444444
hst_13337_03_acs_wfc_f814w,ACS/WFC,F814W,SDSSJ2222+2745,56941.56282,4944,3,image,Sharon,335.5316376427086,27.748927838661697
hst_13337_03_acs_wfc_f814w_jcac03,ACS/WFC,F814W,SDSSJ2222+2745,56941.5628308,4944,3,image,"Sharon, Keren",335.5357083333,27.75944444444
hst_13337_03_acs_wfc_total,ACS/WFC,DETECTION,SDSSJ2222+2745,56941.56282,4944,3,image,Sharon,335.5316376427086,27.748927838661697
hst_13337_03_acs_wfc_total_jcac03,ACS/WFC,detection,SDSSJ2222+2745,56941.5628308,4944,3,image,"Sharon, Keren",335.5357083333,27.75944444444
hst_13337_04_wfc3_ir_f110w,WFC3/IR,F110W,SDSSJ2222+2745,56879.85444,1211.752,3,image,Sharon,335.5369971014419,27.74808962909784
hst_13337_04_wfc3_ir_f110w_icac04,WFC3/IR,F110W,SDSSJ2222+2745,56879.85445562,1211.753908,3,image,"Sharon, Keren",335.5357083333,27.75944444444
hst_13337_04_wfc3_ir_f160w,WFC3/IR,F160W,SDSSJ2222+2745,56879.85029,1311.756,3,image,Sharon,335.5369929628232,27.74809039605761
hst_13337_04_wfc3_ir_f160w_f110w,WFC3/IR,F160W;F110W,SDSSJ2222+2745,,2523.508056640625,3,IMAGE,Sharon,335.5370788574219,27.760051727294922
hst_13337_04_wfc3_ir_f160w_icac04,WFC3/IR,F160W,SDSSJ2222+2745,56879.85030043,1311.75598,3,image,"Sharon, Keren",335.5357083333,27.75944444444
hst_13337_04_wfc3_ir_total,WFC3/IR,DETECTION,SDSSJ2222+2745,56879.85029,2523.508,3,image,Sharon,335.53506426472234,27.745260815863624
hst_13337_04_wfc3_ir_total_icac04,WFC3/IR,detection,SDSSJ2222+2745,56879.85030043,2523.509888,3,image,"Sharon, Keren",335.5357083333,27.75944444444
icac04010,WFC3/IR,F160W,SDSSJ2222+2745,56879.85030042824,1312,3,image,"Sharon, Keren",335.536849311,27.75990828894
icac04020,WFC3/IR,F110W,SDSSJ2222+2745,56879.854455636574,1212,3,image,"Sharon, Keren",335.536849311,27.75990828894
jcac01010,ACS/WFC,F435W,SDSSJ2222+2745,56940.567518206015,2376,3,image,"Sharon, Keren",335.5369603307,27.75936011802
jcac01020,ACS/WFC,F435W,SDSSJ2222+2745,56940.63122190972,2568,3,image,"Sharon, Keren",335.5344570815,27.759537043
jcac02010,ACS/WFC,F606W,SDSSJ2222+2745,56940.71114082176,2376,3,image,"Sharon, Keren",335.5369603307,27.75936011802
jcac02020,ACS/WFC,F606W,SDSSJ2222+2745,56940.78320115741,2568,3,image,"Sharon, Keren",335.5344570815,27.759537043
jcac03010,ACS/WFC,F814W,SDSSJ2222+2745,56941.562830787036,2376,3,image,"Sharon, Keren",335.5369603307,27.75936011802
jcac03020,ACS/WFC,F814W,SDSSJ2222+2745,56941.62646489583,2568,3,image,"Sharon, Keren",335.5344570815,27.759537043
