parameter,median_or_limit,err_up,err_dn,raw_latex
log10(M_BH/Msun),8.31,+0.07,-0.06,8.31^{+0.07}_{-0.06}
tau_median_restframe_days,36.4,+1.8,-1.8,36.4^{+1.8}_{-1.8}
tau_mean_restframe_days,59.4,+2.7,-2.5,59.4^{+2.7}_{-2.5}
r_median_lightdays,33.0,+2.4,-2.1,33.0^{+2.4}_{-2.1}
r_mean_lightdays,48.3,+3.5,-3.0,48.3^{+3.5}_{-3.0}
r_min_lightdays,8.2,+1.3,-1.1,8.2^{+1.3}_{-1.1}
sigma_r_lightdays,< 99.2,,,< 99.2
beta_radial_shape,1.32,+0.11,-0.09,1.32^{+0.11}_{-0.09}
f_ellip,0.83,+0.04,-0.06,0.83^{+0.04}_{-0.06}
f_flow,0.26,+0.18,-0.18,0.26^{+0.18}_{-0.18}
theta_e_deg,20.2,+13.6,-13.2,20.2^{+13.6}_{-13.2}
sigma_turb,0.049,+0.035,-0.045,0.049^{+0.035}_{-0.045}
theta_opn_deg,52.6,+5.5,-7.8,52.6^{+5.5}_{-7.8}
theta_inc_deg,40.8,+5.6,-6.5,40.8^{+5.6}_{-6.5}
kappa,< -0.47,,,< -0.47
gamma,2.6,+1.4,-1.2,2.6^{+1.4}_{-1.2}
xi,> 0.77,,,> 0.77
log10_f_mean_FWHM,-0.32,+0.09,-0.07,-0.32^{+0.09}_{-0.07}
log10_f_mean_sigma,0.20,+0.09,-0.07,0.20^{+0.09}_{-0.07}
log10_f_rms_FWHM,-0.46,+0.10,-0.09,-0.46^{+0.10}_{-0.09}
log10_f_rms_sigma,-0.08,+0.09,-0.07,-0.08^{+0.09}_{-0.07}
