Title: The Magnificent Five Images of Supernova Refsdal: Time Delay and 
       Magnification Measurements 
Authors: Kelly P.L., Rodney S., Treu T., Birrer S., Bonvin V., Dessart L., 
    Foley R.J., Filippenko A.V., Gilman D., Jha S., Hjorth J., Mandel K., 
    Millon M., Pierel J., Thorp S., Zitrin A., Broadhurst T., Chen W., 
    Diego J.M., Dressler A., Graur O., Jauzac M., Malkan M.A., McCully C., 
    Oguri M., Postman M., Schmidt K.B., Sharon K., Tucker B.E., 
    von der Linden A., Wambsganss J.
Table: Photometry of SN Refsdal
================================================================================
Byte-by-byte Description of file: apjac4ccbt3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  2 A2     ---    Obj       Image of SN Refsdal (see Table 2)
   4-  8 A5     ---    Filt      WFC3-IR Filter                  
  10- 27 F18.12 d      MJD       [56598.13/57756.91] Modified Julian date (1)
  29- 51 F23.20 uJy    Flux      [-0.06/0.8] Flux in Filt
  53- 73 F21.19 uJy  e_Flux      [0.0/0.67] Uncertainty in Flux
--------------------------------------------------------------------------------
Note (1): Modified Julian Date (JD-2,400,000.5) at the beginning of the 
    observation.
--------------------------------------------------------------------------------
S1 F105W 56711.660255118353 -0.01210900832417575838 0.0195189361908232779 
S1 F105W 56713.635860282317  0.02456100360771990704 0.0228661286994428538 
S1 F105W 56964.152503720157  0.08725568548695757098 0.0263817864213483563 
S1 F105W 56968.875553961807  0.19864185729626360200 0.0349090141119009559 
S1 F105W 56972.058818045931  0.15799686376772020813 0.0384171606131776117 
S1 F105W 56982.308816922203  0.15120203358599595966 0.0072517924841618148 
S1 F105W 57002.870489704430  0.19019715995462924130 0.0056578347184824181 
S1 F105W 57006.989033032631  0.20346454483380291278 0.0058019586671654074 
S1 F105W 57015.115471038655  0.23698344173550975333 0.0050722814409287862 
S1 F105W 57015.878145149589  0.28356836525528028581 0.0092207530348049679 
S1 F105W 57017.798668711432  0.24240889144746033401 0.0059515107276342689 
S1 F105W 57020.578122702158  0.22685995437719189138 0.0066435450418217707 
S1 F105W 57023.767596184807  0.23275992933511210903 0.0053753303361324346 
S1 F105W 57025.857522536644  0.26548747464135180607 0.0049456313890435056 
S1 F105W 57026.556027680745  0.24458173736173591251 0.0079348481009080055 
S1 F105W 57027.813766558742  0.24482459695880837147 0.0056117141984889261 
S1 F105W 57132.096378503658  0.37102557855045337210 0.0227041872489869602 
S1 F105W 57149.065312717416  0.33333049965543226634 0.0241217269927581357 
S1 F105W 57168.279431261210  0.26993964568191214370 0.0167104844482041763 
S1 F105W 57208.057571360958  0.27173816681954132690 0.0181288418774616447 
S1 F105W 57216.278590399241  0.21221399334867388498 0.0118705971395401157 
S1 F105W 57430.576378255522  0.01241080184010468802 0.0070783616209177148 
S1 F105W 57432.742272845258  0.03488202587128007987 0.0073803626961156327 
S1 F105W 57524.471188173644 -0.00345237147306181420 0.0141561684730776467 
S1 F125W 56981.053060126047  0.24068198683501479396 0.0121910460643096363 
