[16:58:31] found 515 .mat members
[16:58:32] progress 1/515 rat=A059 ntr=52866 cum_rows=52866
[16:58:32] progress 2/515 rat=A060 ntr=41699 cum_rows=94565
[16:58:33] progress 3/515 rat=A062 ntr=109363 cum_rows=203928
[16:58:57] progress 25/515 rat=A226 ntr=12118 cum_rows=1366340
[16:59:31] progress 50/515 rat=A267 ntr=16087 cum_rows=1936770
[16:59:55] progress 75/515 rat=A325 ntr=30719 cum_rows=2394606
[17:00:21] progress 100/515 rat=B095 ntr=26408 cum_rows=4449314
[17:00:40] progress 125/515 rat=E007 ntr=54754 cum_rows=6101547
[17:00:53] progress 150/515 rat=E154 ntr=10979 cum_rows=6996571
[17:01:08] progress 175/515 rat=K154 ntr=90567 cum_rows=7826237
[17:01:24] progress 200/515 rat=K216 ntr=199094 cum_rows=9200366
[17:02:14] progress 225/515 rat=K266 ntr=79604 cum_rows=12936382
[17:02:52] progress 250/515 rat=K305 ntr=47954 cum_rows=14048138
[17:03:18] progress 275/515 rat=K361 ntr=15654 cum_rows=14839567
[17:03:37] progress 300/515 rat=K395 ntr=25502 cum_rows=15428290
[17:03:53] progress 325/515 rat=T055 ntr=56207 cum_rows=16712561
[17:04:09] progress 350/515 rat=T093 ntr=41914 cum_rows=18168104
[17:04:20] progress 375/515 rat=T155 ntr=21055 cum_rows=19176132
[17:04:51] progress 400/515 rat=T190 ntr=48458 cum_rows=20888043
[17:05:38] progress 425/515 rat=T244 ntr=18648 cum_rows=22248521
[17:06:03] progress 450/515 rat=T288 ntr=21651 cum_rows=22973038
[17:06:20] progress 475/515 rat=X010 ntr=33614 cum_rows=23542040
[17:06:52] progress 500/515 rat=X074 ntr=17142 cum_rows=24484085
[17:07:12] DONE {"n_rats_parsed": 515, "n_rats_failed": 0, "n_trials_total": 25562353, "min_trials_per_rat": 9170, "max_trials_per_rat": 286535, "median_trials_per_rat": 32585, "parquet_bytes": 2131341109, "parquet_sha256": "86b51a3e5747fd44ce2e02fd4178faf2acea4e393a9b50b1d3ec7b9c9520bd99", "parquet_filename": "brody_poisson_clicks_trials.parquet", "parse_date_utc": "2026-07-24T17:07:12Z", "source": {"zenodo_record": "13352119", "zip_md5": "9bac21f991137ead56a0bc83ae62c49c", "zip_bytes": 8104686746, "license": "CC-BY-4.0"}, "wall_seconds": 521.2}
