Galaxy,R20_kpc,R80_kpc,C82,n_profile_rows,R_profile_max_kpc,interpolation_R20,interpolation_R80,extrapolation_used,source_file,source_file_sha256
ESO079-G014,4.08781913622,11.7342901106,2.28982574416,15,16.67,linear_cumulative,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/ESO079-G014_rotmod.dat,dedf17c4700d0ab05e0cc0a6b292000558104d3b8c98e4fca8405d40b05bfe79
ESO116-G012,1.23567118832,4.41061388089,2.76298059708,15,9.86,linear_cumulative,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/ESO116-G012_rotmod.dat,e1af44af84188345a2a55983c34ccb7458f1257e7f13b801b1c7a824317d3812
ESO563-G021,5.64078961509,18.0273020001,2.52295416071,30,42.41,linear_cumulative,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/ESO563-G021_rotmod.dat,dfb210f0795faa4fdc1c98d03fd2d241448a88b1f8e70867900bcb6fdaa4f329
F571-8,0.792354869114,3.72127688063,3.35886126865,13,15.55,linear_cumulative,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/F571-8_rotmod.dat,71d08a339e9c50eb70efac280949244190f5d0d84adc9fac99a0d49a8ef06a38
IC4202,5.44171996492,14.4635262647,2.12268999841,32,25.9,linear_cumulative,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/IC4202_rotmod.dat,1b202036246f957a1d6b6fc1477d9c7b8a0f5f9583a16fe401a997c1cc8e6074
NGC0024,1.0990826071,5.07056954725,3.32013204287,29,11.27,linear_cumulative,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/NGC0024_rotmod.dat,63c380b5c291626e6ce9dc809d941f0dbc4af00516283fde690a653b004fccbf
NGC0055,2.527590565,9.97454160855,2.9809311038,21,13.5,linear_cumulative,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/NGC0055_rotmod.dat,1fa933911f1df723b44718bbb4149b67afd934eaaded35bb51535ee1434128e3
NGC0247,2.95009418556,9.58912588736,2.55971569266,26,14.54,linear_cumulative,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/NGC0247_rotmod.dat,7a847529ab0ccacf58d8b0ecab702cf3dbb7c3590d5781e28ab59ebb6e68115f
NGC0300,1.50087745332,5.19646693274,2.6968146725,25,11.8,linear_cumulative,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/NGC0300_rotmod.dat,6de38f88fb215142f97ef6150ad6d71e0e5e85e8b09d619d0d3d5caae074fb3e
NGC0801,3.51593673242,23.6685381232,4.14065191599,13,59.82,linear_cumulative,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/NGC0801_rotmod.dat,91ed95878fd9996bc77a7094f0bce173187a14e139132a352b774013f480e89a
NGC0891,1.60812643105,6.34770237974,2.98148183037,18,17.11,linear_cumulative,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/NGC0891_rotmod.dat,646e25cf1943a57f5a3da9d86126298bd5d38419f62a70664e2b7f7bb3247a34
NGC1090,2.89696849475,11.159982307,2.92859866953,24,30.09,linear_cumulative,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/NGC1090_rotmod.dat,c36735069b6423307437e91aded987492010d66971b690f62c2c9f5b3e1c9726
NGC2403,1.07436532762,4.17404878215,2.94702768108,73,20.87,linear_cumulative,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/NGC2403_rotmod.dat,9be193eccc5c363e74d04270290d831738f41ec9225a3b2c95353fd3812170b8
NGC2683,1.99932018397,7.52799134784,2.87898380438,11,34.62,linear_first_annulus_anchor,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/NGC2683_rotmod.dat,100f88a564d36ff4e24553cf939aab7b6f98350deb74e491c49aa82d10951662
NGC2841,3.93753578774,11.4676437423,2.32124839243,50,63.64,linear_cumulative,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/NGC2841_rotmod.dat,3182e398c3325cb7d43dcda432e150e55a06be8d74b2e95fd92e094e291b4e5f
NGC2903,1.28047215696,4.49952837812,2.72898427881,34,24.96,linear_cumulative,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/NGC2903_rotmod.dat,913855caab7f54bee01a53083a3745a57e6dad0d0800000e2d4933543e61afca
NGC2976,0.717395389887,1.66016044557,1.82195740399,27,2.27,linear_cumulative,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/NGC2976_rotmod.dat,8b447e058d8e1597ee0c1df7c2ee1ab1c0217bc86820b6627162cf17b578a48a
NGC2998,3.29230020292,14.1145452566,3.16083730907,13,42.28,linear_cumulative,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/NGC2998_rotmod.dat,9117f8894c13b881cb800ee1526f1d61089c683d797d98130c2865d0f55b4394
NGC3198,2.88114442603,9.76358241728,2.65022083739,43,44.08,linear_cumulative,linear_cumulative,false,/Users/resorb/Documents/Claude Sessions/Transaction Calculus/data/sparc/Rotmod_LTG/NGC3198_rotmod.dat,17b774ad11e7dd745a067073b76f1909d4de32fa87616df12b64da3f225cf953
