Galaxy,T_RAR_resid,X_A,logVflat,logSBeff,T,Inc,X_A_perp,X_A_perp_full,T_GSG_resid,A_eff,R_IPR,R95,n_rows_strictW
ESO079-G014,0.051919,1.072967,2.243038,2.196839,4,79.0,0.067226,0.118506,0.051952,439.626290,11.829514,14.906385,15
ESO116-G012,0.087852,0.580407,2.037825,1.956840,7,74.0,-0.182272,-0.177663,0.088954,45.494974,3.805457,6.566843,15
ESO563-G021,0.145826,1.226177,2.497759,2.632832,4,83.0,-0.023216,-0.021068,0.145828,890.231519,16.833582,24.386959,24
F571-8,0.097314,0.377001,2.145196,2.916828,5,85.0,-0.162095,-0.157715,0.103515,17.830037,2.382326,8.514645,10
IC4202,0.022439,0.968422,2.384891,2.592832,4,90.0,-0.108612,-0.080566,0.022469,271.639802,9.298690,19.547823,21
NGC0024,0.250772,0.392725,2.026533,2.180842,5,64.0,-0.256866,-0.227144,0.254552,19.169044,2.470161,5.794169,28
NGC0055,-0.164834,0.937871,1.932474,1.736795,9,77.0,0.259268,0.241887,-0.164829,235.989524,8.667052,12.067951,21
NGC0247,-0.027020,0.967500,2.020775,1.528788,7,74.0,0.053460,0.084750,-0.027018,270.489745,9.278985,12.771899,26
NGC0300,0.049786,0.672823,1.969882,2.168821,7,42.0,0.113130,0.066217,0.051681,69.629757,4.707849,7.884723,23
NGC0801,-0.153255,1.018359,2.342620,2.912828,5,80.0,0.146688,0.120735,-0.153255,341.875823,10.431800,36.151996,7
NGC0891,-0.033578,0.652361,2.334655,3.208831,3,90.0,-0.081531,-0.057366,-0.033400,63.368200,4.491183,10.456234,8
NGC1090,-0.082504,0.978234,2.215902,2.452829,4,64.0,0.125583,0.143129,-0.082484,284.195809,9.511169,16.269261,22
NGC2403,0.059234,0.531583,2.117934,2.532831,6,63.0,-0.123238,-0.151757,0.059470,36.334140,3.400811,6.411270,67
NGC2683,-0.055745,0.743967,2.187521,3.056829,3,80.0,0.192784,0.228213,-0.055737,96.623574,5.545831,10.531591,9
NGC2841,0.176801,1.041000,2.454540,2.992832,3,76.0,0.015375,0.017237,0.176801,379.445544,10.990053,17.453668,26
NGC2903,0.026225,0.578597,2.266232,2.800827,4,66.0,-0.212123,-0.217596,0.026657,45.117408,3.789633,8.275690,19
NGC2976,-0.057861,0.260089,1.931458,2.488833,5,61.0,-0.100682,-0.081989,-0.033196,10.407070,1.820075,2.070621,24
NGC2998,-0.025117,0.961242,2.322012,2.680834,5,58.0,0.026589,-0.016070,-0.025117,262.805602,9.146235,26.004365,9
NGC3198,-0.006937,0.916247,2.176381,2.252829,5,73.0,0.045763,0.067039,-0.006650,213.620883,8.246068,14.435081,40
NGC3521,0.061996,0.578896,2.329805,3.348830,4,75.0,-0.088016,-0.119252,0.062408,45.179483,3.792239,8.457177,5
NGC3726,-0.120327,0.961753,2.225309,2.296841,5,53.0,0.027763,0.011210,-0.120278,263.424580,9.157000,14.037054,12
NGC3769,-0.060860,0.617942,2.074085,2.796831,3,70.0,0.147591,0.196554,-0.060599,54.079652,4.148986,9.910930,8
NGC3877,-0.068717,0.925835,2.226342,2.776832,5,76.0,0.191885,0.181514,-0.068716,223.264468,8.430142,10.076995,11
NGC3893,0.029481,0.700491,2.240549,3.196831,5,49.0,0.119281,0.043138,0.029668,79.091917,5.017543,10.577616,7
NGC3917,0.012720,0.932731,2.133219,2.052848,6,79.0,0.050524,0.071522,0.012762,230.469038,8.565079,11.203161,17
NGC3953,-0.024403,1.016765,2.343999,2.768830,4,62.0,0.082252,0.063585,-0.024272,339.375630,10.393585,13.124768,5
NGC3972,0.069400,0.773581,2.122871,2.216825,4,77.0,-0.022351,0.038930,0.071077,110.742102,5.937197,7.521285,10
NGC3992,0.058673,1.242976,2.382017,2.556833,4,56.0,0.155626,0.135855,0.058683,961.837367,17.497495,23.555072,9
NGC4010,-0.038890,0.802132,2.099681,1.168792,7,89.0,-0.395487,-0.330544,-0.037913,126.303070,6.340624,9.090281,12
NGC4013,-0.033794,0.907738,2.237795,2.872832,3,89.0,0.194947,0.248378,-0.033753,205.411623,8.086071,9.025539,32
NGC4051,-0.111572,0.953774,2.195900,2.504824,4,49.0,0.156505,0.151242,-0.110506,253.920714,8.990299,11.175806,6
NGC4085,-0.071016,0.571343,2.118926,2.932829,5,82.0,0.083005,0.085114,-0.069090,43.635129,3.726861,5.062050,4
NGC4088,-0.190551,0.879045,2.234770,2.660828,4,69.0,0.082205,0.092930,-0.190342,179.986375,7.569111,10.771159,7
NGC4100,0.034613,0.888872,2.199206,2.588832,4,73.0,0.121375,0.146336,0.035772,188.319288,7.742344,11.270516,24
NGC4138,-0.011962,0.586677,2.168203,3.280831,0,53.0,0.162035,0.224142,-0.011879,46.827853,3.860799,7.453758,5
NGC4157,-0.081734,0.845357,2.266467,2.928831,3,82.0,0.108050,0.144546,-0.081669,154.121516,7.004170,10.885464,12
NGC4183,-0.061388,0.900969,2.043755,1.936815,6,82.0,0.119933,0.162557,-0.061366,199.107916,7.961031,12.265759,23
NGC4217,-0.089973,0.473182,2.258398,2.684827,3,86.0,-0.353171,-0.295750,-0.089611,27.766000,2.972910,6.338266,9
NGC4559,-0.117260,0.775861,2.083503,2.324838,6,67.0,0.091316,0.084741,-0.117219,111.910696,5.968440,9.650570,32
NGC5033,0.044682,0.535845,2.288249,3.308829,5,66.0,-0.078233,-0.141319,0.044690,37.054351,3.434351,20.027736,16
NGC5055,-0.112635,0.808521,2.252853,3.140828,4,55.0,0.183147,0.143391,-0.112634,130.074121,6.434585,13.892720,16
