release,tile_file,ra_centre,dec_centre,patch,url
DR4.0,KiDS_DR4.1_0.0_-28.2_ugriZYJHKs_cat.fits,0.0,-28.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.1_0.0_-28.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.1_0.0_-29.2_ugriZYJHKs_cat.fits,0.0,-29.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.1_0.0_-29.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.1_0.0_-30.2_ugriZYJHKs_cat.fits,0.0,-30.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.1_0.0_-30.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.1_0.0_-31.2_ugriZYJHKs_cat.fits,0.0,-31.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.1_0.0_-31.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.1_0.0_-32.1_ugriZYJHKs_cat.fits,0.0,-32.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.1_0.0_-32.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.1_0.0_-33.1_ugriZYJHKs_cat.fits,0.0,-33.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.1_0.0_-33.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.1_0.0_-34.1_ugriZYJHKs_cat.fits,0.0,-34.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.1_0.0_-34.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.1_0.0_-35.1_ugriZYJHKs_cat.fits,0.0,-35.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.1_0.0_-35.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_10.3_-29.2_ugriZYJHKs_cat.fits,10.3,-29.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_10.3_-29.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_10.5_-31.2_ugriZYJHKs_cat.fits,10.5,-31.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_10.5_-31.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_10.6_-32.1_ugriZYJHKs_cat.fits,10.6,-32.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_10.6_-32.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_10.7_-33.1_ugriZYJHKs_cat.fits,10.7,-33.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_10.7_-33.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_10.8_-34.1_ugriZYJHKs_cat.fits,10.8,-34.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_10.8_-34.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.1_1.1_-28.2_ugriZYJHKs_cat.fits,1.1,-28.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.1_1.1_-28.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_1.1_-29.2_ugriZYJHKs_cat.fits,1.1,-29.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_1.1_-29.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_11.3_-28.2_ugriZYJHKs_cat.fits,11.3,-28.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_11.3_-28.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_11.4_-29.2_ugriZYJHKs_cat.fits,11.4,-29.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_11.4_-29.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_11.5_-30.2_ugriZYJHKs_cat.fits,11.5,-30.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_11.5_-30.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_11.7_-31.2_ugriZYJHKs_cat.fits,11.7,-31.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_11.7_-31.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_11.9_-33.1_ugriZYJHKs_cat.fits,11.9,-33.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_11.9_-33.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_12.0_-34.1_ugriZYJHKs_cat.fits,12.0,-34.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_12.0_-34.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_1.2_-30.2_ugriZYJHKs_cat.fits,1.2,-30.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_1.2_-30.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_1.2_-31.2_ugriZYJHKs_cat.fits,1.2,-31.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_1.2_-31.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_1.2_-32.1_ugriZYJHKs_cat.fits,1.2,-32.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_1.2_-32.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_1.2_-33.1_ugriZYJHKs_cat.fits,1.2,-33.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_1.2_-33.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_1.2_-34.1_ugriZYJHKs_cat.fits,1.2,-34.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_1.2_-34.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_1.2_-35.1_ugriZYJHKs_cat.fits,1.2,-35.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_1.2_-35.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_12.4_-28.2_ugriZYJHKs_cat.fits,12.4,-28.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_12.4_-28.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_12.5_-29.2_ugriZYJHKs_cat.fits,12.5,-29.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_12.5_-29.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_12.7_-30.2_ugriZYJHKs_cat.fits,12.7,-30.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_12.7_-30.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_12.8_-31.2_ugriZYJHKs_cat.fits,12.8,-31.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_12.8_-31.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_129.0_-0.5_ugriZYJHKs_cat.fits,129.0,-0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_129.0_-0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_129.0_0.5_ugriZYJHKs_cat.fits,129.0,0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_129.0_0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_129.0_-1.5_ugriZYJHKs_cat.fits,129.0,-1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_129.0_-1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_129.0_1.5_ugriZYJHKs_cat.fits,129.0,1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_129.0_1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_12.9_-32.1_ugriZYJHKs_cat.fits,12.9,-32.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_12.9_-32.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_129.4_2.5_ugriZYJHKs_cat.fits,129.4,2.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_129.4_2.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_130.0_-0.5_ugriZYJHKs_cat.fits,130.0,-0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_130.0_-0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_130.0_0.5_ugriZYJHKs_cat.fits,130.0,0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_130.0_0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_130.0_-1.5_ugriZYJHKs_cat.fits,130.0,-1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_130.0_-1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_130.0_1.5_ugriZYJHKs_cat.fits,130.0,1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_130.0_1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_130.4_2.5_ugriZYJHKs_cat.fits,130.4,2.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_130.4_2.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_131.0_-0.5_ugriZYJHKs_cat.fits,131.0,-0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_131.0_-0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_131.0_0.5_ugriZYJHKs_cat.fits,131.0,0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_131.0_0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_131.0_-1.5_ugriZYJHKs_cat.fits,131.0,-1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_131.0_-1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_131.0_1.5_ugriZYJHKs_cat.fits,131.0,1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_131.0_1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_13.1_-33.1_ugriZYJHKs_cat.fits,13.1,-33.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_13.1_-33.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_131.4_2.5_ugriZYJHKs_cat.fits,131.4,2.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_131.4_2.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_132.0_-0.5_ugriZYJHKs_cat.fits,132.0,-0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_132.0_-0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_132.0_0.5_ugriZYJHKs_cat.fits,132.0,0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_132.0_0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_132.0_-1.5_ugriZYJHKs_cat.fits,132.0,-1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_132.0_-1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_132.0_1.5_ugriZYJHKs_cat.fits,132.0,1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_132.0_1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_13.2_-34.1_ugriZYJHKs_cat.fits,13.2,-34.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_13.2_-34.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_132.4_2.5_ugriZYJHKs_cat.fits,132.4,2.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_132.4_2.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_133.0_-0.5_ugriZYJHKs_cat.fits,133.0,-0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_133.0_-0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_133.0_0.5_ugriZYJHKs_cat.fits,133.0,0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_133.0_0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_133.0_-1.5_ugriZYJHKs_cat.fits,133.0,-1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_133.0_-1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_133.0_1.5_ugriZYJHKs_cat.fits,133.0,1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_133.0_1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_133.4_2.5_ugriZYJHKs_cat.fits,133.4,2.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_133.4_2.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_134.0_-0.5_ugriZYJHKs_cat.fits,134.0,-0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_134.0_-0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_134.0_0.5_ugriZYJHKs_cat.fits,134.0,0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_134.0_0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_134.0_-1.5_ugriZYJHKs_cat.fits,134.0,-1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_134.0_-1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_134.0_1.5_ugriZYJHKs_cat.fits,134.0,1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_134.0_1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_134.4_2.5_ugriZYJHKs_cat.fits,134.4,2.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_134.4_2.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_135.0_-0.5_ugriZYJHKs_cat.fits,135.0,-0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_135.0_-0.5_ugriZYJHKs_cat.fits
