brickname,ra,dec,ra1,ra2,dec1,dec2
1280m032,128.0528511821975,-3.25,127.92767732962449,128.17802503477049,-3.375,-3.125
1280m035,128.0528511821975,-3.5,127.92767732962449,128.17802503477049,-3.625,-3.375
1280p032,128.0528511821975,3.25,127.92767732962449,128.17802503477049,3.125,3.375
1280p035,128.0528511821975,3.5,127.92767732962449,128.17802503477049,3.375,3.625
1281m002,128.125,-0.25,128,128.25,-0.375,-0.125
1281m005,128.125,-0.5,128,128.25,-0.625,-0.375
1281m007,128.125,-0.75,128,128.25,-0.875,-0.625
1281m010,128.125,-1,128,128.25,-1.125,-0.875
1281m012,128.125,-1.25,128,128.25,-1.375,-1.125
1281m015,128.125,-1.5,128,128.25,-1.625,-1.375
1281m017,128.125,-1.75,128,128.25,-1.875,-1.625
1281m020,128.125,-2,128,128.25,-2.125,-1.875
1281m022,128.125,-2.25,128,128.25,-2.375,-2.125
1281m025,128.125,-2.5,128,128.25,-2.625,-2.375
1281m027,128.125,-2.75,128,128.25,-2.875,-2.625
1281m030,128.125,-3,128,128.25,-3.125,-2.875
1281p000,128.125,0,128,128.25,-0.125,0.125
1281p002,128.125,0.25,128,128.25,0.125,0.375
1281p005,128.125,0.5,128,128.25,0.375,0.625
1281p007,128.125,0.75,128,128.25,0.625,0.875
1281p010,128.125,1,128,128.25,0.875,1.125
1281p012,128.125,1.25,128,128.25,1.125,1.375
1281p015,128.125,1.5,128,128.25,1.375,1.625
1281p017,128.125,1.75,128,128.25,1.625,1.875
1281p020,128.125,2,128,128.25,1.875,2.125
1281p022,128.125,2.25,128,128.25,2.125,2.375
1281p025,128.125,2.5,128,128.25,2.375,2.625
1281p027,128.125,2.75,128,128.25,2.625,2.875
1281p030,128.125,3,128,128.25,2.875,3.125
1283m002,128.375,-0.25,128.25,128.5,-0.375,-0.125
1283m005,128.375,-0.5,128.25,128.5,-0.625,-0.375
1283m007,128.375,-0.75,128.25,128.5,-0.875,-0.625
1283m010,128.375,-1,128.25,128.5,-1.125,-0.875
1283m012,128.375,-1.25,128.25,128.5,-1.375,-1.125
1283m015,128.375,-1.5,128.25,128.5,-1.625,-1.375
1283m017,128.375,-1.75,128.25,128.5,-1.875,-1.625
1283m020,128.375,-2,128.25,128.5,-2.125,-1.875
1283m022,128.375,-2.25,128.25,128.5,-2.375,-2.125
1283m025,128.375,-2.5,128.25,128.5,-2.625,-2.375
1283m027,128.375,-2.75,128.25,128.5,-2.875,-2.625
1283m030,128.375,-3,128.25,128.5,-3.125,-2.875
1283m032,128.30319888734354,-3.25,128.17802503477049,128.42837273991654,-3.375,-3.125
1283m035,128.30319888734354,-3.5,128.17802503477049,128.42837273991654,-3.625,-3.375
1283p000,128.375,0,128.25,128.5,-0.125,0.125
1283p002,128.375,0.25,128.25,128.5,0.125,0.375
1283p005,128.375,0.5,128.25,128.5,0.375,0.625
1283p007,128.375,0.75,128.25,128.5,0.625,0.875
1283p010,128.375,1,128.25,128.5,0.875,1.125
1283p012,128.375,1.25,128.25,128.5,1.125,1.375
1283p015,128.375,1.5,128.25,128.5,1.375,1.625
1283p017,128.375,1.75,128.25,128.5,1.625,1.875
1283p020,128.375,2,128.25,128.5,1.875,2.125
1283p022,128.375,2.25,128.25,128.5,2.125,2.375
1283p025,128.375,2.5,128.25,128.5,2.375,2.625
1283p027,128.375,2.75,128.25,128.5,2.625,2.875
1283p030,128.375,3,128.25,128.5,2.875,3.125
1283p032,128.30319888734354,3.25,128.17802503477049,128.42837273991654,3.125,3.375
1283p035,128.30319888734354,3.5,128.17802503477049,128.42837273991654,3.375,3.625
1285m032,128.55354659248957,-3.25,128.42837273991654,128.6787204450626,-3.375,-3.125
1285m035,128.55354659248957,-3.5,128.42837273991654,128.6787204450626,-3.625,-3.375
1285p032,128.55354659248957,3.25,128.42837273991654,128.6787204450626,3.125,3.375
1285p035,128.55354659248957,3.5,128.42837273991654,128.6787204450626,3.375,3.625
1286m002,128.625,-0.25,128.5,128.75,-0.375,-0.125
1286m005,128.625,-0.5,128.5,128.75,-0.625,-0.375
1286m007,128.625,-0.75,128.5,128.75,-0.875,-0.625
1286m010,128.625,-1,128.5,128.75,-1.125,-0.875
1286m012,128.625,-1.25,128.5,128.75,-1.375,-1.125
1286m015,128.625,-1.5,128.5,128.75,-1.625,-1.375
1286m017,128.625,-1.75,128.5,128.75,-1.875,-1.625
1286m020,128.625,-2,128.5,128.75,-2.125,-1.875
1286m022,128.625,-2.25,128.5,128.75,-2.375,-2.125
1286m025,128.625,-2.5,128.5,128.75,-2.625,-2.375
1286m027,128.625,-2.75,128.5,128.75,-2.875,-2.625
1286m030,128.625,-3,128.5,128.75,-3.125,-2.875
1286p000,128.625,0,128.5,128.75,-0.125,0.125
1286p002,128.625,0.25,128.5,128.75,0.125,0.375
1286p005,128.625,0.5,128.5,128.75,0.375,0.625
1286p007,128.625,0.75,128.5,128.75,0.625,0.875
1286p010,128.625,1,128.5,128.75,0.875,1.125
1286p012,128.625,1.25,128.5,128.75,1.125,1.375
1286p015,128.625,1.5,128.5,128.75,1.375,1.625
1286p017,128.625,1.75,128.5,128.75,1.625,1.875
