CATID,RA_OBJ,DEC_OBJ,z_spec,PA_GASKIN,PA_GASKIN_ERR,LAMBDAR_RE,n_src_1p,n_src_2p,n_src_3p,n_src_5p,n_src_10p,n_src_15p,n_clean_1p,n_clean_2p,n_clean_3p,n_clean_5p,n_clean_10p,n_clean_15p
214182,129.00224228,0.6229864,0.01281,276.5,0.16666667,0.6035865,0,10,52,166,965,2431,0,10,50,154,811,1874
375376,129.00321127,0.88362184,0.10668,212.0,0.41666666,0.20427428,11,42,105,285,893,2588,0,0,7,126,661,2202
214184,129.00640444,0.43807939,0.03322,274.0,0.16666667,0.5787006,12,43,110,350,1196,2332,12,41,106,339,1080,2028
375402,129.02663248,1.30639398,0.01287,165.0,0.33333334,nan,32,111,226,484,1862,3906,32,106,219,442,1371,3116
548739,129.03177728,-0.48939802,0.05733,30.0,0.16666667,0.51583964,0,28,65,207,1079,2996,0,0,14,118,867,2664
3894635,129.07610413,-0.84274256,0.04328,149.5,0.16666667,nan,20,79,142,367,1432,2980,19,75,131,298,1094,2365
202309,129.07747465,-0.34962058,0.05731,306.5,0.33333334,0.282962,24,65,138,346,1237,2870,23,63,135,334,1076,2335
573586,129.1255729,-0.08624264,0.05197,165.0,0.16666667,0.44025138,6,61,127,438,1264,2935,6,61,123,412,1117,2695
300350,129.16480418,1.13610286,0.01371,187.5,0.16666667,nan,16,65,124,363,1564,3450,15,63,120,343,1481,3108
380578,129.247198,1.79203711,0.0131,58.5,0.16666667,0.17795701,4,64,128,281,1353,3850,4,53,107,255,1241,3268
214211,129.26993475,0.42908598,0.07765,154.0,1.0,0.07946873,0,10,32,152,827,2343,0,9,28,130,599,1574
573617,129.27720437,-0.18714711,0.05135,113.5,0.16666667,0.30825418,6,62,148,435,1735,3296,6,62,147,428,1520,2688
573620,129.29406495,-0.10437752,0.03784,281.0,0.25,0.4270743,15,78,186,474,1752,3075,15,76,181,461,1544,2542
300372,129.29410089,1.00136297,0.03935,266.0,2.0833333,nan,16,76,169,420,1547,3150,16,74,166,406,1440,2765
598911,129.30130306,0.38743001,0.0417,144.5,0.33333334,nan,8,31,53,148,797,2132,8,30,51,139,467,1385
202354,129.30828796,-0.27483759,0.03745,246.5,0.16666667,0.8947812,9,45,126,383,1524,3044,5,27,80,250,1222,2544
573621,129.32407282,-0.08586238,0.05228,93.5,0.16666667,0.62955046,26,85,196,493,1685,2965,23,80,190,442,1388,2482
202373,129.34532855,-0.24348281,0.03486,56.5,0.33333334,0.24104755,6,26,89,338,1485,3036,6,25,87,296,1148,2368
202360,129.3541012,-0.25781052,0.03576,198.5,0.16666667,0.060816918,12,34,77,353,1415,3007,12,32,74,295,1096,2344
573625,129.38191751,-0.04488618,0.03502,167.5,0.16666667,0.5306797,15,85,180,500,1412,2725,7,43,97,296,1092,2204
548835,129.38250453,-0.4617983,0.07885,334.0,3.5833333,0.06250212,0,6,30,124,1095,2741,0,6,27,85,809,2230
322910,129.39530537,1.57389058,0.03094,101.5,0.75,nan,11,84,220,580,1778,3170,10,81,216,557,1629,2920
300406,129.40513092,1.07307332,0.05085,248.0,0.5833333,0.11688639,22,79,208,513,1626,3057,22,78,201,468,1513,2572
208520,129.40911525,0.05066585,0.03464,167.0,0.16666667,0.5957607,10,31,67,229,1078,2533,10,30,65,163,691,1873
548872,129.41228336,-0.58625457,0.07903,335.5,0.41666666,0.47121474,0,0,2,139,1109,2813,0,0,1,116,971,2359
3895257,129.43796633,-0.86161142,0.03059,335.0,0.16666667,nan,10,70,171,422,1238,2765,10,68,158,372,1083,2353
202399,129.45734504,-0.2516077,0.05184,74.5,0.16666667,0.17959994,2,48,111,300,1038,2899,2,46,108,293,772,1999
202398,129.46039763,-0.26209844,0.05117,319.5,0.16666667,0.14221795,8,32,107,292,994,2853,8,31,104,284,758,1960
380682,129.47482911,1.7844923,0.01354,71.0,0.25,nan,16,44,104,330,1285,3525,12,37,70,219,846,2807
300411,129.48588591,1.07243016,0.05109,42.5,0.25,0.04604535,15,69,123,266,1210,2758,0,29,77,212,1001,2107
3895503,129.49317179,-0.94238616,0.05777,334.0,0.16666667,nan,33,85,166,436,1353,3113,11,39,96,343,1093,2683
214245,129.52446003,0.6089599,0.0139,32.0,0.41666666,nan,0,5,26,129,916,2342,0,5,26,127,767,1676
214250,129.54078778,0.46444018,0.07785,149.5,5.25,0.22132543,1,31,108,312,1150,2456,1,31,105,256,700,1772
598968,129.56040312,0.352079,0.04178,193.5,0.16666667,0.41901955,12,48,101,249,1189,2632,12,45,82,158,784,1896
380697,129.58584589,1.73254222,0.0733,350.0,0.6666667,0.24692468,9,61,123,329,1081,2798,9,61,122,290,754,2119
548914,129.59523495,-0.44538265,0.08541,220.5,0.16666667,0.6717198,12,60,144,366,1459,2911,12,59,140,352,1341,2586
214295,129.5972045,0.42185284,0.08204,41.5,0.16666667,0.47844672,14,65,152,328,1205,2644,11,47,105,219,863,1934
208589,129.63253268,0.01241761,0.07803,268.0,0.16666667,0.35609466,12,56,180,493,1672,3207,12,53,175,483,1480,2577
3895823,129.66193853,-0.85333128,0.05095,224.0,0.16666667,nan,15,69,139,386,1688,3955,11,46,98,316,1540,3635
598999,129.70201131,0.38917733,0.07773,119.0,0.16666667,0.2687615,11,60,127,360,1359,2895,2,30,78,245,1176,2392
300477,129.70677327,1.12100647,0.02913,117.0,0.16666667,nan,0,0,0,0,131,924,0,0,0,0,37,474
375531,129.7108753,1.40502449,0.02903,35.0,0.16666667,nan,0,0,0,0,128,575,0,0,0,0,68,418
202443,129.71213153,-0.33372829,0.05222,114.5,0.16666667,0.5716941,13,63,141,366,1290,2810,13,63,139,350,1126,2365
208612,129.71517654,0.05914337,0.02455,152.5,0.33333334,nan,13,53,130,407,1812,3530,13,51,128,396,1763,3239
202464,129.73726756,-0.35566315,0.05187,6.5,0.16666667,0.28171268,25,76,155,392,1318,2717,25,74,150,372,1182,2271
370997,129.74054739,0.95970311,0.08538,341.5,0.16666667,0.59519374,12,64,139,319,1049,2023,12,56,96,197,605,1383
380734,129.74517063,1.73462278,0.07243,57.0,0.25,0.0932061,2,52,120,342,945,2518,2,51,118,338,811,2000
208652,129.7534118,0.0622835,0.04982,295.5,0.16666667,0.14647487,3,43,122,381,1799,3628,3,43,121,374,1761,3341
548947,129.82095935,-0.61351413,0.0509,57.5,0.16666667,0.68993956,10,39,71,219,1424,3755,10,36,65,201,1364,3448
548946,129.82867229,-0.61208574,0.05048,49.0,0.16666667,0.13505055,6,39,71,222,1378,3766,6,36,64,203,1310,3451
621988,129.8529669,0.68918937,0.07791,208.0,0.16666667,0.36647868,9,33,67,214,1156,2770,9,27,57,183,878,2302
573736,129.85892654,-0.19714267,0.05104,168.0,0.16666667,0.41092482,0,7,16,82,1063,3143,0,7,15,78,1026,2786
371037,129.86251028,0.80888329,0.00661,208.5,16.33333,nan,5,49,113,342,1294,2747,5,48,111,338,1144,2196
375560,129.87422108,1.23344437,0.04985,265.5,0.16666667,0.31453717,0,0,0,0,0,14,0,0,0,0,0,13
375564,129.89422026,1.2511931,0.04922,25.0,0.16666667,nan,0,0,0,0,0,0,0,0,0,0,0,0
202480,129.92932234,-0.33696963,0.05202,34.0,0.33333334,0.1776529,19,73,170,419,1349,2640,19,67,149,338,1105,2304
3622327,129.9544064,-0.74392522,0.0373,200.5,0.41666666,nan,20,78,171,476,1875,3695,19,77,167,462,1721,3272
214363,129.97057844,0.43242663,0.04213,234.0,0.33333334,0.3039295,13,71,168,419,1387,3019,13,69,162,408,1221,2458
573756,129.98087125,-0.18774618,0.02437,146.0,0.33333334,nan,2,30,68,262,1208,2674,1,29,67,257,1102,2409
375610,130.00079311,1.30209053,0.04852,163.0,0.16666667,0.66874975,0,0,0,0,0,28,0,0,0,0,0,5
375615,130.04200051,1.24630305,0.07791,213.0,0.16666667,0.24484497,0,0,0,0,0,0,0,0,0,0,0,0
573776,130.07845067,-0.00295952,0.03759,181.0,0.16666667,0.7250787,17,64,125,361,1339,2813,17,62,120,351,1267,2259
