CUBEIDPUB,CUBEID,CATID,CUBEFWHM,ISBEST,CATSOURCE,WARNSTAR,WARNFILL,WARNZ,WARNMULT,WARNSKER,WARNWCS,WARNEMFT,WARNSKEM,WARNSK2M,WARNSK4M
"278812_A","278812_10_Y14SAR1_P003_09T063_2015_02_16-2015_02_25","278812",2.4886057,1,1,0,0,0,0,0,0,0,0,0,0
"278826_A","278826_7_Y16SAR2_P003_09T122_2017_03_24-2017_04_02","278826",1.6422914,1,1,0,0,0,0,0,0,0,0,0,0
"278840_A","278840_7_Y16SAR2_P003_09T122_2017_03_24-2017_04_02","278840",1.6422914,1,1,0,0,0,0,0,0,0,0,0,0
"278846_A","278846_7_Y14SAR2_P001_09T068_2014_04_02-2014_04_06","278846",1.4306,1,1,0,0,0,0,0,0,0,0,0,0
"278855_A","278855_10_Y14SAR1_P003_09T063_2015_02_16-2015_02_25","278855",2.4886057,1,1,0,0,0,0,0,0,0,0,0,0
"278909_A","278909_6_Y13SAR1_P011_09T017_2013_03_05-2013_03_17","278909",2.5074956,1,1,0,0,0,0,0,0,0,0,0,0
"278995_A","278995_6_Y13SAR1_P011_09T017_2013_03_05-2013_03_17","278995",2.5074956,1,1,0,0,0,0,0,0,0,0,0,0
"279066_A","279066_7_Y16SAR2_P001_09T115_2016_03_03-2016_03_13","279066",1.469406,1,1,0,0,0,0,0,0,0,0,0,0
"279148_A","279148_9_Y17SAR2_P002_09T129_2018_02_12-2018_02_19","279148",2.0400054,1,1,0,0,0,0,0,0,0,0,0,0
"279160_A","279160_7_Y16SAR2_P001_09T115_2016_03_03-2016_03_13","279160",1.469406,1,1,0,0,0,0,0,0,0,0,0,0
"279261_A","279261_9_Y17SAR2_P002_09T129_2018_02_12-2018_02_19","279261",2.0400054,1,1,0,0,0,0,0,0,0,0,0,0
"279818_A","279818_7_Y13SAR1_P009_09T015_2013_03_05-2013_03_17","279818",2.5245326,1,1,0,0,0,0,0,0,0,0,0,0
"279840_A","279840_12_Y15SAR1_P002_09T100_2016_03_03-2016_03_13","279840",1.6049328,1,1,0,0,0,0,0,0,0,0,0,0
"279878_A","279878_7_Y13SAR1_P009_09T015_2013_03_05-2013_03_17","279878",2.5245326,1,1,0,0,0,0,0,0,0,0,0,0
"279886_A","279886_7_Y13SAR1_P003_09T006_2013_03_05-2013_03_17","279886",1.852552,1,1,0,0,0,0,0,0,0,0,0,0
"279891_A","279891_7_Y13SAR1_P003_09T006_2013_03_05-2013_03_17","279891",1.852552,1,1,0,0,0,0,0,0,0,0,0,0
"279905_A","279905_12_Y15SAR1_P002_09T100_2016_03_03-2016_03_13","279905",1.6049328,1,1,0,0,0,0,0,0,0,0,0,0
"279910_A","279910_12_Y15SAR1_P002_09T100_2016_03_03-2016_03_13","279910",1.6049328,1,1,0,0,0,0,0,0,0,0,0,0
"279917_A","279917_7_Y13SAR1_P003_09T006_2013_03_05-2013_03_17","279917",1.852552,1,1,0,0,0,0,0,0,0,0,0,0
"279932_A","279932_12_Y15SAR1_P002_09T100_2016_03_03-2016_03_13","279932",1.6049328,1,1,0,0,0,0,0,0,0,0,0,0
"279943_A","279943_7_Y13SAR1_P009_09T015_2013_03_05-2013_03_17","279943",2.5245326,1,1,0,0,0,0,0,0,0,0,0,0
"28654_A","28654_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12","28654",2.1905859,1,1,0,0,0,0,0,0,0,0,0,0
"28738_A","28738_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10","28738",2.108117,1,1,0,0,0,0,0,0,0,0,0,0
"287692_A","287692_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01","287692",1.6577917,1,1,0,0,0,0,0,0,0,0,0,0
"287824_A","287824_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01","287824",1.6577917,1,1,0,0,0,0,0,0,0,0,0,0
"287827_A","287827_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01","287827",1.6577917,1,1,0,0,0,0,0,0,0,0,0,0
"288364_A","288364_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20","288364",1.8719485,1,1,0,0,0,0,0,0,0,0,0,0
"288424_A","288424_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20","288424",1.8719485,1,1,0,0,0,0,0,0,0,0,0,0
"288461_A","288461_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20","288461",1.8719485,1,1,0,0,0,0,0,0,0,0,0,0
"28860_A","28860_11_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","28860",1.9566231,1,1,0,0,0,0,0,0,0,0,0,0
"28860_B","28860_7_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","28860",1.8312169,0,1,0,0,0,0,0,0,0,0,0,0
"288679_A","288679_7_Y17SAR3_P009_12T110_2018_04_09-2018_04_19","288679",1.9756787,1,1,0,0,0,0,0,0,0,0,0,0
"288694_A","288694_7_Y17SAR3_P009_12T110_2018_04_09-2018_04_19","288694",1.9756787,1,3,0,1,0,0,0,0,0,0,0,0
"288756_A","288756_7_Y14SAR3_P009_12T060_2015_05_14-2015_05_20","288756",2.2397242,1,1,0,0,0,0,0,0,0,0,0,0
"288777_A","288777_7_Y17SAR3_P009_12T110_2018_04_09-2018_04_19","288777",1.9756787,1,3,0,1,0,0,0,0,0,0,0,0
"288801_A","288801_7_Y17SAR3_P009_12T110_2018_04_09-2018_04_19","288801",1.9756787,1,3,0,1,0,2,0,0,0,0,0,0
"288803_A","288803_7_Y17SAR3_P009_12T110_2018_04_09-2018_04_19","288803",1.9756787,1,1,0,0,0,0,0,0,0,0,0,0
"288851_A","288851_7_Y14SAR3_P009_12T060_2015_05_14-2015_05_20","288851",2.2397242,1,1,0,0,0,0,0,0,0,0,0,0
"288891_A","288891_7_Y14SAR3_P009_12T060_2015_05_14-2015_05_20","288891",2.2397242,1,1,0,0,0,0,0,0,0,0,0,0
"288903_A","288903_6_Y14SAR1_P006_12T046_2015_02_16-2015_02_25","288903",2.2604034,1,1,0,0,0,0,0,0,0,0,0,0
"288904_A","288904_6_Y14SAR1_P006_12T046_2015_02_16-2015_02_25","288904",2.2604034,1,1,0,0,0,0,0,0,0,0,0,0
"288923_A","288923_6_Y14SAR1_P002_12T042_2015_02_16-2015_02_25","288923",3.0932822,0,1,0,0,0,0,0,0,0,0,0,0
"288923_B","288923_6_Y14SAR1_P006_12T046_2015_02_16-2015_02_25","288923",2.2604034,1,1,0,0,0,0,0,0,0,0,0,0
