CATID,RA_OBJ,DEC_OBJ,z_spec,Mstar,ellip,PA,r_e,SURV_SAMI,BAD_CLASS
"9239900645",329.747594679333,-7.44552606724173,0.060609546,10.340309,0.22818242,213.7494,20.667688,2,0
"9388000716",336.5015259,-31.0745964,0.056391694,10.465079,0.35788321,146.77863,5.239196,2,0
"9388000785",336.5074463,-31.1153526,0.0565494,10.276214,0.59862936,18.796925,2.8970492,2,0
"9388000918",337.8140564,-30.6976013,0.055059507,10.942221,0.70258904,5.9292946,6.7812786,2,0
"9008500117",10.3660976620714,-9.39154819079998,0.04931452,9.746698,0.56000644,126.863075,3.0625331,3,0
"9008500318",10.1843372268945,-9.3730847630718,0.057243615,10.096706,0.76903427,114.796005,3.1008294,8,0
"9008500365",10.6860259075949,-9.51742773441894,0.056873072,10.606868,0.055493686,112.229324,3.3291323,7,0
"9008500673",10.7983557051314,-9.63779051440229,0.054276843,10.771184,0.1968361,203.9471,6.909457,8,0
"9008501131",10.0559396924802,-8.70262004960249,0.05795676,10.48102,0.30404434,101.02964,4.4319544,2,0
"9044200009",6.3864555,-33.0671577,0.04991061,10.145222,0.39034912,88.083145,0.6670079,7,0
"9044200107",6.3731952,-33.2027855,0.04899146,10.088639,0.4102229,110.71086,2.1158633,7,0
"9044200126",6.3034368,-33.2113228,0.050958257,10.021459,0.16802613,181.62914,2.5222695,7,0
"9044200146",6.5449576,-32.8887138,0.05574058,9.633755,0.4258937,146.73647,2.0258422,3,0
"9044200188",6.5992751,-33.2288246,0.05458131,9.6770735,0.34038833,11.764209,1.6555395,3,0
"9044200217",6.6899505,-32.9042931,0.048222974,10.759009,0.74900526,122.0202,2.702035,7,0
"9044200321",6.2621322,-33.4413109,0.0507316,10.055289,0.76766366,98.61798,4.002949,2,0
"9044200446",5.9921136,-33.4319801,0.051273156,10.082475,1.006626E-4,7.2073174,5.8342705,2,0
"9403800011",356.9297791,-28.1731606,0.023000209,9.746254,,,,7,1
"9403800022",356.8756409,-28.1364231,0.03260272,9.76678,0.16824321,116.94735,3.5915608,7,0
"9403800473",357.0059814,-28.5640659,0.028627554,9.914436,0.42987776,123.22814,3.0717049,7,0
"9403800690",357.2105103,-28.6500263,0.03525198,10.094295,0.57393247,97.79227,8.393983,8,0
"9403801088",357.7652588,-28.3500099,0.027636997,10.251946,0.5453978,43.6194,7.6154556,2,0
"9403801230",357.8621521,-28.0521278,0.032254755,9.913155,0.6493429,175.31837,4.390614,2,0
"9403801322",357.9059448,-28.0518551,0.033085115,9.742726,0.10976395,120.57921,4.223217,2,0
"9403802461",357.9290771,-29.0963421,0.02736817,10.03361,0.29617488,51.84283,3.85649,2,0
"9011902547",13.9365224623929,-0.0715137546241867,0.043400012,10.214601,0.7349677,215.10173,6.4406424,2,0
"9016800054",18.7133567415928,0.550887937871692,0.04800412,10.068065,0.27829847,248.58891,3.789192,7,0
"9016800131",18.7473013539712,0.618418230859399,0.04255177,9.777576,0.35278237,277.9697,1.7171582,8,0
"9016800160",18.7030040748999,0.229974171692385,0.04624915,10.505381,0.16509408,172.04921,3.1671152,7,0
"9016800219",18.5216608570077,0.542556045569405,0.04479185,9.561369,0.7806346,264.4199,3.5334754,7,0
"9239900028",329.330028359176,-7.77886446628584,0.055124823,9.560778,0.1312781,215.39833,5.70583,3,0
"9239900063",329.461038151689,-7.87050145954206,0.05906536,10.191113,0.50606704,263.57782,4.2782683,8,0
"9239900100",329.255645521543,-7.78146510968755,0.060243297,10.733721,0.4708726,154.64493,2.5596468,7,0
"9239900256",329.155395169942,-7.67864596002464,0.05535849,11.023584,0.07718783,143.10909,5.8124986,8,0
"9011900020",14.0873790388321,-1.22585799047703,0.036599126,9.501628,0.63658094,205.79399,4.1025453,7,0
"9011900030",14.0951743265695,-1.20975048810049,0.049786303,11.178338,0.45158967,116.5305,7.165518,8,0
"9011900057",13.9819692061225,-1.24719596288707,0.04069311,11.12023,0.5697016,272.05716,4.2612762,7,0
"9011900325",14.0682426392983,-1.54318190948234,0.043897033,10.437087,0.0091611035,246.89272,6.6189256,7,0
"9011900438",14.1976021221588,-0.920046310579038,0.0417958,10.157401,0.096858196,161.28503,3.4111428,7,0
"9011900440",13.9090708774163,-1.57951418112378,0.049453758,10.830612,0.43423483,94.45709,7.6454816,7,0
"9011900482",14.0693663375393,-0.869355704110649,0.048034135,9.1928215,0.36956805,150.33098,2.093529,3,0
"9011900519",13.6749968890035,-1.12353693988448,0.05325542,10.31398,1.0186874E-4,206.76698,4.8236465,8,0
"9011900973",14.6978725017308,-1.09713578109164,0.046571698,10.343983,0.48353532,234.32515,3.7341106,2,0
"9011901282",14.5424482910253,-0.62608054694878,0.044522155,10.225017,0.265075,190.76666,1.1238497,2,0
"9011901666",14.4094982431994,-0.410373504704518,0.041687593,9.756217,0.43448755,241.16481,3.2531536,2,0
"9011900161",13.9721654079719,-1.11654056010526,0.045454387,9.722659,0.018462926,107.62499,2.7781358,7,0
"9011900183",14.1164503173078,-1.43529571004066,0.04506117,10.43958,0.1675161,94.37562,2.6013644,7,0
"9011900233",13.8553290674142,-1.30889329670232,0.041511957,10.868855,0.08512597,258.56387,13.303133,7,0
"9011900383",14.2944826479846,-1.01877639199162,0.041224428,10.668077,0.4634406,240.11066,6.15242,7,0
"9011900503",14.168148804697,-0.866048782284128,0.04613459,9.13028,0.27159643,125.26888,2.7050037,3,0
