CATID,RA_OBJ,DEC_OBJ,RA_IFU,DEC_IFU,r_petro,z_spec,z_tonry,M_r,r_e,ellip,PA,Mstar,g_i,SURV_SAMI,BAD_CLASS
"16392",218.52847409,0.63309901,218.52847409,0.63309901,17.054,0.02922,0.03002,-17.73,1.0,0.2934,23.940002,9.22,1.13,8,0
"220375",181.23912743,1.63521858,181.23912743,1.63521858,16.981,0.02043,0.02211,-17.91,5.38,0.4995,82.369995,9.19,0.99,8,0
"381225",131.78764337,1.8534322,131.78764337,1.8534322,16.173,0.05036,0.05139,-20.65,5.15,0.5374,11.679993,10.13,0.86,8,0
"574193",134.4343734,-0.04480745,134.4343734,-0.04480745,18.334,0.04369,0.04475,-18.14,5.22,0.1848,49.22,8.73,0.35,3,0
"585659",183.87770471,-0.04940701,183.87770471,-0.04940701,16.787,0.02484,0.02613,-18.58,5.87,0.5375,6.919998,9.23,0.71,8,0
"220300",180.96735124,1.63603021,180.96735124,1.63603021,17.998,0.03359,0.03482,-17.91,4.85,0.7248,72.14,8.87,0.64,3,0
"544363",215.21927436,-1.00097502,215.21927436,-1.00097502,18.054,0.05483,0.05571,-19.0,2.27,0.7634,42.100006,9.7,1.15,3,0
"583637",175.82494029,-0.18160958,175.82494029,-0.18160958,16.605,0.05643,0.05771,-20.49,3.28,0.054,141.84,10.01,0.78,8,0
"319151",213.62543908,1.91536837,213.62543908,1.91536837,16.124,0.05281,0.0537,-20.89,4.15,0.2394,6.0400085,9.92,0.47,3,0
"504551",216.09886689,-1.99182098,216.09886689,-1.99182098,18.72,0.04338,0.04424,-18.47,2.1,0.4948,37.630005,9.46,1.0,8,1
"9112",184.95087573,0.73306455,184.95087573,0.73306455,16.969,0.04168,0.04289,-19.56,4.57,0.5636,111.37,9.48,0.57,8,0
"210256",137.29947804,0.00799842,137.29947804,0.00799842,16.812,0.07555,0.07668,-21.02,4.36,0.7358,124.5,10.65,1.38,3,0
"371789",132.80361802,1.06189984,132.80361802,1.06189984,15.778,0.02669,0.02763,-19.66,3.45,0.3918,15.020004,9.91,1.04,8,0
"65359",222.8148519,-0.37214961,222.8148519,-0.37214961,16.648,0.04343,0.04417,-19.85,4.89,0.6699,155.47,9.63,0.61,8,0
"272486",179.56018365,1.35555324,179.56018365,1.35555324,16.239,0.07829,0.07958,-21.59,5.9,0.5828,94.15001,10.63,1.05,3,0
"272705",180.63046509,1.35716233,180.63046509,1.35716233,17.033,0.09106,0.09236,-21.16,1.98,0.5149,79.69,10.45,1.06,3,0
"485828",217.53054212,-1.83847815,217.53054212,-1.83847815,17.084,0.05557,0.05641,-19.95,3.01,0.5118,27.339996,9.63,0.58,3,0
