CUBEIDPUB,CUBEID,CATID,PA_STELKIN,PA_STELKIN_ERR,SIGMA_RE,SIGMA_RE_ERR,LAMBDAR_RE,LAMBDAR_RE_ERR,VSIGMA_RE,VSIGMA_RE_ERR,MEAN_K51_RE,APER_CORR_FLAG
"508481_A","508481_blue_red_8_Y13SAR1_P007_15T010_2013_03_05-2013_03_17","508481",265.0,3.5,63.878838,3.3200772,0.39868024,0.033803575,0.5147215,0.046368916,0.05653001,0.0
"508568_A","508568_blue_red_7_Y14SAR2_P009_15T070_2017_04_19-2017_05_01","508568",125.0,1.6666666,132.5104,1.778437,0.39954472,0.012094829,0.4624602,0.014348421,0.014467517,0.0
"508593_A","508593_blue_red_7_Y15SAR4_P004_15T112_2016_03_03-2016_03_13","508593",348.5,3.4166667,135.46034,1.8523445,0.17650701,0.011211571,0.18962719,0.010814451,0.12564845,0.0
"508632_A","508632_blue_red_7_Y14SAR2_P009_15T070_2017_04_19-2017_05_01","508632",92.0,2.6666667,80.5314,1.0743321,0.21477993,0.0093511455,0.21222621,0.008594752,0.05852213,0.0
"508680_A","508680_blue_red_7_Y15SAR4_P004_15T112_2016_03_03-2016_03_13","508680",263.5,6.4166665,50.84069,5.0453196,,,,,,
"508682_A","508682_blue_red_8_Y13SAR1_P007_15T010_2013_03_05-2013_03_17","508682",287.0,29.916666,35.094738,7.9291787,,,,,,
"508751_A","508751_blue_red_7_Y15SAR4_P004_15T112_2016_03_03-2016_03_13","508751",244.5,13.25,109.63758,1.7946584,,,,,,
"508906_A","508906_blue_red_6_Y17SAR3_P005_15T128_2018_04_09-2018_04_19","508906",336.5,29.916666,,,,,,,,
"508908_A","508908_blue_red_7_Y14SAR4_P007_15T093_2016_04_04-2016_04_12","508908",252.5,0.6666667,161.82178,2.8623242,0.658154,0.010911143,1.012824,0.026949158,0.031243365,0.0
"508938_A","508938_blue_red_7_Y14SAR4_P007_15T093_2016_04_04-2016_04_12","508938",294.5,1.3333334,86.077866,3.1472254,0.52652335,0.026463829,0.7717372,0.044640955,0.07532595,0.0
"509012_A","509012_blue_red_7_Y14SAR4_P007_15T093_2016_04_04-2016_04_12","509012",75.0,8.916667,,,0.6765531,0.02578959,1.0699712,0.058274616,0.040588446,1.0
"509075_A","509075_blue_red_7_Y14SAR4_P007_15T093_2016_04_04-2016_04_12","509075",137.5,2.75,131.77693,1.4296043,0.24232127,0.008809334,0.2533271,0.008136318,0.060311783,0.0
"509080_A","509080_blue_red_7_Y14SAR4_P007_15T093_2016_04_04-2016_04_12","509080",2.0,2.4166648,107.14503,2.181797,,,,,,
"509397_A","509397_blue_red_7_Y14SAR4_P003_15T089_2014_05_23-2014_06_01","509397",33.0,4.5,66.28883,2.7513843,0.31211194,0.02908474,0.36840558,0.028783854,,1.0
"509444_A","509444_blue_red_7_Y14SAR4_P003_15T089_2014_05_23-2014_06_01","509444",51.0,29.83333,60.381535,9.442639,,,,,,
"509516_A","509516_blue_red_7_Y14SAR4_P003_15T089_2014_05_23-2014_06_01","509516",285.5,29.83333,47.924496,2.6496758,0.12835826,0.04099843,0.15808336,0.043394346,0.5035936,0.0
"509557_A","509557_blue_red_11_Y14SAR3_P001_15T076_2014_04_24-2014_05_04","509557",25.5,29.916666,64.41409,7.1622934,,,,,,
"509576_A","509576_blue_red_11_Y14SAR3_P001_15T076_2014_04_24-2014_05_04","509576",,,,,,,,,,
"509670_A","509670_blue_red_11_Y14SAR3_P001_15T076_2014_04_24-2014_05_04","509670",72.0,29.916666,,,,,,,,
"509726_A","509726_blue_red_12_Y14SAR4_P010_15T096_2016_04_04-2016_04_12","509726",,,,,,,,,,
"509726_B","509726_blue_red_7_Y14SAR4_P010_15T096_2017_04_19-2017_05_01","509726",,,,,,,,,,
"509727_A","509727_blue_red_11_Y14SAR3_P001_15T076_2014_04_24-2014_05_04","509727",219.0,29.916666,48.70209,9.727944,,,,,,
"509852_A","509852_blue_red_12_Y14SAR4_P010_15T096_2016_04_04-2016_04_12","509852",223.5,4.0833335,,,0.38678703,0.025630249,0.45464483,0.027122278,,1.0
"509852_B","509852_blue_red_7_Y14SAR4_P010_15T096_2017_04_19-2017_05_01","509852",,,,,,,,,,
"509892_A","509892_blue_red_12_Y14SAR4_P010_15T096_2016_04_04-2016_04_12","509892",324.5,10.0,,,,,,,,
"509892_B","509892_blue_red_7_Y14SAR4_P010_15T096_2017_04_19-2017_05_01","509892",,,,,,,,,,
