CUBEIDPUB,CUBEID,CATID,PA_GASKIN,PA_GASKIN_ERR
"219992_A","219992_blue_red_7_Y17SAR3_P009_12T110_2018_04_09-2018_04_19","219992",144.0,0.16666667
"220112_A","220112_blue_red_7_Y14SAR3_P009_12T060_2015_05_14-2015_05_20","220112",114.0,0.16666667
"220126_A","220126_blue_red_7_Y14SAR3_P009_12T060_2015_05_14-2015_05_20","220126",277.0,1.1666666
"220170_A","220170_blue_red_6_Y14SAR1_P002_12T042_2015_02_16-2015_02_25","220170",13.5,0.41666666
"220217_A","220217_blue_red_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16","220217",58.0,0.16666667
"220218_A","220218_blue_red_7_Y14SAR3_P009_12T060_2015_05_14-2015_05_20","220218",270.5,0.33333334
"220227_A","220227_blue_red_6_Y14SAR1_P006_12T046_2015_02_16-2015_02_25","220227",222.0,0.25
"220275_A","220275_blue_red_6_Y14SAR1_P006_12T046_2015_02_16-2015_02_25","220275",226.5,0.16666667
"220319_A","220319_blue_red_6_Y14SAR1_P002_12T042_2015_02_16-2015_02_25","220319",358.0,3.2499993
"220320_A","220320_blue_red_7_Y13SAR1_P014_12T001_2013_04_12-2013_04_16","220320",155.5,0.16666667
"220326_A","220326_blue_red_7_Y14SAR1_P001_12T041_2015_02_16-2015_02_25","220326",270.5,0.33333334
"220328_A","220328_blue_red_11_Y14SAR3_P007_12T058_2017_03_24-2017_04_02","220328",85.0,0.16666667
"220330_A","220330_blue_red_6_Y14SAR1_P002_12T042_2015_02_16-2015_02_25","220330",99.5,0.9166667
"220332_A","220332_blue_red_11_Y14SAR1_P003_12T043_2015_02_16-2015_02_25","220332",276.0,0.16666667
"220355_A","220355_blue_red_11_Y14SAR1_P003_12T043_2015_02_16-2015_02_25","220355",116.0,0.25
"220371_A","220371_blue_red_7_Y13SAR1_P014_12T001_2013_04_12-2013_04_16","220371",66.0,0.16666667
"220372_A","220372_blue_red_11_Y14SAR3_P007_12T058_2017_03_24-2017_04_02","220372",354.5,2.6666653
"220374_A","220374_blue_red_6_Y14SAR1_P006_12T046_2015_02_16-2015_02_25","220374",126.5,0.5833333
"220375_A","220375_blue_red_6_Y14SAR1_P002_12T042_2015_02_16-2015_02_25","220375",130.5,9.916667
"220383_A","220383_blue_red_7_Y13SAR1_P014_12T001_2013_04_12-2013_04_16","220383",95.0,0.16666667
"220394_A","220394_blue_red_7_Y14SAR1_P001_12T041_2015_02_16-2015_02_25","220394",298.0,0.16666667
"220396_A","220396_blue_red_11_Y14SAR3_P007_12T058_2017_03_24-2017_04_02","220396",146.0,0.16666667
"220437_A","220437_blue_red_11_Y14SAR3_P007_12T058_2017_03_24-2017_04_02","220437",124.0,1.1666666
"220439_A","220439_blue_red_11_Y14SAR1_P003_12T043_2015_02_16-2015_02_25","220439",198.5,0.16666667
"220450_A","220450_blue_red_11_Y14SAR1_P003_12T043_2015_02_16-2015_02_25","220450",233.5,3.4166667
"220465_A","220465_blue_red_11_Y14SAR3_P007_12T058_2017_03_24-2017_04_02","220465",108.5,2.0833333
"220499_A","220499_blue_red_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20","220499",344.5,0.25
"220502_A","220502_blue_red_11_Y14SAR3_P007_12T058_2017_03_24-2017_04_02","220502",298.0,0.16666667
"220515_A","220515_blue_red_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20","220515",347.5,0.6666667
"220578_A","220578_blue_red_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20","220578",112.0,0.16666667
"220687_A","220687_blue_red_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22","220687",122.5,0.16666667
"220750_A","220750_blue_red_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22","220750",131.5,1.0833334
"220751_A","220751_blue_red_7_Y15SAR3_P006_12T097_2017_04_19-2017_05_01","220751",244.0,1.5833334
"220951_A","220951_blue_red_7_Y18SAR3_P001_12T125_2018_04_09-2018_04_19","220951",340.5,0.25
"221014_A","221014_blue_red_7_Y18SAR3_P001_12T125_2018_04_09-2018_04_19","221014",141.5,0.16666667
"221050_A","221050_blue_red_7_Y18SAR3_P001_12T125_2018_04_09-2018_04_19","221050",175.5,0.16666667
"221052_A","221052_blue_red_7_Y18SAR3_P001_12T125_2018_04_09-2018_04_19","221052",178.0,0.33333334
"221194_A","221194_blue_red_7_Y15SAR3_P003_12T087_2016_02_08-2016_02_14","221194",168.0,0.16666667
"221369_A","221369_blue_red_7_Y15SAR3_P003_12T087_2016_02_08-2016_02_14","221369",131.0,0.16666667
"221375_A","221375_blue_red_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26","221375",216.5,0.16666667
"221432_A","221432_blue_red_7_Y15SAR3_P003_12T087_2016_02_08-2016_02_14","221432",13.0,0.41666666
"227036_A","227036_blue_red_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12","227036",202.0,0.16666667
"227079_A","227079_blue_red_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12","227079",229.0,0.16666667
"227123_A","227123_blue_red_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12","227123",320.0,0.16666667
"227134_A","227134_blue_red_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12","227134",312.5,0.5833333
