CATID,SRC,RA_OBJ,DEC_OBJ,z_spec,Mstar,r_e,ellip,PA_phot,PA_GASKIN,PA_GASKIN_ERR,PA_STELKIN,PA_STELKIN_ERR,LAMBDAR_RE,VSIGMA_RE,SIGMA_RE,WARNMULT,WARNFILL,WARNZ,IN_KIDS1000
214182,GAMA,129.00224228,0.6229864,0.01281,9.53,15.97,0.747,87.47,276.5,0.16666667,271.5,2.0,0.6035865,0.7279484,nan,0,0,0,1
375376,GAMA,129.00321127,0.88362184,0.10668,11.61,3.55,0.2384,56.51999,212.0,0.41666666,213.0,7.6666665,0.20427428,0.25035802,57.04633,0,0,0,1
214184,GAMA,129.00640444,0.43807939,0.03322,10.56,9.58,0.63,92.75,274.0,0.16666667,268.5,1.0,0.5787006,0.7585992,nan,0,0,0,1
375402,GAMA,129.02663248,1.30639398,0.01287,8.43,6.13,0.7242,2.4199982,165.0,0.33333334,131.0,23.416664,nan,nan,48.548225,0,0,0,1
548739,GAMA,129.03177728,-0.48939802,0.05733,10.15,8.22,0.8017,24.470001,30.0,0.16666667,34.0,5.5833335,0.51583964,0.6629893,nan,0,0,0,1
3894635,GAMA,129.07610413,-0.84274256,0.04328,10.15,nan,nan,nan,149.5,0.16666667,148.5,2.0,nan,nan,nan,0,0,0,1
202309,GAMA,129.07747465,-0.34962058,0.05731,9.41,2.0,0.5438,122.67,306.5,0.33333334,302.0,8.666667,0.282962,0.35853943,82.969604,0,0,0,1
573586,GAMA,129.1255729,-0.08624264,0.05197,10.03,3.86,0.2369,159.32,165.0,0.16666667,170.5,2.4166667,0.44025138,0.51903534,68.40798,0,0,0,1
300350,GAMA,129.16480418,1.13610286,0.01371,8.32,4.99,0.223,76.20001,187.5,0.16666667,nan,nan,nan,nan,nan,0,0,0,1
380578,GAMA,129.247198,1.79203711,0.0131,10.15,14.48,0.0878,148.5,58.5,0.16666667,267.5,9.0,0.17795701,0.18832153,nan,0,0,0,1
