#id ra dec a b theta mag ?
#1 104.65872211191241 -55.95715728753242 0.01 0.01 0.0 15.77 0.1
2 104.67774731372653 -55.976549587879624 0.01 0.01 0.0 15.84 0.1
#3 104.64678521053877 -55.949054587314244 0.01 0.01 0.0 16.05 0.1
#4 104.56641479844741 -55.94336248583845 0.01 0.01 0.0 16.25 0.1
#5 104.63750070945272 -55.943066587144365 0.01 0.01 0.0 16.81 0.1
6 104.64222901045969 -55.938334987230895 0.01 0.01 0.0 16.85 0.1
7 104.62955480686466 -55.96632888699884 0.01 0.01 0.0 16.88 0.1
8 104.6560876111399 -55.963416187484285 0.01 0.01 0.0 17.14 0.1
#9 104.63293800871853 -55.943560387060806 0.01 0.01 0.0 17.30 0.1
#10 104.65612851188448 -55.95075418748503 0.01 0.01 0.0 17.34 0.1
11 104.55804109715436 -55.94334298568401 0.01 0.01 0.0 17.39 0.1
12 104.65018321103736 -55.94951468737637 0.01 0.01 0.0 17.46 0.1
13 104.57482799975729 -55.9432001859935 0.01 0.01 0.0 17.52 0.1
14 104.57024359909671 -55.942383385909025 0.01 0.01 0.0 17.63 0.1
15 104.65344671221568 -55.937955387436034 0.01 0.01 0.0 17.64 0.1
16 104.63543340970695 -55.93323578710651 0.01 0.01 0.0 17.66 0.1
17 104.65133241091222 -55.95470798739737 0.01 0.01 0.0 17.72 0.1
18 104.58962310146066 -55.95314518626582 0.01 0.01 0.0 17.75 0.1
19 104.6510076106247 -55.95877588739144 0.01 0.01 0.0 17.82 0.1
20 104.54598889442798 -55.95800068546151 0.01 0.01 0.0 17.84 0.1
21 104.68953081556099 -55.97637258809434 0.01 0.01 0.0 17.86 0.1
22 104.65492631194813 -55.94647238746307 0.01 0.01 0.0 17.88 0.1
23 104.65817211188012 -55.956251387522364 0.01 0.01 0.0 17.89 0.1
24 104.62005890649735 -55.94749768682479 0.01 0.01 0.0 17.92 0.1
25 104.67270441429069 -55.95345558778766 0.01 0.01 0.0 18.00 0.1
26 104.63081510696797 -55.96789688702193 0.01 0.01 0.0 18.01 0.1
27 104.65912821293821 -55.94062838753984 0.01 0.01 0.0 18.06 0.1
28 104.6614776117097 -55.967946987582756 0.01 0.01 0.0 18.06 0.1
29 104.60468850412337 -55.9474578865427 0.01 0.01 0.0 18.07 0.1
30 104.68228021588912 -55.95143678796225 0.01 0.01 0.0 18.12 0.1
31 104.66392291262444 -55.95874368762739 0.01 0.01 0.0 18.15 0.1
32 104.58727450066188 -55.96056588622261 0.01 0.01 0.0 18.15 0.1
33 104.57310889970822 -55.93951188596182 0.01 0.01 0.0 18.16 0.1
34 104.65417511209586 -55.941944487449334 0.01 0.01 0.0 18.18 0.1
35 104.67718771436714 -55.964058987869414 0.01 0.01 0.0 18.23 0.1
36 104.57258099975486 -55.937328685952096 0.01 0.01 0.0 18.25 0.1
37 104.62328510600642 -55.96441868688394 0.01 0.01 0.0 18.26 0.1
38 104.65842531155172 -55.962556287526986 0.01 0.01 0.0 18.30 0.1
39 104.5615368984397 -55.9306703857485 0.01 0.01 0.0 18.38 0.1
40 104.63088050894368 -55.934258387023114 0.01 0.01 0.0 18.38 0.1
41 104.56193859718478 -55.95306598575591 0.01 0.01 0.0 18.40 0.1
42 104.64752951028579 -55.95536378732784 0.01 0.01 0.0 18.41 0.1
43 104.53687919425288 -55.937082585293155 0.01 0.01 0.0 18.41 0.1
44 104.61673070529051 -55.959327186763744 0.01 0.01 0.0 18.43 0.1
45 104.67269321450746 -55.94970038778745 0.01 0.01 0.0 18.49 0.1
46 104.54208189394801 -55.95589488538932 0.01 0.01 0.0 18.54 0.1
47 104.62354420778924 -55.93461328688869 0.01 0.01 0.0 18.61 0.1
48 104.6077649045639 -55.948057086599206 0.01 0.01 0.0 18.67 0.1
49 104.55015629605333 -55.94134568553848 0.01 0.01 0.0 18.71 0.1
50 104.62825580697454 -55.96101418697504 0.01 0.01 0.0 18.71 0.1
51 104.5923232023969 -55.94430048631547 0.01 0.01 0.0 18.74 0.1
52 104.64789201059116 -55.95109038733448 0.01 0.01 0.0 18.75 0.1
53 104.62380960654066 -55.95667378689355 0.01 0.01 0.0 18.75 0.1
54 104.60120040395141 -55.94118858647863 0.01 0.01 0.0 18.79 0.1
55 104.56017009810924 -55.93270008572329 0.01 0.01 0.0 18.83 0.1
56 104.58822720166584 -55.94596988624014 0.01 0.01 0.0 18.83 0.1
57 104.6538909117934 -55.94638048744414 0.01 0.01 0.0 18.83 0.1
58 104.55866719731563 -55.94224648569556 0.01 0.01 0.0 18.84 0.1
59 104.66493881407199 -55.93658108764593 0.01 0.01 0.0 18.87 0.1
60 104.68693771577732 -55.965752088047104 0.01 0.01 0.0 18.87 0.1
61 104.67059401415584 -55.950164387749155 0.01 0.01 0.0 18.87 0.1
62 104.55085819555084 -55.95172108555144 0.01 0.01 0.0 18.88 0.1
63 104.56544319887846 -55.93347378582054 0.01 0.01 0.0 18.88 0.1
64 104.6528166120162 -55.93970748742449 0.01 0.01 0.0 18.91 0.1
65 104.58406560124976 -55.94209768616357 0.01 0.01 0.0 18.92 0.1
66 104.58200620109203 -55.939361786125666 0.01 0.01 0.0 18.92 0.1
67 104.60331380274374 -55.967370086517455 0.01 0.01 0.0 18.94 0.1
68 104.5374598941946 -55.93959368530389 0.01 0.01 0.0 18.94 0.1
69 104.58487210126476 -55.94396638617841 0.01 0.01 0.0 18.97 0.1
70 104.61594360693383 -55.9291546867493 0.01 0.01 0.0 18.99 0.1
71 104.58409460185116 -55.9319220861641 0.01 0.01 0.0 19.02 0.1
72 104.57936920118004 -55.93091778607712 0.01 0.01 0.0 19.02 0.1
73 104.56675089844259 -55.94432798584465 0.01 0.01 0.0 19.06 0.1
74 104.62995930802661 -55.94752228700626 0.01 0.01 0.0 19.12 0.1
75 104.59417630256145 -55.94637938634954 0.01 0.01 0.0 19.17 0.1
76 104.5517127961827 -55.94323468556721 0.01 0.01 0.0 19.19 0.1
77 104.62247380776319 -55.93222808686906 0.01 0.01 0.0 19.22 0.1
78 104.58216869987035 -55.96059718612865 0.01 0.01 0.0 19.24 0.1
79 104.65440441109274 -55.95976018745352 0.01 0.01 0.0 19.25 0.1
80 104.62374390800302 -55.93148198689236 0.01 0.01 0.0 19.26 0.1
81 104.60701080513668 -55.936281986585364 0.01 0.01 0.0 19.27 0.1
82 104.62752200654786 -55.96636818696159 0.01 0.01 0.0 19.28 0.1
83 104.64071320820611 -55.972918187203156 0.01 0.01 0.0 19.30 0.1
84 104.6883418152888 -55.977887588072676 0.01 0.01 0.0 19.36 0.1
85 104.68474481600994 -55.95591598800716 0.01 0.01 0.0 19.37 0.1
86 104.64913960951125 -55.97290068735728 0.01 0.01 0.0 19.37 0.1
87 104.58255130097052 -55.94286768613569 0.01 0.01 0.0 19.38 0.1
88 104.57394459986918 -55.938970385977214 0.01 0.01 0.0 19.39 0.1
89 104.65161181114664 -55.95142928740248 0.01 0.01 0.0 19.43 0.1
90 104.63955520884176 -55.958971587181956 0.01 0.01 0.0 19.44 0.1
91 104.57407869969283 -55.94232568597969 0.01 0.01 0.0 19.44 0.1
92 104.6720637138423 -55.959455987775975 0.01 0.01 0.0 19.45 0.1
93 104.60674710381168 -55.958211686580526 0.01 0.01 0.0 19.47 0.1
94 104.62596610666529 -55.96024558693308 0.01 0.01 0.0 19.48 0.1
95 104.55212459590273 -55.94907088557483 0.01 0.01 0.0 19.48 0.1
