#REFERENCE 3 104.6587124 -55.9571457
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
 N11.2    -4.574     6.362     7.836     0.647     0.848     5.831     0.044      1.91  -395919.5       0.0    ++
 N11.2    11.041    -4.375    11.876     0.000     0.000     9.482     0.164      2.44  -396065.0    -145.6    ++
 N11.1     9.640    -3.377    10.215     0.712     1.013    10.871     0.279      2.59  -396093.3    -173.9    ++
 N11.1     2.684     3.224     4.195     0.053     0.053     6.098     0.131      1.96  -395873.4      46.1    +-
 N11.1    -5.209     6.943     8.680     0.000     0.000     5.162     0.036      1.78  -396289.6    -370.2    ++
  K6.3    26.786     7.451    27.803     0.903     2.101    14.067     0.415      2.87  -391346.8       0.0    ++
  K6.3    17.184    14.501    22.485     0.869     1.754    11.914     0.561      2.69  -391208.7     138.1    +-
  K6.3    -1.777    25.458    25.520     0.000     0.000     4.678     0.044      1.68  -392666.8   -1320.0    ++
  K6.2    -2.121    25.346    25.435     0.968     3.858     4.584     0.043      1.65  -392863.2   -1516.4    ++
  K6.2    17.745    13.887    22.533     0.954     3.199    13.113     0.620      2.79  -391283.3      63.5    +-
  K6.2    26.266     7.708    27.374     0.000     0.000    23.613     1.155      3.43  -391363.2     -16.4    ++
  K6.1    26.668     6.231    27.386     0.904     2.115    10.534     0.225      2.56  -391438.3     -91.5    ++
  K6.1    -2.271    24.802    24.905     0.853     1.636     4.604     0.042      1.66  -392828.4   -1481.6    ++
  K6.1    17.123    13.743    21.956     0.000     0.000    11.225     0.486      2.63  -391313.8      33.0    +-
 N10.3     3.406     6.403     7.253     0.044     0.044     4.265     0.085      1.57  -392610.8       0.0    +-
 N10.3    -5.165    10.425    11.634     0.016     0.016     6.672     0.069      2.06  -392895.0    -284.2    ++
 N10.3    25.326    -9.540    27.063     0.000     0.000     4.918     0.073      1.73  -395129.2   -2518.4    ++
 N10.2    25.840    -9.500    27.532     0.097     0.097     4.838     0.073      1.71  -395098.3   -2487.4    ++
 N10.2     3.222     6.867     7.585     0.070     0.070     4.753     0.097      1.69  -392380.0     230.8    +-
 N10.2    -4.542    10.461    11.404     0.000     0.000     7.212     0.079      2.15  -392588.4      22.5    ++
 N10.1    25.902    -9.141    27.468     0.152     0.153     4.867     0.072      1.72  -394969.4   -2358.5    ++
 N10.1    -4.476    10.875    11.760     0.079     0.079     7.058     0.077      2.12  -392556.9      53.9    ++
 N10.1     3.516     7.044     7.873     0.000     0.000     4.868     0.099      1.72  -392336.6     274.2    +-
K12b.3   177.694    46.447   183.664     0.820     1.434    12.907     1.168      2.78  -505238.0       0.0    +-
K12b.3   179.950    40.066   184.356     0.773     1.217    11.764     0.974      2.68  -505267.8     -29.8    ++
K12b.3   178.757    66.431   190.702     0.000     0.000     4.134     0.215      1.54  -506722.5   -1484.5    ++
K12b.2   179.069    66.675   191.079     0.983     5.283     4.150     0.217      1.55  -507102.0   -1863.9    ++
