semi_major_axis_kpc,kappa_W,kappa_W_err,kappa_E,kappa_E_err,kappa_E_xraysub,kappa_E_xraysub_err,mu_W_magarcsec2,mu_W_err,mu_E_magarcsec2,mu_E_err,sig_kappa,sig_kappa_xraysub,sig_mu
0.184,1.24948,0.05854,1.25036,0.05861,1.24945,0.05861,17.1077,0.0026,17.0570,0.0085,-0.0003,0.1505,0.1264
0.299,1.24945,0.05854,1.25041,0.05860,1.24950,0.05860,17.1147,0.0051,17.0723,0.0103,0.0007,0.1514,0.0266
0.366,1.24947,0.05850,1.25032,0.05865,1.24941,0.05865,17.1344,0.0084,17.1031,0.0170,-0.0006,0.1502,-0.0424
0.440,1.24950,0.05847,1.25033,0.05869,1.24942,0.05869,17.1608,0.0102,17.1797,0.0204,-0.0008,0.1499,-0.2575
0.524,1.24952,0.05844,1.25046,0.05862,1.24955,0.05862,17.2277,0.0254,17.1382,0.0298,0.0005,0.1513,0.1259
0.612,1.24947,0.05846,1.25029,0.05871,1.24938,0.05871,17.1852,0.0195,17.2429,0.0353,-0.0009,0.1497,-0.2444
0.773,1.24952,0.05838,1.25040,0.05872,1.24948,0.05872,17.3629,0.0320,17.2476,0.0346,-0.0002,0.1505,0.1584
0.906,1.24947,0.05840,1.25032,0.05880,1.24940,0.05880,17.3577,0.0309,17.4867,0.0463,-0.0006,0.1499,-0.5217
1.115,1.24952,0.05834,1.25034,0.05881,1.24941,0.05881,17.5133,0.0369,17.4980,0.0434,-0.0010,0.1495,2.0251
1.362,1.24950,0.05830,1.25034,0.05888,1.24942,0.05888,17.6896,0.0425,17.6879,0.0466,-0.0006,0.1498,1.6138
1.633,1.24957,0.05824,1.25029,0.05896,1.24937,0.05896,17.8185,0.0415,17.8587,0.0485,-0.0020,0.1483,0.9375
1.959,1.24960,0.05818,1.25030,0.05906,1.24936,0.05906,18.0849,0.0453,18.1218,0.0515,-0.0022,0.1479,0.9199
2.384,1.24955,0.05814,1.25034,0.05914,1.24940,0.05914,18.2627,0.0421,18.2877,0.0460,-0.0011,0.1489,1.2024
2.885,1.24962,0.05805,1.25029,0.05932,1.24934,0.05932,18.5299,0.0399,18.5696,0.0436,-0.0023,0.1473,1.0200
3.493,1.24967,0.05794,1.25025,0.05948,1.24930,0.05948,18.8170,0.0375,18.7973,0.0380,0.0016,0.1460,2.2412
4.205,1.24921,0.05782,1.25024,0.05973,1.24928,0.05973,19.0590,0.0320,19.0656,0.0334,0.0071,0.1512,2.0193
5.096,1.24861,0.05768,1.25022,0.05999,1.24883,0.05999,19.2852,0.0250,19.2584,0.0263,0.0114,0.1527,3.4928
6.167,1.24815,0.05753,1.24939,0.06035,1.24814,0.06035,19.5086,0.0201,19.4813,0.0202,0.0180,0.1496,4.4641
7.446,1.24651,0.05739,1.24877,0.06067,1.24768,0.06067,19.7187,0.0154,19.6810,0.0153,0.0346,0.1634,6.3436
9.014,1.24431,0.05729,1.24819,0.06109,1.24583,0.06109,19.9280,0.0120,19.8732,0.0118,0.0543,0.1669,9.1821
10.905,1.24138,0.05726,1.24538,0.06169,1.24296,0.06169,20.1426,0.0099,20.0824,0.0095,0.0552,0.1664,11.6575
13.187,1.23702,0.05736,1.24209,0.06244,1.23970,0.06244,20.3941,0.0089,20.2711,0.0079,0.0566,0.1778,18.6837
15.954,1.23028,0.05770,1.23693,0.06330,1.23542,0.06330,20.6326,0.0083,20.4982,0.0072,0.0518,0.2043,21.3619
19.300,1.21984,0.05854,1.22958,0.06404,1.22746,0.06404,20.9124,0.0085,20.7280,0.0069,0.0853,0.2293,25.9124
23.345,1.20598,0.06194,1.21728,0.06539,1.21483,0.06539,21.2510,0.0097,20.9610,0.0073,0.1167,0.2332,32.0870
28.237,1.18666,0.06592,1.20132,0.06682,1.19766,0.06682,21.3320,0.0095,21.0995,0.0076,0.1553,0.2448,27.2881
34.149,1.16046,0.06759,1.17992,0.06819,1.17448,0.06819,21.3982,0.0096,21.1988,0.0081,0.2314,0.2684,23.9181
41.304,1.12281,0.06208,1.15121,0.06836,1.14493,0.06836,21.9379,0.0148,21.3409,0.0095,0.3384,0.3635,39.5462
49.959,1.07081,0.05434,1.11332,0.06542,1.10745,0.06542,22.2822,0.0195,21.7546,0.0129,0.5413,0.5610,26.8517
60.425,1.00373,0.04884,1.06319,0.05855,1.05568,0.05855,22.5048,0.0236,22.3021,0.0209,0.8324,0.8199,9.5945
73.087,0.92173,0.04241,0.99455,0.05229,0.98537,0.05229,22.7486,0.0295,22.4614,0.0241,1.1422,1.0916,10.1698
88.397,0.82070,0.03876,0.89959,0.04941,0.89052,0.04941,23.0531,0.0390,22.7916,0.0325,1.3184,1.2536,7.1206
106.919,0.68117,0.03644,0.77399,0.04270,0.76735,0.04270,23.5156,0.0597,23.3850,0.0558,1.7225,1.6719,2.8200
129.319,0.49472,0.03495,0.64472,0.04564,0.56685,0.04564,23.8520,0.0815,23.7491,0.0777,2.6637,1.3534,1.8017
156.415,0.31440,0.03588,0.51946,0.04115,0.44560,0.04115,24.3593,0.1304,23.9520,0.0934,3.7601,2.4848,3.1631
189.185,0.20123,0.03147,0.39615,0.03754,0.29967,0.03754,24.9406,0.2249,24.4246,0.1430,3.9673,2.0708,2.3120
228.823,0.16688,0.02450,0.28591,0.03056,0.19028,0.03056,25.7148,0.4816,24.8705,0.2151,2.9450,0.6459,1.7904
276.764,0.10740,0.01741,0.22088,0.02465,0.13485,0.02465,26.7704,0.8063,25.4823,0.4227,3.7410,0.9542,1.5248
334.750,0.06744,0.01400,0.18055,0.01925,0.15603,0.01925,27.9689,1.5891,26.5043,0.7911,4.6924,3.7867,0.8814
404.160,0.03797,0.00985,0.14423,0.01551,0.14129,0.01551,,,27.5884,1.6305,5.7700,5.7011,
