file_id,sample,cern_record,file_key,size_bytes,adler32,events,source_url
1,data,81431,Y13709.1.al,96230400,6fa73ffe,14957,https://opendata.cern.ch/eos/opendata/delphi/collision-data/Y13709/Y13709.1.al
2,data,81431,Y13709.10.al,83404800,3c77b5ca,12054,https://opendata.cern.ch/eos/opendata/delphi/collision-data/Y13709/Y13709.10.al
3,data,81431,Y13709.100.al,90531840,d28290f0,14046,https://opendata.cern.ch/eos/opendata/delphi/collision-data/Y13709/Y13709.100.al
4,data,81431,Y13709.101.al,96015360,e4d44f21,14496,https://opendata.cern.ch/eos/opendata/delphi/collision-data/Y13709/Y13709.101.al
5,data,81431,Y13709.102.al,90209280,ecec8a57,13713,https://opendata.cern.ch/eos/opendata/delphi/collision-data/Y13709/Y13709.102.al
6,data,81431,Y13709.103.al,82053120,558f281d,12491,https://opendata.cern.ch/eos/opendata/delphi/collision-data/Y13709/Y13709.103.al
7,data,81431,Y13709.104.al,90946560,c301d768,13590,https://opendata.cern.ch/eos/opendata/delphi/collision-data/Y13709/Y13709.104.al
8,data,81431,Y13709.105.al,91161600,0c0009e3,13979,https://opendata.cern.ch/eos/opendata/delphi/collision-data/Y13709/Y13709.105.al
9,data,81431,Y13709.106.al,94709760,e0bbd1cc,14288,https://opendata.cern.ch/eos/opendata/delphi/collision-data/Y13709/Y13709.106.al
10,data,81431,Y13709.107.al,94049280,7c11099b,13121,https://opendata.cern.ch/eos/opendata/delphi/collision-data/Y13709/Y13709.107.al
11,data,81431,Y13709.108.al,96660480,bc5420a1,13685,https://opendata.cern.ch/eos/opendata/delphi/collision-data/Y13709/Y13709.108.al
12,mc_qqps,81437,qqps_91.25_21000.sdst,77399040,77fa830c,3000,https://opendata.cern.ch/eos/opendata/delphi/simulated-data/cern/qqps/v94c/91.25/qqps_91.25_21000.sdst
13,mc_qqps,81437,qqps_91.25_21001.sdst,77337600,a056851a,3000,https://opendata.cern.ch/eos/opendata/delphi/simulated-data/cern/qqps/v94c/91.25/qqps_91.25_21001.sdst
14,mc_qqps,81437,qqps_91.25_21002.sdst,77752320,74306d76,3000,https://opendata.cern.ch/eos/opendata/delphi/simulated-data/cern/qqps/v94c/91.25/qqps_91.25_21002.sdst
15,mc_qqps,81437,qqps_91.25_21003.sdst,77260800,31d83de1,3000,https://opendata.cern.ch/eos/opendata/delphi/simulated-data/cern/qqps/v94c/91.25/qqps_91.25_21003.sdst
