run,evt,date,time,dsttype,ecm,nctrk,nntrk,nvecp,ncvecp,nnvecp,sum_px_ch,sum_py_ch,sum_pz_ch,sum_e_ch,sum_p_ch,mean_p_ch,sum_px_all,sum_py_all,sum_pz_all,sum_e_all,echar,emneu,ehneu,nhpc,ehpc_sum,nemf,eemf_sum,nemclu,eemclu_sum,nphot,ephot_sum,ephot_min,ephot_max,nstic,estic_sum,ihad4,sample,file_id
48371,43,940625,1426,94C2, 9.126800E+01,6,1,7,6,1, 1.296293E+00,-1.630427E-01,-1.854420E-01, 2.154492E+00, 1.866488E+00, 3.110813E-01, 1.386990E+00,-2.194287E-01,-2.165174E-01, 2.265717E+00, 1.535361E+00, 0.000000E+00, 1.112254E-01,1, 0.000000E+00,0, 0.000000E+00,0, 0.000000E+00,NULL,NULL,NULL,NULL,NULL,NULL,0,data,7
48371,44,940625,1426,94C2, 9.126800E+01,0,2,2,0,2, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.358305E-01, 1.500611E-01,-4.588585E-01, 9.145715E+01, 0.000000E+00, 9.145715E+01, 0.000000E+00,NULL,NULL,NULL,NULL,0, 0.000000E+00,NULL,NULL,NULL,NULL,2, 9.145715E+01,0,data,7
48371,49,940625,1437,94C2, 9.126800E+01,1,5,6,1,5, 5.732457E+00,-5.461924E+00, 1.329735E+01, 1.547684E+01, 1.547621E+01, 1.547621E+01,-1.869272E+01,-5.424424E+00, 1.484004E+01, 4.164894E+01, 0.000000E+00, 2.617210E+01, 0.000000E+00,NULL,NULL,NULL,NULL,0, 0.000000E+00,NULL,NULL,NULL,NULL,NULL,NULL,0,data,7
48371,53,940625,1437,94C2, 9.126800E+01,2,5,7,2,5, 1.085046E+00,-4.113751E+00, 3.747812E+00, 2.621705E+01, 2.621550E+01, 1.310775E+01,-2.651150E+00, 1.058938E+01,-6.473401E+00, 6.174632E+01, 2.621705E+01, 3.552927E+01, 0.000000E+00,5, 2.617324E+01,0, 0.000000E+00,0, 0.000000E+00,5, 3.552927E+01, 1.122573E+00, 2.231836E+01,NULL,NULL,0,data,7
48371,54,940625,1437,94C2, 9.126800E+01,0,27,27,0,27, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 2.634686E+01,-8.080772E-01,-4.609365E+01, 5.392801E+01, 0.000000E+00, 5.392801E+01, 0.000000E+00,0, 0.000000E+00,25, 5.363110E+01,0, 0.000000E+00,NULL,NULL,NULL,NULL,NULL,NULL,0,data,7
48371,55,940625,1437,94C2, 9.126800E+01,42,4,46,42,4, 1.440014E+01,-3.210545E+01, 4.250327E-01, 6.368223E+01, 6.158974E+01, 1.466422E+00, 1.377149E+01,-3.328107E+01, 4.282956E-01, 6.517162E+01, 0.000000E+00, 1.489389E+00, 0.000000E+00,NULL,NULL,NULL,NULL,0, 0.000000E+00,NULL,NULL,NULL,NULL,NULL,NULL,0,data,7
48371,57,940625,1444,94C2, 9.126800E+01,2,0,2,2,0,-6.979571E+00, 1.071012E+01,-2.309422E+01, 4.666499E+01, 4.666376E+01, 2.333188E+01,-6.979571E+00, 1.071012E+01,-2.309422E+01, 4.666499E+01, 0.000000E+00, 0.000000E+00, 0.000000E+00,0, 0.000000E+00,2, 9.665152E-01,0, 0.000000E+00,NULL,NULL,NULL,NULL,NULL,NULL,0,data,7
48371,58,940625,1444,94C2, 9.126800E+01,1,3,4,1,3,-3.099120E-01, 2.019717E-02,-1.428065E+00, 1.468095E+00, 1.461445E+00, 1.461445E+00, 5.427986E+00,-1.677150E+00,-2.493884E+01, 2.583811E+01, 0.000000E+00, 2.437001E+01, 0.000000E+00,0, 0.000000E+00,2, 4.879921E+01,0, 0.000000E+00,NULL,NULL,NULL,NULL,NULL,NULL,0,data,7
48371,59,940625,1444,94C2, 9.126800E+01,0,2,2,0,2, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 5.823565E-02,-7.896483E-03, 6.525917E-01, 9.228439E+01, 0.000000E+00, 9.228439E+01, 0.000000E+00,NULL,NULL,NULL,NULL,0, 0.000000E+00,NULL,NULL,NULL,NULL,2, 9.228439E+01,0,data,7
48371,60,940625,1444,94C2, 9.126800E+01,0,2,2,0,2, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.460822E-01, 8.434284E-02,-3.910645E+00, 8.935555E+01, 0.000000E+00, 8.935555E+01, 0.000000E+00,NULL,NULL,NULL,NULL,0, 0.000000E+00,NULL,NULL,NULL,NULL,2, 8.935555E+01,0,data,7
48371,61,940625,1450,94C2, 9.126800E+01,0,2,2,0,2, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.136378E-01, 9.734142E-02, 1.220116E+00, 9.441463E+01, 0.000000E+00, 9.441463E+01, 0.000000E+00,NULL,NULL,NULL,NULL,0, 0.000000E+00,NULL,NULL,NULL,NULL,2, 9.441463E+01,0,data,7
48371,65,940625,1450,94C2, 9.126800E+01,0,2,2,0,2, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 4.130416E-01, 9.018755E-02,-4.550968E+00, 9.082639E+01, 0.000000E+00, 9.082639E+01, 0.000000E+00,NULL,NULL,NULL,NULL,0, 0.000000E+00,NULL,NULL,NULL,NULL,2, 9.082639E+01,0,data,7
48371,79,940625,1504,94C2, 9.126800E+01,1,1,2,1,1,-2.580686E+00, 2.667038E+00,-5.983958E+00, 7.042745E+00, 7.041362E+00, 7.041362E+00,-3.912060E+00, 2.146176E+00,-3.636166E+01, 3.745406E+01, 0.000000E+00, 3.041132E+01, 0.000000E+00,NULL,NULL,NULL,NULL,0, 0.000000E+00,NULL,NULL,NULL,NULL,1, 0.000000E+00,0,data,7
48371,84,940625,1509,94C2, 9.126800E+01,0,2,2,0,2, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00,-3.644705E-03, 5.893528E-03,-1.032551E+00, 8.907440E+01, 0.000000E+00, 8.907440E+01, 0.000000E+00,NULL,NULL,NULL,NULL,0, 0.000000E+00,NULL,NULL,NULL,NULL,2, 8.907440E+01,0,data,7
48371,85,940625,1509,94C2, 9.126800E+01,38,14,52,38,14,-1.379291E+01,-2.397050E+00, 8.710749E-01, 4.089786E+01, 3.943080E+01, 1.037653E+00,-2.155786E+01,-3.278397E+00,-5.987592E-01, 7.337537E+01, 2.333565E+01, 2.287948E+01, 5.072447E+00,12, 0.000000E+00,0, 0.000000E+00,0, 0.000000E+00,10, 2.750534E+01, 5.149610E-01, 9.520956E+00,NULL,NULL,1,data,7
48371,86,940625,1514,94C2, 9.126800E+01,0,2,2,0,2, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00,-1.685959E-02,-2.491765E-01,-3.224545E+00, 9.542796E+01, 0.000000E+00, 9.542796E+01, 0.000000E+00,NULL,NULL,NULL,NULL,0, 0.000000E+00,NULL,NULL,NULL,NULL,2, 9.542796E+01,0,data,7
48371,87,940625,1514,94C2, 9.126800E+01,2,1,3,2,1,-2.693227E-02, 3.162661E-01, 4.735203E-01, 1.157337E+01, 1.157000E+01, 5.784999E+00,-5.484209E+00,-5.576594E+00,-5.739630E+00, 2.172773E+01, 0.000000E+00, 0.000000E+00, 0.000000E+00,1, 0.000000E+00,0, 0.000000E+00,0, 0.000000E+00,1, 1.015435E+01, 1.015435E+01, 1.015435E+01,NULL,NULL,0,data,7
