run,evt,date,time,dsttype,ecm,nctrk,nntrk,nvecp,ncvecp,nnvecp,sum_px_ch,sum_py_ch,sum_pz_ch,sum_e_ch,sum_p_ch,mean_p_ch,sum_px_all,sum_py_all,sum_pz_all,sum_e_all,echar,emneu,ehneu,nhpc,ehpc_sum,nemf,eemf_sum,nemclu,eemclu_sum,nphot,ephot_sum,ephot_min,ephot_max,nstic,estic_sum,ihad4,sample,file_id
-40030,2357,1020619,73919,94C2, 9.125000E+01,26,10,36,26,10, 2.020406E+00,-2.066435E+00,-4.858485E+00, 8.481055E+01, 8.435269E+01, 3.244334E+00, 8.247500E+00,-3.607174E+00,-8.283953E+00, 1.084781E+02, 7.652300E+01, 5.494588E+00, 2.491637E+00,13, 9.667338E+00,2, 0.000000E+00,0, 0.000000E+00,8, 2.117586E+01, 7.769184E-01, 9.858015E+00,NULL,NULL,1,mc_kk2f,91
-40030,2358,1020619,73927,94C2, 9.125000E+01,48,25,73,48,25, 8.403455E+00, 1.398372E+01, 8.872237E+00, 5.407451E+01, 5.195632E+01, 1.082423E+00, 6.339309E+00, 1.954732E+01, 1.565539E+01, 1.105443E+02, 4.476355E+01, 4.251718E+01, 4.127267E+00,16, 5.173548E-01,4, 0.000000E+00,0, 0.000000E+00,15, 3.365099E+01, 5.447765E-01, 9.160546E+00,NULL,NULL,1,mc_kk2f,91
-40030,2359,1020619,73940,94C2, 9.125000E+01,23,19,42,23,19, 6.824137E-01, 1.404766E+00, 4.425278E+00, 3.933084E+01, 3.875922E+01, 1.685183E+00,-4.243060E+00, 1.609353E+00,-1.224896E+01, 6.392580E+01, 7.797747E+00, 1.965829E+01, 4.936684E+00,1, 0.000000E+00,17, 4.082956E+00,0, 0.000000E+00,1, 4.474636E-01, 4.474636E-01, 4.474636E-01,2, 0.000000E+00,0,mc_kk2f,91
-40030,2360,1020619,73954,94C2, 9.125000E+01,31,14,45,31,14,-7.229371E+00,-1.589575E+01, 1.629013E+01, 5.349952E+01, 5.286396E+01, 1.705289E+00,-5.401800E+00,-1.648741E+01, 1.643987E+01, 7.885985E+01, 4.902983E+01, 1.830935E+01, 6.080931E+00,13, 1.394370E+00,0, 0.000000E+00,0, 0.000000E+00,8, 1.637599E+01, 4.765445E-01, 7.965710E+00,NULL,NULL,1,mc_kk2f,91
-40030,2361,1020619,74004,94C2, 9.125000E+01,34,18,52,34,18, 2.871456E+00, 8.125762E+00, 1.175683E+01, 5.703195E+01, 5.592905E+01, 1.644972E+00, 4.506250E+00, 6.018514E+00, 1.181892E+01, 9.321557E+01, 4.346412E+01, 2.618932E+01, 7.390443E+00,5, 0.000000E+00,13, 1.586084E+00,0, 0.000000E+00,3, 6.791763E+00, 8.838949E-01, 3.303998E+00,2, 0.000000E+00,1,mc_kk2f,91
-40030,2362,1020619,74023,94C2, 9.125000E+01,27,13,40,27,13, 3.872642E+00, 3.056273E+00,-3.791669E+00, 6.342906E+01, 6.298682E+01, 2.332845E+00, 4.950329E+00, 1.278200E+00,-5.854476E+00, 8.354427E+01, 5.825201E+01, 2.011523E+01, 0.000000E+00,15, 1.532260E+01,0, 0.000000E+00,0, 0.000000E+00,11, 1.879139E+01, 5.854224E-01, 3.926668E+00,NULL,NULL,1,mc_kk2f,91
-40030,2363,1020619,74033,94C2, 9.125000E+01,40,26,66,40,26, 5.897388E-01, 3.700368E-01, 3.345611E+00, 5.626076E+01, 5.537039E+01, 1.384260E+00,-2.177512E+00, 5.140301E+00,-1.853874E+00, 9.346520E+01, 4.905213E+01, 3.183858E+01, 2.030121E+00,23, 7.605905E+00,0, 0.000000E+00,0, 0.000000E+00,18, 3.062044E+01, 2.854894E-01, 7.674794E+00,NULL,NULL,1,mc_kk2f,91
-40030,2364,1020619,74046,94C2, 9.125000E+01,30,17,47,30,17, 7.725590E+00, 8.163010E+00, 2.714466E+00, 4.495192E+01, 4.421421E+01, 1.473807E+00, 1.437213E+00, 2.483173E+00,-1.317450E+00, 9.806927E+01, 3.394417E+01, 5.161666E+01, 7.808272E-01,22, 1.191711E+01,0, 0.000000E+00,0, 0.000000E+00,13, 4.847429E+01, 7.212797E-01, 1.357635E+01,NULL,NULL,1,mc_kk2f,91
-40030,2365,1020619,74056,94C2, 9.125000E+01,36,14,50,36,14,-5.586802E+00, 4.479244E+00, 1.329259E+00, 6.386586E+01, 6.328181E+01, 1.757828E+00, 3.292620E+00, 3.104729E+00, 8.613107E-01, 8.240264E+01, 5.838434E+01, 1.481015E+01, 1.920089E+00,15, 2.400827E-01,2, 0.000000E+00,0, 0.000000E+00,9, 9.190936E+00, 5.189078E-01, 2.545729E+00,NULL,NULL,1,mc_kk2f,91
-40030,2366,1020619,74109,94C2, 9.125000E+01,42,25,67,42,25,-1.112062E-02,-1.753192E+00, 2.809965E+02, 3.318262E+02, 3.308312E+02, 7.876934E+00,-1.381586E+00,-3.666499E+00, 2.851185E+02, 3.562201E+02, 2.912338E+01, 1.723997E+01, 6.256598E+00,6, 0.000000E+00,17, 5.529649E+00,0, 0.000000E+00,6, 5.025081E+00, 4.348938E-01, 1.296083E+00,1, 0.000000E+00,1,mc_kk2f,91
-40030,2367,1020619,74126,94C2, 9.125000E+01,36,9,45,36,9, 9.647314E+00,-4.962682E+00, 1.312140E+01, 7.858607E+01, 7.763815E+01, 2.156615E+00, 5.981889E+00,-3.925219E+00, 8.174156E+00, 8.635693E+01, 6.296991E+01, 7.770852E+00, 0.000000E+00,3, 0.000000E+00,10, 2.122245E+00,0, 0.000000E+00,3, 2.824786E+00, 5.964811E-01, 1.295473E+00,NULL,NULL,1,mc_kk2f,91
-40030,2368,1020619,74139,94C2, 9.125000E+01,44,21,65,44,21, 6.126794E-01, 1.375468E+00, 1.257068E-01, 4.235457E+01, 4.112333E+01, 9.346212E-01, 4.823295E+00,-1.502668E+00,-3.784196E-01, 7.952473E+01, 3.337820E+01, 2.105617E+01, 2.570409E+00,21, 0.000000E+00,0, 0.000000E+00,0, 0.000000E+00,17, 3.368653E+01, 4.688326E-01, 1.198587E+01,NULL,NULL,1,mc_kk2f,91
-40030,2369,1020619,74152,94C2, 9.125000E+01,24,11,35,24,11,-6.165967E+00,-1.509459E+00,-1.092602E+00, 6.246943E+01, 6.188484E+01, 2.578535E+00,-4.001467E-01, 9.693943E-01,-1.790023E+00, 7.841603E+01, 3.894408E+01, 1.307552E+01, 2.372476E+00,14, 5.557777E+00,0, 0.000000E+00,0, 0.000000E+00,9, 1.294882E+01, 4.945169E-01, 6.328900E+00,NULL,NULL,1,mc_kk2f,91
-40030,2370,1020619,74204,94C2, 9.125000E+01,46,15,61,46,15, 1.118016E+00,-3.459159E+00,-6.761432E+00, 6.986378E+01, 6.851730E+01, 1.489507E+00,-9.284184E+00,-1.618938E+00,-4.428376E+00, 9.621882E+01, 5.239105E+01, 2.098589E+01, 5.440379E+00,15, 3.423369E+00,2, 0.000000E+00,0, 0.000000E+00,10, 1.732658E+01, 5.084315E-01, 4.128034E+00,NULL,NULL,1,mc_kk2f,91
-40030,2371,1020619,74216,94C2, 9.125000E+01,22,2,24,22,2, 2.128463E+00, 3.623835E-01, 1.043625E+00, 8.260522E+01, 8.223132E+01, 3.737787E+00,-8.455395E-01,-1.219299E+00,-1.683717E+00, 8.694588E+01, 7.918494E+01, 4.340669E+00, 0.000000E+00,7, 5.322034E-01,1, 0.000000E+00,0, 0.000000E+00,2, 4.340669E+00, 2.089853E+00, 2.250816E+00,NULL,NULL,1,mc_kk2f,91
-40030,2372,1020619,74227,94C2, 9.125000E+01,38,17,55,38,17,-4.538405E-02, 5.907712E+00,-9.612677E+00, 7.147317E+01, 7.073861E+01, 1.861542E+00, 2.896800E+00, 1.548490E+01,-3.154150E+01, 1.159044E+02, 5.230858E+01, 3.040709E+01, 1.303133E+01,3, 0.000000E+00,14, 8.647032E+00,0, 0.000000E+00,2, 1.523516E+00, 5.299489E-01, 9.935674E-01,1, 0.000000E+00,1,mc_kk2f,91
-40030,2373,1020619,74238,94C2, 9.125000E+01,17,11,28,17,11,-1.427302E+00, 2.788021E+00,-4.487459E-01, 5.650496E+01, 5.630155E+01, 3.311856E+00,-1.694171E-01,-5.259831E-01,-1.109039E-01, 8.061899E+01, 5.514956E+01, 2.290759E+01, 0.000000E+00,19, 1.176323E+01,0, 0.000000E+00,0, 0.000000E+00,11, 2.411404E+01, 4.465427E-01, 9.726074E+00,NULL,NULL,1,mc_kk2f,91
-40030,2374,1020619,74247,94C2, 9.125000E+01,32,11,43,32,11, 2.750279E+00,-2.331856E+00,-2.139041E+00, 6.610262E+01, 6.540814E+01, 2.044004E+00,-1.981672E+00, 2.906328E+00, 9.549358E+00, 8.386873E+01, 4.455629E+01, 1.724770E+01, 5.184133E-01,0, 0.000000E+00,11, 5.603469E+00,0, 0.000000E+00,NULL,NULL,NULL,NULL,NULL,NULL,1,mc_kk2f,91
-40030,2375,1020619,74301,94C2, 9.125000E+01,29,18,47,29,18, 1.813816E+00,-6.697117E-01, 9.087741E-01, 5.408799E+01, 5.363996E+01, 1.849654E+00,-8.682602E+00, 8.025983E-02,-7.027713E+00, 8.303448E+01, 4.517303E+01, 2.228664E+01, 1.279970E+00,20, 5.712252E+00,1, 0.000000E+00,0, 0.000000E+00,15, 2.716970E+01, 4.239811E-01, 5.041413E+00,NULL,NULL,1,mc_kk2f,91
-40030,2376,1020619,74313,94C2, 9.125000E+01,35,17,52,35,17, 4.214808E+00,-4.969347E-01,-2.110127E+01, 5.878870E+01, 5.819910E+01, 1.662832E+00, 2.370210E+00,-2.643207E-01,-1.131756E+01, 8.735089E+01, 3.872053E+01, 2.628157E+01, 0.000000E+00,12, 7.924268E-01,5, 0.000000E+00,0, 0.000000E+00,8, 1.331291E+01, 6.092003E-01, 4.624130E+00,3, 0.000000E+00,1,mc_kk2f,91
-40030,2377,1020619,74335,94C2, 9.125000E+01,17,14,31,17,14, 2.093578E-01, 1.485194E+00,-2.252101E+01, 3.943901E+01, 3.916765E+01, 2.303979E+00,-1.891767E-01, 1.405163E+00,-1.939864E+01, 6.156572E+01, 1.020590E+01, 1.790839E+01, 4.218331E+00,0, 0.000000E+00,7, 2.195354E+00,0, 0.000000E+00,NULL,NULL,NULL,NULL,7, 0.000000E+00,0,mc_kk2f,91
-40030,2378,1020619,74351,94C2, 9.125000E+01,29,15,44,29,15,-9.359770E+00,-3.391540E+00,-3.625011E+00, 7.449906E+01, 7.414164E+01, 2.556608E+00,-1.558506E+01,-1.007445E+01,-1.358224E+00, 1.023062E+02, 5.388475E+01, 4.250227E+00, 2.308746E+01,9, 2.916715E+00,3, 0.000000E+00,0, 0.000000E+00,4, 2.863425E+00, 3.098630E-01, 1.562865E+00,NULL,NULL,1,mc_kk2f,91
-40030,2379,1020619,74403,94C2, 9.125000E+01,27,16,43,27,16, 1.327160E+00, 7.770680E+00, 1.768137E+01, 8.314246E+01, 8.276008E+01, 3.065188E+00, 5.586685E-01, 4.645556E+00, 1.487821E+01, 1.043209E+02, 7.212227E+01, 1.987236E+01, 4.720789E-01,8, 5.900545E-02,8, 3.329714E-01,0, 0.000000E+00,6, 1.132698E+01, 8.290044E-01, 3.855780E+00,1, 0.000000E+00,1,mc_kk2f,91
