run,evt,date,time,dsttype,ecm,nctrk,nntrk,nvecp,ncvecp,nnvecp,sum_px_ch,sum_py_ch,sum_pz_ch,sum_e_ch,sum_p_ch,mean_p_ch,sum_px_all,sum_py_all,sum_pz_all,sum_e_all,echar,emneu,ehneu,nhpc,ehpc_sum,nemf,eemf_sum,nemclu,eemclu_sum,nphot,ephot_sum,ephot_min,ephot_max,nstic,estic_sum,ihad4,sample,file_id
-21046,1255,20227,213130,94C2, 9.125000E+01,16,16,32,16,16, 6.598457E+00,-9.628620E+00,-4.490776E+00, 4.673209E+01, 4.653884E+01, 2.908678E+00, 4.638139E+00,-6.436767E+00,-4.928249E+00, 9.307970E+01, 4.611671E+01, 3.725070E+01, 9.223184E+00,13, 8.476660E+00,0, 0.000000E+00,0, 0.000000E+00,9, 3.329006E+01, 4.859221E-01, 1.447174E+01,1, 0.000000E+00,1,mc_qqps,58
-21046,1256,20227,213146,94C2, 9.125000E+01,25,13,38,25,13, 1.165993E+01,-3.013815E+01,-7.215128E+00, 5.240083E+01, 5.207378E+01, 2.082951E+00, 7.536454E+00,-1.351558E+01,-4.687408E+00, 9.713892E+01, 5.148801E+01, 1.367432E+01, 2.419327E+01,13, 3.352256E-01,0, 0.000000E+00,0, 0.000000E+00,9, 2.037196E+01, 8.304521E-01, 4.479915E+00,NULL,NULL,1,mc_qqps,58
-21046,1257,20227,213159,94C2, 9.125000E+01,22,23,45,22,23, 5.023095E+00,-1.338384E+00,-1.780519E+01, 4.216299E+01, 4.179215E+01, 1.899643E+00, 3.396151E+00,-4.121267E+00,-2.217249E+01, 8.321391E+01, 4.637421E+00, 3.882539E+01, 2.225532E+00,0, 0.000000E+00,19, 2.878914E+00,0, 0.000000E+00,NULL,NULL,NULL,NULL,3, 0.000000E+00,0,mc_qqps,58
-21046,1258,20227,213216,94C2, 9.125000E+01,45,14,59,45,14,-1.546547E+01,-1.650628E+01,-1.398291E+02, 1.894124E+02, 1.879401E+02, 4.176446E+00,-1.510739E+01,-1.519066E+01,-1.320793E+02, 2.174208E+02, 3.666961E+00, 1.167411E+01, 1.633433E+01,0, 0.000000E+00,16, 1.276837E+01,0, 0.000000E+00,NULL,NULL,NULL,NULL,2, 0.000000E+00,0,mc_qqps,58
-21046,1259,20227,213235,94C2, 9.125000E+01,43,16,59,43,16,-3.693336E+00, 8.508103E-01,-2.401970E+00, 7.465095E+01, 7.354180E+01, 1.710274E+00,-8.377948E+00, 9.064566E-01,-2.270881E+00, 9.894810E+01, 5.392963E+01, 2.019802E+01, 9.022282E-01,14, 3.232156E-01,0, 0.000000E+00,0, 0.000000E+00,11, 1.612230E+01, 5.081739E-01, 3.239295E+00,NULL,NULL,1,mc_qqps,58
-21046,1260,20227,213255,94C2, 9.125000E+01,36,14,50,36,14,-2.849850E+01,-1.545504E+01, 2.074740E+00, 1.004921E+02, 9.984733E+01, 2.773537E+00,-1.593110E+01,-1.092469E+01,-1.673915E+00, 1.536032E+02, 5.690485E+01, 1.860645E+01, 2.542374E+01,16, 2.491453E+00,0, 0.000000E+00,0, 0.000000E+00,9, 2.677342E+01, 5.324574E-01, 9.271013E+00,NULL,NULL,1,mc_qqps,58
-21046,1261,20227,213308,94C2, 9.125000E+01,30,13,43,30,13, 8.791871E+00,-4.436577E+00,-1.101766E+00, 5.700327E+01, 5.660043E+01, 1.886681E+00,-2.031189E+00, 2.262886E-01,-1.271239E+00, 8.638441E+01, 4.103343E+01, 2.325751E+01, 4.368458E+00,11, 7.176566E-02,0, 0.000000E+00,0, 0.000000E+00,8, 1.490666E+01, 4.792324E-01, 4.291106E+00,NULL,NULL,1,mc_qqps,58
-21046,1262,20227,213323,94C2, 9.125000E+01,19,17,36,19,17,-1.044380E+01,-4.552827E+00, 8.428385E+00, 4.751298E+01, 4.685616E+01, 2.466113E+00, 1.831337E+00, 1.862079E+00,-1.017596E+00, 8.425166E+01, 4.497737E+01, 2.202033E+01, 0.000000E+00,20, 5.406119E+00,0, 0.000000E+00,0, 0.000000E+00,17, 3.673869E+01, 4.424471E-01, 5.083651E+00,NULL,NULL,1,mc_qqps,58
-21046,1263,20227,213337,94C2, 9.125000E+01,35,13,48,35,13, 1.656112E-01, 8.582396E+00, 3.601124E+00, 6.056343E+01, 6.002683E+01, 1.715052E+00,-1.384223E+00, 9.154589E+00, 4.239686E+00, 9.053356E+01, 5.087124E+01, 2.725057E+01, 2.766277E+00,11, 5.131614E-01,1, 0.000000E+00,0, 0.000000E+00,9, 1.807151E+01, 3.956073E-01, 3.559993E+00,NULL,NULL,1,mc_qqps,58
-21046,1264,20227,213351,94C2, 9.125000E+01,33,12,45,33,12,-4.764163E+00, 1.718765E+01,-2.094012E+01, 5.163219E+01, 5.105210E+01, 1.547033E+00,-3.905558E+00, 1.445878E+01,-1.881648E+01, 7.109818E+01, 4.448858E+01, 1.239759E+01, 7.068393E+00,7, 5.402837E+00,12, 3.783770E+00,0, 0.000000E+00,2, 3.513306E+00, 9.706522E-01, 2.542653E+00,NULL,NULL,1,mc_qqps,58
-21046,1265,20227,213409,94C2, 9.125000E+01,12,10,22,12,10, 1.608155E+00, 7.271430E+00,-1.031632E+01, 2.371395E+01, 2.354590E+01, 1.962159E+00, 4.943889E-01, 4.804283E+00,-1.527052E+01, 7.141216E+01, 9.860790E+00, 4.393265E+01, 3.765556E+00,1, 0.000000E+00,3, 0.000000E+00,0, 0.000000E+00,NULL,NULL,NULL,NULL,4, 0.000000E+00,0,mc_qqps,58
-21046,1266,20227,213458,94C2, 9.125000E+01,26,12,38,26,12,-9.909682E-01,-7.602905E+00, 5.151128E+00, 7.920653E+01, 7.883908E+01, 3.032272E+00, 8.466669E-01,-5.429467E+00, 4.756453E+00, 9.898161E+01, 5.679737E+01, 1.729808E+01, 2.585940E+00,13, 1.903010E+01,0, 0.000000E+00,0, 0.000000E+00,5, 1.317261E+01, 6.308904E-01, 6.428625E+00,NULL,NULL,1,mc_qqps,58
-21046,1267,20227,213508,94C2, 9.125000E+01,27,10,37,27,10,-8.699836E-01,-3.280224E+00,-5.333238E-01, 7.637485E+01, 7.608478E+01, 2.817955E+00,-9.313136E-01, 3.715373E+00,-1.999018E+00, 9.169305E+01, 7.548424E+01, 8.212412E+00, 6.470935E+00,12, 1.745991E-01,1, 0.000000E+00,0, 0.000000E+00,7, 8.432585E+00, 3.242134E-01, 2.414006E+00,NULL,NULL,1,mc_qqps,58
-21046,1268,20227,213522,94C2, 9.125000E+01,23,22,45,23,22, 3.578899E+00, 3.535442E+00,-2.532589E+01, 4.199866E+01, 4.165736E+01, 1.811190E+00, 1.418441E+00,-2.131711E-01,-1.243577E+01, 7.936394E+01, 3.439170E+01, 3.343147E+01, 8.724720E-01,7, 2.364394E-01,12, 1.097701E+00,0, 0.000000E+00,6, 7.236633E+00, 3.944126E-01, 2.174087E+00,5, 0.000000E+00,1,mc_qqps,58
-21046,1269,20227,213542,94C2, 9.125000E+01,19,12,31,19,12,-1.222795E+01, 7.495585E+00, 4.726232E+00, 5.442092E+01, 5.421842E+01, 2.853601E+00,-1.945123E+00, 7.413967E-01,-3.601507E-01, 9.152685E+01, 5.067132E+01, 3.586814E+01, 3.738064E-01,14, 1.333939E+00,0, 0.000000E+00,0, 0.000000E+00,10, 2.938735E+01, 7.875777E-01, 1.235187E+01,NULL,NULL,1,mc_qqps,58
-21046,1270,20227,213553,94C2, 9.125000E+01,42,21,63,42,21,-3.553130E+00, 1.177804E+01,-2.969656E+01, 9.922147E+01, 9.855049E+01, 2.346440E+00,-5.593319E+00, 7.268714E+00,-1.669641E+01, 1.302860E+02, 7.749734E+01, 2.871494E+01, 2.349625E+00,0, 0.000000E+00,23, 3.637698E+00,0, 0.000000E+00,NULL,NULL,NULL,NULL,NULL,NULL,1,mc_qqps,58
-21046,1271,20227,213608,94C2, 9.125000E+01,24,16,40,24,16, 4.442247E+00, 6.894886E+00,-2.044003E+00, 5.131435E+01, 5.095219E+01, 2.123008E+00, 9.867209E+00, 8.617392E+00,-3.110812E+00, 7.987168E+01, 5.043806E+01, 1.787790E+01, 7.316393E+00,15, 0.000000E+00,0, 0.000000E+00,0, 0.000000E+00,12, 1.819091E+01, 8.330126E-01, 2.560087E+00,NULL,NULL,1,mc_qqps,58
