# Radius(Mpc)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk2  w2k2
3.5390e-02    2.4738e+01    3.2557e-01    7.0650e+00    9.8531e-01    7.8021e-02    1.9140e-02    1.8286e-02
4.8108e-02    2.2633e+01    -1.2273e+00    5.1831e+00    9.8531e-01    7.8021e-02    3.5630e-02    3.4104e-02
6.5396e-02    1.7542e+01    2.6860e+00    3.8174e+00    9.8531e-01    7.8021e-02    6.5578e-02    6.2668e-02
8.8897e-02    1.5245e+01    4.2417e-01    2.8258e+00    9.8531e-01    7.8021e-02    1.1991e-01    1.1483e-01
1.2084e-01    1.0252e+01    -3.4042e+00    2.0905e+00    9.8531e-01    7.8021e-02    2.1929e-01    2.1015e-01
1.6427e-01    6.5340e+00    8.8341e-01    1.5512e+00    9.8531e-01    7.8021e-02    3.9863e-01    3.8236e-01
2.2330e-01    3.4830e+00    9.8118e-01    1.1499e+00    9.8531e-01    7.8021e-02    7.2670e-01    6.9831e-01
3.0354e-01    1.8583e+00    6.4717e-01    8.5312e-01    9.8531e-01    7.8021e-02    1.3222e+00    1.2723e+00
4.1262e-01    1.4896e+00    -4.8998e-01    6.3412e-01    9.8531e-01    7.8021e-02    2.4002e+00    2.3165e+00
5.6090e-01    1.8920e+00    -3.2143e-01    4.7259e-01    9.8531e-01    7.8021e-02    4.3467e+00    4.2198e+00
7.6246e-01    2.0305e+00    -1.9140e-01    3.5399e-01    9.8531e-01    7.8021e-02    7.8173e+00    7.6576e+00
1.0365e+00    1.2622e+00    -2.7149e-01    2.6550e-01    9.8531e-01    7.8021e-02    1.4075e+01    1.3963e+01
1.4089e+00    7.1377e-01    8.8062e-02    2.0023e-01    9.8531e-01    7.8021e-02    2.5431e+01    2.5928e+01
1.9152e+00    3.1367e-01    2.5658e-01    1.4974e-01    9.8531e-01    7.8021e-02    4.6155e+01    4.7764e+01
2.6035e+00    2.4885e-01    1.5165e-01    1.1161e-01    9.8531e-01    7.8021e-02    8.3968e+01    8.7824e+01
