# logmstar_GL_min[m]    logmstar_GL_min[n]    Radius[i](Mpc/h70)    Radius[j](Mpc/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
8.500000000000000000e+00 8.500000000000000000e+00 3.539034586317788000e-02 3.539034586317788000e-02 4.991366358727061936e+01 1.000000000000000000e+00 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.539034586317788000e-02 4.810809282451224134e-02 3.782193000721636306e-02 1.032858134189191439e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.539034586317788000e-02 6.539604343397804886e-02 1.057997190252010951e-02 3.922904877737606725e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.539034586317788000e-02 8.889652958014769568e-02 4.878211959505180523e-03 2.443444573706861009e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.539034586317788000e-02 1.208420656116956649e-01 3.568092523316700876e-03 2.415934293696957386e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.539034586317788000e-02 1.642674341762205836e-01 3.641672594942397742e-03 3.322953327888856167e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.539034586317788000e-02 2.232979864606629561e-01 5.028597893215473909e-04 6.189638344695331217e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.539034586317788000e-02 3.035415449656087006e-01 -1.012827986230372594e-04 -1.680405508045537113e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.539034586317788000e-02 4.126211390461415052e-01 1.325116583795993850e-03 2.957808475415115725e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.539034586317788000e-02 5.608991823739490901e-01 2.012888274630738781e-04 6.028730251754919938e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.539034586317788000e-02 7.624618881985674168e-01 1.665411736155229694e-05 6.659182467186729842e-06 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.539034586317788000e-02 1.036457440524030327e+00 -2.308721242944829851e-04 -1.230839679149961052e-04 9.708287439144076547e-01
