#Modified Julian Date	f(E3)/f(E2)-0.932829404530965	statistical uncertainty	reproducibility	combined uncertainty
57527	3.99286E-16	5.48522E-17	1.48347E-17	5.68228E-17
58036	4.01083E-16	2.04007E-17	1.48347E-17	2.52241E-17
58169	3.87718E-16	2.41836E-17	1.48347E-17	2.8371E-17
58206	3.76168E-16	1.28349E-17	1.48347E-17	1.96164E-17
58240	3.94757E-16	1.32402E-17	1.48347E-17	1.98839E-17
58267	3.37019E-16	2.63318E-17	1.48347E-17	3.0223E-17
58373	3.74776E-16	2.85069E-17	1.48347E-17	3.21359E-17
58865	3.36669E-16	1.59733E-17	1.48347E-17	2.17994E-17
58878	3.62593E-16	2.47798E-17	1.48347E-17	2.88809E-17
59052	3.994E-16	2.511E-17	1.48347E-17	2.91647E-17
59081	3.812E-16	1.67E-17	1.48347E-17	2.23374E-17
