#Modified Julian Date	(f(E3)-642121496772645 Hz)/642121496772645 Hz (1E-15)	statistical uncertainty (1E-15)	Reference clock
57856.5	-0.072	0.81174	CSF1 of PTB
57862.6	-1.016	0.8475	CSF1 of PTB
57867.3	1.229	1.34481	CSF1 of PTB
57980.5	-1.288	0.94473	CSF1 of PTB
57984.5	-0.92	0.62032	CSF1 of PTB
57992.3	-0.234	0.69683	CSF1 of PTB
58004.9	-2.849	1.67122	CSF1 of PTB
58009.3	-0.371	0.48201	CSF1 of PTB
58017.5	0.194	0.49835	CSF1 of PTB
58027.1	0.244	0.38542	CSF1 of PTB
58034	0.802	1.22509	CSF1 of PTB
58289.7	0.584	0.54523	CSF1 of PTB
58360.4	0.515	0.73015	CSF1 of PTB
58456.6	0.709	0.68977	CSF1 of PTB
58463.4	-0.468	0.91501	CSF1 of PTB
58505.1	-0.376	1.12558	CSF1 of PTB
58512.6	1.369	0.92744	CSF1 of PTB
58537.2	0.442	0.68347	CSF1 of PTB
58564.4	0.837	1.0733 	CSF1 of PTB
58568.2	-0.286	0.93635	CSF1 of PTB
58627.4	-0.15	0.89729	CSF1 of PTB
58631.8	0.214	0.70419	CSF1 of PTB
58712.5	-0.094	0.59524	CSF1 of PTB
58754.1	0.017	0.67668	CSF1 of PTB
58766.2	0.63	0.64797	CSF1 of PTB
58773.2	-0.459	0.50552	CSF1 of PTB
58779.9	1.121	0.75635	CSF1 of PTB
58785.9	-0.321	0.81458	CSF1 of PTB
58795.6	1.568	0.8849 	CSF1 of PTB
58801.4	-0.465	0.57517	CSF1 of PTB
58807.2	-0.768	0.70459	CSF1 of PTB
58813.4	-1.475	1.14594	CSF1 of PTB
55479	0.2336	0.80006	CSF1 of PTB
56275	0.29589	0.77162	CSF1 of PTB
57190	0.25042	0.33106	CSF1 of PTB
57856.1	0.172	0.2848	CSF2 of PTB
57862.6	0.146	0.33117	CSF2 of PTB
57867.3	0.83	0.50989	CSF2 of PTB
57874.8	-0.077	0.26607	CSF2 of PTB
57882.8	0.511	0.28741	CSF2 of PTB
57890.2	0.843	0.43541	CSF2 of PTB
57977.8	0.345	0.2534	CSF2 of PTB
57984.5	0.591	0.29959	CSF2 of PTB
57994.1	0.332	0.26619	CSF2 of PTB
58003.4	0.628	0.36106	CSF2 of PTB
58009.3	0.287	0.26077	CSF2 of PTB
58017.5	0.034	0.27237	CSF2 of PTB
58027.1	0.257	0.24042	CSF2 of PTB
58034	-0.166	0.58075	CSF2 of PTB
58232.9	0.445	0.23373	CSF2 of PTB
58282.5	0.161	0.29777	CSF2 of PTB
58289.9	0.259	0.27019	CSF2 of PTB
58304.3	0.587	0.31969	CSF2 of PTB
58360.4	0.066	0.32668	CSF2 of PTB
58456.6	0.454	0.34135	CSF2 of PTB
58463.4	0.332	0.40054	CSF2 of PTB
58505.1	0.892	0.48882	CSF2 of PTB
58512.6	0.756	0.40968	CSF2 of PTB
58537.5	0.371	0.31953	CSF2 of PTB
58564.4	0.259	0.48319	CSF2 of PTB
58569.4	0.329	0.29923	CSF2 of PTB
58584.5	-0.357	0.42423	CSF2 of PTB
58627.3	-0.246	0.46628	CSF2 of PTB
58631.8	0.832	0.36859	CSF2 of PTB
58635	0.027	0.51365	CSF2 of PTB
58663.3	0.24	0.23362	CSF2 of PTB
58674.8	0.315	0.30484	CSF2 of PTB
58712.5	0.065	0.3148 	CSF2 of PTB
58754.1	0.019	0.35754	CSF2 of PTB
58766.2	-0.13	0.36724	CSF2 of PTB
58773.2	0.48	0.2842 	CSF2 of PTB
58779.9	0.016	0.41944	CSF2 of PTB
58785.9	0.199	0.41306	CSF2 of PTB
58795.6	0.401	0.42676	CSF2 of PTB
58801.4	-0.106	0.31119	CSF2 of PTB
58807.2	-0.057	0.38685	CSF2 of PTB
58814.8	-0.286	0.35491	CSF2 of PTB
58822.6	0.659	0.35971	CSF2 of PTB
58827.2	0.382	0.51992	CSF2 of PTB
58830.4	-0.048	0.56007	CSF2 of PTB
56275	0.66966	0.44721	CSF2 of PTB
57190	0.1425	0.38833	CSF2 of PTB
