galaxy,ned_ra_deg,ned_dec_deg,optical_inc_deg,optical_pa_deg,vizier_circ_beam_as,co_spec_rms_mJy_10.6kms,co_nx,co_ny,co_pix_as,co_bmaj_as,co_bmin_as,co_bpa_deg,co_beam_kpc_16.5Mpc,co_crval1,co_crval2,co_proj,co_file,hi_nx,hi_ny,hi_pix_as,hi_bmaj_as,hi_bmin_as,hi_bpa_deg,hi_beam_kpc_16.5Mpc,hi_beam_is_round,hi_crval1,hi_crval2,hi_proj,tangent_offset_arcsec,hi_status,mstar_15as_present
IC3392,187.18,14.9993,67.5,219.0,8.4,134,35,35,2.0,8.4009,8.4009,0.0,0.672,187.1803579167,15.00083333333,RA---SIN,IC3392_7m+tp_co21_pbcorr_round_mom1.fits,13,13,8.0,17.9977,17.8079,65.338,1.4397,NO,187.1803579167,15.00083333333,RA---SIN,0.0,,YES
NGC4064,181.047,18.4442,69.6,150.1,9.0,32,34,34,2.0,9.0164,9.0164,0.0,0.7213,181.0458783333,18.445,RA---SIN,NGC4064_7m+tp_co21_pbcorr_round_mom1.fits,12,12,8.0,16.719,16.645,-26.1655,1.3374,NO,181.0458783333,18.445,RA---SIN,0.0,,YES
NGC4189,183.448,13.4263,42.5,69.5,7.5,202,60,60,2.0,7.5192,7.5192,0.0,0.6015,183.4484270833,13.42638888889,RA---SIN,NGC4189_7m+tp_co21_pbcorr_round_mom1.fits,25,25,8.0,16.8609,16.4715,48.5807,1.3488,NO,183.4484270833,13.42638888889,RA---SIN,0.0,,YES
NGC4192,183.452,14.8992,82.6,333.4,9.2,358,145,145,2.0,9.2115,9.2115,0.0,0.7369,183.4522704167,14.90027777778,RA---SIN,NGC4192_7m+tp_co21_pbcorr_round_mom1.fits,53,53,8.0,17.9679,17.2716,49.7776,1.4373,NO,183.4522704167,14.90027777778,RA---SIN,0.0,,YES
NGC4216,183.976,13.1486,90.0,20.4,7.2,304,174,174,2.0,7.2455,7.2455,0.0,0.5796,183.9775258333,13.14888888889,RA---SIN,NGC4216_7m+tp_co21_pbcorr_round_mom1.fits,163,163,8.0,16.8054,16.5053,-50.5571,1.3443,NO,184.0960104167,13.30805555556,RA---SIN,707.71,,YES
NGC4222,184.094,13.307,90.0,237.5,8.4,26,64,64,2.0,8.3604,8.3604,0.0,0.6688,184.0960104167,13.30805555556,RA---SIN,NGC4222_7m+tp_co21_pbcorr_round_mom1.fits,193,193,8.0,16.8054,16.5053,-50.5571,1.3443,NO,184.0960104167,13.30805555556,RA---SIN,0.0,,YES
NGC4254,184.707,14.4182,38.8,242.9,8.6,331,145,145,2.0,8.6214,8.6214,0.0,0.6897,184.706682,14.416509,RA---SIN,NGC4254_7m+tp_co21_pbcorr_round_mom1.fits,52,52,8.0,15.7792,15.148,50.9927,1.2622,NO,184.706682,14.416509,RA---SIN,0.0,,YES
NGC4293,185.306,18.3842,67.4,239.3,7.6,328,76,76,2.0,7.6119,7.6119,0.0,0.6089,185.30375,18.38305555556,RA---SIN,NGC4293_7m+tp_co21_pbcorr_round_mom1.fits,,,,,,,,,,,,,NO HI PRODUCTS IN v1.2.3,YES
NGC4294,185.324,11.5109,73.8,150.5,8.2,29,51,51,2.0,8.2474,8.2474,0.0,0.6597,185.3241666667,11.51,RA---SIN,NGC4294_7m+tp_co21_pbcorr_round_mom1.fits,111,111,8.0,16.7654,16.4865,-31.5881,1.3411,NO,185.4200170833,11.50111111111,RA---SIN,339.633,,YES
NGC4298,185.388,14.6055,52.3,132.3,7.5,191,81,81,2.0,7.4886,7.4886,0.0,0.599,185.3879725,14.60416666667,RA---SIN,NGC4298_7m+tp_co21_pbcorr_round_mom1.fits,68,68,8.0,16.8715,15.8629,-59.2063,1.3496,NO,185.42679625,14.59444444444,RA---SIN,139.705,,YES
NGC4299,185.42,11.5017,13.6,128.1,8.3,117,51,51,2.0,8.263,8.263,0.0,0.661,185.4200170833,11.50111111111,RA---SIN,NGC4299_7m+tp_co21_pbcorr_round_mom1.fits,116,116,8.0,16.7654,16.4865,-31.5881,1.3411,NO,185.4200170833,11.50111111111,RA---SIN,0.0,,YES
NGC4302,185.426,14.5992,90.0,356.0,7.7,313,151,151,2.0,7.6569,7.6569,0.0,0.6125,185.42679625,14.59444444444,RA---SIN,NGC4302_7m+tp_co21_pbcorr_round_mom1.fits,74,74,8.0,16.8715,15.8629,-59.2063,1.3496,NO,185.42679625,14.59444444444,RA---SIN,0.0,,YES
NGC4321,185.728,15.8259,32.2,280.0,10.2,433,135,135,2.0,10.1859,10.1859,0.0,0.8148,185.728463,15.821818,RA---SIN,NGC4321_7m+tp_co21_pbcorr_round_mom1.fits,61,61,8.0,16.9552,16.6967,70.6547,1.3563,NO,185.728463,15.821818,RA---SIN,0.0,,YES
NGC4330,185.821,11.3678,90.0,238.1,7.7,32,69,69,2.0,7.7386,7.7386,0.0,0.619,185.8227166667,11.36805555556,RA---SIN,NGC4330_7m+tp_co21_pbcorr_round_mom1.fits,35,35,8.0,19.9947,19.8868,-24.5819,1.5995,NO,185.8227166667,11.36805555556,RA---SIN,0.0,,YES
NGC4351,186.005,12.2042,47.7,250.9,8.5,149,48,48,2.0,8.4842,8.4842,0.0,0.6787,186.0055104167,12.205,RA---SIN,NGC4351_7m+tp_co21_pbcorr_round_mom1.fits,29,29,8.0,16.7886,16.3622,-39.6912,1.343,NO,186.0055104167,12.205,RA---SIN,0.0,,YES
NGC4380,186.342,10.0167,60.6,157.9,7.5,249,78,78,2.0,7.548,7.548,0.0,0.6038,186.3430641667,10.01666666667,RA---SIN,NGC4380_7m+tp_co21_pbcorr_round_mom1.fits,23,23,8.0,16.8139,16.3458,-46.5532,1.345,NO,186.3430641667,10.01666666667,RA---SIN,0.0,,YES
NGC4383,186.356,16.4699,55.8,17.5,8.1,184,57,57,2.0,8.1286,8.1286,0.0,0.6502,186.3575358333,16.47194444444,RA---SIN,NGC4383_7m+tp_co21_pbcorr_round_mom1.fits,77,77,8.0,15.8066,15.6312,-82.6355,1.2644,NO,186.3575358333,16.47194444444,RA---SIN,0.0,,YES
NGC4388,186.444,12.6629,82.7,270.7,8.1,25,86,86,2.0,8.1441,8.1441,0.0,0.6515,186.4483958333,12.66222222222,RA---SIN,NGC4388_7m+tp_co21_pbcorr_round_mom1.fits,22,22,8.0,17.9981,17.7639,86.3403,1.4397,NO,186.4483958333,12.66222222222,RA---SIN,0.0,,YES
NGC4394,186.482,18.2145,31.9,311.8,8.7,24,64,64,2.0,8.7164,8.7164,0.0,0.6973,186.4825804167,18.21166666667,RA---SIN,NGC4394_7m+tp_co21_pbcorr_round_mom1.fits,33,33,8.0,16.863,16.0388,-55.0787,1.3489,NO,186.4825804167,18.21166666667,RA---SIN,0.0,,YES
NGC4396,186.499,15.6695,82.8,304.2,7.8,217,59,59,2.0,7.8087,7.8087,0.0,0.6246,186.4976604167,15.67138888889,RA---SIN,NGC4396_7m+tp_co21_pbcorr_round_mom1.fits,40,40,8.0,15.8697,15.3699,60.2003,1.2695,NO,186.4976604167,15.67138888889,RA---SIN,0.0,,YES
NGC4402,186.531,13.1125,80.2,269.8,7.6,30,100,100,2.0,7.5577,7.5577,0.0,0.6046,186.5288145833,13.11372222222,RA---SIN,NGC4402_7m+tp_co21_pbcorr_round_mom1.fits,171,171,8.0,17.9972,17.7953,77.1495,1.4397,NO,186.5288145833,13.11372222222,RA---SIN,0.0,,YES
NGC4405,186.53,16.181,46.1,18.1,7.7,33,33,33,2.0,7.7099,7.7099,0.0,0.6167,186.5299483333,16.18055555556,RA---SIN,NGC4405_7m+tp_co21_pbcorr_round_mom1.fits,11,11,8.0,16.8782,16.321,-45.6426,1.3502,NO,186.5299483333,16.18055555556,RA---SIN,0.0,,YES
NGC4419,186.735,15.0476,73.6,131.5,8.1,32,55,55,2.0,8.1131,8.1131,0.0,0.649,186.735,15.04777777778,RA---SIN,NGC4419_7m+tp_co21_pbcorr_round_mom1.fits,13,13,8.0,16.9527,16.6116,-74.0046,1.3561,NO,186.735,15.04777777778,RA---SIN,0.0,,YES
NGC4424,186.799,9.4206,61.5,274.4,7.9,101,40,40,2.0,7.926,7.926,0.0,0.634,186.79777,9.420277777778,RA---SIN,NGC4424_7m+tp_co21_pbcorr_round_mom1.fits,14,14,8.0,19.9809,19.3942,44.4359,1.5984,NO,186.79777,9.420277777778,RA---SIN,0.0,,YES
NGC4450,187.122,17.0846,51.1,169.8,7.6,233,84,84,2.0,7.5859,7.5859,0.0,0.6068,187.1227904167,17.0875,RA---SIN,NGC4450_7m+tp_co21_pbcorr_round_mom1.fits,31,31,8.0,16.8991,16.5745,-19.7209,1.3518,NO,187.1227904167,17.0875,RA---SIN,0.0,,YES
NGC4457,187.246,3.5706,36.5,256.3,7.8,238,60,60,2.0,7.7729,7.7729,0.0,0.6218,187.2461116667,3.57,RA---SIN,NGC4457_7m+tp_co21_pbcorr_round_mom1.fits,16,16,8.0,17.9221,17.6608,-49.8072,1.4337,NO,187.2461116667,3.57,RA---SIN,0.0,,YES
NGC4501,187.997,14.4197,65.5,320.4,8.0,302,98,98,2.0,7.9829,7.9829,0.0,0.6386,187.9983333333,14.42138888889,RA---SIN,NGC4501_7m+tp_co21_pbcorr_round_mom1.fits,40,40,8.0,16.9945,16.5614,51.29,1.3595,NO,187.9983333333,14.42138888889,RA---SIN,0.0,,YES
NGC4522,188.415,9.1741,81.8,35.0,8.5,32,54,54,2.0,8.5039,8.5039,0.0,0.6803,188.4166666667,9.174166666667,RA---SIN,NGC4522_7m+tp_co21_pbcorr_round_mom1.fits,26,26,8.0,18.9518,18.7706,-6.0447,1.516,NO,188.4166666667,9.174166666667,RA---SIN,0.0,,YES
NGC4532,188.581,6.4682,63.7,158.6,7.1,151,58,58,2.0,7.1251,7.1251,0.0,0.57,188.5799945833,6.468055555556,RA---SIN,NGC4532_7m+tp_co21_pbcorr_round_mom1.fits,167,167,8.0,17.9645,17.6621,60.7414,1.4371,NO,188.5799945833,6.468055555556,RA---SIN,0.0,,YES
NGC4533,188.592,2.3259,80.4,341.8,7.8,35,50,50,2.0,7.7964,7.7964,0.0,0.6237,188.5925,2.325277777778,RA---SIN,NGC4533_7m+tp_co21_pbcorr_round_mom1.fits,66,66,8.0,18.9985,18.8488,-70.7384,1.5198,NO,188.5925,2.325277777778,RA---SIN,0.0,,YES
NGC4535,188.584,8.1982,48.4,11.5,8.2,680,119,119,2.0,8.1724,8.1724,0.0,0.6537,188.5840220833,8.193611111111,RA---SIN,NGC4535_7m+tp_co21_pbcorr_round_mom1.fits,81,81,8.0,19.9822,19.798,74.3769,1.5985,NO,188.5840220833,8.193611111111,RA---SIN,0.0,,YES
