#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-25T09:30:43 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-25T09:30:43	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/257/21/vertico&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22570021
#Name: J/ApJS/257/21
#Title: VERTICO: the Virgo EnviRonment Traced In CO survey (Brown+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apjs/257/21	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/257/21	    IVOID of underlying data collection
#INFO	creator=Brown T.	    First author or institution
#INFO	cites=bibcode:2021ApJS..257...21B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/257/21	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22570021	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-08-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_257_21_vertico:
#Name: J/ApJS/257/21/vertico
#Title: The VERTICO galaxies (Table 1) and their global CO(2-1) line properties (Table 2)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Rd	(A1)	Display molecular gas disk radii estimates (link to Table 3)	[ucd=meta.ref.url]
#Column	Name	(A7)	Galaxy name	[ucd=meta.id;meta.main]
#Column	f_Name	(A3)	Flag(s) on Name (1)	[ucd=meta.code]
#Column	RAJ2000	(F7.3)	[181/194] NED right ascension of the galaxy optical center (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	[2/19.4] NED declination of the galaxy optical center (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vel	(I5)	[-228/2538] NED optical heliocentric recession velocity, {nu}_opt_	[ucd=spect.dopplerVeloc.opt;pos.heliocentric]
#Column	Inc	(F4.1)	[13.6/90] Optical r-band inclination, i (2)	[ucd=src.orbital.inclination]
#Column	PA	(F5.1)	[1.8/356] Optical r-band position angle of the kinematically redshifted half of the galaxy, calculated east of north (2)	[ucd=pos.posAng]
#Column	n_Name	(A1)	Flag on Name (3)	[ucd=meta.note]
#Column	S/N	(F5.1)	[1.6/232.6]? Signal-to-noise ratio of the integrated spectrum	[ucd=stat.snr]
#Column	Diamb	(F4.1)	[7.1/10.2] Diameter of the circularized synthesized beam, {theta}_b_	[ucd=phys.angSize]
#Column	rms	(I3)	[21/680] Integrated spectrum rms in 10.6km/s channels	[ucd=stat.stdev]
#Column	Vlsr	(I4)	[-222/2501]? Local Standard of Rest recession velocity of the line center (4)	[ucd=phys.veloc;pos.lsr]
#Column	Delv	(I3)	[92/621]? Velocity width of the line at zero intensity, {Delta}{nu}_line_	[ucd=spect.line.width]
#Column	l_Sco	(A1)	3{sigma} upper limit flag on Sco	[ucd=meta.code.error]
#Column	Sco	(F7.2)	[7.55/8369] Velocity-integrated CO flux	[ucd=phot.flux;em.line.CO]
#Column	e_Sco	(I2)	[6/45]? Sco uncertainty (5)	[ucd=stat.error]
#Column	l_logLCO	(A1)	3{sigma} upper limit flag on logLCO	[ucd=meta.code.error]
#Column	logLCO	(F5.2)	[6/9.2] CO line luminosity given by Equation 5 (6)	[ucd=phys.luminosity;em.line.CO]
#Column	e_logLCO	(F5.2)	[0/0.27]? logLCO uncertainty	[ucd=stat.error]
#Column	l_TCO	(A1)	3{sigma} upper limit flag on TCO	[ucd=meta.code.error]
#Column	TCO	(F5.2)	[0.04/11.44] Mean velocity-integrated CO intensity	[ucd=spect.line.intensity;em.line.CO;stat.mean]
#Column	e_TCO	(F5.2)	[0.02/0.11]? TCO uncertainty	[ucd=stat.error]
#Column	l_logMmol	(A1)	3{sigma} upper limit flag on logMmol	[ucd=meta.code.error]
#Column	logMmol	(F5.2)	[6.84/9.88] logarithm of molecular gas mass given by Equation 7 (7)	[ucd=phys.mass]
#Column	e_logMmol	(F5.2)	[0/0.27]? logMmol uncertainty	[ucd=stat.error]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
recno	Rd	Name	f_Name	RAJ2000	DEJ2000	Vel	Inc	PA	n_Name	S/N	Diamb	rms	Vlsr	Delv	l_Sco	Sco	e_Sco	l_logLCO	logLCO	e_logLCO	l_TCO	TCO	e_TCO	l_logMmol	logMmol	e_logMmol	Simbad	NED
 	 	 	 	deg	deg	km/s	deg	deg	 	 	arcsec	mJy	km/s	km/s	 	Jy.km/s	Jy.km/s	 	[K.km/s.pc2]	[K.km/s.pc2]	 	K.km/s	K.km/s	 	[Msun]	[Msun]	 	
--------	-	-------	---	-------	--------	-----	----	-----	-	-----	----	---	----	---	-	-------	--	-	-----	-----	-	-----	-----	-	-----	-----	------	---
       1	*	IC3392 	a  	187.180	+14.9993	 1678	67.5	219.0	 	 28.3	 8.4	134	1690	206	 	 259.00	 9	 	 7.63	 0.02	 	 1.87	 0.07	 	 8.37	 0.02	Simbad	NED
       2	 	IC3418 	a  	187.431	+11.4022	   38	61.6	232.6	a	     	 8.1	101	    	   	<	  30.29	  	<	 6.70	     	<	11.44	     	<	 7.44	     	Simbad	NED
       3	*	NGC4064	   	181.047	+18.4442	 1000	69.6	150.1	 	 23.3	 9.0	 32	 954	225	 	 285.00	12	 	 7.67	 0.02	 	 2.48	 0.11	 	 8.41	 0.02	Simbad	NED
       4	*	NGC4189	a  	183.448	+13.4263	 1995	42.5	 69.5	 	 38.9	 7.5	202	2133	289	 	 545.00	14	 	 7.95	 0.01	 	 1.59	 0.04	 	 8.69	 0.01	Simbad	NED
       5	*	NGC4192	a  	183.452	+14.8992	 -118	82.6	333.4	 	 74.4	 9.2	358	-143	518	 	1997.00	27	 	 8.52	 0.01	 	 2.78	 0.04	 	 9.26	 0.01	Simbad	NED
       6	*	NGC4216	a  	183.976	+13.1486	   30	90.0	 20.4	 	 40.9	 7.2	304	 160	621	 	1009.00	25	 	 8.22	 0.01	 	 1.37	 0.03	 	 8.96	 0.01	Simbad	NED
       7	*	NGC4222	   	184.094	+13.3070	  225	90.0	237.5	 	 12.5	 8.4	 26	 230	255	 	 128.00	10	 	 7.33	 0.03	 	 0.58	 0.05	 	 8.06	 0.03	Simbad	NED
       8	*	NGC4254	a,b	184.707	+14.4182	 2453	38.8	242.9	 	185.0	 8.6	331	2447	320	 	8369.00	45	 	 9.14	 0.00	 	 4.64	 0.03	 	 9.88	 0.00	Simbad	NED
       9	*	NGC4293	a,b	185.306	+18.3842	  717	67.4	239.3	 	 48.8	 7.6	328	 936	297	 	 810.00	17	 	 8.13	 0.01	 	 3.80	 0.08	 	 8.86	 0.01	Simbad	NED
      10	*	NGC4294	   	185.324	+11.5109	  421	73.8	150.5	 	  6.4	 8.2	 29	 376	173	 	  62.00	10	 	 7.01	 0.07	 	 0.37	 0.06	 	 7.75	 0.07	Simbad	NED
      11	*	NGC4298	a,b	185.388	+14.6055	 1122	52.3	132.3	 	 82.7	 7.5	191	1140	278	 	1336.00	16	 	 8.35	 0.01	 	 2.50	 0.03	 	 9.08	 0.01	Simbad	NED
      12	*	NGC4299	a  	185.420	+11.5017	  209	13.6	128.1	 	  5.2	 8.3	117	 239	112	 	  42.00	 8	 	 6.84	 0.08	 	 0.19	 0.04	 	 7.58	 0.08	Simbad	NED
      13	*	NGC4302	a  	185.426	+14.5992	 1111	90.0	356.0	 	 67.2	 7.7	313	1158	410	 	1375.00	20	 	 8.36	 0.01	 	 3.39	 0.05	 	 9.09	 0.01	Simbad	NED
      14	*	NGC4321	a,b	185.728	+15.8259	 1579	32.2	280.0	 	187.9	10.2	433	1590	279	 	7635.00	41	 	 9.10	 0.00	 	 3.45	 0.02	 	 9.84	 0.00	Simbad	NED
      15	*	NGC4330	   	185.821	+11.3678	 1567	90.0	238.1	 	 16.4	 7.7	 32	1566	298	 	 241.00	15	 	 7.60	 0.03	 	 1.19	 0.07	 	 8.34	 0.03	Simbad	NED
      16	*	NGC4351	a  	186.005	+12.2042	 2388	47.7	250.9	 	 11.8	 8.5	149	2324	124	 	  79.00	 7	 	 7.11	 0.04	 	 0.37	 0.03	 	 7.85	 0.04	Simbad	NED
      17	*	NGC4380	   	186.342	+10.0167	  935	60.6	157.9	 	 35.3	 7.5	249	 990	307	 	 432.00	12	 	 7.86	 0.01	 	 0.90	 0.03	 	 8.59	 0.01	Simbad	NED
      18	*	NGC4383	   	186.356	+16.4699	 1663	55.8	 17.5	 	 22.9	 8.1	184	1715	206	 	 263.00	11	 	 7.64	 0.02	 	 1.26	 0.05	 	 8.37	 0.02	Simbad	NED
      19	*	NGC4388	   	186.444	+12.6629	 2538	82.7	270.7	 	 49.3	 8.1	 25	2501	486	 	 859.00	17	 	 8.15	 0.01	 	 2.86	 0.06	 	 8.89	 0.01	Simbad	NED
      20	*	NGC4394	   	186.482	+18.2145	  772	31.9	311.8	 	 12.0	 8.7	 24	 929	215	 	 105.00	 9	 	 7.24	 0.04	 	 0.44	 0.04	 	 7.98	 0.04	Simbad	NED
      21	*	NGC4396	a  	186.499	+15.6695	 -115	82.8	304.2	 	 10.0	 7.8	217	-119	193	 	 124.00	12	 	 7.32	 0.04	 	 0.61	 0.06	 	 8.05	 0.04	Simbad	NED
