galaxy	viva_native_bmaj_as	viva_native_bmin_as	viva_native_bpa_deg	viva_rms_mJy_beam
NGC4064	16.28	16.14	-79	0.29
NGC4189	16.49	15.55	+33	0.32
NGC4192	27.99	25.90	+76	1.00
NGC4216	16.44	15.90	-33	0.65
NGC4222	16.44	15.90	-33	0.54
NGC4254	26.78	24.46	+48	0.41
NGC4293	16.58	15.40	-69	0.33
NGC4294	28.93	26.74	-34	0.29
NGC4298	16.85	15.72	-59	0.35
NGC4299	28.93	26.74	-34	0.29
NGC4302	16.85	15.72	-59	0.35
NGC4321	31.10	28.11	-26	0.37
NGC4330	26.36	23.98	-56	0.38
NGC4351	16.77	16.31	-38	0.30
NGC4380	16.53	15.51	-47	0.37
NGC4383	44.58	37.81	-38	0.26
NGC4388	17.14	15.12	+01	0.36
NGC4394	16.71	15.17	-59	0.32
NGC4396	27.39	26.84	-03	0.28
NGC4405	16.59	15.36	-61	0.36
NGC4402	17.07	15.27	+07	0.33
IC3355	17.07	15.27	+07	0.36
NGC4419	16.35	15.26	-09	0.32
NGC4424	17.59	15.53	+36	0.39
NGC4450	16.45	15.61	-79	0.36
IC3392	17.06	15.06	+15	0.28
NGC4457	17.43	16.28	-36	0.47
IC3418	16.67	15.77	-64	0.43
NGC4501	16.99	16.56	+51	0.57
NGC4522	18.88	15.20	-43	0.40
NGC4532	17.36	16.19	+22	0.33
NGC4535	24.98	24.07	+22	0.60
NGC4533	18.04	16.18	-12	0.33
NGC4536	18.04	16.18	-12	0.33
VCC1581	17.36	16.19	+22	0.33
NGC4548	16.59	15.81	-37	0.30
NGC4561	15.44	14.00	-39	1.40
NGC4567	17.12	15.98	-53	0.36
NGC4568	17.12	15.98	-53	0.36
NGC4569	16.38	16.27	+10	0.33
NGC4579	42.42	34.49	+37	0.45
NGC4580	17.37	16.34	-03	0.31
NGC4606	16.68	15.49	-54	0.29
NGC4607	16.68	15.49	-54	0.29
NGC4651	16.67	16.25	-69	0.40
NGC4654	16.14	15.52	+35	0.45
NGC4689	16.71	15.85	-37	0.27
VCC2062	16.35	16.12	+12	0.38
NGC4694	16.35	16.12	+12	0.38
NGC4698	16.96	16.20	-29	0.35
NGC4713	25.95	22.13	+67	1.96
NGC4772	17.80	15.41	-36	0.36
NGC4808	40.01	35.53	+08	0.59
