run,period,condition,observable,h,in_i4_grid,n_games,N_anchored,alphabet_K,I_plugin_nats,I_MM_nats,I_MM_clamped_june29_nats,H_R_cond_MM_nats,T_vs_targetperm_nats,T_boot_sd_nats,T_ratio_h_over_h_plus_8,I_MM_own_targetperm_floor_nats,T_vs_own_floor_nats,T_own_ratio_h_over_h_plus_8
matched,2016-01,REAL,fromto,8,1,30000,724325,1792,1.299373,1.160426,1.160426,5.092876,0.812440,0.003045,1.315007,0.348049,0.812376,1.314072
matched,2016-01,REAL,fromto,12,1,30000,724325,1792,1.223359,1.073145,1.073145,5.356964,0.702258,0.003353,1.275110,0.370130,0.703015,1.276796
matched,2016-01,REAL,fromto,16,1,30000,724325,1792,1.168030,1.008780,1.008780,5.572536,0.617822,0.003169,1.256598,0.390567,0.618213,1.258496
matched,2016-01,REAL,fromto,20,0,30000,724325,1792,1.123717,0.956582,0.956582,5.745926,0.550743,0.003260,1.250210,0.405974,0.550608,1.251276
matched,2016-01,REAL,fromto,24,1,30000,724325,1792,1.085102,0.911192,0.911192,5.883261,0.491662,0.003357,1.249661,0.419961,0.491231,1.244676
matched,2016-01,REAL,fromto,28,0,30000,724325,1792,1.051720,0.872244,0.872244,5.991270,0.440520,0.003436,1.233445,0.432207,0.440037,1.234478
matched,2016-01,REAL,fromto,32,1,30000,724325,1792,1.018685,0.834523,0.834523,6.077802,0.393436,0.003326,1.222988,0.439857,0.394666,1.232148
matched,2016-01,REAL,fromto,36,0,30000,724325,1792,0.991130,0.803345,0.803345,6.141699,0.357146,0.003467,1.234359,0.446889,0.356456,1.227495
matched,2016-01,REAL,fromto,40,1,30000,724325,1792,0.962650,0.771786,0.771786,6.193380,0.321701,0.003427,1.227542,0.451479,0.320307,1.217535
matched,2016-01,REAL,fromto,44,0,30000,724325,1792,0.936698,0.743387,0.743387,6.231468,0.289337,0.003515,1.216768,0.452994,0.290393,1.212842
matched,2016-01,REAL,fromto,48,1,30000,724325,1792,0.910695,0.715825,0.715825,6.259705,0.262069,0.003287,1.219975,0.452746,0.263079,1.220983
matched,2016-01,REAL,fromto,52,0,30000,724325,1792,0.887452,0.691665,0.691665,6.276624,0.237792,0.003366,1.218173,0.452233,0.239432,1.221412
matched,2016-01,REAL,fromto,56,0,30000,724325,1792,0.863530,0.667058,0.667058,6.287568,0.214815,0.003418,1.203669,0.451593,0.215465,1.211941
matched,2016-01,REAL,fromto,60,0,30000,724325,1792,0.840115,0.643942,0.643942,6.290802,0.195204,0.003377,1.188716,0.447913,0.196029,1.196428
matched,2016-01,REAL,fromto,64,1,30000,724325,1792,0.819230,0.623395,0.623395,6.287170,0.178467,0.003544,1.196141,0.445610,0.177785,1.198830
matched,2016-01,REAL,fromto,68,0,30000,724325,1792,0.799455,0.604712,0.604712,6.278928,0.164214,0.003473,1.201730,0.440867,0.163845,1.210007
matched,2016-01,REAL,fromto,72,0,30000,724325,1792,0.779287,0.585630,0.585630,6.270862,0.149202,0.003610,1.208751,0.437331,0.148298,1.206231
matched,2016-01,REAL,fromto,76,0,30000,724325,1792,0.759538,0.566905,0.566905,6.259829,0.136648,0.003455,1.216143,0.431496,0.135408,1.215557
matched,2016-01,REAL,fromto,80,1,30000,724325,1792,0.741093,0.550003,0.550003,6.244715,0.123435,0.003398,1.195342,0.427060,0.122944,1.218802
matched,2016-01,REAL,fromto,84,0,30000,724325,1792,0.722067,0.532275,0.532275,6.231817,0.112362,0.003481,1.199932,0.420878,0.111396,1.187209
matched,2016-01,REAL,fromto,88,0,30000,724325,1792,0.705969,0.517724,0.517724,6.217949,0.103264,0.003439,1.208287,0.416852,0.100873,1.174614
matched,2016-01,REAL,fromto,92,0,30000,724325,1792,0.692291,0.505308,0.505308,6.208796,0.093640,0.003453,,0.411478,0.093830,
matched,2016-01,REAL,fromto,96,1,30000,724325,1792,0.682445,0.495221,0.495221,6.215716,0.085463,0.003668,,0.409344,0.085877,
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,8,1,30000,724325,1792,0.925921,0.634655,0.634655,6.177994,0.286669,,1.186050,0.622875,0.011780,1.076233
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,12,1,30000,724325,1792,0.925526,0.634253,0.634253,6.178374,0.263366,,1.156736,0.622900,0.011353,1.058118
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,16,1,30000,724325,1792,0.924255,0.632658,0.632658,6.179479,0.241700,,1.121666,0.621713,0.010945,0.932694
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,20,0,30000,724325,1792,0.924905,0.633520,0.633520,6.179485,0.227681,,1.131728,0.622790,0.010730,1.120190
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,24,1,30000,724325,1792,0.926288,0.635014,0.635014,6.178834,0.215483,,1.108909,0.623279,0.011735,0.870668
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,28,0,30000,724325,1792,0.924500,0.632904,0.632904,6.180765,0.201180,,1.071460,0.623326,0.009578,0.895621
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,32,1,30000,724325,1792,0.926668,0.635407,0.635407,6.178009,0.194320,,1.052304,0.621929,0.013478,1.112689
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,36,0,30000,724325,1792,0.925610,0.633961,0.633961,6.179930,0.187762,,1.046614,0.623266,0.010695,0.976898
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,40,1,30000,724325,1792,0.926314,0.634747,0.634747,6.179350,0.184662,,1.023935,0.622634,0.012113,1.037675
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,44,0,30000,724325,1792,0.925211,0.633449,0.633449,6.181435,0.179400,,0.991670,0.622502,0.010947,0.983830
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,48,1,30000,724325,1792,0.925619,0.634101,0.634101,6.179890,0.180345,,0.989390,0.622428,0.011673,1.153400
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,52,0,30000,724325,1792,0.926107,0.634780,0.634780,6.178475,0.180907,,0.973075,0.623652,0.011127,0.954909
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,56,0,30000,724325,1792,0.925950,0.634522,0.634522,6.179491,0.182279,,0.966826,0.624401,0.010121,0.931993
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,60,0,30000,724325,1792,0.925969,0.634651,0.634651,6.178774,0.185912,,0.966606,0.622998,0.011653,1.226886
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,64,1,30000,724325,1792,0.925028,0.633462,0.633462,6.180415,0.188534,,0.953515,0.622602,0.010859,0.895152
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,68,0,30000,724325,1792,0.924566,0.632834,0.632834,6.181533,0.192335,,0.950134,0.623336,0.009498,0.925065
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,72,0,30000,724325,1792,0.925260,0.634152,0.634152,6.178088,0.197725,,0.956012,0.622021,0.012131,1.221116
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,76,0,30000,724325,1792,0.924242,0.632686,0.632686,6.180089,0.202429,,0.942242,0.622419,0.010267,0.872742
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,80,1,30000,724325,1792,0.925012,0.633391,0.633391,6.179913,0.206823,,0.943526,0.623456,0.009935,0.917934
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,84,0,30000,724325,1792,0.926059,0.634751,0.634751,6.178613,0.214838,,0.964106,0.622987,0.011764,1.003180
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,88,0,30000,724325,1792,0.925311,0.633663,0.633663,6.180395,0.219202,,0.976792,0.622840,0.010823,0.932978
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,92,0,30000,724325,1792,0.926083,0.634505,0.634505,6.180120,0.222836,,,0.622778,0.011727,
matched,2016-01,WITHIN_GAME_SCRAMBLE,fromto,96,1,30000,724325,1792,0.925569,0.634168,0.634168,6.179845,0.224410,,,0.622568,0.011600,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,8,1,30000,724325,1792,0.512516,0.347986,0.347986,5.905315,0.000000,,,0.347986,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,12,1,30000,724325,1792,0.545593,0.370887,0.370887,6.059222,0.000000,,,0.370887,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,16,1,30000,724325,1792,0.574388,0.390958,0.390958,6.190357,0.000000,,,0.390958,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,20,0,30000,724325,1792,0.596933,0.405839,0.405839,6.296669,0.000000,,,0.405839,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,24,1,30000,724325,1792,0.616592,0.419530,0.419530,6.374923,0.000000,,,0.419530,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,28,0,30000,724325,1792,0.633537,0.431724,0.431724,6.431790,0.000000,,,0.431724,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,32,1,30000,724325,1792,0.646149,0.441087,0.441087,6.471239,0.000000,,,0.441087,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,36,0,30000,724325,1792,0.653778,0.446199,0.446199,6.498845,0.000000,,,0.446199,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,40,1,30000,724325,1792,0.659071,0.450085,0.450085,6.515081,0.000000,,,0.450085,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,44,0,30000,724325,1792,0.663955,0.454050,0.454050,6.520805,0.000000,,,0.454050,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,48,1,30000,724325,1792,0.663589,0.453756,0.453756,6.521775,0.000000,,,0.453756,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,52,0,30000,724325,1792,0.663342,0.453873,0.453873,6.514416,0.000000,,,0.453873,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,56,0,30000,724325,1792,0.660926,0.452242,0.452242,6.502383,0.000000,,,0.452242,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,60,0,30000,724325,1792,0.656181,0.448739,0.448739,6.486005,0.000000,,,0.448739,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,64,1,30000,724325,1792,0.650452,0.444928,0.444928,6.465637,0.000000,,,0.444928,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,68,0,30000,724325,1792,0.644241,0.440499,0.440499,6.443142,0.000000,,,0.440499,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,72,0,30000,724325,1792,0.638167,0.436427,0.436427,6.420065,0.000000,,,0.436427,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,76,0,30000,724325,1792,0.630066,0.430257,0.430257,6.396477,0.000000,,,0.430257,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,80,1,30000,724325,1792,0.623864,0.426568,0.426568,6.368150,0.000000,,,0.426568,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,84,0,30000,724325,1792,0.615288,0.419913,0.419913,6.344179,0.000000,,,0.419913,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,88,0,30000,724325,1792,0.607695,0.414461,0.414461,6.321213,0.000000,,,0.414461,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,92,0,30000,724325,1792,0.603160,0.411668,0.411668,6.302436,0.000000,,,0.411668,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,fromto,96,1,30000,724325,1792,0.600810,0.409758,0.409758,6.301179,0.000000,,,0.409758,0.000000,
matched,2016-01,PARITY_PRESERVING_WITHIN_GAME_SCRAMBLE,fromto,8,1,30000,724325,1792,1.038575,0.758786,0.758786,6.054135,0.410800,,1.115409,0.625222,0.133564,0.982350
matched,2016-01,PARITY_PRESERVING_WITHIN_GAME_SCRAMBLE,fromto,12,1,30000,724325,1792,1.036788,0.756887,0.756887,6.055938,0.386000,,1.094327,0.623336,0.133551,0.989758
matched,2016-01,PARITY_PRESERVING_WITHIN_GAME_SCRAMBLE,fromto,16,1,30000,724325,1792,1.038958,0.759253,0.759253,6.054685,0.368296,,1.086632,0.623289,0.135964,1.008888
matched,2016-01,PARITY_PRESERVING_WITHIN_GAME_SCRAMBLE,fromto,20,0,30000,724325,1792,1.038449,0.758567,0.758567,6.055270,0.352728,,1.077717,0.623634,0.134934,1.003780
matched,2016-01,PARITY_PRESERVING_WITHIN_GAME_SCRAMBLE,fromto,24,1,30000,724325,1792,1.038290,0.758463,0.758463,6.055163,0.338933,,1.071493,0.623697,0.134766,1.003855
matched,2016-01,PARITY_PRESERVING_WITHIN_GAME_SCRAMBLE,fromto,28,0,30000,724325,1792,1.039057,0.759016,0.759016,6.055709,0.327292,,1.051684,0.624591,0.134425,1.000582
matched,2016-01,PARITY_PRESERVING_WITHIN_GAME_SCRAMBLE,fromto,32,1,30000,724325,1792,1.037398,0.757405,0.757405,6.055740,0.316319,,1.023414,0.623157,0.134249,0.976804
