run,period,condition,observable,h,in_i4_grid,n_games,N_anchored,alphabet_K,I_plugin_nats,I_MM_nats,I_MM_clamped_june29_nats,H_R_cond_MM_nats,T_vs_targetperm_nats,T_boot_sd_nats,T_ratio_h_over_h_plus_8,I_MM_own_targetperm_floor_nats,T_vs_own_floor_nats,T_own_ratio_h_over_h_plus_8
power,2016-01,REAL,fromto,8,1,120000,2887248,1792,1.038612,0.954291,0.954291,5.295574,0.818871,0.001326,1.304973,0.135604,0.818687,1.305116
power,2016-01,REAL,fromto,12,1,120000,2887248,1792,0.942331,0.851410,0.851410,5.575694,0.708335,0.001091,1.265985,0.142873,0.708538,1.266014
power,2016-01,REAL,fromto,16,1,120000,2887248,1792,0.872286,0.776229,0.776229,5.802378,0.627500,0.001486,1.249539,0.148938,0.627291,1.249713
power,2016-01,REAL,fromto,20,0,120000,2887248,1792,0.814630,0.714498,0.714498,5.985566,0.559513,0.001186,1.237848,0.154838,0.559661,1.239591
power,2016-01,REAL,fromto,24,1,120000,2887248,1792,0.765102,0.661470,0.661470,6.130884,0.502186,0.001143,1.230173,0.159522,0.501948,1.228727
power,2016-01,REAL,fromto,28,0,120000,2887248,1792,0.721580,0.615254,0.615254,6.245908,0.452004,0.001013,1.221264,0.163766,0.451488,1.220696
power,2016-01,REAL,fromto,32,1,120000,2887248,1792,0.683160,0.574760,0.574760,6.334941,0.408223,0.001065,1.217186,0.166250,0.408510,1.219274
power,2016-01,REAL,fromto,36,0,120000,2887248,1792,0.648820,0.538749,0.538749,6.404031,0.370112,0.001100,1.218339,0.168888,0.369861,1.215747
power,2016-01,REAL,fromto,40,1,120000,2887248,1792,0.616749,0.505477,0.505477,6.457536,0.335383,0.001077,1.215437,0.170433,0.335044,1.211867
power,2016-01,REAL,fromto,44,0,120000,2887248,1792,0.587446,0.475295,0.475295,6.496917,0.303784,0.001036,1.209507,0.171070,0.304225,1.212807
power,2016-01,REAL,fromto,48,1,120000,2887248,1792,0.560354,0.447836,0.447836,6.524321,0.275936,0.001040,1.205534,0.171367,0.276469,1.207015
power,2016-01,REAL,fromto,52,0,120000,2887248,1792,0.535240,0.422701,0.422701,6.541667,0.251163,0.001092,1.200472,0.171857,0.250844,1.202135
power,2016-01,REAL,fromto,56,0,120000,2887248,1792,0.512561,0.400169,0.400169,6.550728,0.228891,0.000993,1.194311,0.171117,0.229052,1.194959
