survey,dataset,SNID,join_key,JLA_x1,JLA_c,JLA_logMst,JLA_tmax,PplusCID,Pplus_x1,Pplus_c,Pplus_HOST_LOGMASS,Pplus_PKMJD
PS1MD,PS1MD_Jones18,PS0909006,PS0909006,,,,,,,,,
PS1MD,PS1MD_Jones18,PS0909010,PS0909010,,,,,,,,,
PS1MD,PS1MD_Jones18,PS0910017,PS0910017,,,,,,,,,
PS1MD,PS1MD_Jones18,PS0910018,PS0910018,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc000006,6,,,,,000006,-0.009105,0.12905,10.793,55204.1
PS1MD,PS1MD_Jones18,PSc000010,10,,,,,000010,0.29723,0.013287,10.786,55215.3
PS1MD,PS1MD_Jones18,PSc000011,11,,,,,000011,-2.14572,0.11588,11.5,55210.8
PS1MD,PS1MD_Jones18,PSc000014,14,,,,,000014,0.47577,-0.111842,9.80415,55201.2
PS1MD,PS1MD_Jones18,PSc000022,22,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc000034,34,,,,,000034,1.00288,-0.119666,8.938,55208.1
PS1MD,PS1MD_Jones18,PSc000038,38,,,,,000038,0.71049,-0.028408,9.126,55204.3
PS1MD,PS1MD_Jones18,PSc000060,60,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc000077,77,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc000080,80,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc000091,91,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc000095,95,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc000142,142,,,,,000142,-0.769832,-0.030455,11.5,55214.2
PS1MD,PS1MD_Jones18,PSc000150,150,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc000156,156,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc000174,174,,,,,000174,-0.731508,0.08696,10.532,55216.8
PS1MD,PS1MD_Jones18,PSc000186,186,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc000190,190,,,,,000190,0.084611,0.003738,7.0,55224.4
PS1MD,PS1MD_Jones18,PSc000196,196,,,,,000196,0.45123,-0.050007,9.66,55216.6
PS1MD,PS1MD_Jones18,PSc000199,199,,,,,000199,0.89801,-0.110945,10.475,55214.5
PS1MD,PS1MD_Jones18,PSc000200,200,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc000202,202,,,,,000202,0.61215,-0.168582,9.943,55215.3
PS1MD,PS1MD_Jones18,PSc000210,210,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc000215,215,,,,,000215,0.97228,-0.09831,8.707,55222.8
PS1MD,PS1MD_Jones18,PSc000220,220,,,,,000220,-0.700887,-0.129253,11.335,55227.5
PS1MD,PS1MD_Jones18,PSc000227,227,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc000236,236,,,,,000236,-0.201493,-0.084432,10.902,55211.1
PS1MD,PS1MD_Jones18,PSc000260,260,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc000268,268,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc000345,345,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc000349,349,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc000418,418,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc000420,420,,,,,000420,-0.749021,-0.081778,9.742,55223.4
PS1MD,PS1MD_Jones18,PSc000552,552,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc010009,10009,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc010010,10010,,,,,010010,0.9091,0.010397,9.50285,55238.9
PS1MD,PS1MD_Jones18,PSc010014,10014,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc010024,10024,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc010026,10026,,,,,010026,-0.409321,-0.031578,9.61222,55248.0
PS1MD,PS1MD_Jones18,PSc010053,10053,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc010055,10055,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc010074,10074,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc010167,10167,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc010174,10174,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc010178,10178,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc010191,10191,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc010196,10196,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc010203,10203,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc010204,10204,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc010218,10218,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc010222,10222,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc010230,10230,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc010430,10430,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc020026,20026,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc020027,20027,,,,,020027,0.29665,0.036283,10.0054,55270.8
PS1MD,PS1MD_Jones18,PSc020033,20033,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc020034,20034,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc020047,20047,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc020090,20090,,,,,020090,0.32073,-0.013278,11.32,55272.2
PS1MD,PS1MD_Jones18,PSc020096,20096,,,,,020096,-0.69326,-0.076474,9.059,55281.4
PS1MD,PS1MD_Jones18,PSc020104,20104,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc020123,20123,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc020132,20132,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc020148,20148,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc020176,20176,,,,,020176,0.89957,-0.088821,8.7022,55270.0
PS1MD,PS1MD_Jones18,PSc020194,20194,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc020198,20198,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc030005,30005,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc030006,30006,,,,,030006,0.47249,-0.090771,9.524,55288.5
PS1MD,PS1MD_Jones18,PSc030007,30007,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc030066,30066,,,,,030066,1.38181,-0.133984,9.134,55300.4
PS1MD,PS1MD_Jones18,PSc030068,30068,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc030216,30216,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc030245,30245,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc030252,30252,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc030263,30263,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040121,40121,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040137,40137,,,,,040137,1.08695,0.023926,8.743,55326.4
PS1MD,PS1MD_Jones18,PSc040139,40139,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040147,40147,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040150,40150,,,,,040150,-0.249703,-0.047299,8.413,55337.8
PS1MD,PS1MD_Jones18,PSc040151,40151,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040163,40163,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040166,40166,,,,,040166,0.30821,-0.148968,8.798,55326.5
PS1MD,PS1MD_Jones18,PSc040168,40168,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040169,40169,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040170,40170,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040176,40176,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040198,40198,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040201,40201,,,,,040201,0.395,-0.08678,9.2773,55323.3
PS1MD,PS1MD_Jones18,PSc040313,40313,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040316,40316,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040318,40318,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040343,40343,,,,,,,,,
