survey,CID,IDSURVEY,zCMB,zCMBERR,zHEL,zHELERR,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB
PS1MD,370356,15,0.025,6e-05,0.02428,6e-05,-0.077152,0.035225,-0.288703,0.13403,15.8651,0.0491791,0.00809007,0.000366445,0.00107405,-2.87145e-05,-1.07059e-05,183.406,46.4835,-999,-999,19.1441,-50.8392,250,0.0158603,8.48686,1.0,56015.8,0.0945,13,9.37956,0.74371
PS1MD,010026,15,0.03174,3e-05,0.03123,3e-05,-0.031578,0.032595,-0.409321,0.082041,16.4521,0.0382227,0.00471142,0.000165863,0.000205188,-3.70719e-06,-4.74179e-06,160.674,58.8438,-999,-999,14.8541,-178.946,250,0.00699953,9.61222,0.01,55248.0,0.0796,15,20.5415,0.15213
PS1MD,360156,15,0.04673,1e-05,0.04551,1e-05,-0.028343,0.035452,-0.863374,0.14775,17.3611,0.0425157,0.00203967,7.98704e-05,0.000139624,-4.07561e-06,-2.30678e-06,150.807,1.8953,-999,-999,15.398,46.5044,250,0.0183725,9.8038,0.045,55988.6,0.1841,10,5.54857,0.85166
PS1MD,490007,15,0.05513,1e-05,0.05439,1e-05,-0.026126,0.033123,-0.205706,0.0865,17.6246,0.0393667,0.00160009,5.80161e-05,0.000210095,-1.65238e-06,-1.62078e-06,184.268,46.6275,-999,-999,17.1094,-80.9386,250,0.0157229,9.16275,0.067,56365.7,0.0764,12,12.2048,0.42938
SDSS,6057,1,0.06652,1e-05,0.06707,1e-05,0.11238,0.02879,-0.423267,0.10888,18.4415,0.0662818,0.000754045,4.60327e-05,-6.67907e-05,-1.78373e-07,-9.97409e-07,52.5536,-0.9746,-9,-9,0.514,-6.3317,250,0.10056,9.52798,0.049,53663.6,0.1027,36,49.1711,0.0705395
PS1MD,470043,15,0.07061,0.01,0.07,0.01,-9.4e-05,0.03351,0.45622,0.12587,18.4783,0.0401503,0.000728894,2.69543e-05,9.02873e-05,-1.01377e-06,-7.35628e-07,128.994,44.7675,-999,-999,24.2834,-79.7204,250,0.0267871,7.0,7.899,56313.8,0.0956,14,22.3559,0.0715904
PS1MD,370566,15,0.07134,0.001,0.0708,0.001,-0.012934,0.03377,-0.201739,0.10196,18.2153,0.0363325,0.000928749,3.10792e-05,-2.51459e-05,-8.05958e-07,-8.85944e-07,159.985,58.4149,-999,-999,17.5447,-92.1098,250,0.00546541,9.18771,0.192,56024.9,0.1067,14,22.5628,0.0677666
SDSS,7876,1,0.0749,1e-05,0.07602,1e-05,-0.02499,0.021045,0.46915,0.093387,18.1515,0.030609,0.000984904,2.77663e-05,0.000214653,-5.28068e-07,-4.55889e-07,19.1825,0.7946,-9,-9,3.701,-83.8601,250,0.0262922,9.78646,0.04,53685.5,0.0716,31,54.6332,0.00548727
PS1MD,370333,15,0.07557,0.001,0.075,0.001,-0.021726,0.037703,0.91969,0.16381,18.2386,0.044719,0.000909026,3.74407e-05,0.00187538,-3.32388e-06,-1.23623e-06,164.38,57.2977,-999,-999,20.0291,-84.0517,250,0.00660803,7.99137,0.1,56014.8,0.0979,15,26.4124,0.0339046
SDSS,17186,1,0.07849,2e-05,0.07944,2e-05,0.11553,0.024707,0.62903,0.14817,18.9969,0.0381544,0.000452108,1.58878e-05,8.47502e-05,-7.92376e-07,-2.95234e-07,31.6128,-0.8995,-9,-9,13.868,-72.372,250,0.0301623,10.1643,0.057,54353.8,0.1875,36,57.7386,0.0122048
PS1MD,560033,15,0.07869,0.01,0.08,0.01,0.09678,0.029915,-0.248002,0.14996,18.8016,0.0431323,0.000541182,2.14992e-05,0.000647543,-1.06099e-06,-5.34e-07,353.599,-0.6831,-999,-999,18.2026,-74.4184,250,0.0338446,9.07144,0.368,56578.4,0.1159,13,11.6726,0.55465
SDSS,12779,1,0.07891,3e-05,0.07995,3e-05,0.10798,0.032149,-0.63006,0.2493,18.9489,0.0670245,0.000472527,2.917e-05,-0.00332345,3.02233e-06,-7.86477e-07,309.472,1.2211,-9,-9,6.701,-40.944,250,0.0826316,10.332,0.083,53971.9,0.906,28,21.8388,0.7887
PS1MD,350316,15,0.07966,0.001,0.079,0.001,-0.071956,0.027541,-0.427538,0.086026,18.2603,0.038239,0.000891013,3.1381e-05,0.000264816,-8.75089e-07,-7.27092e-07,131.469,43.8188,-999,-999,19.3109,-69.2072,250,0.0261874,8.61131,0.566,55965.1,0.0743,18,16.913,0.52909
