jd_minus_2450000,mjd,rchi2,obs,det,A_mag,A_err,A_excluded,B_mag,B_err,B_excluded,C_mag,C_err,C_excluded,D_mag,D_err,D_excluded
4019.006,54018.506,1.15,MDM,RETROCAM,3.451,0.027,0,3.880,0.027,0,4.332,0.027,0,4.323,0.027,0
4029.001,54028.501,1.99,MDM,RETROCAM,3.488,0.027,0,3.952,0.027,0,4.382,0.027,0,4.347,0.027,0
4031.006,54030.506,1.46,MDM,RETROCAM,3.529,0.027,0,3.985,0.027,0,4.413,0.027,0,4.361,0.027,0
4035.026,54034.526,0.99,MDM,RETROCAM,3.477,0.027,0,4.024,0.027,0,4.326,0.027,0,4.395,0.027,0
4035.98,54035.48,2.20,MDM,RETROCAM,3.511,0.027,0,3.997,0.027,0,4.344,0.027,0,4.362,0.027,0
4039.016,54038.516,2.02,MDM,RETROCAM,3.576,0.027,0,4.061,0.027,0,4.394,0.027,0,4.434,0.027,0
4043.955,54043.455,0.86,MDM,RETROCAM,3.514,0.027,0,3.924,0.027,0,4.249,0.027,0,4.297,0.027,0
4044.949,54044.449,0.95,MDM,RETROCAM,3.525,0.027,0,3.930,0.027,0,4.256,0.027,0,4.318,0.027,0
4045.966,54045.466,0.77,MDM,RETROCAM,3.472,0.027,0,3.985,0.027,0,4.451,0.040,0,4.274,0.034,0
4046.966,54046.466,1.03,MDM,RETROCAM,3.512,0.027,0,3.916,0.027,0,4.271,0.027,0,4.285,0.027,0
4047.004,54046.504,0.47,FLWO,Keplercam,3.427,0.103,0,3.915,0.158,0,4.415,0.252,0,4.625,0.298,0
4048.968,54048.468,1.34,MDM,RETROCAM,3.518,0.027,0,3.924,0.027,0,4.276,0.027,0,4.337,0.027,0
4050.008,54049.508,0.97,MDM,RETROCAM,3.523,0.027,0,3.943,0.027,0,4.245,0.027,0,4.322,0.027,0
4054.008,54053.508,0.59,FLWO,Keplercam,3.486,0.027,0,3.877,0.034,0,4.258,0.049,0,4.344,0.052,0
4059.902,54059.402,1.41,MDM,RETROCAM,3.580,0.027,0,3.998,0.027,0,4.415,0.027,0,4.393,0.027,0
4059.947,54059.447,1.46,FLWO,Keplercam,3.490,0.027,0,3.936,0.027,0,4.291,0.027,0,4.419,0.027,0
4060.884,54060.384,2.58,FLWO,Keplercam,3.477,0.027,0,3.908,0.027,0,4.282,0.027,0,4.412,0.027,0
4065.001,54064.501,0.92,FLWO,Keplercam,3.498,0.027,0,3.875,0.028,0,4.339,0.042,0,4.330,0.041,0
4066.006,54065.506,0.80,FLWO,Keplercam,3.507,0.048,0,3.824,0.063,0,4.313,0.100,0,4.301,0.098,0
4067.965,54067.465,1.40,MDM,RETROCAM,3.655,0.027,1,4.007,0.027,1,4.487,0.027,0,4.440,0.027,0
4070.954,54070.454,1.16,FLWO,Keplercam,3.522,0.027,0,3.835,0.027,0,4.330,0.041,0,4.307,0.040,0
4071.884,54071.384,0.96,MDM,RETROCAM,3.566,0.027,0,3.854,0.027,0,4.292,0.027,0,4.306,0.027,0
4072.014,54071.514,1.48,FLWO,Keplercam,3.525,0.027,0,3.858,0.027,0,4.323,0.027,0,4.319,0.027,0
4072.89,54072.39,1.08,FLWO,Keplercam,3.533,0.046,0,3.820,0.059,0,4.317,0.094,0,4.304,0.092,0
4072.949,54072.449,0.81,MDM,RETROCAM,3.554,0.027,0,3.867,0.027,0,4.298,0.027,0,4.385,0.027,0
4073.894,54073.394,0.61,MDM,RETROCAM,3.585,0.027,0,3.865,0.027,0,4.345,0.035,0,4.332,0.035,0
4074.897,54074.397,1.27,MDM,RETROCAM,3.573,0.027,0,3.841,0.027,0,4.285,0.027,0,4.301,0.027,0
4074.996,54074.496,1.02,FLWO,Keplercam,3.509,0.037,0,3.873,0.051,0,4.350,0.079,0,4.390,0.081,0
4075.993,54075.493,0.86,FLWO,Keplercam,3.550,0.041,0,3.797,0.051,0,4.310,0.081,0,4.464,0.093,0
4076.029,54075.529,1.11,MDM,RETROCAM,3.604,0.027,0,3.848,0.027,0,4.349,0.027,0,4.313,0.027,0
4081.022,54080.522,1.29,FLWO,Keplercam,3.550,0.033,0,3.866,0.043,0,4.178,0.057,0,4.436,0.072,0
4082.865,54082.365,1.23,FLWO,Keplercam,3.521,0.028,0,3.802,0.034,0,4.192,0.049,0,4.334,0.055,0
4084.972,54084.472,0.82,FLWO,Keplercam,3.506,0.027,0,3.844,0.027,0,4.280,0.027,0,4.390,0.027,0
4086.877,54086.377,0.91,FLWO,Keplercam,3.524,0.027,0,3.826,0.034,0,4.242,0.049,0,4.424,0.057,0
4092.985,54092.485,0.62,FLWO,Keplercam,3.557,0.031,0,3.944,0.043,0,4.256,0.057,0,4.427,0.067,0
4093.956,54093.456,3.20,FLWO,Keplercam,3.527,0.027,0,3.782,0.033,0,4.250,0.051,0,4.330,0.054,0
4094.999,54094.499,0.62,FLWO,Keplercam,3.539,0.027,0,3.849,0.035,0,4.242,0.051,0,4.451,0.061,0
4096.038,54095.538,2.08,MDM,RETROCAM,3.692,0.027,1,3.990,0.027,0,4.408,0.027,0,4.454,0.027,0
4096.05,54095.55,1.25,FLWO,Keplercam,3.567,0.027,0,3.870,0.028,0,4.214,0.038,0,4.320,0.041,0
4100.947,54100.447,1.00,FLWO,Keplercam,3.567,0.033,0,3.892,0.043,0,4.143,0.055,0,4.435,0.070,0
4102.85,54102.35,0.38,FLWO,Keplercam,3.673,0.089,0,3.849,0.104,0,4.249,0.151,0,4.204,0.146,0
4107.9,54107.4,0.70,FLWO,Keplercam,3.668,0.061,0,4.024,0.084,0,4.232,0.104,0,4.694,0.153,0
4108.972,54108.472,0.86,FLWO,Keplercam,3.499,0.040,0,4.007,0.063,0,4.268,0.082,0,4.332,0.086,0
4109.979,54109.479,0.56,FLWO,Keplercam,3.547,0.063,0,4.086,0.101,0,4.271,0.123,0,4.494,0.149,0
4111.021,54110.521,1.10,FLWO,Keplercam,3.490,0.034,0,3.971,0.051,0,4.244,0.066,0,4.236,0.066,0
4115.026,54114.526,0.58,FLWO,Keplercam,3.468,0.028,0,3.923,0.041,0,4.120,0.049,0,4.347,0.060,0
4117.922,54117.422,1.25,FLWO,Keplercam,3.519,0.027,0,3.960,0.031,0,4.128,0.037,0,4.259,0.041,0
4126.888,54126.388,1.44,FLWO,Keplercam,3.502,0.027,0,3.955,0.036,0,4.308,0.050,0,4.209,0.046,0
4127.928,54127.428,0.82,FLWO,Keplercam,3.534,0.030,0,3.904,0.041,0,4.310,0.059,0,4.210,0.054,0
4128.896,54128.396,1.99,FLWO,Keplercam,3.513,0.028,0,3.974,0.041,0,4.284,0.057,0,4.248,0.054,0
4137.93,54137.43,1.00,FLWO,Keplercam,3.505,0.042,0,4.040,0.067,0,4.357,0.091,0,4.306,0.086,0
4138.775,54138.275,0.71,FLWO,Keplercam,3.558,0.052,0,4.106,0.084,0,4.188,0.095,0,4.387,0.112,0
4139.857,54139.357,1.68,FLWO,Keplercam,3.411,0.049,0,3.991,0.082,0,4.143,0.098,0,4.340,0.115,0
4140.82,54140.32,1.39,FLWO,Keplercam,3.507,0.027,0,4.002,0.027,0,4.336,0.036,0,4.273,0.035,0
4150.876,54150.376,1.36,FLWO,Keplercam,3.543,0.028,0,4.026,0.041,0,4.348,0.055,0,4.229,0.050,0
4152.757,54152.257,0.67,FLWO,Keplercam,3.533,0.038,0,4.167,0.067,0,4.355,0.078,0,4.420,0.084,0
4153.758,54153.258,0.59,FLWO,Keplercam,3.580,0.033,0,4.007,0.047,0,4.233,0.060,0,4.183,0.057,0
4155.833,54155.333,0.58,FLWO,Keplercam,3.499,0.038,0,4.094,0.064,0,4.187,0.072,0,4.252,0.076,0
4156.826,54156.326,0.89,FLWO,Keplercam,3.565,0.035,0,4.009,0.051,0,4.271,0.066,0,4.211,0.062,0
4165.922,54165.422,0.63,FLWO,Keplercam,3.625,0.027,0,4.455,0.027,1,4.535,0.027,0,4.534,0.027,0
4166.764,54166.264,1.84,FLWO,Keplercam,3.604,0.040,0,4.065,0.059,0,4.221,0.070,0,4.071,0.062,0
4168.83,54168.33,0.50,FLWO,Keplercam,3.659,0.041,0,4.135,0.061,0,4.219,0.068,0,4.176,0.066,0
4169.811,54169.311,1.40,FLWO,Keplercam,3.632,0.027,0,4.151,0.040,0,4.231,0.044,0,4.180,0.042,0
4170.776,54170.276,0.52,FLWO,Keplercam,3.603,0.027,0,4.156,0.027,0,4.181,0.028,0,4.143,0.027,0
4171.8,54171.3,1.45,FLWO,Keplercam,3.612,0.027,0,4.193,0.027,0,4.223,0.027,0,4.139,0.027,0
4172.714,54172.214,0.95,FLWO,Keplercam,3.639,0.027,0,4.173,0.039,0,4.212,0.041,0,4.117,0.038,0
4173.754,54173.254,2.61,FLWO,Keplercam,3.636,0.027,0,4.147,0.027,0,4.233,0.027,0,4.120,0.027,0
4174.778,54174.278,0.99,FLWO,Keplercam,3.665,0.027,0,4.155,0.036,0,4.208,0.039,0,4.099,0.035,0
4176.85,54176.35,0.89,FLWO,Keplercam,3.692,0.027,0,4.157,0.038,0,4.207,0.041,0,4.137,0.039,0
4177.7,54177.2,1.10,FLWO,Keplercam,3.635,0.027,0,4.166,0.034,0,4.176,0.035,0,4.082,0.033,0
4179.665,54179.165,0.98,FLWO,Keplercam,3.651,0.027,0,4.194,0.036,0,4.217,0.038,0,4.107,0.035,0
4180.687,54180.187,0.91,FLWO,Keplercam,3.664,0.027,0,4.200,0.038,0,4.162,0.038,0,4.120,0.037,0
4194.799,54194.299,0.68,FLWO,Keplercam,3.688,0.054,0,4.229,0.087,0,4.266,0.093,0,4.046,0.076,0
4197.724,54197.224,1.03,FLWO,Keplercam,3.734,0.027,0,4.138,0.035,0,4.230,0.039,0,4.059,0.034,0
4201.761,54201.261,0.76,FLWO,Keplercam,3.763,0.027,0,4.167,0.027,0,4.361,0.027,0,4.139,0.027,0
4213.802,54213.302,0.63,FLWO,Keplercam,3.739,0.057,0,4.046,0.075,0,4.371,0.105,0,4.115,0.083,0
4214.699,54214.199,0.93,FLWO,Keplercam,3.675,0.064,0,3.892,0.078,0,4.425,0.131,0,4.066,0.095,0
4215.7,54215.2,0.80,FLWO,Keplercam,3.782,0.060,0,4.041,0.076,0,4.507,0.118,0,4.113,0.083,0
4227.656,54227.156,0.50,FLWO,Keplercam,3.724,0.043,0,3.947,0.052,0,4.471,0.084,0,4.085,0.061,0
4230.661,54230.161,0.85,FLWO,Keplercam,3.778,0.035,0,3.976,0.041,0,4.390,0.060,0,4.098,0.047,0
4232.706,54232.206,0.56,FLWO,Keplercam,3.800,0.047,0,4.043,0.058,0,4.517,0.091,0,4.061,0.062,0
4233.737,54233.237,0.69,FLWO,Keplercam,3.720,0.039,0,4.054,0.052,0,4.436,0.074,0,4.065,0.054,0
4237.673,54237.173,0.54,FLWO,Keplercam,3.700,0.038,0,4.016,0.050,0,4.319,0.067,0,4.081,0.054,0
4238.688,54238.188,0.58,FLWO,Keplercam,3.713,0.042,0,3.976,0.052,0,4.485,0.084,0,4.114,0.061,0
4239.745,54239.245,0.45,FLWO,Keplercam,3.682,0.050,0,4.147,0.075,0,4.380,0.094,0,4.177,0.080,0
