image,mjd,jd_minus_2450000,mag,magerr,band,telescope,in_paper_fit
A,52993.02300,2993.523,19.111,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,52993.02300,2993.523,19.421,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,52993.02300,2993.523,20.099,0.038,SDSS r,FLWO 1.2m Keplercam,1
D,52993.02300,2993.523,20.872,0.081,SDSS r,FLWO 1.2m Keplercam,0
A,52996.84400,2997.344,19.083,0.021,SDSS r,FLWO 1.2m Keplercam,1
B,52996.84400,2997.344,19.429,0.029,SDSS r,FLWO 1.2m Keplercam,1
C,52996.84400,2997.344,20.229,0.063,SDSS r,FLWO 1.2m Keplercam,1
D,52996.84400,2997.344,20.966,0.132,SDSS r,FLWO 1.2m Keplercam,0
A,53022.10600,3022.606,19.044,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53022.10600,3022.606,19.436,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,53022.10600,3022.606,20.006,0.044,SDSS r,FLWO 1.2m Keplercam,1
D,53022.10600,3022.606,21.143,0.132,SDSS r,FLWO 1.2m Keplercam,0
A,53031.42000,3031.920,19.054,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53031.42000,3031.920,19.476,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,53031.42000,3031.920,20.054,0.037,SDSS r,FLWO 1.2m Keplercam,1
D,53031.42000,3031.920,21.038,0.097,SDSS r,FLWO 1.2m Keplercam,0
A,53032.42000,3032.920,19.027,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53032.42000,3032.920,19.409,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,53032.42000,3032.920,19.990,0.041,SDSS r,FLWO 1.2m Keplercam,1
D,53032.42000,3032.920,21.001,0.109,SDSS r,FLWO 1.2m Keplercam,0
A,53033.41300,3033.913,19.020,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53033.41300,3033.913,19.430,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,53033.41300,3033.913,19.992,0.046,SDSS r,FLWO 1.2m Keplercam,1
D,53033.41300,3033.913,20.996,0.122,SDSS r,FLWO 1.2m Keplercam,0
A,53034.41600,3034.916,19.033,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,53034.41600,3034.916,19.459,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,53034.41600,3034.916,20.002,0.034,SDSS r,FLWO 1.2m Keplercam,1
D,53034.41600,3034.916,21.140,0.102,SDSS r,FLWO 1.2m Keplercam,0
A,53035.40900,3035.909,19.037,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53035.40900,3035.909,19.458,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,53035.40900,3035.909,20.070,0.044,SDSS r,FLWO 1.2m Keplercam,1
D,53035.40900,3035.909,21.239,0.133,SDSS r,FLWO 1.2m Keplercam,0
A,53037.24200,3037.742,18.984,0.039,SDSS r,FLWO 1.2m Keplercam,1
B,53037.24200,3037.742,19.450,0.060,SDSS r,FLWO 1.2m Keplercam,1
C,53037.24200,3037.742,19.909,0.097,SDSS r,FLWO 1.2m Keplercam,1
D,53037.24200,3037.742,21.194,0.315,SDSS r,FLWO 1.2m Keplercam,0
A,53043.35400,3043.854,19.013,0.025,SDSS r,FLWO 1.2m Keplercam,1
B,53043.35400,3043.854,19.452,0.037,SDSS r,FLWO 1.2m Keplercam,1
C,53043.35400,3043.854,20.209,0.078,SDSS r,FLWO 1.2m Keplercam,1
D,53043.35400,3043.854,21.008,0.171,SDSS r,FLWO 1.2m Keplercam,0
A,53044.38500,3044.885,19.049,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53044.38500,3044.885,19.462,0.022,SDSS r,FLWO 1.2m Keplercam,1
C,53044.38500,3044.885,19.988,0.043,SDSS r,FLWO 1.2m Keplercam,1
D,53044.38500,3044.885,21.150,0.131,SDSS r,FLWO 1.2m Keplercam,0
A,53045.36200,3045.862,19.042,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,53045.36200,3045.862,19.461,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,53045.36200,3045.862,20.049,0.045,SDSS r,FLWO 1.2m Keplercam,1
D,53045.36200,3045.862,20.982,0.113,SDSS r,FLWO 1.2m Keplercam,0
A,53046.40800,3046.908,19.017,0.012,SDSS r,FLWO 1.2m Keplercam,1
B,53046.40800,3046.908,19.477,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,53046.40800,3046.908,20.020,0.034,SDSS r,FLWO 1.2m Keplercam,1
D,53046.40800,3046.908,21.158,0.103,SDSS r,FLWO 1.2m Keplercam,0
A,53047.36600,3047.866,19.029,0.009,SDSS r,FLWO 1.2m Keplercam,1
B,53047.36600,3047.866,19.462,0.013,SDSS r,FLWO 1.2m Keplercam,1
C,53047.36600,3047.866,20.014,0.040,SDSS r,FLWO 1.2m Keplercam,1
D,53047.36600,3047.866,21.112,0.113,SDSS r,FLWO 1.2m Keplercam,0
A,53048.38500,3048.885,19.011,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,53048.38500,3048.885,19.465,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,53048.38500,3048.885,20.021,0.029,SDSS r,FLWO 1.2m Keplercam,1
D,53048.38500,3048.885,21.518,0.122,SDSS r,FLWO 1.2m Keplercam,0
A,53051.35000,3051.850,19.028,0.009,SDSS r,FLWO 1.2m Keplercam,1
B,53051.35000,3051.850,19.470,0.013,SDSS r,FLWO 1.2m Keplercam,1
C,53051.35000,3051.850,19.995,0.033,SDSS r,FLWO 1.2m Keplercam,1
D,53051.35000,3051.850,20.999,0.085,SDSS r,FLWO 1.2m Keplercam,0
A,53052.36900,3052.869,19.026,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,53052.36900,3052.869,19.448,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,53052.36900,3052.869,20.037,0.044,SDSS r,FLWO 1.2m Keplercam,1
D,53052.36900,3052.869,21.090,0.121,SDSS r,FLWO 1.2m Keplercam,0
A,53057.29500,3057.795,19.047,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53057.29500,3057.795,19.431,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,53057.29500,3057.795,20.129,0.064,SDSS r,FLWO 1.2m Keplercam,1
D,53057.29500,3057.795,21.174,0.177,SDSS r,FLWO 1.2m Keplercam,0
A,53059.35600,3059.856,18.992,0.019,SDSS r,FLWO 1.2m Keplercam,1
B,53059.35600,3059.856,19.486,0.030,SDSS r,FLWO 1.2m Keplercam,1
C,53059.35600,3059.856,20.004,0.050,SDSS r,FLWO 1.2m Keplercam,1
D,53059.35600,3059.856,21.047,0.137,SDSS r,FLWO 1.2m Keplercam,0
A,53064.27300,3064.773,19.038,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,53064.27300,3064.773,19.491,0.026,SDSS r,FLWO 1.2m Keplercam,1
C,53064.27300,3064.773,20.033,0.043,SDSS r,FLWO 1.2m Keplercam,1
D,53064.27300,3064.773,21.279,0.144,SDSS r,FLWO 1.2m Keplercam,0
A,53064.38400,3064.884,19.047,0.007,SDSS r,FLWO 1.2m Keplercam,1
B,53064.38400,3064.884,19.458,0.008,SDSS r,FLWO 1.2m Keplercam,1
C,53064.38400,3064.884,20.070,0.013,SDSS r,FLWO 1.2m Keplercam,1
D,53064.38400,3064.884,20.975,0.028,SDSS r,FLWO 1.2m Keplercam,0
A,53065.30500,3065.805,19.025,0.008,SDSS r,FLWO 1.2m Keplercam,1
B,53065.30500,3065.805,19.435,0.011,SDSS r,FLWO 1.2m Keplercam,1
C,53065.30500,3065.805,20.004,0.030,SDSS r,FLWO 1.2m Keplercam,1
D,53065.30500,3065.805,21.143,0.089,SDSS r,FLWO 1.2m Keplercam,0
A,53073.36200,3073.862,19.012,0.023,SDSS r,FLWO 1.2m Keplercam,1
B,53073.36200,3073.862,19.435,0.034,SDSS r,FLWO 1.2m Keplercam,1
C,53073.36200,3073.862,20.000,0.059,SDSS r,FLWO 1.2m Keplercam,1
D,53073.36200,3073.862,21.140,0.176,SDSS r,FLWO 1.2m Keplercam,0
A,53078.33700,3078.837,19.003,0.012,SDSS r,FLWO 1.2m Keplercam,1
B,53078.33700,3078.837,19.472,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,53078.33700,3078.837,19.977,0.031,SDSS r,FLWO 1.2m Keplercam,1
D,53078.33700,3078.837,21.163,0.097,SDSS r,FLWO 1.2m Keplercam,0
A,53079.33200,3079.832,18.974,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53079.33200,3079.832,19.419,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,53079.33200,3079.832,20.006,0.042,SDSS r,FLWO 1.2m Keplercam,1
D,53079.33200,3079.832,21.037,0.113,SDSS r,FLWO 1.2m Keplercam,0
A,53080.32200,3080.822,19.003,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53080.32200,3080.822,19.454,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,53080.32200,3080.822,20.010,0.031,SDSS r,FLWO 1.2m Keplercam,1
D,53080.32200,3080.822,21.402,0.116,SDSS r,FLWO 1.2m Keplercam,0
A,53081.28900,3081.789,19.033,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,53081.28900,3081.789,19.475,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,53081.28900,3081.789,20.012,0.042,SDSS r,FLWO 1.2m Keplercam,1
D,53081.28900,3081.789,21.011,0.108,SDSS r,FLWO 1.2m Keplercam,0
A,53082.28500,3082.785,18.998,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,53082.28500,3082.785,19.464,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,53082.28500,3082.785,20.057,0.035,SDSS r,FLWO 1.2m Keplercam,1
D,53082.28500,3082.785,21.045,0.092,SDSS r,FLWO 1.2m Keplercam,0
A,53083.43400,3083.934,19.039,0.022,SDSS r,FLWO 1.2m Keplercam,1
B,53083.43400,3083.934,19.405,0.031,SDSS r,FLWO 1.2m Keplercam,1
C,53083.43400,3083.934,20.011,0.057,SDSS r,FLWO 1.2m Keplercam,1
D,53083.43400,3083.934,21.144,0.167,SDSS r,FLWO 1.2m Keplercam,0
A,53085.29300,3085.793,19.013,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,53085.29300,3085.793,19.427,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,53085.29300,3085.793,20.106,0.032,SDSS r,FLWO 1.2m Keplercam,1
D,53085.29300,3085.793,21.277,0.098,SDSS r,FLWO 1.2m Keplercam,0
A,53087.16200,3087.662,18.938,0.061,SDSS r,FLWO 1.2m Keplercam,1
B,53087.16200,3087.662,19.386,0.061,SDSS r,FLWO 1.2m Keplercam,1
C,53087.16200,3087.662,20.190,0.107,SDSS r,FLWO 1.2m Keplercam,1
D,53087.16200,3087.662,21.133,0.108,SDSS r,FLWO 1.2m Keplercam,0
A,53087.20700,3087.707,19.003,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,53087.20700,3087.707,19.422,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,53087.20700,3087.707,20.094,0.044,SDSS r,FLWO 1.2m Keplercam,1
D,53087.20700,3087.707,21.141,0.120,SDSS r,FLWO 1.2m Keplercam,0
A,53088.23400,3088.734,18.989,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,53088.23400,3088.734,19.451,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,53088.23400,3088.734,20.069,0.040,SDSS r,FLWO 1.2m Keplercam,1
D,53088.23400,3088.734,21.252,0.124,SDSS r,FLWO 1.2m Keplercam,0
A,53090.23500,3090.735,19.014,0.024,SDSS r,FLWO 1.2m Keplercam,1
B,53090.23500,3090.735,19.475,0.036,SDSS r,FLWO 1.2m Keplercam,1
C,53090.23500,3090.735,20.201,0.072,SDSS r,FLWO 1.2m Keplercam,1
D,53090.23500,3090.735,20.937,0.150,SDSS r,FLWO 1.2m Keplercam,0
A,53091.27200,3091.772,19.006,0.014,SDSS r,FLWO 1.2m Keplercam,1
