galaxy,sample,source_id,source_bibcode,source_table,component,band,Rd_arcsec,Rd_kpc,e_Rd_kpc,Rd_kpc_provenance,mu0_mag_arcsec2,e_mu0_mag_arcsec2,mu0_convention,distance_assumed_Mpc,distance_diagnostic_Mpc,status,notes
CVnldwA,little_things_12,Hunter2012_LT,2012AJ....144..134H,J/AJ/144/134 table1,single_exponential_disk,V,32.66,0.57,0.12,as_published,,,,3.6,3.6,FOUND_Rd_only,"Rd measured from V-band images of Hunter & Elmegreen 2006 (ReadMe Note 4), rescaled by Hunter+2012 to the LITTLE THINGS distance. This catalogue publishes NO mu_0. Assumed distance equals the diagnostic distance for all 12 rows."
CVnldwA,little_things_12,HunterElmegreen2006,2006ApJS..162...49H,J/ApJS/162/49 table4,primary_exponential_disk,V,32.2,0.64,0.15,as_published,24.3,0.26,extrapolated central SB of the fitted exponential; corrected for foreground reddening; NOT corrected for inclination,4.1,3.6,FOUND,"secondary-fit flag='N' (N=single exponential, I=second fit inward, O=second fit outward). mu_0 is distance-independent and needs NO rescaling. Rd_kpc IS distance-dependent and assumes 4.1 Mpc."
DDO_101,little_things_12,Hunter2012_LT,2012AJ....144..134H,J/AJ/144/134 table1,single_exponential_disk,V,30.3,0.94,0.03,as_published,,,,6.4,6.4,FOUND_Rd_only,"Rd measured from V-band images of Hunter & Elmegreen 2006 (ReadMe Note 4), rescaled by Hunter+2012 to the LITTLE THINGS distance. This catalogue publishes NO mu_0. Assumed distance equals the diagnostic distance for all 12 rows."
DDO_101,little_things_12,HunterElmegreen2006,2006ApJS..162...49H,J/ApJS/162/49 table4,primary_exponential_disk,V,30.25,1.32,0.05,as_published,22.87,0.03,extrapolated central SB of the fitted exponential; corrected for foreground reddening; NOT corrected for inclination,9,6.4,FOUND,"secondary-fit flag='O' (N=single exponential, I=second fit inward, O=second fit outward). mu_0 is distance-independent and needs NO rescaling. Rd_kpc IS distance-dependent and assumes 9.0 Mpc."
DDO_133,little_things_12,Hunter2012_LT,2012AJ....144..134H,J/AJ/144/134 table1,single_exponential_disk,V,73.08,1.24,0.09,as_published,,,,3.5,3.5,FOUND_Rd_only,"Rd measured from V-band images of Hunter & Elmegreen 2006 (ReadMe Note 4), rescaled by Hunter+2012 to the LITTLE THINGS distance. This catalogue publishes NO mu_0. Assumed distance equals the diagnostic distance for all 12 rows."
DDO_133,little_things_12,HunterElmegreen2006,2006ApJS..162...49H,J/ApJS/162/49 table4,primary_exponential_disk,V,67.29,1.99,0.09,as_published,23.67,0.05,extrapolated central SB of the fitted exponential; corrected for foreground reddening; NOT corrected for inclination,6.1,3.5,FOUND,"secondary-fit flag='O' (N=single exponential, I=second fit inward, O=second fit outward). mu_0 is distance-independent and needs NO rescaling. Rd_kpc IS distance-dependent and assumes 6.1 Mpc."
DDO_133,little_things_12,HunterElmegreen2006,2006ApJS..162...49H,J/ApJS/162/49 table4,primary_exponential_disk,J,62.56,1.85,0.12,as_published,22.93,0.05,extrapolated central SB of the fitted exponential; corrected for foreground reddening; NOT corrected for inclination,6.1,3.5,FOUND,"secondary-fit flag='N' (N=single exponential, I=second fit inward, O=second fit outward). mu_0 is distance-independent and needs NO rescaling. Rd_kpc IS distance-dependent and assumes 6.1 Mpc."
DDO_210,little_things_12,Hunter2012_LT,2012AJ....144..134H,J/AJ/144/134 table1,single_exponential_disk,V,38.96,0.17,0.01,as_published,,,,0.9,0.9,FOUND_Rd_only,"Rd measured from V-band images of Hunter & Elmegreen 2006 (ReadMe Note 4), rescaled by Hunter+2012 to the LITTLE THINGS distance. This catalogue publishes NO mu_0. Assumed distance equals the diagnostic distance for all 12 rows."
DDO_210,little_things_12,HunterElmegreen2006,2006ApJS..162...49H,J/ApJS/162/49 table4,primary_exponential_disk,V,38.96,0.17,0,as_published,23.77,0.08,extrapolated central SB of the fitted exponential; corrected for foreground reddening; NOT corrected for inclination,0.9,0.9,FOUND,"secondary-fit flag='N' (N=single exponential, I=second fit inward, O=second fit outward). mu_0 is distance-independent and needs NO rescaling. Rd_kpc IS distance-dependent and assumes 0.9 Mpc."
DDO_216,little_things_12,Hunter2012_LT,2012AJ....144..134H,J/AJ/144/134 table1,single_exponential_disk,V,101.26,0.54,0.01,as_published,,,,1.1,1.1,FOUND_Rd_only,"Rd measured from V-band images of Hunter & Elmegreen 2006 (ReadMe Note 4), rescaled by Hunter+2012 to the LITTLE THINGS distance. This catalogue publishes NO mu_0. Assumed distance equals the diagnostic distance for all 12 rows."
DDO_216,little_things_12,HunterElmegreen2006,2006ApJS..162...49H,J/ApJS/162/49 table4,primary_exponential_disk,V,100.84,0.44,0.01,as_published,23.44,0.05,extrapolated central SB of the fitted exponential; corrected for foreground reddening; NOT corrected for inclination,0.9,1.1,FOUND,"secondary-fit flag='O' (N=single exponential, I=second fit inward, O=second fit outward). mu_0 is distance-independent and needs NO rescaling. Rd_kpc IS distance-dependent and assumes 0.9 Mpc."
DDO_52,little_things_12,Hunter2012_LT,2012AJ....144..134H,J/AJ/144/134 table1,single_exponential_disk,V,26.03,1.3,0.13,as_published,,,,10.3,10.3,FOUND_Rd_only,"Rd measured from V-band images of Hunter & Elmegreen 2006 (ReadMe Note 4), rescaled by Hunter+2012 to the LITTLE THINGS distance. This catalogue publishes NO mu_0. Assumed distance equals the diagnostic distance for all 12 rows."
DDO_52,little_things_12,HunterElmegreen2006,2006ApJS..162...49H,J/ApJS/162/49 table4,primary_exponential_disk,V,26.13,0.76,0.02,as_published,23.42,0.03,extrapolated central SB of the fitted exponential; corrected for foreground reddening; NOT corrected for inclination,6,10.3,FOUND,"secondary-fit flag='N' (N=single exponential, I=second fit inward, O=second fit outward). mu_0 is distance-independent and needs NO rescaling. Rd_kpc IS distance-dependent and assumes 6.0 Mpc."
DDO_53,little_things_12,Hunter2012_LT,2012AJ....144..134H,J/AJ/144/134 table1,single_exponential_disk,V,41.25,0.72,0.06,as_published,,,,3.6,3.6,FOUND_Rd_only,"Rd measured from V-band images of Hunter & Elmegreen 2006 (ReadMe Note 4), rescaled by Hunter+2012 to the LITTLE THINGS distance. This catalogue publishes NO mu_0. Assumed distance equals the diagnostic distance for all 12 rows."
DDO_53,little_things_12,HunterElmegreen2006,2006ApJS..162...49H,J/ApJS/162/49 table4,primary_exponential_disk,V,41.25,0.72,0.06,as_published,23.81,0.11,extrapolated central SB of the fitted exponential; corrected for foreground reddening; NOT corrected for inclination,3.6,3.6,FOUND,"secondary-fit flag='N' (N=single exponential, I=second fit inward, O=second fit outward). mu_0 is distance-independent and needs NO rescaling. Rd_kpc IS distance-dependent and assumes 3.6 Mpc."
DDO_53,little_things_12,HunterElmegreen2006,2006ApJS..162...49H,J/ApJS/162/49 table4,primary_exponential_disk,J,36.1,0.63,0.11,as_published,23.34,0.07,extrapolated central SB of the fitted exponential; corrected for foreground reddening; NOT corrected for inclination,3.6,3.6,FOUND,"secondary-fit flag='N' (N=single exponential, I=second fit inward, O=second fit outward). mu_0 is distance-independent and needs NO rescaling. Rd_kpc IS distance-dependent and assumes 3.6 Mpc."
DDO_70,little_things_12,Hunter2012_LT,2012AJ....144..134H,J/AJ/144/134 table1,single_exponential_disk,V,76.16,0.48,0.01,as_published,,,,1.3,1.3,FOUND_Rd_only,"Rd measured from V-band images of Hunter & Elmegreen 2006 (ReadMe Note 4), rescaled by Hunter+2012 to the LITTLE THINGS distance. This catalogue publishes NO mu_0. Assumed distance equals the diagnostic distance for all 12 rows."
DDO_70,little_things_12,HunterElmegreen2006,2006ApJS..162...49H,J/ApJS/162/49 table4,primary_exponential_disk,V,74.57,0.47,0,as_published,22.81,0.03,extrapolated central SB of the fitted exponential; corrected for foreground reddening; NOT corrected for inclination,1.3,1.3,FOUND,"secondary-fit flag='N' (N=single exponential, I=second fit inward, O=second fit outward). mu_0 is distance-independent and needs NO rescaling. Rd_kpc IS distance-dependent and assumes 1.3 Mpc."
HARO_36,little_things_12,Hunter2012_LT,2012AJ....144..134H,J/AJ/144/134 table1,single_exponential_disk,V,15.3,0.69,0.01,as_published,,,,9.3,9.3,FOUND_Rd_only,"Rd measured from V-band images of Hunter & Elmegreen 2006 (ReadMe Note 4), rescaled by Hunter+2012 to the LITTLE THINGS distance. This catalogue publishes NO mu_0. Assumed distance equals the diagnostic distance for all 12 rows."
HARO_36,little_things_12,HunterElmegreen2006,2006ApJS..162...49H,J/ApJS/162/49 table4,primary_exponential_disk,V,15.13,0.66,0.01,as_published,21.54,0.05,extrapolated central SB of the fitted exponential; corrected for foreground reddening; NOT corrected for inclination,9,9.3,FOUND,"secondary-fit flag='N' (N=single exponential, I=second fit inward, O=second fit outward). mu_0 is distance-independent and needs NO rescaling. Rd_kpc IS distance-dependent and assumes 9.0 Mpc."
NGC_1569,little_things_12,Hunter2012_LT,2012AJ....144..134H,J/AJ/144/134 table1,single_exponential_disk,V,23.05,0.38,0.02,as_published,,,,3.4,3.4,FOUND_Rd_only,"Rd measured from V-band images of Hunter & Elmegreen 2006 (ReadMe Note 4), rescaled by Hunter+2012 to the LITTLE THINGS distance. This catalogue publishes NO mu_0. Assumed distance equals the diagnostic distance for all 12 rows."
NGC_1569,little_things_12,HunterElmegreen2006,2006ApJS..162...49H,J/ApJS/162/49 table4,primary_exponential_disk,V,23.1,0.28,0.01,as_published,18.66,0.18,extrapolated central SB of the fitted exponential; corrected for foreground reddening; NOT corrected for inclination,2.5,3.4,FOUND,"secondary-fit flag='N' (N=single exponential, I=second fit inward, O=second fit outward). mu_0 is distance-independent and needs NO rescaling. Rd_kpc IS distance-dependent and assumes 2.5 Mpc."
NGC_1569,little_things_12,HunterElmegreen2006,2006ApJS..162...49H,J/ApJS/162/49 table4,primary_exponential_disk,J,28.05,0.34,0.01,as_published,17.87,0.1,extrapolated central SB of the fitted exponential; corrected for foreground reddening; NOT corrected for inclination,2.5,3.4,FOUND,"secondary-fit flag='N' (N=single exponential, I=second fit inward, O=second fit outward). mu_0 is distance-independent and needs NO rescaling. Rd_kpc IS distance-dependent and assumes 2.5 Mpc."
NGC_3738,little_things_12,Hunter2012_LT,2012AJ....144..134H,J/AJ/144/134 table1,single_exponential_disk,V,32.83,0.78,0.01,as_published,,,,4.9,4.9,FOUND_Rd_only,"Rd measured from V-band images of Hunter & Elmegreen 2006 (ReadMe Note 4), rescaled by Hunter+2012 to the LITTLE THINGS distance. This catalogue publishes NO mu_0. Assumed distance equals the diagnostic distance for all 12 rows."
NGC_3738,little_things_12,HunterElmegreen2006,2006ApJS..162...49H,J/ApJS/162/49 table4,primary_exponential_disk,V,32.83,0.78,0.01,as_published,21.4,0.04,extrapolated central SB of the fitted exponential; corrected for foreground reddening; NOT corrected for inclination,4.9,4.9,FOUND,"secondary-fit flag='I' (N=single exponential, I=second fit inward, O=second fit outward). mu_0 is distance-independent and needs NO rescaling. Rd_kpc IS distance-dependent and assumes 4.9 Mpc."
NGC_3738,little_things_12,HunterElmegreen2006,2006ApJS..162...49H,J/ApJS/162/49 table4,primary_exponential_disk,J,22.31,0.53,0.06,as_published,19.4,0.45,extrapolated central SB of the fitted exponential; corrected for foreground reddening; NOT corrected for inclination,4.9,4.9,FOUND,"secondary-fit flag='I' (N=single exponential, I=second fit inward, O=second fit outward). mu_0 is distance-independent and needs NO rescaling. Rd_kpc IS distance-dependent and assumes 4.9 Mpc."
UGC_8508,little_things_12,Hunter2012_LT,2012AJ....144..134H,J/AJ/144/134 table1,single_exponential_disk,V,21.42,0.27,0.01,as_published,,,,2.6,2.6,FOUND_Rd_only,"Rd measured from V-band images of Hunter & Elmegreen 2006 (ReadMe Note 4), rescaled by Hunter+2012 to the LITTLE THINGS distance. This catalogue publishes NO mu_0. Assumed distance equals the diagnostic distance for all 12 rows."
UGC_8508,little_things_12,HunterElmegreen2006,2006ApJS..162...49H,J/ApJS/162/49 table4,primary_exponential_disk,V,20.63,0.26,0.01,as_published,22.13,0.12,extrapolated central SB of the fitted exponential; corrected for foreground reddening; NOT corrected for inclination,2.6,2.6,FOUND,"secondary-fit flag='N' (N=single exponential, I=second fit inward, O=second fit outward). mu_0 is distance-independent and needs NO rescaling. Rd_kpc IS distance-dependent and assumes 2.6 Mpc."
UGC_8508,little_things_12,HunterElmegreen2006,2006ApJS..162...49H,J/ApJS/162/49 table4,primary_exponential_disk,J,19.04,0.24,0.01,as_published,20.49,0.15,extrapolated central SB of the fitted exponential; corrected for foreground reddening; NOT corrected for inclination,2.6,2.6,FOUND,"secondary-fit flag='N' (N=single exponential, I=second fit inward, O=second fit outward). mu_0 is distance-independent and needs NO rescaling. Rd_kpc IS distance-dependent and assumes 2.6 Mpc."
NGC3031,things_4,deBlok2008,2008AJ....136.2648D,Sect.7 running text (NOT a machine-readable table; no VizieR/CDS version exists),inner_component_bulge,3.6um_IRAC,14.32,0.25,,as_published,12.2,,extrapolated central SB of the fitted exponential; NOT corrected for inclination (stated explicitly in Sect.6.3 of the paper),3.6,3.6,FOUND,"quoted in section 7 (NGC 3031); the OUTER disk was obtained by numerically subtracting this component, so no outer-disk mu_0/h is published. No uncertainty is published. Distance adopted from Walter+2008, identical to the diagnostic distance."
NGC3621,things_4,deBlok2008,2008AJ....136.2648D,Sect.7 running text (NOT a machine-readable table; no VizieR/CDS version exists),outer_disk,3.6um_IRAC,81.57,2.61,,as_published,16.6,,extrapolated central SB of the fitted exponential; NOT corrected for inclination (stated explicitly in Sect.6.3 of the paper),6.6,6.6,FOUND,"exponential fit over 200-400 arcsec used to extrapolate the disk; single-disk model adopted. No uncertainty is published. Distance adopted from Walter+2008, identical to the diagnostic distance."
NGC4736,things_4,deBlok2008,2008AJ....136.2648D,Sect.7 running text (NOT a machine-readable table; no VizieR/CDS version exists),inner_component_bulge,3.6um_IRAC,11.41,0.26,,as_published,11.8,,extrapolated central SB of the fitted exponential; NOT corrected for inclination (stated explicitly in Sect.6.3 of the paper),4.7,4.7,FOUND,"separate central component. No uncertainty is published. Distance adopted from Walter+2008, identical to the diagnostic distance."
NGC4736,things_4,deBlok2008,2008AJ....136.2648D,Sect.7 running text (NOT a machine-readable table; no VizieR/CDS version exists),outer_disk,3.6um_IRAC,87.33,1.99,,as_published,15.9,,extrapolated central SB of the fitted exponential; NOT corrected for inclination (stated explicitly in Sect.6.3 of the paper),4.7,4.7,FOUND,"exponential fit over 80-240 arcsec. No uncertainty is published. Distance adopted from Walter+2008, identical to the diagnostic distance."
NGC3031,things_4,S4G_Salo2015,2015ApJS..219....4S,J/ApJS/219/4 table7,"expdisk (model _bd, quality=5, flux fraction f3=0.542)",3.6um_AB,153.17,2.6733,,converted_at_diagnostic_distance (S4G table7 is arcsec-native and publishes no distance),19.833,,central surface brightness corrected to FACE-ON (3.6um AB); GALFIT multi-component decomposition,,3.6,FOUND,"axis ratio q3=0.543, PA3=-23.695. NGC 4736 has TWO expdisk components in its 3-component _bdd model - both are shipped, neither is selected. No uncertainties published in table7."
NGC4736,things_4,S4G_Salo2015,2015ApJS..219....4S,J/ApJS/219/4 table7,"expdisk (model _bdd, quality=4, flux fraction f3=0.211)",3.6um_AB,253.87,5.7847,,converted_at_diagnostic_distance (S4G table7 is arcsec-native and publishes no distance),23.007,,central surface brightness corrected to FACE-ON (3.6um AB); GALFIT multi-component decomposition,,4.7,FOUND,"axis ratio q3=0.829, PA3=-56.488. NGC 4736 has TWO expdisk components in its 3-component _bdd model - both are shipped, neither is selected. No uncertainties published in table7."
NGC4736,things_4,S4G_Salo2015,2015ApJS..219....4S,J/ApJS/219/4 table7,"expdisk (model _bdd, quality=4, flux fraction f3=0.369)",3.6um_AB,50.466,1.1499,,converted_at_diagnostic_distance (S4G table7 is arcsec-native and publishes no distance),19.035,,central surface brightness corrected to FACE-ON (3.6um AB); GALFIT multi-component decomposition,,4.7,FOUND,"axis ratio q3=0.732, PA3=-83.921. NGC 4736 has TWO expdisk components in its 3-component _bdd model - both are shipped, neither is selected. No uncertainties published in table7."
NGC4736,things_4,Leroy2008,2008AJ....136.2782L,J/AJ/136/2782 table4,Sigma_star_exponential_scale_length,3.6um_derived_stellar_surface_density,48.27,1.1,,as_published,,,,4.7,4.7,FOUND_Rd_only,"DIFFERENT CONVENTION: l* is fitted to the stellar MASS surface density profile Sigma_*, not to a surface-brightness profile. Not interchangeable with a photometric Rd. No mu_0. Only NGC 4736 of the four THINGS galaxies is in this 23-galaxy sample."
NGC925,things_4,NONE,,,single_exponential_disk,,,,,,,,,,9.2,NOT_AVAILABLE,"NEITHER Rd NOR mu_0 found. Checked and each fails for a stated reason: de Blok+2008 quotes no exponential parameters for NGC 925 (Sect.7: the 3.6um profile is traced over the full HI disk so no extrapolation fit was needed, and there is no central component); S4G/Salo+2015 does not contain NGC 925 (0 matches in table7 - NGC 925 is at galactic latitude ~-25deg and fails the S4G |b|>30deg selection, as does NGC 3621); Leroy+2008 table4 contains only NGC 4736 of the four; Munoz-Mateos+2007 (J/ApJ/658/1006) and +2009 (J/ApJ/703/1569) publish azimuthally averaged PROFILES only, no exponential fits; Hunter&Elmegreen 2006 is an irregular/Sm sample and does not contain NGC 925; Fisher&Drory 2008 (J/AJ/136/773) publishes bulge parameters only, no disk h or mu_0; HyperLEDA was unreachable (expired TLS certificate) and in any case publishes mu25 (mean SB inside the B=25 isophote), which is a DIFFERENT quantity from an extrapolated exponential mu_0."
