subset,covariate,transform,n,spearman_rho,spearman_p,pearson_r,pearson_p
all_three_samples_pooled,morph_type_T,linear,167,0.13276635295592062,0.08718953418859329,0.05921177311790389,0.4471919868672448
all_three_samples_pooled,distance_Mpc,linear,179,-0.09857203130158732,0.1892624637612296,-0.037138450907489115,0.6216113653495291
all_three_samples_pooled,e_distance_Mpc,linear,175,-0.16883185760480768,0.025516795887548613,-0.07141025009177521,0.34768019638687886
all_three_samples_pooled,inclination_deg,linear,179,0.2692139187351272,0.00026831316020794116,0.11345444957290735,0.13049070084421052
all_three_samples_pooled,Vflat_kms,linear,179,-0.1253259737207969,0.09460371706115106,-0.08453366588922444,0.26055725076263886
all_three_samples_pooled,Mbar_Msun,log10,179,-0.11248090724583097,0.13384496013593541,-0.13431253604917928,0.07304955305903958
all_three_samples_pooled,Mstar_Msun,log10,179,-0.10998269097081148,0.14275477971179476,-0.13256209654602896,0.07690222373921153
all_three_samples_pooled,Mgas_Msun,log10,179,-0.11432795019876021,0.12753650626655952,-0.17287053673866093,0.020662407196317734
all_three_samples_pooled,gas_fraction,linear,179,0.05349528173581904,0.4769520033334239,0.01911083350527915,0.7995593398861711
all_three_samples_pooled,central_SB_disk_Lsun_pc2,log10,163,-0.10483488835151937,0.18292109532126624,-0.08744586178619133,0.26701204025627706
all_three_samples_pooled,SB_eff_Lsun_pc2,log10,163,-0.14206601677893735,0.07045014448111242,-0.08827020257786367,0.26251174095788793
all_three_samples_pooled,mean_Sigma_bar_Msun_pc2,log10,179,0.0240830247107317,0.7489698409360581,0.10461840414380763,0.16340203503073145
all_three_samples_pooled,Rdisk_kpc,linear,163,-0.061896178356567466,0.432506987613697,-0.05679349429415665,0.4714683180703563
all_three_samples_pooled,Reff_kpc,linear,163,-0.08302990502039874,0.29201230543581574,-0.0722578698581611,0.3593386866188463
all_three_samples_pooled,RHI_kpc,linear,175,-0.11486325736458472,0.13012150253789745,-0.08397332931164354,0.26922265792071204
all_three_samples_pooled,R_min_kpc,linear,179,-0.028901111870019418,0.7009474379404995,-0.029308013393636853,0.696942470466405
all_three_samples_pooled,R_max_kpc,linear,179,-0.13706562494889102,0.0673081864380482,-0.09189405419169068,0.22116515703018735
all_three_samples_pooled,R_min_over_Rd,linear,163,-0.0012843551137989753,0.9870179054285497,-0.014603682643723635,0.8532115270871405
all_three_samples_pooled,R_max_over_Rd,linear,163,-0.18630466468263865,0.01725823809235238,-0.15734315391550222,0.04486955668127801
all_three_samples_pooled,gbar_median,log10,179,-0.10177641077145189,0.1752077231442417,-0.05824194414323351,0.4386808576744071
all_three_samples_pooled,gobs_median,log10,179,-0.3612202623815203,6.775001810811812e-07,-0.19962862560817482,0.007380722338618977
all_three_samples_pooled,n_rings,linear,179,-0.08031589432171196,0.28518101583612054,-0.1592285975384569,0.03325335611243893
all_three_samples_pooled,metallicity_12logOH,linear,16,-0.20944043926216654,0.4362751249928485,-0.3499639898141621,0.18391703910713145
external_heldout_pooled_LT12_plus_THINGS4,morph_type_T,linear,4,0.0,1.0,-0.09892341659586264,0.9010765834041374
external_heldout_pooled_LT12_plus_THINGS4,distance_Mpc,linear,16,-0.16519245913635672,0.540938857485393,-0.10731915568844141,0.6923997696051203
external_heldout_pooled_LT12_plus_THINGS4,e_distance_Mpc,linear,12,-0.3222421754356393,0.3070141789004013,-0.2686473676488796,0.39850235163598857
external_heldout_pooled_LT12_plus_THINGS4,inclination_deg,linear,16,0.2411764705882353,0.36820660804263405,0.1650970822707603,0.5411758009819465
external_heldout_pooled_LT12_plus_THINGS4,Vflat_kms,linear,16,-0.4558823529411765,0.07594549116741177,-0.3694058046853047,0.15908398753058392
external_heldout_pooled_LT12_plus_THINGS4,Mbar_Msun,log10,16,-0.2029411764705882,0.45096124172270946,-0.3075365077795279,0.24657267748762962
external_heldout_pooled_LT12_plus_THINGS4,Mstar_Msun,log10,16,-0.2058823529411765,0.4442846410521438,-0.28432616207630135,0.285847466824412
external_heldout_pooled_LT12_plus_THINGS4,Mgas_Msun,log10,16,-0.2823529411764706,0.28934982906327383,-0.3407530135267861,0.19652421486432015
external_heldout_pooled_LT12_plus_THINGS4,gas_fraction,linear,16,-0.05294117647058824,0.8456104411493658,-0.04525751556548593,0.8678190625111819
external_heldout_pooled_LT12_plus_THINGS4,central_SB_disk_Lsun_pc2,log10,0,,,,
external_heldout_pooled_LT12_plus_THINGS4,SB_eff_Lsun_pc2,log10,0,,,,
external_heldout_pooled_LT12_plus_THINGS4,mean_Sigma_bar_Msun_pc2,log10,16,0.29411764705882354,0.268846554622893,0.11886782623662957,0.6610511267126097
external_heldout_pooled_LT12_plus_THINGS4,Rdisk_kpc,linear,0,,,,
external_heldout_pooled_LT12_plus_THINGS4,Reff_kpc,linear,0,,,,
external_heldout_pooled_LT12_plus_THINGS4,RHI_kpc,linear,12,-0.5454545454545455,0.06661188226688901,-0.4472263111292981,0.14491478841413988
external_heldout_pooled_LT12_plus_THINGS4,R_min_kpc,linear,16,0.0588235294117647,0.8286807500332258,0.004293663933088889,0.987408791608457
external_heldout_pooled_LT12_plus_THINGS4,R_max_kpc,linear,16,-0.38823529411764707,0.13728162367278124,-0.36621429856013554,0.16299683362191447
external_heldout_pooled_LT12_plus_THINGS4,R_min_over_Rd,linear,0,,,,
external_heldout_pooled_LT12_plus_THINGS4,R_max_over_Rd,linear,0,,,,
external_heldout_pooled_LT12_plus_THINGS4,gbar_median,log10,16,-0.02058823529411765,0.9396737397890448,-0.08054195591286459,0.7668360860806628
external_heldout_pooled_LT12_plus_THINGS4,gobs_median,log10,16,-0.4735294117647058,0.06391907182682008,-0.37339381457812115,0.1542839397013883
external_heldout_pooled_LT12_plus_THINGS4,n_rings,linear,16,-0.3802514819219861,0.1462601865243411,-0.25880063254281627,0.3331166028751825
external_heldout_pooled_LT12_plus_THINGS4,metallicity_12logOH,linear,16,-0.20944043926216654,0.4362751249928485,-0.3499639898141621,0.18391703910713145
sparc_only,morph_type_T,linear,163,0.11933643877256832,0.12919407272706135,0.05352722966523234,0.4973803517139941
sparc_only,distance_Mpc,linear,163,-0.1338965275597022,0.08838068172177582,-0.05617289602445246,0.47633419558999457
sparc_only,e_distance_Mpc,linear,163,-0.17476050010812874,0.025666503712512483,-0.08299114515608315,0.2922384179628951
sparc_only,inclination_deg,linear,163,0.2582403847326282,0.0008739127352141513,0.10522091021666363,0.18130555163502424
sparc_only,Vflat_kms,linear,163,-0.11478628594886492,0.14455354764868786,-0.06975752201445817,0.37624892144730676
sparc_only,Mbar_Msun,log10,163,-0.11966238271789671,0.12814398203721492,-0.1358271196648393,0.08384489264255097
sparc_only,Mstar_Msun,log10,163,-0.10682030886851232,0.17472361107346038,-0.13354198619290114,0.08923456566889243
sparc_only,Mgas_Msun,log10,163,-0.13776611184464163,0.0794792193802644,-0.18801336363350532,0.016243656641625612
sparc_only,gas_fraction,linear,163,0.048722297038921315,0.5368229470205359,0.026423119458142418,0.7377683555777311
sparc_only,central_SB_disk_Lsun_pc2,log10,163,-0.10483488835151937,0.18292109532126624,-0.08744586178619133,0.26701204025627706
sparc_only,SB_eff_Lsun_pc2,log10,163,-0.14206601677893735,0.07045014448111242,-0.08827020257786367,0.26251174095788793
sparc_only,mean_Sigma_bar_Msun_pc2,log10,163,0.018235877655300072,0.817277860097499,0.10131181286413031,0.1981563707103713
sparc_only,Rdisk_kpc,linear,163,-0.061896178356567466,0.432506987613697,-0.05679349429415665,0.4714683180703563
sparc_only,Reff_kpc,linear,163,-0.08302990502039874,0.29201230543581574,-0.0722578698581611,0.3593386866188463
sparc_only,RHI_kpc,linear,163,-0.12272560067665797,0.11859386471834031,-0.09547721246363233,0.22537380845675534
sparc_only,R_min_kpc,linear,163,-0.049183556438446935,0.5329700671229671,-0.04402270114275837,0.5768516183997633
sparc_only,R_max_kpc,linear,163,-0.15522334294186504,0.04787049186055521,-0.10037125889309577,0.20237495722593846
sparc_only,R_min_over_Rd,linear,163,-0.0012843551137989753,0.9870179054285497,-0.014603682643723635,0.8532115270871405
sparc_only,R_max_over_Rd,linear,163,-0.18630466468263865,0.01725823809235238,-0.15734315391550222,0.04486955668127801
sparc_only,gbar_median,log10,163,-0.10168697801497444,0.1964915747729769,-0.06749482939858666,0.39196384802640016
sparc_only,gobs_median,log10,163,-0.3281127903303573,1.9044744995447e-05,-0.17804073731880743,0.022979440560155714
sparc_only,n_rings,linear,163,-0.03912186319433359,0.6200210683934574,-0.10971884236984943,0.1632484661555286
sparc_only,metallicity_12logOH,linear,0,,,,
