sample,galaxy,n_rings,dlnB_locked_minus_MOND,dlnB_alt_ML_convention,dlnL_sum_at_joint_sigma,lnZ_gate,lnZ_mond,sigma_int_gate_dex,sigma_int_mond_dex,morph_type_T,class_dwarf_or_spiral,class_HSB_LSB,distance_Mpc,e_distance_Mpc,distance_method_code,inclination_deg,e_inclination_deg,Vflat_kms,e_Vflat_kms,Mbar_Msun,Mstar_Msun,Mgas_Msun,gas_fraction,central_SB_disk_Lsun_pc2,SB_eff_Lsun_pc2,mean_Sigma_bar_Msun_pc2,Rdisk_kpc,Reff_kpc,RHI_kpc,R_min_kpc,R_max_kpc,R_min_over_Rd,R_max_over_Rd,gbar_median,gobs_median,quality_flag,abs_Vmag,abs_Bmag,metallicity_12logOH,y_star_fit
little_things_12,CVnldwA,12,1.6206234040320506,1.4754286341619434,2.484875013292226,-8.336356309508114,-9.956979713540164,0.37603118349672415,0.4316604473142587,,dwarf_irregular_LT_sample,NOT_RECORDED,3.6,0.08,LT_sample_yaml,66.5,5.2,23.5,,44869230.76923077,15769230.769230766,29100000.0,0.6485513457911881,,,2.1291155080139066,,,2.59,0.18999980999999996,2.59,,,1.494078625022472e-12,6.7630059320599546e-12,LT_regular_rotation,-12.4,,7.3,0.26
little_things_12,DDO_101,9,-1.4867376005075972,-1.496671204381662,-3.156440034514677,-9.374049246985576,-7.887311646477979,0.5577479057303072,0.47837475316748335,,dwarf_irregular_LT_sample,NOT_RECORDED,6.4,0.64,LT_sample_yaml,51.0,7.1,64.5,,152963265.30612245,118163265.30612245,34800000.0,0.22750560358629524,,,9.04610487573174,,,1.95,0.25999958308500004,2.319999158686,,,7.537557625166052e-12,9.062138813555212e-11,LT_regular_rotation,-15.0,,8.7,0.49
little_things_12,DDO_133,19,-6.469231828445846,2.2115001405875176,-0.5739905985979292,20.881722721082664,27.35095454952851,0.03837654428188083,0.01281595895120076,,dwarf_irregular_LT_sample,NOT_RECORDED,3.5,0.35,LT_sample_yaml,43.4,0.1,46.1,,203357142.85714287,74857142.85714287,128500000.0,0.6318932209343168,,,5.345043304470683,,,3.48,0.18000063000000002,3.4799993700000003,,,4.7658885519502915e-12,2.5376780882653732e-11,LT_regular_rotation,-14.8,,8.2,0.35
little_things_12,DDO_210,8,5.9173246237225445,7.200774825989479,-0.5677199038298069,3.673789161310315,-2.24353546241223,0.015358836363294473,0.2435550844622897,,dwarf_irregular_LT_sample,NOT_RECORDED,0.9,0.04,LT_sample_yaml,66.7,0.1,12.0,,2330232.558139535,930232.5581395349,1400000.0000000002,0.6007984031936128,,,7.718377319075534,,,0.31,0.03999992,0.31,,,2.8679078633179096e-12,1.0085755157700245e-11,LT_regular_rotation,-10.9,,7.2,0.43
little_things_12,DDO_216,13,2.1397682740346973,2.342495683369922,1.7150020297138577,-5.939228385688136,-8.078996659722833,0.24670333776048553,0.33327087835190167,,dwarf_irregular_LT_sample,NOT_RECORDED,1.1,0.05,LT_sample_yaml,63.7,4.6,18.9,,33471428.571428567,28571428.571428567,4900000.0,0.14639351259069572,,,8.493527957129293,,,1.12,0.090000238412,1.1200002706660002,,,3.384257712945423e-12,9.283326269369886e-12,LT_regular_rotation,-13.7,,7.9,0.56
little_things_12,DDO_52,16,-1.6228489501800443,-0.24380980901084115,-0.6245436237921095,14.751087152987344,16.373936103167388,0.021821015537167854,0.016207506249913246,,dwarf_irregular_LT_sample,NOT_RECORDED,10.3,1.0,LT_sample_yaml,43.0,0.0,60.2,,534300000.0,200000000.0,334300000.0,0.6256784577952461,,,5.768138002435124,,,5.43,0.33999945,5.43,,,4.161684065983439e-12,2.6679490950578455e-11,LT_regular_rotation,-15.4,,7.7,0.36
little_things_12,DDO_53,13,3.9199858511888506,3.5952813162357202,2.6645390149543373,-2.7191614921936944,-6.639147343382545,0.1971580378475142,0.2967955112744141,,dwarf_irregular_LT_sample,NOT_RECORDED,3.6,0.05,LT_sample_yaml,27.0,0.0,28.6,,95945945.94594595,25945945.945945945,70000000.0,0.7295774647887324,,,12.54954655582111,,,1.45,0.22000001884,1.5599991478800002,,,8.77323225825497e-12,1.78891774785198e-11,LT_regular_rotation,-13.8,,7.6,0.37
little_things_12,DDO_70,24,-3.8166542791780866,4.196456869088365,-1.9610242065774042,11.060650213659967,14.877304492838054,0.09179172492081264,0.07063119916964568,,dwarf_irregular_LT_sample,NOT_RECORDED,1.3,0.02,LT_sample_yaml,50.0,0.0,43.9,,74470588.23529412,36470588.23529412,38000000.0,0.5102685624012638,,,5.926178299911233,,,2.0,0.080000456238,2.0000004752460003,,,4.5341637772885065e-12,2.46004127313543e-11,LT_regular_rotation,-14.1,,7.5,0.34
little_things_12,HARO_36,10,1.451782496347762,1.3955570543378912,0.4697037041588106,-0.2749590660141161,-1.726741562361878,0.06785658873604503,0.09536241464126448,,dwarf_irregular_LT_sample,NOT_RECORDED,9.3,0.93,LT_sample_yaml,70.0,0.0,58.2,,277600000.0,166000000.0,111600000.0,0.4020172910662824,,,8.849027788629247,,,3.16,0.320000225192,3.1599995086079997,,,1.014809752290578e-11,2.294920451233036e-11,LT_regular_rotation,-15.9,,8.4,0.35
little_things_12,NGC_1569,24,2.6212242104948107,2.583973651944227,1.7062925253402845,-10.255134184787037,-12.876358395281848,0.14030955778752935,0.2018527962440708,,dwarf_irregular_LT_sample,NOT_RECORDED,3.4,0.19,LT_sample_yaml,69.1,0.1,29.1,,624644897.9591837,422244897.9591837,202399999.99999997,0.3240240985898927,,,19.78630410013792,,,3.05,0.250000756773,3.1700004392579997,,,1.425474800913093e-11,2.1721273904109484e-11,LT_regular_rotation,-18.2,,8.2,0.49
little_things_12,NGC_3738,12,-1.4749559562572259,-1.489301860240106,-4.572687502624492,-15.143723083948645,-13.668767127691419,0.7005047608464076,0.6346219085822048,,dwarf_irregular_LT_sample,NOT_RECORDED,4.9,0.56,LT_sample_yaml,22.6,0.1,125.5,,463097297.2972973,337297297.2972973,125800000.0,0.2716491776872527,,,48.133397005054896,,,1.75,0.08000015622200002,1.7499995231510002,,,3.76572564169313e-11,3.563137576619995e-10,LT_regular_rotation,-17.1,,8.4,0.37
little_things_12,UGC_8508,25,-2.6571385298607346,-2.6214566709246316,-2.6794527256723604,-11.855360000244989,-9.198221470384254,0.32767143371009744,0.2935689609579647,,dwarf_irregular_LT_sample,NOT_RECORDED,2.6,0.17,LT_sample_yaml,82.5,0.1,46.0,,18022448.97959184,6122448.979591837,11900000.0,0.6602876231457365,,,1.6582043251957026,,,1.86,0.06999924,1.86,,,1.6737609722952118e-12,2.4596400360749324e-11,LT_regular_rotation,-13.6,,7.9,0.49
sparc,CamB,9,1.2889442501581119,,11.94332108667259,-12.895811093721083,-14.184755343879194,0.7159967527718891,0.7704393103022396,10.0,dwarf_irregular_T>=8,LSB,3.36,0.26,2,65.0,5.0,0.0,0.0,53460000.0,37500000.0,15960000.000000002,0.2985409652076319,66.2,7.89,5.3109598687261474,0.47,1.21,1.21,0.16,1.79,0.34042553191489366,3.808510638297873,5.0153888545088644e-12,4.278188748654278e-12,2,,,,
sparc,D512-2,4,0.9755459560597073,,0.38530323339224154,2.7848920384865714,1.8093460824268641,0.033821457670118654,0.05075251649217405,10.0,dwarf_irregular_T>=8,LSB,15.2,4.56,1,56.0,10.0,0.0,0.0,270230000.0,162500000.0,107730000.0,0.39866040039965955,93.94,9.22,5.86389439858788,1.24,2.37,0.0,0.96,3.83,0.7741935483870968,3.088709677419355,3.643526291687123e-12,1.6637519467773e-11,2,,,,
sparc,D564-8,6,1.2751178122219704,,3.100857512932971,-2.2710725611013656,-3.546190373323336,0.25664931617390696,0.32268821154350225,10.0,dwarf_irregular_T>=8,LSB,8.79,0.28,2,63.0,7.0,0.0,0.0,55070000.00000001,16500000.0,38570000.00000001,0.7003813328491012,21.13,10.11,1.859895111050659,0.61,0.72,0.0,0.51,3.07,0.8360655737704918,5.032786885245901,1.5411206863645179e-12,7.268083003498487e-12,2,,,,
sparc,D631-7,16,2.00449972962191,,4.750056906728711,-3.7079161917475356,-5.712415921369446,0.24554908250795263,0.28172702836112784,10.0,dwarf_irregular_T>=8,HSB,7.72,0.18,2,59.0,3.0,57.7,2.7,483700000.0,98000000.0,385700000.0,0.7973950795947902,115.04,20.93,2.9782999481024595,0.7,1.22,0.0,0.45,7.19,0.6428571428571429,10.271428571428572,4.657991856116736e-12,1.7884581181258296e-11,1,,,,
sparc,DDO064,14,-1.0110743646797289,,-0.906299665868395,9.62016542809251,10.63123979277224,0.01357454065038399,0.013376164570110993,10.0,dwarf_irregular_T>=8,HSB,6.8,2.04,1,60.0,5.0,46.1,3.9,359130000.0,78500000.0,280630000.0,0.7814162002617436,151.65,17.41,12.872689228546546,0.69,1.2,3.49,0.1,2.98,0.1449275362318841,4.3188405797101455,6.450358375033209e-12,2.66804625324187e-11,1,,,,
sparc,DDO154,12,4.577348510128605,,2.451013939687867,10.470536042289737,5.893187532161132,0.0743623406414033,0.1115493493143094,10.0,dwarf_irregular_T>=8,LSB,4.04,0.2,2,64.0,3.0,47.0,1.0,392250000.00000006,26500000.0,365750000.00000006,0.9324410452517528,71.26,19.99,3.5626213492852883,0.37,0.65,4.96,0.49,5.92,1.3243243243243243,16.0,3.2810499654990334e-12,1.6993566703655374e-11,2,,,,
sparc,DDO161,31,1.5266643209693687,,3.527887688640502,-6.752031946707223,-8.278696267676592,0.26502997725339245,0.276647874375569,10.0,dwarf_irregular_T>=8,HSB,7.5,2.25,1,70.0,10.0,66.3,1.9,2106740000.0,274000000.0,1832740000.0,0.8699412362227897,169.37,20.74,3.751442151988758,1.22,2.04,10.69,0.6,13.37,0.4918032786885246,10.959016393442623,5.456740567845898e-12,1.4840106005266873e-11,1,,,,
sparc,DDO168,10,1.9305553579920134,,2.568957073500694,1.816798323976156,-0.11375703401585735,0.15686586892993126,0.19030326043931473,10.0,dwarf_irregular_T>=8,LSB,4.25,0.21,2,63.0,6.0,53.4,1.9,644790000.0,95500000.0,549290000.0,0.8518897625583524,92.22,18.23,12.091327617615137,1.02,1.29,4.3,0.41,4.12,0.40196078431372545,4.03921568627451,9.240040538266623e-12,2.615977559633994e-11,2,,,,
sparc,DDO170,8,0.15420708398939986,,0.254883269741337,-0.2995269909157021,-0.453734074905102,0.2029927955579367,0.20660622406124712,10.0,dwarf_irregular_T>=8,LSB,15.4,4.62,1,66.0,7.0,60.0,1.6,1249050000.0,271500000.0,977550000.0,0.7826348024498619,73.93,9.39,2.615193317440722,1.95,3.03,9.14,1.87,12.33,0.958974358974359,6.323076923076923,3.873791885668273e-12,1.3737058059215833e-11,2,,,,
sparc,ESO079-G014,15,0.1123385845921625,,0.054969529689546895,10.132594986683674,10.020256402091512,0.08598762111491254,0.08686262180910516,4.0,spiral_T<8,HSB,28.7,7.17,1,79.0,5.0,175.0,3.5,30042700000.0,25866500000.0,4176200000.0000005,0.1390088107926385,2295.25,157.34,34.412631874298576,5.08,7.23,17.67,0.41,16.67,0.08070866141732283,3.2814960629921264,2.7385771566110388e-11,7.718217012170508e-11,1,,,,
sparc,ESO116-G012,15,-0.5634280540603633,,-0.4027068695267651,10.304105891973752,10.867533946034115,0.0994675175910918,0.09735592577489947,7.0,spiral_T<8,HSB,13.0,3.9,1,74.0,3.0,109.1,3.1,3586390000.0,2146000000.0,1440390000.0,0.4016267054057144,1320.78,90.54,11.742317317811276,1.51,2.75,9.58,0.25,9.86,0.16556291390728478,6.52980132450331,1.9459719434127788e-11,6.247285377242149e-11,1,,,,
