sample,galaxy,R_kpc,R_over_Rd,V_obs_kms,V_bar_kms,g_obs,g_bar,e_gobs,g_pred_gate,g_pred_mond,dlnB_ring
sparc,CamB,0.16,0.3404255319148936,1.99,3.238958165830488,8.021131290080394e-13,2.124908088041714e-12,1.2092157723739285e-12,8.137773128257528e-12,1.6473478066988734e-11,0.7969786713538207
sparc,CamB,0.41,0.8723404255319149,4.84,7.925783872904939,1.851639007873364e-12,4.965352083982455e-12,1.1477101288471262e-12,1.8447866809594427e-11,2.6090486077902368e-11,1.7959944371896253
sparc,CamB,0.57,1.2127659574468084,6.79,10.030996959425318,2.6212844287451225e-12,5.720879452723728e-12,1.1581521776488025e-12,2.1874850149777176e-11,2.821500270105444e-11,1.9825627538231776
sparc,CamB,0.73,1.5531914893617025,8.87,11.83013524859289,3.492800932571032e-12,6.2130666738937905e-12,1.1813306423577336e-12,2.4299371183122428e-11,2.953893486268307e-11,1.9099145135088147
sparc,CamB,0.9,1.9148936170212767,10.9,13.034297065818317,4.278188748654278e-12,6.11761546381825e-12,1.1774831418314529e-12,2.5123977604221595e-11,2.9285522720114196e-11,1.6653360462197906
sparc,CamB,1.06,2.2553191489361706,12.9,13.68803857387902,5.087717750532422e-12,5.728303637175385e-12,1.183190174542424e-12,2.4917997080067077e-11,2.823530125312996e-11,1.3893834703551056
sparc,CamB,1.22,2.595744680851064,14.699999999999998,13.74065682563974,5.740163907016662e-12,5.0153888545088644e-12,1.171462021840135e-12,2.364358845124497e-11,2.6235039790876583e-11,1.1201953724861955
sparc,CamB,1.47,3.127659574468085,16.8,13.845266339077767,6.222296235733181e-12,4.226051150235343e-12,1.1111243278094968e-12,2.2063009861386888e-11,2.3880550674295977e-11,0.8143372874883434
sparc,CamB,1.79,3.808510638297873,20.1,12.60563961090432,7.314565590661553e-12,2.8769094791518544e-12,1.091726207561426e-12,1.8287430059177705e-11,1.9380343402923453e-11,0.4686185342477178
sparc,D512-2,0.96,0.7741935483870968,22.9,11.265329555765335,1.7703094449765826e-11,4.284163372833897e-12,4.1899900400755795e-12,2.0765660393845067e-11,2.4059706287371815e-11,0.2323490213451121
sparc,D512-2,1.92,1.5483870967741935,33.5,16.23753675900381,1.8942523737390303e-11,4.4502921332531595e-12,3.0647307061688194e-12,2.3396493608584047e-11,2.4566446601636137e-11,0.0978582047074514
sparc,D512-2,2.88,2.32258064516129,37.2,16.33582872094342,1.5571944485780176e-11,3.002889210540349e-12,3.5078735158827386e-12,1.942864312329855e-11,1.983368358908502e-11,0.0342002403361009
sparc,D512-2,3.83,3.088709677419355,35.89999999999999,16.341704317481696,1.0905349232451151e-11,2.2596718596845794e-12,3.633091276326346e-12,1.6860718133367498e-11,1.702363749787645e-11,0.020895767003577
sparc,D564-8,0.51,0.8360655737704918,8.539999999999997,5.680290485529768,4.6344160554125595e-12,2.05031396704755e-12,1.6605753079112924e-12,1.180819748384427e-11,1.6162422543496218e-11,1.551280129592413
sparc,D564-8,1.02,1.6721311475409837,15.099999999999998,8.11829415579406,7.244412605747153e-12,2.094010474466891e-12,1.3529300363050974e-12,1.4140453519470878e-11,1.634522280591233e-11,0.8403079906408689
sparc,D564-8,1.53,2.5081967213114753,19.8,9.028269490882511,8.304020344011562e-12,1.7265018667311038e-12,1.5098218807293748e-12,1.3621129286397952e-11,1.4750486232540866e-11,0.3381136677660387
sparc,D564-8,2.04,3.3442622950819674,21.9,9.238011149592753,7.619167426521626e-12,1.355739505997932e-12,1.266382165869348e-12,1.2379276262960987e-11,1.2980561771821163e-11,0.1997087024497968
sparc,D564-8,2.56,4.19672131147541,24.000000000000004,9.114655780664458,7.291753401249822e-12,1.0516955429304885e-12,1.148451160696847e-12,1.103044555033358e-11,1.1359088757847676e-11,0.1066377426647844
sparc,D564-8,3.07,5.032786885245901,25.0,8.878223358307675,6.597677706523544e-12,8.320764163354393e-13,1.0820191438698612e-12,9.861769879498666e-12,1.0050417166802683e-11,0.0648092798190693
sparc,D631-7,0.45,0.6428571428571429,8.41,10.97542937656655,5.0936480369277775e-12,8.675209672120726e-12,1.9139034241012813e-12,2.6491619079810283e-11,3.5628443190571405e-11,2.272853121776463
