dataset	file	bytes	status	url
PHANGS-ALMA	ngc1433_12m+7m+tp_co21.fits	473273280	DEFERRED	https://cadc-west-01.canfar.net/vault/files/phangs/RELEASES/PHANGS-ALMA/by_galaxy/ngc1433/ngc1433_12m+7m+tp_co21.fits
PHANGS-ALMA	ngc1433_12m+7m+tp_co21_11as.fits	473270400	DEFERRED	https://cadc-west-01.canfar.net/vault/files/phangs/RELEASES/PHANGS-ALMA/by_galaxy/ngc1433/ngc1433_12m+7m+tp_co21_11as.fits
PHANGS-ALMA	ngc1433_12m+7m+tp_co21_11as_broad_emom0.fits	1929600	DEFERRED	https://cadc-west-01.canfar.net/vault/files/phangs/RELEASES/PHANGS-ALMA/by_galaxy/ngc1433/ngc1433_12m+7m+tp_co21_11as_broad_emom0.fits
PHANGS-ALMA	ngc1433_12m+7m+tp_co21_11as_broad_mom0.fits	1929600	DEFERRED	https://cadc-west-01.canfar.net/vault/files/phangs/RELEASES/PHANGS-ALMA/by_galaxy/ngc1433/ngc1433_12m+7m+tp_co21_11as_broad_mom0.fits
PHANGS-ALMA	ngc1433_12m+7m+tp_co21_11as_broad_tpeak.fits	1929600	DEFERRED	https://cadc-west-01.canfar.net/vault/files/phangs/RELEASES/PHANGS-ALMA/by_galaxy/ngc1433/ngc1433_12m+7m+tp_co21_11as_broad_tpeak.fits
PHANGS-ALMA	ngc1433_12m+7m+tp_co21_11as_coverage.fits	473270400	DEFERRED	https://cadc-west-01.canfar.net/vault/files/phangs/RELEASES/PHANGS-ALMA/by_galaxy/ngc1433/ngc1433_12m+7m+tp_co21_11as_coverage.fits
PHANGS-ALMA	ngc1433_12m+7m+tp_co21_11as_emom1wprior.fits	1929600	DEFERRED	https://cadc-west-01.canfar.net/vault/files/phangs/RELEASES/PHANGS-ALMA/by_galaxy/ngc1433/ngc1433_12m+7m+tp_co21_11as_emom1wprior.fits
PHANGS-ALMA	ngc1433_12m+7m+tp_co21_11as_mom1wprior.fits	1929600	DEFERRED	https://cadc-west-01.canfar.net/vault/files/phangs/RELEASES/PHANGS-ALMA/by_galaxy/ngc1433/ngc1433_12m+7m+tp_co21_11as_mom1wprior.fits
PHANGS-ALMA	ngc1433_12m+7m+tp_co21_11as_noise.fits	473270400	DEFERRED	https://cadc-west-01.canfar.net/vault/files/phangs/RELEASES/PHANGS-ALMA/by_galaxy/ngc1433/ngc1433_12m+7m+tp_co21_11as_noise.fits
PHANGS-ALMA	ngc1433_12m+7m+tp_co21_11as_strict_eew.fits	1929600	DEFERRED	https://cadc-west-01.canfar.net/vault/files/phangs/RELEASES/PHANGS-ALMA/by_galaxy/ngc1433/ngc1433_12m+7m+tp_co21_11as_strict_eew.fits
PHANGS-ALMA	ngc1433_12m+7m+tp_co21_11as_strict_emom0.fits	1929600	DEFERRED	https://cadc-west-01.canfar.net/vault/files/phangs/RELEASES/PHANGS-ALMA/by_galaxy/ngc1433/ngc1433_12m+7m+tp_co21_11as_strict_emom0.fits
PHANGS-ALMA	ngc1433_12m+7m+tp_co21_11as_strict_emom1.fits	1929600	DEFERRED	https://cadc-west-01.canfar.net/vault/files/phangs/RELEASES/PHANGS-ALMA/by_galaxy/ngc1433/ngc1433_12m+7m+tp_co21_11as_strict_emom1.fits
PHANGS-ALMA	ngc1433_12m+7m+tp_co21_11as_strict_emom2.fits	1929600	DEFERRED	https://cadc-west-01.canfar.net/vault/files/phangs/RELEASES/PHANGS-ALMA/by_galaxy/ngc1433/ngc1433_12m+7m+tp_co21_11as_strict_emom2.fits
PHANGS-ALMA	ngc1433_12m+7m+tp_co21_11as_strict_ew.fits	1929600	DEFERRED	https://cadc-west-01.canfar.net/vault/files/phangs/RELEASES/PHANGS-ALMA/by_galaxy/ngc1433/ngc1433_12m+7m+tp_co21_11as_strict_ew.fits
