file	bytes	md5	BMAJ_arcsec	BMIN_arcsec	BPA_deg	pix_arcsec	NAXIS1	NAXIS2	BUNIT
ngc1433_12m+7m+tp_co21_broad_emom0.fits	1929600	ded7ea03abbf078dacb675eb63be9f5b	1.0977	1.0977	0.0	0.3	835	576	K km s-1
ngc1433_12m+7m+tp_co21_broad_mom0.fits	1929600	8b7449a90114343e031eb3a37de98603	1.0977	1.0977	0.0	0.3	835	576	K km s-1
ngc1433_12m+7m+tp_co21_broad_tpeak.fits	1929600	fe7ae07f3ab7e6799ec668d290c4f1c7	1.0977	1.0977	0.0	0.3	835	576	K
ngc1433_12m+7m+tp_co21_emom1wprior.fits	1929600	75ea9e8f4b1e82d724ea49446ddc20fa	1.0977	1.0977	0.0	0.3	835	576	km s-1
ngc1433_12m+7m+tp_co21_mom1wprior.fits	1929600	e670301b9a22ce22b34b7458f01f8813	1.0977	1.0977	0.0	0.3	835	576	km s-1
ngc1433_12m+7m+tp_co21_strict_eew.fits	1929600	1788c44d5b70fbcbee051e3eed0f16fc	1.0977	1.0977	0.0	0.3	835	576	km s-1
ngc1433_12m+7m+tp_co21_strict_emom0.fits	1929600	1ebc08d1f8efe64fdede2f9ae8820a1b	1.0977	1.0977	0.0	0.3	835	576	K km s-1
ngc1433_12m+7m+tp_co21_strict_emom1.fits	1929600	08e23b0e26f552c4922346ecfc24b36b	1.0977	1.0977	0.0	0.3	835	576	km s-1
ngc1433_12m+7m+tp_co21_strict_emom2.fits	1929600	200ec8c30398e34cb46c5a39f3191f74	1.0977	1.0977	0.0	0.3	835	576	km s-1
ngc1433_12m+7m+tp_co21_strict_ew.fits	1929600	b83321a1669d7e8badc5833b0223ef43	1.0977	1.0977	0.0	0.3	835	576	km s-1
ngc1433_12m+7m+tp_co21_strict_mom0.fits	1929600	9399941cfe71b8c34d004606019359af	1.0977	1.0977	0.0	0.3	835	576	K km s-1
ngc1433_12m+7m+tp_co21_strict_mom1.fits	1929600	e1a9ef02061d82fdb2220a92f6f6038c	1.0977	1.0977	0.0	0.3	835	576	km s-1
ngc1433_12m+7m+tp_co21_strict_mom2.fits	1929600	b11d1e87bc621a4b5400b8cd8d5cd9d1	1.0977	1.0977	0.0	0.3	835	576	km s-1
ngc1672_12m+7m+tp_co21_broad_emom0.fits	541440	d45104156a869e3393dd0210cefddab1	1.93237	1.93237	0.0	0.5	487	274	K km s-1
ngc1672_12m+7m+tp_co21_broad_mom0.fits	541440	197c9b87058bc00a5053d3b30b2ff0a7	1.93237	1.93237	0.0	0.5	487	274	K km s-1
ngc1672_12m+7m+tp_co21_broad_tpeak.fits	541440	9072e5623f1309294374fc34f31b2618	1.93237	1.93237	0.0	0.5	487	274	K
ngc1672_12m+7m+tp_co21_emom1wprior.fits	541440	ee20dac2e2f0e6306bda22965f3eba0b	1.93237	1.93237	0.0	0.5	487	274	km s-1
ngc1672_12m+7m+tp_co21_mom1wprior.fits	541440	2883f4156a98655839901ad81567a739	1.93237	1.93237	0.0	0.5	487	274	km s-1
ngc1672_12m+7m+tp_co21_strict_eew.fits	541440	04517f1f5fe0498c7b50905cf73c4038	1.93237	1.93237	0.0	0.5	487	274	km s-1
ngc1672_12m+7m+tp_co21_strict_emom0.fits	541440	b1fbd10feb6d48479c9a7642a91b1552	1.93237	1.93237	0.0	0.5	487	274	K km s-1
ngc1672_12m+7m+tp_co21_strict_emom1.fits	541440	7a7c352afd922347498fa7d592c9fccc	1.93237	1.93237	0.0	0.5	487	274	km s-1
ngc1672_12m+7m+tp_co21_strict_emom2.fits	541440	2be50511eec8927a3aff4907a1e349c4	1.93237	1.93237	0.0	0.5	487	274	km s-1
ngc1672_12m+7m+tp_co21_strict_ew.fits	541440	fb37c6ebadad7fdc4b16753c9439a3c2	1.93237	1.93237	0.0	0.5	487	274	km s-1
ngc1672_12m+7m+tp_co21_strict_mom0.fits	541440	c68b67beee15d1f5c9a34d2b499c54d4	1.93237	1.93237	0.0	0.5	487	274	K km s-1
ngc1672_12m+7m+tp_co21_strict_mom1.fits	541440	f73bb1f07d5ffeadaee60f486a205826	1.93237	1.93237	0.0	0.5	487	274	km s-1
ngc1672_12m+7m+tp_co21_strict_mom2.fits	541440	115233e4fa82581e1abd725db06029eb	1.93237	1.93237	0.0	0.5	487	274	km s-1
ngc3351_12m+7m+tp_co21_broad_emom0.fits	728640	8ceac9493be5db2dfad0fee740ac7451	1.46325	1.46325	0.0	0.4	431	418	K km s-1
ngc3351_12m+7m+tp_co21_broad_mom0.fits	728640	0d025d4c6fe762a9d6e2f699b224abce	1.46325	1.46325	0.0	0.4	431	418	K km s-1
ngc3351_12m+7m+tp_co21_broad_tpeak.fits	728640	ea090c316abe0d4f6410dae80cd43dbd	1.46325	1.46325	0.0	0.4	431	418	K
ngc3351_12m+7m+tp_co21_emom1wprior.fits	728640	2d9d4e474a23bc65e5a91b223a63d717	1.46325	1.46325	0.0	0.4	431	418	km s-1
ngc3351_12m+7m+tp_co21_mom1wprior.fits	728640	f30e2bbe5f5797545805c9a503feae69	1.46325	1.46325	0.0	0.4	431	418	km s-1
ngc3351_12m+7m+tp_co21_strict_eew.fits	728640	8e6dad75cefeaf9f211b03dedbcf481c	1.46325	1.46325	0.0	0.4	431	418	km s-1
ngc3351_12m+7m+tp_co21_strict_emom0.fits	728640	71d83147130813d1d5d1a52c8741b30f	1.46325	1.46325	0.0	0.4	431	418	K km s-1
ngc3351_12m+7m+tp_co21_strict_emom1.fits	728640	003f5c27abe6ab5d8e24fdf619c79499	1.46325	1.46325	0.0	0.4	431	418	km s-1
ngc3351_12m+7m+tp_co21_strict_emom2.fits	728640	2445bbf5c3518e785ff2efd8e5e4ea3a	1.46325	1.46325	0.0	0.4	431	418	km s-1
ngc3351_12m+7m+tp_co21_strict_ew.fits	728640	ac95402b1e10536b90a8daa99bfa841c	1.46325	1.46325	0.0	0.4	431	418	km s-1
ngc3351_12m+7m+tp_co21_strict_mom0.fits	728640	6de7fc284c32a85d86a4cbc5690894f7	1.46325	1.46325	0.0	0.4	431	418	K km s-1
ngc3351_12m+7m+tp_co21_strict_mom1.fits	728640	4fac591796413d64397047c8d30a0ed9	1.46325	1.46325	0.0	0.4	431	418	km s-1
ngc3351_12m+7m+tp_co21_strict_mom2.fits	728640	e5ab63007cff881073532cecff17f781	1.46325	1.46325	0.0	0.4	431	418	km s-1
