object,ra_deg,dec_deg,PA_deg,PA_err_deg,incl_deg,incl_err_deg,dist_Mpc,dist_err_Mpc,rotation_sense,bar_flag,R_100pct_CO_kpc,R_50pct_CO_kpc,R_endCO_kpc,parse_note
IC 1954,52.88,-51.90,63.4,0.2,57.1,0.7,12.8,0.068,+1,1,4.49,5.58,6.96,
IC 5273,344.86,-37.70,234.1,2.0,52.0,2.1,14.18,0.061,+1,1,4.12,5.41,7.43,
IC 5332,353.61,-36.10,74.4,10.0,26.9,5.0,9.01,0.019,+1,0,,,,
NGC 0628,24.17,15.78,20.7,1.0,8.9,12.2,9.84,0.027,-1,0,,,,
NGC 0685,26.93,-52.76,100.9,2.8,23.0,43.4,19.94,0.061,+1,1,6.15,7.41,9.49,
NGC 1087,41.60,-0.49,359.1,1.2,42.9,3.9,15.85,0.057,+1,1,6.55,7.85,9.43,
NGC 1097,41.58,-30.27,122.4,3.6,48.6,6.0,13.58,0.061,-1,1,7.52,9.81,14.16,
NGC 1300,49.92,-19.41,278.0,1.0,31.8,6.0,18.99,0.061,-1,1,9.85,12.07,15.46,
NGC 1317*,50.68,-37.10,221.5,2.9,23.2,7.5,19.11,0.019,+1,1,3.61,4.18,5.03,
NGC 1365,53.40,-36.14,201.1,7.5,55.4,6.0,19.57,0.017,-1,1,6.17,9.57,19.61,
NGC 1385,54.37,-24.50,181.3,4.8,44.0,7.6,17.22,0.061,+1,0,,,,
NGC 1433,55.51,-47.22,199.7,0.3,28.6,6.0,18.63,0.041,-1,1,7.74,10.83,15.07,
NGC 1511,59.90,-67.63,297.0,2.1,72.7,1.2,15.28,0.06,0,0,,,,
NGC 1512,60.97,-43.35,261.9,4.2,42.5,6.0,18.83,0.041,-1,1,7.30,9.86,14.26,
NGC 1546,63.65,-56.06,147.8,0.4,70.3,0.6,17.69,0.047,0,0,,,,
NGC 1559,64.40,-62.78,244.5,3.0,65.4,8.4,19.44,0.01,-1,1,8.63,12.37,21.29,
NGC 1566,65.00,-54.94,214.7,4.1,29.5,10.6,17.69,0.047,-1,1,7.95,10.46,14.14,PA reassembled from source typo: raw cell was 214.{pm 4.1} 7
NGC 1637,70.37,-2.86,20.61,10.0,31.1,5.0,11.7,0.036,+1,1,3.67,5.07,6.59,
NGC 1672,71.43,-59.25,134.3,0.4,42.6,12.9,19.4,0.061,+1,1,5.38,9.95,17.18,
NGC 1792,76.31,-37.98,318.9,0.9,65.1,1.1,16.2,0.061,-1,0,,,,
NGC 1809,75.52,-69.57,138.2,8.9,57.6,23.6,19.95,0.108,0,0,,,,
NGC 2090*,86.76,-34.25,192.46,0.6,64.5,0.2,11.75,0.03,+1,0,,,,
NGC 2283*,101.47,-18.21,-4.1,1.0,43.7,3.6,13.68,0.061,-1,1,4.96,6.06,8.45,
NGC 2566*,124.69,-25.49,312.0,2.0,48.5,6.0,23.44,0.061,-1,1,6.89,11.27,17.77,
NGC 2775,137.58,7.04,156.5,0.1,41.2,0.6,23.15,0.061,0,0,,,,
NGC 2835*,139.47,-22.35,1.0,1.0,41.3,5.3,12.22,0.032,-1,1,5.45,6.45,7.79,
NGC 2903,143.04,21.50,203.7,2.0,66.8,3.1,10.0,0.079,+1,1,7.02,10.09,16.25,
NGC 2997*,146.41,-31.19,108.1,0.7,33.0,9.0,14.06,0.079,-1,0,,,,
NGC 3059*,147.53,-73.92,-14.8,2.9,29.4,11.0,20.23,0.079,-1,1,7.81,9.64,11.91,
NGC 3137*,152.28,-29.06,-0.3,0.5,70.3,1.2,16.37,0.058,+1,0,,,,
NGC 3239,156.27,17.16,72.9,10.0,60.3,5.0,10.86,0.04,0,0,,,,
NGC 3351,160.99,11.70,139.2,2.0,45.1,6.0,9.96,0.014,+1,1,4.09,5.29,6.93,
NGC 3507,165.86,18.13,55.8,1.3,21.7,11.3,23.55,0.068,-1,1,7.55,8.95,10.94,
NGC 3511,165.85,-23.09,256.8,0.8,75.1,2.2,13.94,0.061,+1,1,7.77,11.07,14.77,
NGC 3521,166.86,-0.03,343.0,0.6,68.8,0.3,13.24,0.06,+1,0,,,,
NGC 3596,168.77,14.79,78.4,1.0,25.1,11.0,11.3,0.038,-1,0,,,,
NGC 3621*,169.57,-32.81,343.8,0.3,65.8,1.8,7.06,0.017,-1,0,,,,
NGC 3626,170.01,18.36,165.2,2.0,46.6,6.0,20.05,0.048,+1,1,4.48,5.43,6.38,
NGC 3627,170.06,12.99,173.1,3.6,57.3,1.0,11.32,0.018,+1,1,5.59,8.49,12.16,
NGC 4207,183.88,9.58,121.9,2.0,64.5,6.0,15.78,0.06,0,0,,,,
NGC 4254,184.71,14.42,68.1,0.5,34.4,1.0,13.1,0.062,-1,0,,,,
NGC 4293,185.30,18.38,48.3,2.0,65.0,6.0,15.76,0.061,+1,1,4.45,6.71,12.77,
NGC 4298,185.39,14.61,313.9,0.7,59.2,0.8,14.92,0.038,+1,0,,,,
NGC 4303,185.78,4.47,312.4,2.5,23.5,9.2,16.99,0.071,-1,1,7.15,7.97,9.73,
NGC 4321,185.73,15.82,156.2,1.7,38.5,2.4,15.21,0.014,+1,1,8.06,10.24,14.88,
NGC 4424,186.79,9.42,88.3,2.0,58.2,6.0,16.2,0.018,+1,0,,,,
NGC 4457,187.24,3.57,78.7,2.0,17.4,6.0,15.1,0.054,-1,1,3.39,3.70,4.34,
NGC 4496A,187.91,3.94,51.1,4.1,53.8,3.5,14.86,0.03,-1,1,4.32,6.26,11.30,
NGC 4535,188.58,8.19,179.7,1.6,44.7,10.8,15.77,0.01,+1,1,6.36,8.52,11.32,
NGC 4536,188.61,2.19,305.6,2.3,66.0,2.9,16.25,0.029,-1,1,11.02,13.17,18.23,
NGC 4540,188.71,15.55,12.8,4.3,28.7,28.7,15.76,0.061,+1,1,2.99,3.69,4.42,
NGC 4548,188.86,14.49,138.0,2.0,38.3,6.0,16.22,0.01,-1,1,5.74,7.44,9.19,
NGC 4569,189.21,13.16,18.0,2.0,70.0,6.0,15.76,0.061,+1,1,7.79,10.73,14.46,
NGC 4571,189.23,14.22,217.5,0.6,32.7,2.1,14.9,0.03,-1,0,,,,
NGC 4579,189.43,11.82,91.3,1.6,40.22,5.6,21.0,0.04,+1,1,8.75,11.05,15.31,
NGC 4654,190.98,13.13,132.2,1.0,55.6,5.9,21.98,0.022,+1,1,11.30,13.50,17.57,
NGC 4689,191.94,13.76,164.1,0.3,38.7,2.65,15.0,0.061,-1,0,,,,
NGC 4694,192.06,10.98,143.3,2.0,60.7,6.0,15.76,0.061,0,0,,,,
NGC 4731,192.75,-6.39,255.4,2.0,64.0,6.0,13.28,0.064,+1,1,3.31,5.09,14.68,
NGC 4781,193.59,-10.54,290.0,1.3,59.0,3.8,11.31,0.043,+1,1,5.12,5.83,7.93,
NGC 4826,194.18,21.68,293.6,1.2,59.1,0.9,4.41,0.018,-1,0,,,,
NGC 4941,196.05,-5.55,202.2,0.6,53.4,1.1,15.0,0.125,+1,1,5.15,5.85,7.14,
NGC 4951,196.28,-6.49,91.2,0.5,70.2,2.2,15.0,0.107,+1,0,,,,
NGC 5042,198.88,-23.98,190.6,0.8,49.4,8.6,16.78,0.061,+1,0,,,,
NGC 5068,199.73,-21.04,342.4,3.2,35.7,10.9,5.2,0.018,+1,1,1.00,3.47,5.75,
NGC 5128*,201.36,-43.02,32.17,10.0,45.33,5.0,3.69,0.015,-1,0,,,,
NGC 5134,201.33,-21.13,311.6,2.0,22.7,6.0,19.92,0.055,+1,1,3.95,5.52,7.34,
NGC 5248,204.38,8.88,109.2,3.5,47.4,16.3,14.87,0.037,-1,1,6.38,8.52,12.48,
NGC 5530*,214.61,-43.39,305.4,1.0,61.9,2.6,12.27,0.061,+1,0,,,,
NGC 5643*,218.17,-44.17,318.7,2.0,29.9,6.0,12.68,0.018,+1,1,5.86,7.20,9.34,
NGC 6300*,259.25,-62.82,105.4,2.3,49.6,5.8,11.58,0.061,-1,1,5.35,6.51,8.87,
NGC 6744*,287.44,-63.86,14.0,0.2,52.7,2.2,9.39,0.019,+1,1,0.01,6.35,12.79,
NGC 7456,345.54,-39.57,16.0,2.9,67.3,4.3,15.7,0.06,-1,0,,,,
NGC 7496*,347.45,-43.43,193.7,4.2,35.9,6.0,18.72,0.061,-1,1,5.26,7.09,9.99,
