object,R_CR_kpc,R_CR_err_lo_kpc,R_CR_err_hi_kpc,R_bar_kpc,Rratio_CR_over_bar,QF,nominal_map
IC 1954,,,,0.40,,3,ICA2
NGC 3627,5.2,0.2,0.2,3.64,1.43,2,ICA2
IC 5273,2.6,0.2,0.2,1.36,1.90,3,ICA2
NGC 4293,,,,5.97,,3,ICA2
NGC 0685,2.1,0.8,0.8,1.92,1.11,3^dagger,ICA1
NGC 4303,3.4,0.2,0.2,2.97,1.15,1,ICA2
NGC 1087,1.6,0.1,0.1,1.29,1.24,3^dagger,ICA2
NGC 4321,3.7,0.4,0.4,4.37,0.85,2^ddagger,ICA2
NGC 1097,6.4,0.8,0.8,6.19,1.03,1,ICA2
NGC 4457,2.3,0.1,0.1,2.39,0.96,2^dagger,IRAC
NGC 1300,6.6,0.1,0.1,7.43,0.88,2^dagger,ICA2
NGC 4496A,3.8,0.3,0.3,1.69,2.22,3^dagger,ICA2
NGC 1317,,,,3.89,,3,IRAC
NGC 4535,3.2,0.1,0.1,2.87,1.13,1,ICA2
NGC 1365,14.5,7.4,7.4,8.58,1.69,3^dagger,ICA2
NGC 4536,5.0,0.4,0.4,2.64,1.89,3,ICA2
NGC 1433,4.8,0.3,0.3,5.95,0.81,2,IRAC
NGC 4540,,,,1.38,,3,ICA1
NGC 1512,5.0,0.1,0.1,6.52,0.77,2^dagger,IRAC
NGC 4548,5.5,0.3,0.3,4.69,1.17,1,ICA2
NGC 1559,,,,1.05,,3,ICA1
NGC 4569,11.8,2.9,2.9,7.50,1.57,3^dagger,ICA2
NGC 1566,6.2,0.6,0.6,3.07,2.01,3^dagger,ICA2
NGC 4579,3.3,0.2,0.2,4.14,0.81,1,ICA2
NGC 1637,1.0,0.1,0.1,1.14,0.89,2^dagger,ICA2
NGC 4654,2.7,0.2,0.2,3.07,0.86,3,ICA2
NGC 1672,11.9,1.9,1.9,7.00,1.70,3^dagger,ICA1
NGC 4731,6.8,1.0,1.0,3.70,1.82,3^dagger,ICA2
NGC 2283*,1.3,0.0,0.0,0.80,1.59,3^dagger,IRAC
NGC 4781,1.6,0.1,0.1,1.00,1.57,2,ICA2
NGC 2566,6.4,0.6,0.6,6.82,0.94,3^dagger,IRAC
NGC 4941,,,,6.76,,3,ICA2
NGC 2835,2.4,0.0,0.0,1.24,1.96,3^dagger,IRAC
NGC 5068,1.9,0.1,0.1,0.88,2.19,3^dagger,ICA2
NGC 2903,6.7,0.5,0.5,3.30,2.02,2,ICA2
NGC 5134,4.3,0.0,0.0,4.38,0.99,3^dagger,IRAC
NGC 3059,4.5,0.3,0.3,2.05,2.22,2,IRAC
NGC 5248,6.8,0.7,0.7,6.85,0.99,2^dagger,ICA1
NGC 3351,2.2,0.1,0.1,2.48,0.89,1,ICA2
NGC 5643,2.9,0.1,0.1,3.32,0.86,2^dagger,IRAC
NGC 3507,3.0,0.1,0.1,2.91,1.02,1,ICA1
NGC 6300,2.7,0.2,0.2,2.02,1.31,3^dagger,IRAC
NGC 3511,,,,1.27,,3,ICA2
NGC 6744,6.4,0.1,0.1,4.10,1.56,3^dagger,IRAC
NGC 3626,,,,1.92,,3,IRAC
NGC 7496*,3.4,0.1,0.1,3.41,1.00,1,IRAC
