object,Omega_p_km_s_kpc,Omega_p_err_lo,Omega_p_err_hi,iILR_kpc,iILR_err_lo,iILR_err_hi,oILR_kpc,oILR_err_lo,oILR_err_hi,OLR_kpc,OLR_err_lo,OLR_err_hi
IC 1954,,,,,,,,,,,,
NGC 3627,38.8,1.8,1.8,,,,0.6,0.0,0.0,6.8,0.0,0.0
IC 5273,43.5,3.7,3.7,,,,,,,,,
NGC 4293,,,,,,,,,,,,
NGC 0685,38.5,199.7,199.7,,,,,,,5.3,,
NGC 4303,61.9,4.5,4.5,,,,0.7,0.0,0.0,5.9,1.2,0.1
NGC 1087,89.8,6.4,6.4,,,,,,,2.5,0.1,0.1
NGC 4321,44.2,4.5,4.5,,,,0.9,0.0,0.0,7.2,0.7,
NGC 1097,38.5,4.7,4.7,,,,1.0,0.1,0.4,9.6,1.5,0.0
NGC 4457,88.1,5.9,5.9,0.4,0.0,0.0,1.0,0.0,0.0,,,
NGC 1300,27.2,7.7,7.7,,,,1.4,1.3,,,,
NGC 4496A,,,,,,,,,,,,
NGC 1317,,,,,,,,,,,,
NGC 4535,38.3,2.1,2.1,,,,0.9,0.0,0.0,,,
NGC 1365,,,,,,,,,,,,
NGC 4536,32.9,2.7,2.7,,,,0.8,0.0,0.0,8.8,0.6,0.4
NGC 1433,,,,,,,,,,,,
NGC 4540,,,,,,,,,,,,
NGC 1512,,,,,,,,,,,,
NGC 4548,30.8,1.7,1.7,0.3,0.0,0.0,0.6,0.0,0.0,6.3,0.0,
NGC 1559,,,,,,,,,,,,
NGC 4569,,,,,,,,,,,,
NGC 1566,36.1,4.1,4.1,,,,1.6,0.0,0.0,7.3,0.0,0.0
NGC 4579,68.2,3.5,3.5,0.4,0.0,0.0,,,,7.4,0.6,0.6
NGC 1637,,,,,,,,,,,,
NGC 4654,40.1,3.8,3.8,,,,,,,6.4,0.6,1.2
NGC 1672,,,,,,,,,,,,
NGC 4731,,,,,,,,,,,,
NGC 2283,79.0,1.9,1.9,,,,,,,2.1,0.0,0.0
NGC 4781,64.1,5.9,5.9,,,,,,,2.9,0.1,0.1
NGC 2566,,,,,,,,,,,,
NGC 4941,,,,,,,,,,,,
NGC 2835,44.6,0.5,0.5,0.3,0.0,0.0,0.4,0.0,0.0,,,
NGC 5068,26.0,1.2,1.2,,,,,,,0.7,0.4,0.0
NGC 2903,33.3,2.4,2.4,,,,0.6,0.0,0.0,,,
NGC 5134,34.2,0.3,0.3,,,,,,,,,
NGC 3059,27.6,1.8,1.8,,,,0.4,0.0,0.0,,,
NGC 5248,28.1,4.7,4.7,,,,0.9,0.0,0.0,,,
NGC 3351,,,,,,,,,,,,
NGC 5643,57.5,2.6,2.6,,,,0.3,0.0,0.0,5.6,0.1,0.1
NGC 3507,48.7,4.4,4.4,0.6,0.0,0.0,0.9,0.0,0.0,6.5,1.6,0.4
NGC 6300,63.0,4.9,4.9,,,,0.9,0.1,0.1,,,
NGC 3511,,,,,,,,,,,,
NGC 6744,28.3,1.4,1.4,,,,,,,,,
NGC 3626,,,,,,,,,,,,
NGC 7496,28.7,1.1,1.1,0.4,0.0,0.0,0.7,0.0,0.0,,,
