GALAXY,PGC,DIST,INCL,PA,HAS_BAR,OM_P_ALMA,OM_P_ALMA_ERR_UP,OM_P_ALMA_ERR_DOWN,OM_P_ALMA_QUAL,OM_P_MUSE_MASS,OM_P_MUSE_MASS_ERR_UP,OM_P_MUSE_MASS_ERR_DOWN,OM_P_MUSE_MASS_QUAL,OM_P_MUSE_HA,OM_P_MUSE_HA_ERR_UP,OM_P_MUSE_HA_ERR_DOWN,OM_P_MUSE_HA_QUAL,R_CR_ALMA_1,R_CR_ALMA_1_ERR,R_CR_ALMA_2,R_CR_ALMA_2_ERR,R_CR_ALMA_3,R_CR_ALMA_3_ERR,R_CR_ALMA_4,R_CR_ALMA_4_ERR,R_ILR_ALMA_1,R_ILR_ALMA_1_ERR,R_ILR_ALMA_2,R_ILR_ALMA_2_ERR,R_ILR_ALMA_3,R_ILR_ALMA_3_ERR,R_ILR_ALMA_4,R_ILR_ALMA_4_ERR,R_ILR_ALMA_5,R_ILR_ALMA_5_ERR,R_ILR_ALMA_6,R_ILR_ALMA_6_ERR,R_ILR_ALMA_7,R_ILR_ALMA_7_ERR,R_OLR_ALMA_1,R_OLR_ALMA_1_ERR,R_OLR_ALMA_2,R_OLR_ALMA_2_ERR,R_OLR_ALMA_3,R_OLR_ALMA_3_ERR,R_CR_MUSE_MASS_1,R_CR_MUSE_MASS_1_ERR,R_CR_MUSE_MASS_2,R_CR_MUSE_MASS_2_ERR,R_ILR_MUSE_MASS_1,R_ILR_MUSE_MASS_1_ERR,R_ILR_MUSE_MASS_2,R_ILR_MUSE_MASS_2_ERR,R_ILR_MUSE_MASS_3,R_ILR_MUSE_MASS_3_ERR,R_ILR_MUSE_MASS_4,R_ILR_MUSE_MASS_4_ERR,R_ILR_MUSE_MASS_5,R_ILR_MUSE_MASS_5_ERR,R_ILR_MUSE_MASS_6,R_ILR_MUSE_MASS_6_ERR,R_ILR_MUSE_MASS_7,R_ILR_MUSE_MASS_7_ERR,R_ILR_MUSE_MASS_8,R_ILR_MUSE_MASS_8_ERR,R_ILR_MUSE_MASS_9,R_ILR_MUSE_MASS_9_ERR,R_OLR_MUSE_MASS_1,R_OLR_MUSE_MASS_1_ERR,R_OLR_MUSE_MASS_2,R_OLR_MUSE_MASS_2_ERR,R_OLR_MUSE_MASS_3,R_OLR_MUSE_MASS_3_ERR,R_CR_MUSE_HA_1,R_CR_MUSE_HA_1_ERR,R_CR_MUSE_HA_2,R_CR_MUSE_HA_2_ERR,R_ILR_MUSE_HA_1,R_ILR_MUSE_HA_1_ERR,R_ILR_MUSE_HA_2,R_ILR_MUSE_HA_2_ERR,R_ILR_MUSE_HA_3,R_ILR_MUSE_HA_3_ERR,R_ILR_MUSE_HA_4,R_ILR_MUSE_HA_4_ERR,R_ILR_MUSE_HA_5,R_ILR_MUSE_HA_5_ERR,R_ILR_MUSE_HA_6,R_ILR_MUSE_HA_6_ERR,R_ILR_MUSE_HA_7,R_ILR_MUSE_HA_7_ERR,R_OLR_MUSE_HA_1,R_OLR_MUSE_HA_1_ERR,R_OLR_MUSE_HA_2,R_OLR_MUSE_HA_2_ERR,R_OLR_MUSE_HA_3,R_OLR_MUSE_HA_3_ERR,LITERATURE_OM_P,LITERATURE_OM_P_ERR,LITERATURE_OM_P_REF
ESO097-013,50779,4.199999809265137,64.30000305175781,36.7400016784668,0,-12.787063765391002,68.72846620361135,124.81400678267634,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC1954,13090,12.0,57.099998474121094,63.400001525878906,1,69.33957407190782,1.4281322338537197,1.8045148396191384,4.0,,,,,,,,,0.07894737124443055,0.07894737124443055,1.519736896455288,0.1776315852999688,,,,,,,,,,,,,,,,,,,3.312964285701307,0.21391071428487596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC5273,70184,14.180000305175781,52.0,234.10000610351562,1,40.57583562400043,2.7630122539256106,1.8932395944093627,1.0,,,,,,,,,2.8697620376944544,0.7958163633942603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC5332,71775,8.180000305175781,26.899999618530273,74.4000015258789,0,,,,,-9.179880612530127,16.490515361483855,4.433053149374242,3.0,31.41578324709998,1.2327076820755498,1.03168049341429,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0253,2789,3.700000047683716,75.0,52.47999954223633,0,51.397729959292654,32.049505128504435,7.095516505515029,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.21186229685224,,2014A%26A...567A..86I
NGC0300,3238,2.0899999141693115,39.79999923706055,114.30000305175781,0,31.62856368961508,4.6610277309571595,4.172525045128999,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0628,5974,9.84000015258789,8.899999618530273,20.700000762939453,0,32.941025378922724,0.19023345114977058,0.2777023839919792,1.0,31.071082615035344,3.9815802252895556,2.933905367923211,1.0,35.41846128336871,0.418816218592569,0.455349633558334,1.0,4.355987399816513,0.9819855988025665,,,,,,,0.7832960774596516,0.001504891599346081,2.246803157823746,0.0007524457996730405,2.3747189437681655,0.0007524457996730405,,,,,,,,,5.981944107400798,0.0007524457996730405,6.198648497706637,0.0007524457996730405,,,4.5070621073246,2.0395085513591766,,,0.7855534148586708,0.015801361793134183,2.2422884830257077,0.020316036591172537,2.3777287269668577,0.015801361793134294,,,,,,,,,,,,,5.978934324202106,0.008276903796403445,6.203163172504675,0.012791578594442576,,,3.827225923538208,1.2085976600646973,,,0.7780289568619402,0.0022573373990192325,2.2528227242211303,0.0022573373990191214,2.369451823170454,0.001504891599346081,,,,,,,,,5.978181878402432,0.0015048915993451928,6.2046680641040215,0.0022573373990191214,,,33.22809453010139,0.7949304911507509,2014ApJ...790..118M
NGC0685,6581,19.940000534057617,23.0,100.9000015258789,1,36.747591634786325,2.8990373308643527,2.277020256094855,1.0,,,,,,,,,0.12462500333786011,0.12462500333786011,3.053312581777572,2.617125070095062,,,,,,,,,,,,,,,,,,,5.33994772112513,0.11339836762006428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1087,10496,15.850000381469727,42.900001525878906,359.1000061035156,1,46.715213014509565,0.646122680342122,0.8449202495365562,1.0,31.94471350445024,3.1938067140268975,1.6099750683603977,1.0,49.68389931539133,6.938442975501973,7.35537057380111,1.0,3.3571183383464813,0.6604167222976685,,,,,,,,,,,,,,,,,,,,,5.173693972153813,0.06651892249912006,,,,,4.2651913315057755,1.0731771737337112,,,0.5042298569686414,0.12236196854776471,,,,,,,,,,,,,,,,,,,,,,,3.6873266994953156,1.6510418057441711,,,0.5247603886041723,0.04763083339443197,,,,,,,,,,,,,4.783613871078723,0.4730234488826346,,,,,,,
NGC1097,10488,13.579999923706055,48.599998474121094,122.4000015258789,1,39.93134725011304,2.550932620412291,0.8060268361807631,2.0,,,,,,,,,6.359648019075394,2.0083099007606506,8.654859334230423,0.14345070719718933,,,,,1.5676507342479322,0.038636759310537894,1.7236287625756592,0.035774777139386815,1.9590267961528247,0.005008468799514221,3.327769769505766,0.017171893026905583,3.4021813059556907,0.01574090194132971,,,,,8.075082695902402,0.025042343997572658,9.594795228783557,0.01788738856969374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.392496656983848,1.6329164809435472,2014MNRAS.438..971P
NGC1300,12412,18.989999771118164,31.799999237060547,278.0,1,24.88579830766181,1.671837643476679,0.2051094735816111,1.0,18.918493051741166,9.36003410272923,8.94054546833621,3.0,25.10078719608848,0.6705135200911906,0.6202335598388591,1.0,6.093534506857395,2.4556034579873085,,,,,,,1.3722773746700065,0.02022516395976437,1.4521667723110752,0.011123840177870381,,,,,,,,,,,,,,,,,0.07275862097740174,0.07275862097740174,6.093534506857395,2.4556034579873085,1.3803674402539121,0.1092158853827272,6.336543868594149,0.09809204520485704,6.977681566118678,0.19112779941977198,7.502524570874559,0.2305668691413123,8.15883114136891,0.15674502068817375,,,,,,,,,,,,,,,6.093534506857395,2.4556034579873085,,,1.3844124730458651,0.01415761477183497,1.4440767067271696,0.009101323781893988,,,,,,,,,,,,,,,,,22.927260100604645,,1996A%26A...313..733L
