GALAXY,PGC,DIST,INCL,PA,HAS_BAR,OM_P_ALMA,OM_P_ALMA_ERR_UP,OM_P_ALMA_ERR_DOWN,OM_P_ALMA_QUAL,OM_P_MUSE_MASS,OM_P_MUSE_MASS_ERR_UP,OM_P_MUSE_MASS_ERR_DOWN,OM_P_MUSE_MASS_QUAL,OM_P_MUSE_HA,OM_P_MUSE_HA_ERR_UP,OM_P_MUSE_HA_ERR_DOWN,OM_P_MUSE_HA_QUAL,R_CR_ALMA_1,R_CR_ALMA_1_ERR,R_CR_MUSE_MASS_1,R_CR_MUSE_MASS_1_ERR,R_CR_MUSE_HA_1,R_CR_MUSE_HA_1_ERR,LITERATURE_OM_P,LITERATURE_OM_P_ERR,LITERATURE_OM_P_REF
ESO097-013,50779,4.199999809265137,64.30000305175781,36.7400016784668,0,-12.787063765391002,68.72846620361135,124.81400678267634,3.0,,,,,,,,,,,,,,,,,
IC1954,13090,12.0,57.099998474121094,63.400001525878906,1,69.33957407190782,1.4281322338537197,1.8045148396191384,4.0,,,,,,,,,0.07894737124443055,0.07894737124443055,,,,,,,
IC5273,70184,14.180000305175781,52.0,234.10000610351562,1,40.57583562400043,2.7630122539256106,1.8932395944093627,1.0,,,,,,,,,2.8697620376944544,0.7958163633942603,,,,,,,
IC5332,71775,8.180000305175781,26.899999618530273,74.4000015258789,0,,,,,-9.179880612530127,16.490515361483855,4.433053149374242,3.0,31.41578324709998,1.2327076820755498,1.03168049341429,3.0,,,,,,,,,
NGC0253,2789,3.700000047683716,75.0,52.47999954223633,0,51.397729959292654,32.049505128504435,7.095516505515029,3.0,,,,,,,,,,,,,,,57.21186229685224,,2014A%26A...567A..86I
NGC0300,3238,2.0899999141693115,39.79999923706055,114.30000305175781,0,31.62856368961508,4.6610277309571595,4.172525045128999,3.0,,,,,,,,,,,,,,,,,
NGC0628,5974,9.84000015258789,8.899999618530273,20.700000762939453,0,32.941025378922724,0.19023345114977058,0.2777023839919792,1.0,31.071082615035344,3.9815802252895556,2.933905367923211,1.0,35.41846128336871,0.418816218592569,0.455349633558334,1.0,4.355987399816513,0.9819855988025665,4.5070621073246,2.0395085513591766,3.827225923538208,1.2085976600646973,33.22809453010139,0.7949304911507509,2014ApJ...790..118M
NGC0685,6581,19.940000534057617,23.0,100.9000015258789,1,36.747591634786325,2.8990373308643527,2.277020256094855,1.0,,,,,,,,,0.12462500333786011,0.12462500333786011,,,,,,,
NGC1087,10496,15.850000381469727,42.900001525878906,359.1000061035156,1,46.715213014509565,0.646122680342122,0.8449202495365562,1.0,31.94471350445024,3.1938067140268975,1.6099750683603977,1.0,49.68389931539133,6.938442975501973,7.35537057380111,1.0,3.3571183383464813,0.6604167222976685,4.2651913315057755,1.0731771737337112,3.6873266994953156,1.6510418057441711,,,
NGC1097,10488,13.579999923706055,48.599998474121094,122.4000015258789,1,39.93134725011304,2.550932620412291,0.8060268361807631,2.0,,,,,,,,,6.359648019075394,2.0083099007606506,,,,,29.392496656983848,1.6329164809435472,2014MNRAS.438..971P
