family,version,method,naxis1,naxis2,cdelt1_deg,cdelt2_deg,pixscale_arcsec,kpc_per_pixel,fov_arcsec_x,fov_arcsec_y,crval1,crval2,crpix1,crpix2,ctype,equinox,rotation,covers_NW,covers_W,covers_NE,covers_Core,covers_Xray_centre
bradac,v1,SWUnited (Bradac) - free-form/adaptive-grid hybrid,4096,4096,-1.4241536458333e-05,1.42415364583333e-05,0.05127,0.2321,210.0,210.0,3.61509511911361,-30.42524,1.5,1.5,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),False,True,True,True,True
bradac,v2,SWUnited (Bradac) - free-form/adaptive-grid hybrid,1024,1024,-5.6966145833333e-05,5.69661458333333e-05,0.205078,0.9285,210.0,210.0,3.61509511911361,-30.42524,1.5,1.5,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),False,True,True,True,True
cats,v1,"CATS (Lenstool, parametric)",1600,1600,-5.55902994927385e-05,6.34076853589049e-05,0.200125,0.9061,320.2,365.2,3.586242,-30.400166,775.515625,614.315068493151,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),True,True,True,True,True
cats,v2.1,"CATS (Lenstool, parametric)",1200,1200,-2.78009452321379e-05,2.78009452321379e-05,0.100083,0.4531,120.1,120.1,3.586259,-30.400174,600.5,600.5,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),False,False,False,True,True
cats,v2.2,"CATS (Lenstool, parametric)",1200,1200,-2.78009452321379e-05,2.78009452321379e-05,0.100083,0.4531,120.1,120.1,3.586259,-30.400174,600.5,600.5,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),False,False,False,True,True
cats,v3,"CATS (Lenstool, parametric)",1200,1200,-2.78009452321379e-05,2.78009452321379e-05,0.100083,0.4531,120.1,120.1,3.586259,-30.400174,600.5,600.5,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),False,False,False,True,True
cats,v3.1,"CATS (Lenstool, parametric)",1200,1200,-2.78009452321379e-05,2.78009452321379e-05,0.100083,0.4531,120.1,120.1,3.586259,-30.400174,600.5,600.5,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),False,False,False,True,True
cats,v4,"CATS (Lenstool, parametric)",2000,2000,-8.33750208437552e-05,8.33750208437552e-05,0.30015,1.359,600.3,600.3,3.586259,-30.400174,1000.5,1000.5,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),True,True,True,True,True
cats,v4.1,"CATS (Lenstool, parametric)",2000,2000,-8.33750208437552e-05,8.33750208437552e-05,0.30015,1.359,600.3,600.3,3.586259,-30.400174,1000.5,1000.5,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),True,True,True,True,True
diego,v4,WSLAP+ (Diego) - FREE-FORM,512,512,-0.000143229166667,0.000143229166667,0.515625,2.3346,264.0,264.0,3.5874847,-30.389517,256.0,256.0,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),True,True,True,True,True
diego,v4.1,WSLAP+ (Diego) - FREE-FORM,512,512,-0.000143229166667,0.000143229166667,0.515625,2.3346,264.0,264.0,3.5874847,-30.389517,256.0,256.0,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),True,True,True,True,True
glafic,v1,GLAFIC (parametric),5400,5400,-8.33333333333333e-06,8.33333333333333e-06,0.03,0.1358,162.0,162.0,3.58611483085319,-30.4002441666667,2700.0,2400.0,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),False,False,True,True,True
glafic,v3,GLAFIC (parametric),5366,6100,-8.3333333333333e-06,8.33333333333335e-06,0.03,0.1358,161.0,183.0,3.5861116102844,-30.4002469444444,2667.0,2833.0,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),False,False,True,True,True
glafic,v4,GLAFIC (parametric),5366,6100,-8.3333333333333e-06,8.33333333333335e-06,0.03,0.1358,161.0,183.0,3.5861116102844,-30.4002469444444,2667.0,2833.0,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),False,False,True,True,True
keeton,v4,Keeton (parametric),4001,4001,-1.6666666666666e-05,1.66666666666667e-05,0.06,0.2717,240.1,240.1,3.58833333,-30.39725,2001.0,2001.0,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),False,True,True,True,True
merten,v1,SaWLens (Merten) - FREE-FORM / adaptive-mesh non-parametric,180,180,-0.002314815,0.002314815,8.333334,37.7308,1500.0,1500.0,3.58611,-30.40024,90.5,90.5,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),True,True,True,True,True
sharon,v1,"Sharon/Johnson (Lenstool, parametric)",6736,6736,-8.33333340756136e-06,8.33333340756136e-06,0.03,0.1358,202.1,202.1,3.586259,-30.400173,3582.6580914213,3017.24000312435,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),False,False,True,True,True
sharon,v2,"Sharon/Johnson (Lenstool, parametric)",5004,5004,-1.66666661226574e-05,1.66666661226574e-05,0.06,0.2717,300.2,300.2,3.586259,-30.400173,2609.32905016995,2326.6199942755,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),True,True,True,True,True
sharon,v3,"Sharon/Johnson (Lenstool, parametric)",5004,5004,-1.66666661226574e-05,1.66666661226574e-05,0.06,0.2717,300.2,300.2,3.586259,-30.400173,2609.32905016995,2326.6199942755,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),True,True,True,True,True
sharon,v4,"Sharon/Johnson (Lenstool, parametric)",4000,4000,-1.38888888888889e-05,1.38888888888889e-05,0.05,0.2264,200.0,200.0,3.586259,-30.400173,2000.5,2000.5,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),False,False,True,True,True
sharon,v4cor,"Sharon/Johnson (Lenstool, parametric)",4000,4000,-1.38888888888889e-05,1.38888888888889e-05,0.05,0.2264,200.0,200.0,3.586259,-30.400173,2000.5,2000.5,RA---TAN/DEC--TAN,2000.0,none (CD1_2=CD2_1=0),False,False,True,True,True
