object_id,object_class,component,ra_deg,dec_deg,ra_sex_fk5_j2000,dec_sex_fk5_j2000,pos_err_arcsec,kpc_per_arcsec,provenance_source,provenance_detail,axis_pa_deg__AX_A,sep_from_origin_arcsec__AX_A,sep_from_origin_kpc__AX_A,pa_from_origin_deg__AX_A,dpar_arcsec__AX_A,dpar_kpc__AX_A,dperp_arcsec__AX_A,dperp_kpc__AX_A,axis_pa_deg__AX_B,sep_from_origin_arcsec__AX_B,sep_from_origin_kpc__AX_B,pa_from_origin_deg__AX_B,dpar_arcsec__AX_B,dpar_kpc__AX_B,dperp_arcsec__AX_B,dperp_kpc__AX_B,axis_pa_deg__AX_C,sep_from_origin_arcsec__AX_C,sep_from_origin_kpc__AX_C,pa_from_origin_deg__AX_C,dpar_arcsec__AX_C,dpar_kpc__AX_C,dperp_arcsec__AX_C,dperp_kpc__AX_C,axis_pa_deg__AX_D,sep_from_origin_arcsec__AX_D,sep_from_origin_kpc__AX_D,pa_from_origin_deg__AX_D,dpar_arcsec__AX_D,dpar_kpc__AX_D,dperp_arcsec__AX_D,dperp_kpc__AX_D,axis_pa_deg__AX_E,sep_from_origin_arcsec__AX_E,sep_from_origin_kpc__AX_E,pa_from_origin_deg__AX_E,dpar_arcsec__AX_E,dpar_kpc__AX_E,dperp_arcsec__AX_E,dperp_kpc__AX_E,axis_pa_deg__AX_F,sep_from_origin_arcsec__AX_F,sep_from_origin_kpc__AX_F,pa_from_origin_deg__AX_F,dpar_arcsec__AX_F,dpar_kpc__AX_F,dperp_arcsec__AX_F,dperp_kpc__AX_F,axis_pa_deg__AX_G,sep_from_origin_arcsec__AX_G,sep_from_origin_kpc__AX_G,pa_from_origin_deg__AX_G,dpar_arcsec__AX_G,dpar_kpc__AX_G,dperp_arcsec__AX_G,dperp_kpc__AX_G,axis_pa_deg__AX_H,sep_from_origin_arcsec__AX_H,sep_from_origin_kpc__AX_H,pa_from_origin_deg__AX_H,dpar_arcsec__AX_H,dpar_kpc__AX_H,dperp_arcsec__AX_H,dperp_kpc__AX_H
SL_halo_NorthWest-1,mass_strong_lensing,NW,3.554833333333333,-30.376569444444446,00:14:13.160,-30:22:35.650,0.4,4.5277,"Furtak+2022 (arXiv:2212.04381) Table ""Median DM halo PIEMD parameters""","PIEMD halo centre, UNCOVER JWST SL model; halo centres free within 3"" of their BCG (North fixed on its BCG)",130.7648,0.0,0.0,,0.0,0.0,0.0,0.0,126.0572,42.858,194.05,111.565,41.494,187.87,-10.725,-48.56,131.3794,0.0,0.0,,0.0,0.0,0.0,0.0,127.1382,42.858,194.05,111.565,41.284,186.92,-11.506,-52.1,121.9714,0.0,0.0,,0.0,0.0,0.0,0.0,153.3513,68.813,311.56,192.994,52.988,239.91,43.902,198.78,136.3358,26.15,118.4,272.659,-18.913,-85.63,18.059,81.77,122.0115,71.271,322.7,119.487,71.202,322.38,-3.139,-14.21
SL_halo_NorthWest-2,mass_strong_lensing,NW,3.5419999999999994,-30.372194444444446,00:14:10.080,-30:22:19.900,0.4,4.5277,"Furtak+2022 (arXiv:2212.04381) Table ""Median DM halo PIEMD parameters""","PIEMD halo centre, UNCOVER JWST SL model; halo centres free within 3"" of their BCG (North fixed on its BCG)",130.7648,42.858,194.05,291.558,-40.472,-183.25,14.099,63.84,126.0572,0.0,0.0,,0.0,0.0,0.0,0.0,131.3794,42.858,194.05,291.558,-40.318,-182.55,14.532,65.8,127.1382,0.0,0.0,,0.0,0.0,0.0,0.0,121.9714,42.858,194.05,291.558,-42.152,-190.85,7.746,35.07,153.3513,75.458,341.65,227.163,21.037,95.25,72.466,328.1,136.3358,68.127,308.46,284.413,-57.823,-261.81,36.023,163.1,122.0115,29.421,133.21,131.065,29.055,131.55,4.63,20.96
SL_halo_North,mass_strong_lensing,N,3.578458333333333,-30.356900000000003,00:14:18.830,-30:21:24.840,0.4,4.5277,"Furtak+2022 (arXiv:2212.04381) Table ""Median DM halo PIEMD parameters""","PIEMD halo centre, UNCOVER JWST SL model; halo centres free within 3"" of their BCG (North fixed on its BCG)",130.7648,101.975,461.71,46.028,9.354,42.35,-101.545,-459.77,126.0572,125.922,570.14,64.08,59.161,267.86,-111.158,-503.29,131.3794,101.975,461.71,46.028,8.264,37.42,-101.64,-460.19,127.1382,125.922,570.14,64.08,57.054,258.32,-112.255,-508.26,121.9714,101.975,461.71,46.028,24.767,112.14,-98.922,-447.89,153.3513,58.035,262.77,86.29,22.619,102.41,-53.446,-241.99,136.3358,86.144,390.03,33.274,-19.469,-88.15,-83.915,-379.94,122.0115,140.069,634.19,75.231,95.918,434.29,-102.074,-462.16
SL_halo_Main-1,mass_strong_lensing,S,3.5923749999999997,-30.405088888888887,00:14:22.170,-30:24:18.320,0.4,4.5277,"Furtak+2022 (arXiv:2212.04381) Table ""Median DM halo PIEMD parameters""","PIEMD halo centre, UNCOVER JWST SL model; halo centres free within 3"" of their BCG (North fixed on its BCG)",130.7648,155.345,703.35,131.379,155.336,703.31,1.666,7.54,126.0572,196.202,888.34,127.138,196.167,888.19,3.701,16.76,131.3794,155.345,703.35,131.379,155.345,703.35,0.0,0.0,127.1382,196.202,888.34,127.138,196.202,888.34,0.0,0.0,121.9714,155.345,703.35,131.379,153.255,693.89,25.393,114.97,153.3513,197.56,894.49,149.222,197.047,892.17,-14.227,-64.41,136.3358,135.929,615.44,138.286,135.85,615.09,4.626,20.94,122.0115,225.563,1021.28,127.653,224.471,1016.34,22.174,100.4
SL_halo_Main-2,mass_strong_lensing,S,3.586666666666666,-30.40023611111111,00:14:20.800,-30:24:00.850,0.4,4.5277,"Furtak+2022 (arXiv:2212.04381) Table ""Median DM halo PIEMD parameters""","PIEMD halo centre, UNCOVER JWST SL model; halo centres free within 3"" of their BCG (North fixed on its BCG)",130.7648,130.505,590.89,130.765,130.505,590.89,0.0,0.0,126.0572,171.557,776.76,126.057,171.557,776.76,0.0,0.0,131.3794,130.505,590.89,130.765,130.497,590.85,-1.4,-6.34,127.1382,171.557,776.76,126.057,171.527,776.62,-3.236,-14.65,121.9714,130.505,590.89,130.765,128.971,583.94,19.951,90.33,153.3513,173.593,785.98,151.296,173.481,785.47,-6.227,-28.19,136.3358,111.105,503.05,139.111,110.975,502.46,5.38,24.36,122.0115,200.883,909.54,126.793,200.183,906.37,16.744,75.81
BCG_NW-BCG1,galaxy_BCG,NW,3.554208333333333,-30.37631111111111,00:14:13.010,-30:22:34.720,0.1,4.5277,"Furtak+2022 (arXiv:2212.04381) Table ""Median dPIE parameters ... BCGs""",BCG position used as dPIE centre in the UNCOVER v2.0 SL model,130.7648,2.152,9.75,295.599,-2.077,-9.41,0.563,2.55,126.0572,40.711,184.33,111.351,39.377,178.29,-10.335,-46.79,131.3794,2.152,9.75,295.599,-2.071,-9.38,0.585,2.65,127.1382,40.711,184.33,111.351,39.175,177.37,-11.076,-50.15,121.9714,2.152,9.75,295.599,-2.139,-9.69,0.239,1.08,153.3513,68.375,309.58,194.755,51.286,232.21,45.22,204.74,136.3358,28.145,127.43,274.367,-20.926,-94.74,18.821,85.22,122.0115,69.124,312.97,119.608,69.063,312.7,-2.899,-13.13
BCG_NW-BCG2,galaxy_BCG,NW,3.5417083333333332,-30.372441666666667,00:14:10.010,-30:22:20.790,0.1,4.5277,"Furtak+2022 (arXiv:2212.04381) Table ""Median dPIE parameters ... BCGs""",BCG position used as dPIE centre in the UNCOVER v2.0 SL model,130.7648,43.388,196.45,290.025,-40.577,-183.72,15.365,69.57,126.0572,1.27,5.75,225.507,-0.209,-0.94,1.253,5.67,131.3794,43.388,196.45,290.025,-40.41,-182.96,15.799,71.53,127.1382,1.27,5.75,225.507,-0.185,-0.84,1.256,5.69,121.9714,43.388,196.45,290.025,-42.449,-192.2,8.981,40.66,153.3513,76.727,347.4,227.136,21.426,97.01,73.675,333.58,136.3358,68.791,311.46,283.507,-57.805,-261.72,37.293,168.85,122.0115,29.35,132.89,133.537,28.758,130.21,5.864,26.55
BCG_N-BCG,galaxy_BCG,N,3.578458333333333,-30.356897222222223,00:14:18.830,-30:21:24.830,0.1,4.5277,"Furtak+2022 (arXiv:2212.04381) Table ""Median dPIE parameters ... BCGs""",BCG position used as dPIE centre in the UNCOVER v2.0 SL model,130.7648,101.982,461.74,46.024,9.347,42.32,-101.553,-459.8,126.0572,125.926,570.16,64.076,59.155,267.84,-111.167,-503.33,131.3794,101.982,461.74,46.024,8.258,37.39,-101.647,-460.23,127.1382,125.926,570.16,64.076,57.048,258.3,-112.263,-508.29,121.9714,101.982,461.74,46.024,24.762,112.12,-98.93,-447.93,153.3513,58.036,262.77,86.28,22.61,102.37,-53.45,-242.01,136.3358,86.152,390.07,33.27,-19.476,-88.18,-83.922,-379.97,122.0115,140.071,634.2,75.227,95.913,434.26,-102.082,-462.2
BCG_BCG1,galaxy_BCG,S,3.5920416666666664,-30.40575833333333,00:14:22.090,-30:24:20.730,0.1,4.5277,"Furtak+2022 (arXiv:2212.04381) Table ""Median dPIE parameters ... BCGs""",BCG position used as dPIE centre in the UNCOVER v2.0 SL model,130.7648,156.18,707.14,132.294,156.125,706.89,4.168,18.87,126.0572,196.847,891.27,127.879,196.748,890.81,6.259,28.34,131.3794,156.18,707.14,132.294,156.16,707.05,2.493,11.29,127.1382,196.847,891.27,127.879,196.831,891.19,2.546,11.53,121.9714,156.18,707.14,132.294,153.652,695.69,27.986,126.71,153.3513,199.112,901.52,149.833,198.736,899.82,-12.22,-55.33,136.3358,137.059,620.56,139.28,136.878,619.74,7.039,31.87,122.0115,226.229,1024.3,128.297,224.869,1018.14,24.766,112.13
BCG_BCG2,galaxy_BCG,S,3.5862499999999997,-30.400163888888887,00:14:20.700,-30:24:00.590,0.1,4.5277,"Furtak+2022 (arXiv:2212.04381) Table ""Median dPIE parameters ... BCGs""",BCG position used as dPIE centre in the UNCOVER v2.0 SL model,130.7648,129.357,585.69,131.052,129.355,585.68,0.648,2.93,126.0572,170.359,771.33,126.242,170.358,771.33,0.551,2.49,131.3794,129.357,585.69,131.052,129.354,585.68,-0.74,-3.35,127.1382,170.359,771.33,126.242,170.338,771.24,-2.663,-12.06,121.9714,129.357,585.69,131.052,127.736,578.35,20.415,92.43,153.3513,172.746,782.14,151.631,172.668,781.79,-5.187,-23.49,136.3358,110.064,498.34,139.532,109.893,497.56,6.136,27.78,122.0115,199.691,904.14,126.955,198.948,900.78,17.209,77.92
