day_key,schema_variant,utc_iso,time,tab_name,start,stop,image0_time,image1_time,image2_time,image3_time,image0_name,image1_name,image2_name,image3_name,image0_human_time,image1_human_time,image2_human_time,image3_human_time,new_path,found
2020_239,A9,2020-08-26T20:20:58Z,2020-239T20:20:58,200826_X01_3681311801SM3_ZH-AI_V2hotWFC/X01-00000-01570-Bzfinal_0p090000T01-R29ms_TACZ_BARPD_v4.cet,3681318058.873,3681318118.873,,,,,not_applicable,not_applicable,,,not_applicable,not_applicable,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p090000T0,
2020_239,A9,2020-08-26T20:28:08Z,2020-239T20:28:08,Sequences\Run_WFC_LongAWG.cts,3681318488.521,3681318548.521,,,,,img0_image%d0_3681318561.127930.png,img0_image%d1_3681318561.561523.png,,,2020-239T20:29:21,2020-239T20:29:21,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p090000T1,
2020_239,A9,2020-08-26T20:30:37Z,2020-239T20:30:37,Sequences\Run_WFC_LongAWG.cts,3681318637.35,3681318697.35,,,,,img0_image%d0_3681318701.602539.png,img0_image%d1_3681318702.171875.png,,,2020-239T20:31:41,2020-239T20:31:42,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p090000T2,
2020_239,A9,2020-08-26T20:47:13Z,2020-239T20:47:13,200826_X01_3681311801SM3_ZH-AI_V2hotWFC/X01-00000-01570-Bzfinal_0p090000T01-R29ms_TACZ_BARPD_v4.cet,3681319633.427,3681319693.427,,,,,not_applicable,not_applicable,,,not_applicable,not_applicable,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p090000T3,
2020_239,A9,2020-08-26T20:49:15Z,2020-239T20:49:15,Sequences\Run_WFC_LongAWG.cts,3681319755.404,3681319815.404,,,,,img0_image%d0_3681319818.597656.png,img0_image%d1_3681319819.263672.png,,,2020-239T20:50:18,2020-239T20:50:19,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p090000T4,
2020_239,A9,2020-08-26T20:50:41Z,2020-239T20:50:41,Sequences\Run_WFC_LongAWG.cts,3681319841.556,3681319901.556,,,,,img0_image%d0_3681319904.537109.png,img0_image%d1_3681319905.155273.png,,,2020-239T20:51:44,2020-239T20:51:45,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p090000T5,
2020_239,A9,2020-08-26T20:52:24Z,2020-239T20:52:24,200826_X01_3681311801SM3_ZH-AI_V2hotWFC/X01-00001-01571-Bzfinal_0p095000T01-R29ms_TACZ_BARPD_v4.cet,3681319944.0,3681319963.709,,,,,not_applicable,not_applicable,,,not_applicable,not_applicable,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p095000T0,
2020_239,A9,2020-08-26T20:52:43Z,2020-239T20:52:43,Sequences\Run_WFC_LongAWG.cts,3681319944.0,3681319963.709,,,,,img0_image%d0_3681320039.743164.png,img0_image%d1_3681320040.321289.png,,,2020-239T20:53:59,2020-239T20:54:00,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p095000T1,
2020_239,A9,2020-08-26T20:54:27Z,2020-239T20:54:27,Sequences\Run_WFC_LongAWG.cts,3681320067.426,3681320127.426,,,,,img0_image%d0_3681320129.585937.png,img0_image%d1_3681320130.150391.png,,,2020-239T20:55:29,2020-239T20:55:30,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p095000T2,
2020_239,A9,2020-08-26T20:56:03Z,2020-239T20:56:03,200826_X01_3681311801SM3_ZH-AI_V2hotWFC/X01-00002-01572-Bzfinal_0p100000T01-R29ms_TACZ_BARPD_v4.cet,3681320163.636,3681320172.234,,,,,not_applicable,not_applicable,,,not_applicable,not_applicable,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p100000T0,
2020_239,A9,2020-08-26T20:56:12Z,2020-239T20:56:12,Sequences\Run_WFC_LongAWG.cts,3681320163.636,3681320172.234,,,,,img0_image%d0_3681320237.897461.png,img0_image%d1_3681320238.527344.png,,,2020-239T20:57:17,2020-239T20:57:18,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p100000T1,
2020_239,A9,2020-08-26T20:57:36Z,2020-239T20:57:36,Sequences\Run_WFC_LongAWG.cts,3681320256.18,3681320316.18,,,,,img0_image%d0_3681320319.777344.png,img0_image%d1_3681320320.474609.png,,,2020-239T20:58:39,2020-239T20:58:40,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p100000T2,
2020_239,A9,2020-08-26T20:58:55Z,2020-239T20:58:55,200826_X01_3681311801SM3_ZH-AI_V2hotWFC/X01-00003-01573-Bzfinal_0p105000T01-R29ms_TACZ_BARPD_v4.cet,3681320335.44,3681320340.793,,,,,not_applicable,not_applicable,,,not_applicable,not_applicable,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p105000T0,
2020_239,A9,2020-08-26T20:59:00Z,2020-239T20:59:00,Sequences\Run_WFC_LongAWG.cts,3681320335.44,3681320340.793,,,,,img0_image%d0_3681320404.707031.png,img0_image%d1_3681320405.268555.png,,,2020-239T21:00:04,2020-239T21:00:05,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p105000T1,
2020_239,A9,2020-08-26T21:00:17Z,2020-239T21:00:17,Sequences\Run_WFC_LongAWG.cts,3681320417.69,3681320477.69,,,,,img0_image%d0_3681320480.939453.png,img0_image%d1_3681320481.517578.png,,,2020-239T21:01:20,2020-239T21:01:21,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p105000T2,
2020_239,A9,2020-08-26T21:01:40Z,2020-239T21:01:40,200826_X01_3681311801SM3_ZH-AI_V2hotWFC/X01-00004-01574-Bzfinal_0p110000T01-R29ms_TACZ_BARPD_v4.cet,3681320500.719,3681320514.91,,,,,not_applicable,not_applicable,,,not_applicable,not_applicable,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p110000T0,
2020_239,A9,2020-08-26T21:01:54Z,2020-239T21:01:54,Sequences\Run_WFC_LongAWG.cts,3681320500.719,3681320514.91,,,,,img0_image%d0_3681320581.124023.png,img0_image%d1_3681320581.906250.png,,,2020-239T21:03:01,2020-239T21:03:01,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p110000T1,
2020_239,A9,2020-08-26T21:03:21Z,2020-239T21:03:21,Sequences\Run_WFC_LongAWG.cts,3681320601.447,3681320661.447,,,,,img0_image%d0_3681320664.220703.png,img0_image%d1_3681320664.808594.png,,,2020-239T21:04:24,2020-239T21:04:24,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p110000T2,
2020_239,A9,2020-08-26T21:04:34Z,2020-239T21:04:34,200826_X01_3681311801SM3_ZH-AI_V2hotWFC/X01-00005-01575-Bzfinal_0p115000T01-R29ms_TACZ_BARPD_v4.cet,3681320674.689,3681320734.689,,,,,not_applicable,not_applicable,,,not_applicable,not_applicable,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p115000T0,
2020_239,A9,2020-08-26T21:06:48Z,2020-239T21:06:48,Sequences\Run_WFC_LongAWG.cts,3681320808.605,3681320868.605,,,,,img0_image%d0_3681320873.573242.png,img0_image%d1_3681320874.140625.png,,,2020-239T21:07:53,2020-239T21:07:54,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p115000T2,
2020_239,A9,2020-08-26T21:08:09Z,2020-239T21:08:09,Sequences\Run_WFC_LongAWG.cts,3681320889.666,3681320949.666,,,,,img0_image%d0_3681320955.576172.png,img0_image%d1_3681320956.176758.png,,,2020-239T21:09:15,2020-239T21:09:16,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p115000T3,
2020_239,A9,2020-08-26T21:09:27Z,2020-239T21:09:27,200826_X01_3681311801SM3_ZH-AI_V2hotWFC/X01-00006-01576-Bzfinal_0p120000T01-R29ms_TACZ_BARPD_v4.cet,3681320967.434,3681320984.429,,,,,not_applicable,not_applicable,,,not_applicable,not_applicable,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p120000T0,
2020_239,A9,2020-08-26T21:09:44Z,2020-239T21:09:44,Sequences\Run_WFC_LongAWG.cts,3681320967.434,3681320984.429,,,,,img0_image%d0_3681321096.552734.png,img0_image%d1_3681321097.069336.png,,,2020-239T21:11:36,2020-239T21:11:37,,,/OSS/ops/CAL_Ops_Files/2020/239/downlink/science/L1/200826_X01_3681311801SM3_ZH-AI_V2hotWFC/Bzfinal/0p120000T1,
