day_key,schema_variant,utc_iso,time,tab_name,start,stop,image0_time,image1_time,image2_time,image3_time,image0_name,image1_name,image2_name,image3_name,image0_human_time,image1_human_time,image2_human_time,image3_human_time,new_path,found
2022_118,C16,2022-04-28T01:49:56.138000Z,2022-118T01:49:56.138000,Tables/220427_V40_3733933153_DiffMZI_30sep_T1p0ms/V40-00000-02740-Phase_0p000000T01-RDiffMZI_30sep_T1p0ms.cet,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220427_V40_3733933153_DiffMZI_30sep_T1p0ms/Phase/0p000000T0,N/A
2022_118,C16,2022-04-28T01:51:22.918000Z,2022-118T01:51:22.918000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3733955481.533164,3733955482.261680,N/A,N/A,img0_image%d0_3733955481.533164.png,img0_image%d1_3733955482.261680.png,N/A,N/A,2022-118T01:51:21.533000,2022-118T01:51:22.261000,N/A,N/A,220427_V40_3733933153_DiffMZI_30sep_T1p0ms/Phase/0p000000T1,Found 2022/118 2022/118
2022_118,C16,2022-04-28T01:52:47.518000Z,2022-118T01:52:47.518000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3733955565.701133,3733955566.433555,N/A,N/A,img0_image%d0_3733955565.701133.png,img0_image%d1_3733955566.433555.png,N/A,N/A,2022-118T01:52:45.701000,2022-118T01:52:46.433000,N/A,N/A,220427_V40_3733933153_DiffMZI_30sep_T1p0ms/Phase/0p000000T2,Found 2022/118 2022/118
2022_118,C16,2022-04-28T01:53:54.030000Z,2022-118T01:53:54.030000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3733955632.498984,3733955633.180625,N/A,N/A,img0_image%d0_3733955632.498984.png,img0_image%d1_3733955633.180625.png,N/A,N/A,2022-118T01:53:52.498000,2022-118T01:53:53.180000,N/A,N/A,220427_V40_3733933153_DiffMZI_30sep_T1p0ms/Phase/0p000000T3,Found 2022/118 2022/118
2022_118,C16,2022-04-28T01:54:53.565000Z,2022-118T01:54:53.565000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3733955691.908164,3733955692.697227,N/A,N/A,img0_image%d0_3733955691.908164.png,img0_image%d1_3733955692.697227.png,N/A,N/A,2022-118T01:54:51.908000,2022-118T01:54:52.697000,N/A,N/A,220427_V40_3733933153_DiffMZI_30sep_T1p0ms/Phase/0p000000T4,Found 2022/118 2022/118
2022_118,C16,2022-04-28T01:55:57.964000Z,2022-118T01:55:57.964000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3733955756.496055,3733955757.237266,N/A,N/A,img0_image%d0_3733955756.496055.png,img0_image%d1_3733955757.237266.png,N/A,N/A,2022-118T01:55:56.496000,2022-118T01:55:57.237000,N/A,N/A,220427_V40_3733933153_DiffMZI_30sep_T1p0ms/Phase/0p000000T5,Found 2022/118 2022/118
2022_118,C16,2022-04-28T01:56:52.702000Z,2022-118T01:56:52.702000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3733955810.984336,3733955811.833945,N/A,N/A,img0_image%d0_3733955810.984336.png,img0_image%d1_3733955811.833945.png,N/A,N/A,2022-118T01:56:50.984000,2022-118T01:56:51.833000,N/A,N/A,220427_V40_3733933153_DiffMZI_30sep_T1p0ms/Phase/0p000000T6,Found 2022/118 2022/118
2022_118,C16,2022-04-28T01:57:55.574000Z,2022-118T01:57:55.574000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3733955873.320273,3733955874.746055,N/A,N/A,img0_image%d0_3733955873.320273.png,img0_image%d1_3733955874.746055.png,N/A,N/A,2022-118T01:57:53.320000,2022-118T01:57:54.746000,N/A,N/A,220427_V40_3733933153_DiffMZI_30sep_T1p0ms/Phase/0p000000T7,Found 2022/118 2022/118
2022_118,C16,2022-04-28T01:58:49.048000Z,2022-118T01:58:49.048000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3733955927.375937,3733955928.146445,N/A,N/A,img0_image%d0_3733955927.375937.png,img0_image%d1_3733955928.146445.png,N/A,N/A,2022-118T01:58:47.375000,2022-118T01:58:48.146000,N/A,N/A,220427_V40_3733933153_DiffMZI_30sep_T1p0ms/Phase/0p000000T8,Found 2022/118 2022/118
2022_118,C16,2022-04-28T01:59:50.796000Z,2022-118T01:59:50.796000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3733955989.008750,3733955989.763633,N/A,N/A,img0_image%d0_3733955989.008750.png,img0_image%d1_3733955989.763633.png,N/A,N/A,2022-118T01:59:49.008000,2022-118T01:59:49.763000,N/A,N/A,220427_V40_3733933153_DiffMZI_30sep_T1p0ms/Phase/0p000000T9,Found 2022/118 2022/118
