run_key,n_shots,utc_first,utc_last
,55960,2018-10-24T19:06:47Z,2020-10-20T23:51:21Z
200219_A10_3664996472_Rb_imaging_scan,44,2021-01-08T19:29:09.649000Z,2021-01-08T20:31:24.494000Z
200724_A00_3678479644_Rb_K_Disp_equal,1366,2020-10-16T01:04:36.807000Z,2023-06-26T17:01:10.718000Z
200807_A00_3679681459_Dispensers_RbKequal,49,2020-10-27T17:46:36.658000Z,2021-04-06T17:47:12.242000Z
200915_A00_3683039472_Disp_Rb_K_equal,292,2020-10-16T16:24:54.828000Z,2021-04-06T17:41:24.131000Z
200916_Y03_3683126877_ZHB1bec_tof2,54,2020-10-16T19:32:31.346000Z,2020-10-16T20:31:24.024000Z
200916_Y03_3683726693_ZHB1therm360kHz_tof2,22,2020-10-16T19:00:26.222000Z,2020-10-16T19:22:15.424000Z
200917_A06_3683146810_BEC_Calibtarions,1028,2020-10-16T18:25:32.682000Z,2021-05-24T23:56:03.265000Z
201021_W03_368624200_NoBragg_tACZ_HRC_ARP30_v14_2,23,2020-10-23T00:11:46.510000Z,2020-10-23T00:41:30.782000Z
201021_Y03_3686152946_700msZHB1testA_tof0,19,2020-10-28T20:14:22.524000Z,2020-10-28T20:38:11.429000Z
201021_Y03_3686153056_700msZHB1testA_tof1,31,2020-10-23T23:37:24.469000Z,2020-10-28T22:49:21.107000Z
201021_Y03_3686153149_700msZHB1testA_tof2,20,2020-10-28T22:50:50.446000Z,2020-10-28T23:15:10.557000Z
201021_Y03_3686158552_530msZHB1bec360_tof2,21,2020-10-28T23:50:31.844000Z,2020-10-29T00:45:41.663000Z
201021_Y03_3686158719_530msZHB1bec350_tof3,35,2020-10-28T23:26:28.192000Z,2020-10-29T21:04:29.411000Z
201021_Y03_3686158795_530msZHB1bec370_tof4,32,2020-10-29T20:10:38.912000Z,2020-10-29T20:54:27.367000Z
201022_V34_3686241539_HRC_kickF48_TOF_v1_1,20,2020-10-23T23:17:36.810000Z,2020-11-11T01:47:07.530000Z
201022_W03_3686243027_NoBragg_tACZ_HRC_ARP30_v15_2,11,2020-10-23T00:42:31.678000Z,2020-10-23T00:57:50.006000Z
