key,file_name,bytes_size,subcategory,sortingCategory,restricted,visible,updated,version
psi-data/PSI-32/metadata/PSI-32_metadata_PSI-32.zip,PSI-32_metadata_PSI-32.zip,25855,,Investigation Metadata Files,False,True,"Tue, 16 Jun 2026 21:44:54 GMT",3
psi-data/PSI-32/Raw Data/PSI-32_Raw Data_CAL_bigelow_RF_evap_ex_2018-09-06_L1.zip,PSI-32_Raw Data_CAL_bigelow_RF_evap_ex_2018-09-06_L1.zip,101935997,Reduced Gravity/RF Evaporation Examples L1 Bigelow-2018090614,Raw Data,False,True,"Tue, 16 Jun 2026 21:44:54 GMT",1
psi-data/PSI-32/Raw Data/PSI-32_Raw Data_2018-248T21-26-27_pi_ex_images.csv,PSI-32_Raw Data_2018-248T21-26-27_pi_ex_images.csv,2194,Reduced Gravity/RF Evaporation Examples L1 Bigelow-2018090614,Raw Data,False,True,"Tue, 16 Jun 2026 21:44:54 GMT",1
psi-data/PSI-32/Raw Data/PSI-32_Raw Data_CAL_bigelow_RF_evap_ex_2018-09-06_raw.zip,PSI-32_Raw Data_CAL_bigelow_RF_evap_ex_2018-09-06_raw.zip,48957114,Reduced Gravity/RF Evaporation Examples raw Bigelow-2018090614,Raw Data,False,True,"Tue, 16 Jun 2026 21:44:54 GMT",1
psi-data/PSI-32/Raw Data/PSI-32_Raw Data_rf_evap_ex_raw.csv,PSI-32_Raw Data_rf_evap_ex_raw.csv,1321,Reduced Gravity/RF Evaporation Examples raw Bigelow-2018090614,Raw Data,False,True,"Tue, 16 Jun 2026 21:44:54 GMT",1
psi-data/PSI-32/Raw Data/2018_296_181022_V04_tSlosh1_tSlosh_1_L1.zip,2018_296_181022_V04_tSlosh1_tSlosh_1_L1.zip,244562014,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_296_181022_V04_tSlosh1_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_296_181022_V04_tSlosh1_tSlosh_2_L1.zip,2018_296_181022_V04_tSlosh1_tSlosh_2_L1.zip,67061819,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_296_181022_V04_tSlosh1_tSlosh_2_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_297_181024_V04_tSlosh2_tSlosh_1.zip,2018_297_181024_V04_tSlosh2_tSlosh_1.zip,244112150,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_297_181024_V04_tSlosh2_tSlosh_1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_297_tabs_to_pngs.csv,2018_297_tabs_to_pngs.csv,22008,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_297_181024_V04_tSlosh2_tSlosh_1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_297_181024_V04_tSlosh2_tSlosh_2.zip,2018_297_181024_V04_tSlosh2_tSlosh_2.zip,164620652,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_297_181024_V04_tSlosh2_tSlosh_2,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
