Subplot a,,,,,,,Subplot b,,,Subplot c

Data,,,Fit,,,,Data,,,Data
distance,Omega,Std,distance = A*exp(-2*distance^2/width^2),,,,x',y',,x,z
0.29055106060337,1.1811,0.0139046,A,2.71997,,,-0.216113849308286,-0.19359,,-0.05400000000000027,1.62
0.454088359331055,0.5066126,0.0157031,Std,0.11525,,,-0.329477741168675,-0.31159,,-0.125,2.222
0.139195900755102,2.481,0.019171,,,,,-0.125944452858588,-0.05859,,0.0259999999999998,1.471
0.234440976655499,1.6274,0.032154,width,0.47215,,,-0.233453605312364,-0.01359,,-0.07099999999999973,1.626
0.475301685138115,0.3279841,0.005442,Std,0.02387,,,-0.473873703731018,-0.01459,,-0.3129999999999997,1.621
0.214709518445035,1.8171,0.0168573,,,,,0.213272086240437,-0.01959,,0.3769999999999998,1.612
0.10283989705705,2.4178,0.0201594,,,,,-0.0828851146734261,-0.06059,,0.06400000000000006,1.397
0.0201166203825442,2.6355,0.0359755,,,,,-0.00973591477386335,-0.01759,,0.15299999999999958,1.614
0.114825637146635,2.4233,0.0307339,,,,,0.101390307693734,0.05341,,0.2999999999999998,2.109

,,,,,,,Beam center,,,Beam center
,,,,,,,x',y',,z = 11.976*(x-0.0209)
,,,,,,,0,0

,,,,,,,Beam width,,,Beam width
,,,,,,,0.47215,,,0.47215








