path,bytes,rows,columns,sha256
DRYAD_README_verbatim.md,6487,142,,b123166518aa09bd898b15cfcd7fbdcf36eedfba35c15d90d3ed0ce18c1dcd27
csv/data_for_Fig2a_Rb87_PCA_2D.csv,51452,52,53,34802c515d8ec2120b49c939520a23dd589f55f0ab4ef522c070a94a4ce668f0
csv/data_for_Fig2b_Rb85_PCA_2D.csv,50636,52,53,88e749e229a32a3f02c226015a69c4e46c430f38729f4766c6a55d09dea773ef
csv/data_for_Fig2c_Rb87_fringe_1D.csv,864,38,2,f22d4df4139a34b42f9a117b66b7416c5408fd014ac22ede9889777014b25e53
csv/data_for_Fig2d_Rb85_fringe_1D.csv,982,43,2,968b079f9f7fa0996aec1b311bcb56406837dedeab1fba9f1875d927b50d3eb7
csv/data_for_Fig2ef.csv,204038,3223,4,eb4b627d8f1125af06900853240b42ac603ce7389548f1f054520ca8d0864bc1
csv/data_for_Fig2g_accel_phase.csv,120708,5084,2,02a3d754eb839e5f567c1433ad6c4a64b0b279bc8fffc043b8d21b18a623cf8d
csv/data_for_Fig2g_accel_raw.csv,1469869,50845,2,ba73649acce2041d666f4be2dee13948acbb9ef8b3d1cf7c719ee489a8a85430
csv/data_for_Fig3b.csv,579,11,6,4fbe2a7d24c4ab6efaa337bddfe22ab01788ade2cda6c00ad8cf1f1e7eca98f9
csv/data_for_Fig3d.csv,394,11,4,723593cab73ce3e9abffda05dea0b468050314d22ea4fbebf31e0794dc245deb
csv/data_for_Fig4a.csv,3672,44,10,eb474c41a2c87d9d738b60980cd3b0b15716e7b0e1b07d60fff79c9d094178cb
csv/data_for_Fig4b.csv,273,10,3,f36515789c3027092896fed8fe10e8ea3111ae788b0ba5a9ca50cd1b316e8694
data_for_aeh0529.zip,1640289,,,42c2e2bed98b81133c3d4efe55d490ba86976e0bb57c468f6b4c5a86f4049c73
raw_original/data_for_Fig_2a-d__cur1.txt,773,38,,30c9cbd1d4160cd39dce2ecd775d5a2500bf175d694bd5204a6dc6152e16770e
raw_original/data_for_Fig_2a-d__cur2.txt,881,43,,d47e30bdb28b7ffcef51d2d419e82bd487597f5dc71bdccc549f74bb8fc88b3e
raw_original/data_for_Fig_2a-d__fri1.dat,51086,52,,643dd31f2cdc7deca6fb85c3adb59519da72c77a91590757bd53cadb127fa740
raw_original/data_for_Fig_2a-d__fri2.dat,50270,52,,bb739a56e354d4043a8082dda648a533d87d112aa902f2cd5132c1e9da5115b2
raw_original/data_for_Fig_2e-f__pha185.txt,65474,3223,,6e401e6a5bd234a6367a009a0be897e1a7d2267bf9532c941fc8be9aa3e3fc7a
raw_original/data_for_Fig_2e-f__pha187.txt,65460,3223,,2b594f89f89c34c6ed92fc9243513b61557568094310425f5289835e847bb0ce
raw_original/data_for_Fig_2e-f__pha1dif.txt,67710,3223,,a7e3654902adde2a2854b8c93a5c94df115da7d522e9b0fda5f083d84b364c87
raw_original/data_for_Fig_2g__vpha1.txt,101453,5084,,eb537cfaae2c43e4fec7da2857066b134a37b7da7bf23ebdfc9fed29075a5b2e
raw_original/data_for_Fig_2g__vval1.txt,1228150,50845,,d87b1602aaeb77c5d901d728d7d21885ae3c5430b2f88ac6ae30cbf423708836
raw_original/data_for_Fig_3b__fig_3b.txt,589,12,,39af3014a3d08130aa00613df06bb6db6cd8a6d1a5ac960f5786d4cdf01a194b
raw_original/data_for_Fig_3d__fig_3d.txt,404,12,,e1afc176cf7ffc1c5caf3936edf3596489ee5152989ddffc613a24367d515ef6
raw_original/data_for_Fig_4a__data_for_fig_4a.txt,3715,45,,e84746c78f68bb243b98e5c8f41218a42096426cc8d4db23db4efae9cfcf0044
raw_original/data_for_Fig_4b__data_for_Fig_4b.txt,282,11,,bdf4218efdf8b6fb58bb06645bf3ab7d7187e88a4c7f9c14683f9bbbad7fec41
