row_index,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051
0,0.6920074366499591,-0.5304733828842387,-1.555574748479117,-2.1091302945099955,-1.9950776251402829,-1.1921008295061313,0.09929821471833122,1.5502286459384464,2.8523195451044074,3.864964472555414,4.610921020143621,5.1737013043996,5.607958229845508,5.871986873999106,5.8650898620633996,5.547059059513259,4.959014345956604,4.232103531093173,3.5602525790149286,3.1075933927648407,2.9570570963350633,3.0728435743693012,3.2923476306683312,3.439673627821975,3.4569551919212245,3.4334676544137324,3.4864082429692473,3.6744245547399714,3.9088999187965214,4.049320882123993,4.0110185113890395,3.803250631364378,3.446942734768143,2.8883693301594064,1.9945627745091912,0.6432475387631058,-1.1766581264328266,-3.2468919820867512,-5.20192993793944,-6.689575292233627,-7.513512143244867,-7.741217105869197,-7.652146299871617,-7.569384079706431,-7.752868193024483,-8.302085343486965,-9.178415823983705,-10.273440070213063,-11.51964234798077,-12.869071737967055,-14.274613536141693,-15.660615492234463
1,-0.3401341798285955,-1.258288572762865,-1.997791610565713,-2.3372115699060316,-2.1201603174171453,-1.3315899631098347,-0.13422357536701668,1.2030525605343314,2.426229836503552,3.4126896226850647,4.170322690314379,4.753956952254384,5.201046387982842,5.482979698141463,5.526084048750192,5.308622610231396,4.883712030895822,4.381935805650642,3.9850306730315026,3.838720516286969,3.9931228137297694,4.36848089893482,4.7612101122725505,4.966904533480658,4.909414946727026,4.682584034418198,4.443928132413646,4.31758298387598,4.295211567320592,4.291693343532728,4.233090809102407,4.093570792593084,3.847813378422728,3.4067701019642698,2.6306827806090354,1.411458605695131,-0.2476454912906405,-2.152226242638264,-3.984630451641678,-5.445107322133893,-6.363360088223345,-6.780289719696512,-6.908483867767757,-6.998072471238743,-7.263802223043079,-7.800621379666012,-8.603579363461456,-9.608343207788778,-10.770904982845948,-12.047636927656235,-13.38313149431044,-14.694184491950338
2,-1.2834051126739752,-1.9039810579895828,-2.3654982333199683,-2.5010813856376615,-2.19257302112986,-1.4267371557601791,-0.3221908344336839,0.9165117701944041,2.0880000569581227,3.081189790305416,3.8798822116502834,4.504579847445484,4.973810420298264,5.2730150422943325,5.359430364079657,5.232345044853702,4.959241757814823,4.672480806319413,4.541208283402426,4.692066482723703,5.141676692991695,5.768835850236314,6.3331924575919345,6.606778150599297,6.498715018258821,6.104448915642934,5.612808466392579,5.200831688965337,4.930975649141516,4.7716432028678355,4.6674560212626375,4.570944124920544,4.422395423009533,4.1062447259865,3.4752874726635525,2.427349742069879,0.9668820078202316,-0.7480468957061532,-2.454002874661583,-3.901505542769627,-4.937697759744012,-5.567407106604406,-5.929875856286841,-6.199209427737969,-6.543040064090306,-7.0509008918884675,-7.7497687052136754,-8.61873762734566,-9.638364590510406,-10.771649826937193,-11.957914848508032,-13.112564507749298
3,-1.887983843208474,-2.292837385585784,-2.557834943249233,-2.564318197031241,-2.225456990925153,-1.5237991526572614,-0.5299232898340165,0.6157356196742114,1.758408562299934,2.78959963022524,3.6596210545104384,4.349612358396172,4.857911521899439,5.182812978616994,5.31345209032466,5.270547666004404,5.135904158206785,5.043796591089915,5.149452347356032,5.559938665765685,6.260810335803484,7.097311575960504,7.803193380511345,8.137763864347335,8.00391854086675,7.497176180110017,6.824660782440759,6.195144022251355,5.721464650191564,5.414980351894258,5.243162329858478,5.152721160153476,5.066377057673719,4.85636519276369,4.371340526256887,3.509118831127296,2.2644047390883486,0.7521209078869617,-0.8187848419448045,-2.242792009642983,-3.376879213690671,-4.1884289999072735,-4.749312582666207,-5.167482032908225,-5.569494094321541,-6.0404651646197465,-6.631939647978513,-7.356608510111499,-8.212163152835181,-9.164737716095509,-10.149087364341362,-11.08539454040924
4,-2.0148365921758113,-2.340795492656355,-2.5472127443275667,-2.551238159856041,-2.2866215902782017,-1.7245008057819007,-0.8848860788743025,0.15324653731406102,1.2740979011688864,2.3626652447716197,3.3278074543486866,4.107004479051852,4.6774627477493596,5.0471426227006475,5.235420638272672,5.2827821070412995,5.282788922931502,5.369049308440481,5.680351613530121,6.303127121852441,7.195923242893286,8.180500389214274,8.97887726410869,9.351982390798469,9.20892145293601,8.647041022974918,7.879221991580749,7.121595133618882,6.510900963896802,6.084166996365326,5.830753670385519,5.705369059415062,5.630914458962394,5.483951679524807,5.116319441798481,4.424401235876388,3.387941890397599,2.079315702522564,0.6582694404643235,-0.7056359390947051,-1.8753714130441637,-2.7885139360471243,-3.46664492095573,-3.972275810659937,-4.403819496435489,-4.845049029862025,-5.360750884702981,-5.9797885967153235,-6.701084855983474,-7.484044041636174,-8.256247119248187,-8.947583816621588
5,-1.658194765805149,-2.057436280568851,-2.3630624890623437,-2.513702368957979,-2.4512501844481847,-2.127504316180165,-1.5091909887287045,-0.6161740639088862,0.46828900147718855,1.6157458784361438,2.687722184269063,3.5739661733287846,4.229011562647685,4.6660452576630576,4.931708759914102,5.08429577010611,5.22588294500423,5.485299616872737,5.981491628841013,6.777462408883025,7.807875747352341,8.879276876927406,9.715404404460628,10.093466672874172,9.943064761367566,9.368938428717286,8.581952968909377,7.784383376584344,7.110983111191786,6.604591564361783,6.270036294327383,6.0784749764111154,5.967527934834038,5.833170748454279,5.5403554865657725,4.9872732814455105,4.139580884444769,3.033109153594012,1.7858668230180115,0.5379680873606674,-0.5807017258981659,-1.4919623296522104,-2.189536190186047,-2.7150727011307367,-3.153690950590871,-3.590876004063986,-4.091853544670428,-4.681588620221618,-5.340967691108318,-6.010313149767114,-6.605695104464964,-7.069532427081057
6,-1.0217561852434471,-1.6078177194642365,-2.138781119543353,-2.562785388875483,-2.817707719062497,-2.8275250642931553,-2.502134267903216,-1.803211602551471,-0.7855818995425352,0.4054179228570547,1.581065891650269,2.580329453466163,3.333154392672782,3.8534892749273695,4.212254509678871,4.483991867095028,4.7765113687485155,5.209489444427845,5.878787071472516,6.820402931489582,7.946936784978448,9.054783385278768,9.879449980359084,10.226437799867881,10.058984004927765,9.496911899927909,8.747016307937372,7.982984507965227,7.316657433842693,6.777982140059692,6.37742642155348,6.105679838966751,5.925198837148002,5.763224958034755,5.508322889226633,5.066257022591003,4.393202885127437,3.4956989813553037,2.456214682365726,1.3886068517000751,0.41077811326869096,-0.3988814859299623,-1.0272950821301947,-1.5164430743765394,-1.950649063857739,-2.4191248800052136,-2.976630167735607,-3.627284529125589,-4.3169862668410985,-4.9561210923826735,-5.444657592514744,-5.737851929374514
7,-0.3932995654771503,-1.208311411098407,-2.0229119041126182,-2.787801975211039,-3.427672908354907,-3.832607118511845,-3.854324732613975,-3.397873836679821,-2.4918014054211426,-1.2963927237037183,-0.047561639913112685,1.0443845978348918,1.884303608335074,2.483480216504347,2.9338806740881296,3.3247250228621965,3.7675969399310816,4.369488816599528,5.2005688345238354,6.265982092369995,7.456515749681216,8.560361325550787,9.33072674932049,9.609621056387027,9.403891108672383,8.856697629543191,8.174007321068302,7.4944546741147064,6.893559332574057,6.373795909475064,5.940145582102616,5.601371061149678,5.349394687712845,5.149491252993641,4.921761885353504,4.585043858827788,4.091333339902775,3.423393902476505,2.6317076906815657,1.8044070625978463,1.042245100383525,0.4119340175936088,-0.0811977015450509,-0.49253251686994304,-0.9133010520132672,-1.4368326126647446,-2.1008051004936874,-2.878490437872628,-3.6708495967221353,-4.35251328392404,-4.804921853698559,-4.995218198144428
8,-0.06470040339789307,-1.0639044397796624,-2.129650558684972,-3.21509222964508,-4.2290418123618565,-5.027960552533159,-5.410106748918679,-5.22877720955006,-4.487027032879212,-3.351832957216743,-2.0947192005559145,-0.9658638933862562,-0.08221338499896547,0.5634434874274916,1.0800444335304178,1.5683079358163923,2.1407302535292843,2.887757628569034,3.851607940599706,5.004098592040975,6.215470003769383,7.268240200195407,7.937837208476196,8.107736247666764,7.833798480749522,7.288425798067465,6.681784008414013,6.117651664352536,5.628899869848283,5.181075884275344,4.763376928501202,4.398192525987383,4.106624155116776,3.893661972255188,3.7147452198423707,3.504983816101287,3.2156540652822514,2.808225830838893,2.3028456665388717,1.7619366782084853,1.2670611387359543,0.8679451604431563,0.5554452958549803,0.25600307814039525,-0.13157958004853754,-0.7036761362037396,-1.4784735092682126,-2.3954810161724396,-3.3090916320371804,-4.058824061472734,-4.509364578263401,-4.639806092692197
9,-0.1612395776635367,-1.2440100873516826,-2.4581108814050197,-3.763258541488142,-5.0578998777600646,-6.175501302931082,-6.8763359297155375,-6.9739472380553025,-6.447250149762908,-5.456428500770926,-4.28794716258551,-3.212946836348351,-2.361032533845446,-1.7276055039502012,-1.191876086540674,-0.6473799774283862,0.01366513051129914,0.8595778866613841,1.9015831615261618,3.0778047341947286,4.24175718021246,5.176115355098602,5.684051194815083,5.693554267151399,5.310423438889529,4.738875615345364,4.197627965004756,3.7607991928140336,3.4186361496178392,3.0956431568747576,2.7564325198732718,2.428840165273016,2.156503169106088,1.9795056786668965,1.8879564432361349,1.835107044443987,1.7745887667563238,1.649231820313389,1.4516289251101853,1.2203343581851414,1.0194547800069813,0.8820778083366747,0.7834872200047869,0.6330893336087797,0.3205380563592257,-0.25082590034361374,-1.0801323431151388,-2.0761299044286687,-3.0534888425776217,-3.824612590674519,-4.244940295316368,-4.308184871387553
