run,event,evttype,trigger,ecm,pol,dpol,n_phchrg,n_phcrid,n_phkchrg,n_phkelid,n_phklus,n_phpoint,n_phpsum,n_phwic,has_phcrid,file_id
40693,2015,0,2,91.245,-0.67861,0.02522,2,0,0,0,33,35,35,0,1,27
40693,2049,0,54,91.221,0.67861,0.02522,18,11,11,7,49,56,56,0,1,27
40693,2058,0,102,91.197,0.67861,0.02522,13,8,5,1,42,50,50,0,1,27
40693,2060,0,100,91.103,-0.67861,0.02522,24,21,16,11,71,80,80,0,1,27
40693,2072,0,36,91.195,-0.67861,0.02522,20,19,14,12,56,66,66,0,1,27
40693,2085,0,70,91.219,0.67861,0.02522,0,0,0,0,39,39,39,0,1,27
40693,2091,0,116,-999,0.67861,0.02522,25,13,14,8,68,82,82,0,1,27
40693,2095,0,52,91.218,-0.67861,0.02522,24,19,18,15,75,84,84,0,1,27
40693,2098,0,116,91.18,-0.67861,0.02522,2,2,2,2,39,39,39,0,1,27
40693,2106,0,38,91.189,-0.67861,0.02522,20,8,12,5,60,72,72,3,1,27
40693,2110,0,2,91.197,0.67861,0.02522,0,0,0,0,17,17,17,0,1,27
40693,2142,0,52,91.232,-0.67861,0.02522,27,12,19,12,78,90,90,0,1,27
40693,2146,0,116,91.207,-0.67861,0.02522,12,10,9,6,48,54,54,0,1,27
40693,2176,0,70,91.176,-0.67861,0.02522,0,0,0,0,34,34,34,0,1,27
40693,2202,0,524288,-999,-0.67861,0.02522,0,0,0,0,35,35,35,0,1,27
40693,2231,0,118,91.184,0.67861,0.02522,18,9,9,6,48,57,57,0,1,27
40693,2248,0,38,91.163,-0.67861,0.02522,11,2,10,1,52,54,54,1,1,27
40693,2253,0,52,91.231,0.67861,0.02522,18,17,14,6,36,43,43,0,1,27
40693,2258,0,52,91.174,-0.67861,0.02522,27,23,18,16,48,59,59,0,1,27
40693,2272,0,100,91.181,-0.67861,0.02522,20,19,16,12,36,44,44,0,1,27
40693,2281,0,100,91.151,0.67861,0.02522,22,16,14,8,68,77,77,0,1,27
40693,2293,0,116,91.167,-0.67861,0.02522,14,11,7,7,54,66,66,1,1,27
40693,2301,0,52,91.173,0.67861,0.02522,16,11,10,8,42,51,51,0,1,27
40693,2315,0,116,91.166,-0.67861,0.02522,17,12,12,12,59,67,67,0,1,27
40693,2328,0,116,91.201,0.67861,0.02522,26,24,16,12,49,60,60,0,1,27
40693,2333,0,6,91.179,-0.67861,0.02522,1,0,1,0,10,10,10,0,1,27
40693,2363,0,102,91.212,-0.67861,0.02522,12,7,4,1,49,59,59,0,1,27
40693,2366,0,70,91.247,-0.67861,0.02522,0,0,0,0,33,33,33,0,1,27
40693,2374,0,116,91.244,-0.67861,0.02522,27,24,19,10,60,73,73,1,1,27
40693,2382,0,116,91.252,-0.67861,0.02522,14,14,11,8,71,77,77,0,1,27
40693,2384,0,54,91.207,0.67861,0.02522,18,8,8,1,53,63,63,0,1,27
40693,2388,0,53,91.206,-0.67861,0.02522,23,10,14,9,67,80,80,2,1,27
40693,2394,0,52,91.24,0.67861,0.02522,16,14,13,12,55,62,62,0,1,27
40693,2415,0,54,91.184,0.67861,0.02522,28,17,12,9,78,94,94,1,1,27
40693,2419,0,116,91.221,0.67861,0.02522,14,12,12,8,45,48,48,1,1,27
40693,2421,0,116,91.202,0.67861,0.02522,24,22,21,15,53,60,60,0,1,27
40693,2423,0,100,91.203,0.67861,0.02522,18,14,10,10,45,55,55,1,1,27
40693,2476,0,38,-999,0.67861,0.02522,4,4,0,0,39,43,43,0,1,27
40693,2483,0,116,91.194,0.67861,0.02522,3,3,2,3,27,28,28,0,1,27
40693,2485,0,2,91.213,-0.67861,0.02522,0,0,0,0,22,22,22,0,1,27
40693,2520,0,16,91.182,-0.67861,0.02522,2,2,1,2,17,18,18,1,1,27
40693,2526,0,54,91.233,0.67861,0.02522,37,30,12,8,62,87,87,0,1,27
40693,2542,0,116,91.208,-0.67861,0.02522,15,13,9,5,37,43,43,0,1,27
40693,2568,0,52,91.255,-0.67861,0.02522,17,8,11,6,52,59,59,0,1,27
40693,2598,0,6,91.205,-0.67861,0.02522,0,0,0,0,23,23,23,0,1,27
40693,2599,0,68,91.293,-0.67861,0.02522,2,2,2,2,27,27,27,0,1,27
40693,2629,0,36,91.258,-0.67861,0.02522,22,17,12,9,82,94,94,0,1,27
40693,2641,0,116,91.192,-0.67861,0.02522,24,18,16,17,68,81,81,0,1,27
40693,2650,0,116,91.238,0.67861,0.02522,12,10,7,6,47,53,53,0,1,27
40693,2654,0,116,91.229,-0.67861,0.02522,16,13,13,12,54,61,61,2,1,27
40693,2668,0,16,91.245,0.67861,0.02522,12,5,2,1,38,48,48,0,1,27
40693,2669,0,52,91.128,-0.67861,0.02522,17,6,12,12,54,59,59,1,1,27
40693,2671,0,54,91.252,-0.67861,0.02522,11,10,6,3,57,62,62,0,1,27
40693,2702,0,4,91.188,-0.67861,0.02522,0,0,0,0,22,22,22,0,1,27
40693,2737,0,70,91.156,0.67861,0.02522,0,0,0,0,25,25,25,0,1,27
40693,2743,0,116,91.202,0.67861,0.02522,13,8,8,7,47,53,53,0,1,27
40693,2763,0,2,91.2,0.67861,0.02522,0,0,0,0,22,22,22,0,1,27
40693,2765,0,102,91.215,0.67861,0.02522,11,7,3,0,54,62,62,0,1,27
