element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Al	3	"242.244"	"242.2386"	"1*"	"8.48e+04"	B	"20.781332"	"25.898046"	"2p6.4f"	"2F*"	"5/2"	"2p6.7d"	"2D"	"5/2"	6	6		"c32"	"L3473"	
Al	3	"242.244"	"242.2386"	"1*"	"1.78e+06"	B+	"20.781332"	"25.898046"	"2p6.4f"	"2F*"	"5/2"	"2p6.7d"	"2D"	"3/2"	6	4		"c32"	"L3473"	
Al	3	"242.244"	"242.2422"	"1*"	"1.70e+06"	B+	"20.781409"	"25.898046"	"2p6.4f"	"2F*"	"7/2"	"2p6.7d"	"2D"	"5/2"	8	6		"c32"	"L3473"	
Al	1	"242.305"	"242.3040"	"5"	""		"4.8271968"	"9.94253"	"3s2.nd"	"y 2D"	"5/2"	"3s.3p.(3P*).5d"	"2D*"	"5/2"	6	6		""	"L3514"	
Al	1	"242.477"	"242.4765"	"5"	""		"4.8266321"	"9.93833"	"3s2.nd"	"y 2D"	"3/2"	"3s.3p.(3P*).5d"	"2D*"	"3/2"	4	4		""	"L3514"	
Al	1	"242.505"	"242.5033"	"1"	""		"4.8271968"	"9.93833"	"3s2.nd"	"y 2D"	"5/2"	"3s.3p.(3P*).5d"	"2D*"	"3/2"	6	4		""	"L3514"	
Al	2	"242.5596"	"242.5590"	"5"	""		"13.256460"	"18.366415"	"3s.4p"	"1P*"	"1"	"3s.11d"	"1D"	"2"	3	5		""	"L4575"	
Al	2	"242.7742"	"242.7742"	"50"	""		"13.256460"	"18.36189"	"3s.4p"	"1P*"	"1"	"3s.12s"	"1S"	"0"	3	1		""	"L4575"	
Al	2	"245.2584"	"245.2584"	"30"	""		"13.071347"	"18.12506"	"3s.4p"	"3P*"	"0"	"3s.9d"	"3D"	"1"	1	3		""	"L4575"	
Al	2	"245.3423"	"245.3426"	"100"	""		"13.073080"	"18.12506"	"3s.4p"	"3P*"	"1"	"3s.9d"	"3D"	"2"	3	5		""	"L4575"	
Al	2	"245.5177"	"245.5175"	"200"	""		"13.076729"	"18.12511"	"3s.4p"	"3P*"	"2"	"3s.9d"	"3D"	"3"	5	7		""	"L4575"	
Al	2	"245.7187"	"245.7188"	"100"	""		"13.071347"	"18.115597"	"3s.4p"	"3P*"	"0"	"3s.10s"	"3S"	"1"	1	3		""	"L4575"	
Al	2	"245.8037"	"245.8032"	"300"	""		"13.073080"	"18.115597"	"3s.4p"	"3P*"	"1"	"3s.10s"	"3S"	"1"	3	3		""	"L4575"	
Al	2	"245.888"	"245.8883"	"3"	""		"13.649399"	"18.69017"	"3s.3d"	"1D"	"2"	"3s.20f"	"1F*"	"3"	5	7		""	"L3471"	
Al	2	"245.9809"	"245.9812"	"500"	""		"13.076729"	"18.115597"	"3s.4p"	"3P*"	"2"	"3s.10s"	"3S"	"1"	5	3		""	"L4575"	
Al	1	"245.983"	"245.9825"	"5"	""		"4.0216502"	"9.06049"	"3s2.3d"	"2D"	"5/2"	"3s.3p.(3P*).3d"	"2F*"	"7/2"	6	8		""	"L3514"	
Al	1	"246.574"	"246.5744"	"4"	""		"4.0214836"	"9.04823"	"3s2.3d"	"2D"	"3/2"	"3s.3p.(3P*).3d"	"2F*"	"5/2"	4	6		""	"L3514"	
Al	2	"246.628"	"246.6278"	"3"	""		"13.649399"	"18.67506"	"3s.3d"	"1D"	"2"	"3s.19f"	"1F*"	"3"	5	7		""	"L3471"	
Al	2	"247.3008"	"247.3010"	"25"	""		"13.256460"	"18.268438"	"3s.4p"	"1P*"	"1"	"3s.10d"	"1D"	"2"	3	5		""	"L4575"	
Al	2	"247.5252"	"247.5256"	"1500"	"4.60e+07"	C+	"10.598337"	"15.6057689"	"3p2"	"1D"	"2"	"3s.5p"	"1P*"	"1"	5	3		"T6533"	"L4575"	
