element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ca	3	"240.7527"	"0.0008"	"240.7529"	"0.0003"	"400"	"3.9e+07"	C	"34.856862"	"40.005148"	"3s2.3p5.4p"	"1P"	"1"	"3s2.3p5.(2P*<3/2>).4d"	"2[1/2]*"	"0"	3	1		"u33"	"L262"	
Ca	3	"243.1082"	"0.0008"	"243.1091"	"0.0003"	"700"	"4.9e+07"	B	"34.948944"	"40.047337"	"3s2.3p5.4p"	"3P"	"2"	"3s2.3p5.(2P*<3/2>).4d"	"2[1/2]*"	"1"	5	3		"u33"	"L262"	
Ca	3	"243.3325"	"0.0008"	"243.3321"	"0.0003"	"500"	""		"35.034392"	"40.128113"	"3s2.3p5.4p"	"3P"	"1"	"3s2.3p5.(2P*<3/2>).4d"	"2[3/2]*"	"2"	3	5		""	"L262"	
Ca	3	"244.2551"	"0.0005"	"244.2550"	"0.0003"	"900"	"5.3e+07"	B	"34.972861"	"40.047337"	"3s2.3p5.4p"	"3P"	"0"	"3s2.3p5.(2P*<3/2>).4d"	"2[1/2]*"	"1"	1	3		"u33"	"L1405"	
Ca	3	"247.0292"	"0.0005"	"247.0287"	"0.0004"	"800"	"9.0e+07"	B	"36.071256"	"41.088760"	"3s2.3p5.4p"	"1S"	"0"	"3s2.3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	1	3		"u33"	"L1405"	
Ca	3	"247.2541"	"0.0005"	"247.2533"	"0.0003"	"900"	"4.3e+07"	B	"35.034392"	"40.047337"	"3s2.3p5.4p"	"3P"	"1"	"3s2.3p5.(2P*<3/2>).4d"	"2[1/2]*"	"1"	3	3		"u33"	"L1405"	
Ca	3	"249.3517"	"0.0005"	"249.3520"	"0.0003"	"800"	"1.26e+08"	B	"35.034392"	"40.005148"	"3s2.3p5.4p"	"3P"	"1"	"3s2.3p5.(2P*<3/2>).4d"	"2[1/2]*"	"0"	3	1		"u33"	"L1405"	
Ca	3	"249.7736"	"0.0005"	"249.77328"	"0.00025"	"1500"	"6.9e+07"	B	"30.072019"	"35.034392"	"3s2.3p5.4s"	"3P*"	"2"	"3s2.3p5.4p"	"3P"	"1"	5	3		"T7942"	"L1405"	
Ca	1	""	""	"254.14811"	""	""	"1.7e+04"	D	"0.0000000"	"4.8769584"	"3p6.4s2"	"1S"	"0"	"3p6.3d.4p"	"3P*"	"1"	1	3		"T654"	""	
Ca	3	"254.1498"	"0.0005"	"254.1499"	"0.0003"	"3200"	"7.4e+07"	B	"30.072019"	"34.948944"	"3s2.3p5.4s"	"3P*"	"2"	"3s2.3p5.4p"	"3P"	"2"	5	5		"T7942"	"L1405"	
Ca	3	"258.7153"	"0.0005"	"258.7151"	"0.0003"	"1000"	"2.0e+07"	D+	"30.2435201"	"35.034392"	"3s2.3p5.4s"	"3P*"	"1"	"3s2.3p5.4p"	"3P"	"1"	3	3		"T7942"	"L1405"	
