element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Fe	2	"240.004908"	"0.000012"	"240.004984"	"0.000011"	"17000"	"4.6e+08"	B+	"7.7691291"	"12.9334579"	"3d6.(3H).4p"	"z 2I*"	"11/2"	"3d6.(3H).4d"	"2K"	"13/2"	12	14		"T6892c83"	"L18349c145"	
Fe	2	"240.02781"	"0.00002"	"240.027817"	"0.000010"	"16000"	"1.4e+07"	D+	"2.80665448"	"7.9704921"	"3d6.(3F2).4s"	"b 4F"	"9/2"	"3d6.(3F2).4p"	"z 2F*"	"7/2"	10	8		"T6892c83"	"L18349c139"	
Fe	2	"240.034398"	"0.000012"	"240.034394"	"0.000011"	"80000"	"8.1e+07"	C+	"3.26732671"	"8.4310228"	"3d6.(3H).4s"	"b 2H"	"9/2"	"3d6.(3G).4p"	"y 2H*"	"9/2"	10	10		"T6892c83"	"L18349c139"	
Fe	2	"240.06353"	"0.00009"	"240.063735"	"0.000010"	"500"	""		"7.7082990"	"12.8713640"	"3d5.(6S).4s.4p.(3P*)"	"y 6P*"	"7/2"	"3d6.(5D).5d"	"4F"	"7/2"	8	8		""	"L18349c139"	
Fe	2	"240.06959"	"0.00008"	"240.069547"	"0.000012"	"600"	"1.8e+07"	D+	"8.3070070"	"13.4699471"	"3d6.(3F2).4p"	"y 2D*"	"5/2"	"3d6.(3G).4d"	"4D"	"5/2"	6	6		"T6892c83"	"L18349c139"	
Fe	2	"240.08318"	"0.00004"	"240.083189"	"0.000012"	"900"	""		"9.0075386"	"14.1701853"	"3d6.(3D).4p"	"w 4F*"	"9/2"	"3d6.(5D).6d"	"6G"	"9/2"	10	10		""	"L18349c139"	
Fe	2	"240.09017"	"0.00002"	"240.090201"	"0.000012"	"1800"	""		"9.0076893"	"14.1701853"	"3d6.(3D).4p"	"w 4D*"	"7/2"	"3d6.(5D).6d"	"6G"	"9/2"	8	10		""	"L18349c139"	
Fe	1	"240.11434"	"0.00009"	"240.114221"	"0.000008"	"43"	""		"1.48486439"	"6.64684396"	"3d7.(4F).4s"	"a 3F"	"4"	"3d7.(4F).5p"	"5D*"	"4"	9	9		""	"L11631"	
Fe	2	"240.129155"	"0.000012"	"240.129154"	"0.000010"	"60000"	"1.89e+08"	C+	"5.55260578"	"10.7142644"	"3d6.(5D).4p"	"z 4D*"	"5/2"	"3d6.(5D).4d"	"e 4F"	"7/2"	6	8		"T6892c83"	"L18349c139"	
Fe	2	"240.13249"	"0.00005"	"240.132470"	"0.000010"	"5000"	"2.2e+07"	D+	"5.58919550"	"10.7507828"	"3d6.(5D).4p"	"z 4F*"	"5/2"	"3d6.(5D).4d"	"e 4F"	"3/2"	6	4		"T6892c83"	"L18349c139"	
Fe	2	"240.17047"	"0.00005"	"240.170423"	"0.000011"	"1100"	"2.3e+07"	D+	"8.4310228"	"13.5917945"	"3d6.(3G).4p"	"y 2H*"	"9/2"	"3d6.(3G).4d"	"2G"	"9/2"	10	10		"T6892c83"	"L18349c139"	
Fe	2	"240.18946"	"0.00003"	"240.189466"	"0.000012"	"3400"	"8.e+07"	D+	"7.8686738"	"13.0290363"	"3d6.(3F2).4p"	"x 4D*"	"3/2"	"3d6.(3F2).4d"	"4P"	"1/2"	4	2		"T6892c83"	"L18349c139"	
Fe	2	"240.20807"	"0.00002"	"240.208144"	"0.000023"	"15000"	"2.5e+08"	C+	"5.57055201"	"10.7305134"	"3d6.(1F).4s"	"c 2F"	"5/2"	"3d6.(1F).4p"	"u 2F*"	"5/2"	6	6		"T6892c83"	"L18349c148"	
Fe	2	"240.21028"	"0.00006"	"240.210135"	"0.000010"	"1100"	"5.0e+06"	D+	"7.6951447"	"12.8550633"	"3d6.(3F2).4p"	"y 4F*"	"7/2"	"3d6.(5D).5d"	"4F"	"9/2"	8	10		"T6892c83"	"L18349c139"	
Fe	2	"240.2180"	"0.0005"	"240.217212"	"0.000017"	"360d?"	""		"4.47910423"	"9.6388708"	"3d6.(3D).4s"	"b 2D"	"3/2"	"3d6.(1D2).4p"	"v 2F*"	"5/2"	4	6		""	"L18349c142"	
Fe	2	"240.22452"	"0.00004"	"240.224514"	"0.000010"	"7000"	"5.0e+06"	D+	"2.82812245"	"7.9877322"	"3d6.(3F2).4s"	"b 4F"	"7/2"	"3d6.(3F2).4p"	"z 2F*"	"5/2"	8	6		"T6892c83"	"L18349c139"	
Fe	2	"240.2272"	""	"240.22719"	"0.00005"	"25000:"	"1.1e+08"	D+	"4.6155941"	"9.7751463"	"3d6.(1S2).4s"	"a 2S"	"1/2"	"3d6.(1D2).4p"	"w 2P*"	"1/2"	2	2		"T6892c83"	"L7770,L7357"	
Fe	2	"240.23390"	"0.00008"	"240.233821"	"0.000013"	"700"	"1.5e+07"	D+	"8.3070070"	"13.4664169"	"3d6.(3F2).4p"	"y 2D*"	"5/2"	"3d6.(3G).4d"	"4G"	"5/2"	6	6		"T6892c83"	"L18349c139"	
Fe	2	"240.23931"	"0.00004"	"240.239312"	"0.000010"	"2100"	"2.5e+07"	D+	"8.0725728"	"13.2318648"	"3d6.(3F2).4p"	"y 2G*"	"7/2"	"3d6.(3H).4d"	"4F"	"9/2"	8	10		"T6892c83"	"L18349c139"	
Fe	2	"240.244606"	"0.000017"	"240.244612"	"0.000011"	"24000"	"5.8e+07"	C	"5.22157443"	"10.3807526"	"3d6.(5D).4p"	"z 6F*"	"9/2"	"3d6.(5D).4d"	"6D"	"9/2"	10	10		"T7186"	"L18349c139"	
