element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
K	2	"250.460"	"0.003"	""	""	"3"	""		""	""	""	""	""	""	""	""				""	"L3490"	
K	3	"255.002"	"0.003"	"255.001"	"0.004"	"6"	"1.58e+08"		"25.717038"	"30.57768"	"3s2.3p4.(3P).4s"	"4P"	"5/2"	"3s2.3p4.(3P).4p"	"4S*"	"3/2"	6	4		"T7942"	"L3491"	
K	3	"263.511"	"0.003"	"263.511"	"0.004"	"5"	"1.29e+08"		"25.873990"	"30.57768"	"3s2.3p4.(3P).4s"	"4P"	"3/2"	"3s2.3p4.(3P).4p"	"4S*"	"3/2"	4	4		"T7942"	"L3491"	
K	3	"268.990"	"0.003"	"268.996"	"0.004"	"5"	"7.48e+07"		"25.969891"	"30.57768"	"3s2.3p4.(3P).4s"	"4P"	"1/2"	"3s2.3p4.(3P).4p"	"4S*"	"3/2"	2	4		"T7942"	"L3491"	
K	3	"273.696"	"0.003"	"273.700"	"0.003"	"1"	""		"25.717038"	"30.24562"	"3s2.3p4.(3P).4s"	"4P"	"5/2"	"3s2.3p4.(3P).4p"	"2P*"	"3/2"	6	4		""	"L3398"	
K	2	"274.355"	"0.003"	""	""	"4"	""		""	""	""	""	""	""	""	""				""	"L3490"	
K	2	"277.789"	"0.003"	"277.7884"	"0.0017"	"2"	"2.82e+07"		"22.714413"	"27.176357"	"3p5.4p"	"3S"	"1"	"3p5.4d"	"3D*"	"2"	3	5		"T8304"	"L3490"	
K	3	"280.040"	"0.003"	"280.040"	"0.004"	"3"	"4.97e+06"		"25.717038"	"30.14311"	"3s2.3p4.(3P).4s"	"4P"	"5/2"	"3s2.3p4.(3P).4p"	"2D*"	"5/2"	6	6		"T7942"	"L3491"	
K	2	"280.899"	"0.003"	""	""	"3"	""		""	""	""	""	""	""	""	""				""	"L3490"	
K	3	"287.735"	"0.003"	"287.740"	"0.003"	"1"	"4.05e+06"		"25.717038"	"30.02467"	"3s2.3p4.(3P).4s"	"4P"	"5/2"	"3s2.3p4.(3P).4p"	"4D*"	"3/2"	6	4		"T7942"	"L3491"	
K	3	"289.890"	"0.003"	"289.887"	"0.004"	"1"	""		"25.969891"	"30.24562"	"3s2.3p4.(3P).4s"	"4P"	"1/2"	"3s2.3p4.(3P).4p"	"2P*"	"3/2"	2	4		""	"L3398"	
K	3	"290.336"	"0.003"	"290.336"	"0.004"	"4"	"1.33e+07"		"25.873990"	"30.14311"	"3s2.3p4.(3P).4s"	"4P"	"3/2"	"3s2.3p4.(3P).4p"	"2D*"	"5/2"	4	6		"T7942"	"L3491"	
K	1	""	""	"292.75309"	"0.00003"	""	"8.15e+02"	C+	"0.00000000"	"4.2338727"	"3p6.4s"	"2S"	"1/2"	"3p6.13p"	"2P*"	"3/2"	2	4		"T5436n,extrap"	""	
K	1	""	""	"292.75701"	"0.00003"	""	"4.69e+02"	C+	"0.00000000"	"4.2338159"	"3p6.4s"	"2S"	"1/2"	"3p6.13p"	"2P*"	"1/2"	2	2		"T5436n,extrap"	""	
K	3	"293.845"	"0.003"	"293.845"	"0.003"	"5"	"4.24e+07"		"25.717038"	"29.93518"	"3s2.3p4.(3P).4s"	"4P"	"5/2"	"3s2.3p4.(3P).4p"	"4D*"	"5/2"	6	6		"T7942"	"L3491"	
K	1	""	""	"294.26696"	"0.00003"	""	"1.13e+03"	C+	"0.00000000"	"4.2120922"	"3p6.4s"	"2S"	"1/2"	"3p6.12p"	"2P*"	"3/2"	2	4		"T5436n,extrap"	""	
K	1	""	""	"294.27223"	"0.00003"	""	"6.82e+02"	C+	"0.00000000"	"4.2120168"	"3p6.4s"	"2S"	"1/2"	"3p6.12p"	"2P*"	"1/2"	2	2		"T5436n,extrap"	""	
K	3	"294.894"	"0.003"	"294.897"	"0.005"	"1"	""		"26.374588"	"30.57768"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	"3s2.3p4.(3P).4p"	"4S*"	"3/2"	4	4		""	"L3398"	
K	2	"295.088"	"0.003"	""	""	"2"	""		""	""	""	""	""	""	""	""				""	"L3490"	
K	3	"295.433"	"0.003"	"295.432"	"0.003"	"3"	"3.00e+07"		"25.873990"	"30.06948"	"3s2.3p4.(3P).4s"	"4P"	"3/2"	"3s2.3p4.(3P).4p"	"4D*"	"1/2"	4	2		"T7942"	"L3491"	
K	1	""	""	"296.32104"	"0.00003"	""	"1.73e+03"	C+	"0.00000000"	"4.1828956"	"3p6.4s"	"2S"	"1/2"	"3p6.11p"	"2P*"	"3/2"	2	4		"T5436n,extrap"	""	
K	1	""	""	"296.32833"	"0.00003"	""	"1.10e+03"	C+	"0.00000000"	"4.1827927"	"3p6.4s"	"2S"	"1/2"	"3p6.11p"	"2P*"	"1/2"	2	2		"T5436n,extrap"	""	
K	3	"298.620"	"0.003"	"298.621"	"0.003"	"5"	"1.18e+08"		"25.873990"	"30.02467"	"3s2.3p4.(3P).4s"	"4P"	"3/2"	"3s2.3p4.(3P).4p"	"4D*"	"3/2"	4	4		"T7942"	"L3491"	
K	1	"299.2108"	""	"299.21179"	"0.00003"	"a"	"3.16e+03"	C+	"0.00000000"	"4.1424855"	"3p6.4s"	"2S"	"1/2"	"3p6.10p"	"2P*"	"3/2"	2	4		"T5436n,extrap"	"L3287"	
