element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Mg	2	""	"240.6418"	""	"5.26e+05"	C+	"8.863654"	"14.014317"	"2p6.3d"	"2D"	"5/2"	"2p6.8p"	"2P*"	"3/2"	6	4		"c31"	""	
Mg	2	""	"240.6469"	""	"5.87e+04"	C	"8.863762"	"14.014317"	"2p6.3d"	"2D"	"3/2"	"2p6.8p"	"2P*"	"3/2"	4	4		"c31"	""	
Mg	2	""	"240.6633"	""	"5.79e+05"	C+	"8.863762"	"14.013965"	"2p6.3d"	"2D"	"3/2"	"2p6.8p"	"2P*"	"1/2"	4	2		"c31"	""	
Mg	2	""	"244.9561"	""	"1.44e+06"	B	"8.863654"	"13.923608"	"2p6.3d"	"2D"	"5/2"	"2p6.7f"	"2F*"	"5/2"	6	6		"c31"	""	
Mg	2	"244.9590"	"244.9561"	"6*"	"2.16e+07"	B+	"8.863654"	"13.923608"	"2p6.3d"	"2D"	"5/2"	"2p6.7f"	"2F*"	"7/2"	6	8		"c31"	"L6095"	
Mg	2	"244.9590"	"244.9613"	"6*"	"2.02e+07"	B+	"8.863762"	"13.923608"	"2p6.3d"	"2D"	"3/2"	"2p6.7f"	"2F*"	"5/2"	4	6		"c31"	"L6095"	
Mg	3	"246.7751"	"246.7756"	"15"	"6.91e+07"	B+	"52.92490"	"57.94755"	"2s2.2p5.3s"	"3P*"	"1"	"2s2.2p5.3p"	"3S"	"1"	3	3		"c46"	"L1434"	
Mg	3	""	"246.776"	""	"1.59e-04"	C+	"52.92490"	"57.94755"	"2s2.2p5.3s"	"3P*"	"1"	"2s2.2p5.3p"	"3S"	"1"	3	3	M2	"c46"	""	
Mg	2	""	"247.4314"	""	"9.15e+04"	C	"8.654711"	"13.664049"	"2p6.4s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"3/2"	2	4		"c31"	""	
Mg	2	""	"247.4584"	""	"1.02e+05"	C	"8.654711"	"13.663503"	"2p6.4s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"1/2"	2	2		"c31"	""	
Mg	3	"249.0534"	"249.0535"	"10"	"1.61e+08"	B+	"61.49766"	"66.47438"	"2s2.2p5.3p"	"1S"	"0"	"2s2.2p5.3d"	"1P*"	"1"	1	3		"c48"	"L1434"	
Mg	3	"251.8635"	"251.8629"	"1"	""		"65.76377"	"70.68498"	"2s2.2p5.3d"	"3P*"	"1"	"2s2.2p5.(2P*<1/2>).4p"	"2[1/2]"	"0"	3	1		""	"L1434"	
Mg	3	"252.9190"	"252.9194"	"10"	"1.89e+07"	B+	"53.04690"	"57.94755"	"2s2.2p5.3s"	"3P*"	"0"	"2s2.2p5.3p"	"3S"	"1"	1	3		"c46"	"L1434"	
Mg	1	"255.325"	"255.3256"	"4"	""		"2.7091049"	"7.563573"	"3s.3p"	"3P*"	"0"	"3s.13d"	"3D"	"1"	1	3		""	"L4832"	
Mg	1	"255.458"	"255.4565"	"1d"	""		"2.7115919"	"7.563573"	"3s.3p"	"3P*"	"1"	"3s.13d"	"3D"	"2"	3	5		""	"L4832"	
Mg	1	"255.7226"	"255.7226"	"0"	""		"2.7166398"	"7.563573"	"3s.3p"	"3P*"	"2"	"3s.13d"	"3D"	"3"	5	7		""	"L6095"	
Mg	1	"256.0941"	"256.0942"	"0"	""		"2.7091049"	"7.549005"	"3s.3p"	"3P*"	"0"	"3s.12d"	"3D"	"1"	1	3		""	"L6095"	
Mg	1	"256.2259"	"256.2259"	"1"	""		"2.7115919"	"7.549005"	"3s.3p"	"3P*"	"1"	"3s.12d"	"3D"	"2"	3	5		""	"L6095"	
Mg	1	"256.4937"	"256.4936"	"1"	""		"2.7166398"	"7.549005"	"3s.3p"	"3P*"	"2"	"3s.12d"	"3D"	"3"	5	7		""	"L6095"	
Mg	1	"257.0908"	"257.0917"	"0"	""		"2.7091049"	"7.530227"	"3s.3p"	"3P*"	"0"	"3s.11d"	"3D"	"1"	1	3		""	"L6095"	
Mg	1	"257.2248"	"257.2244"	"1"	""		"2.7115919"	"7.530227"	"3s.3p"	"3P*"	"1"	"3s.11d"	"3D"	"2"	3	5		""	"L6095"	
Mg	1	"257.4945"	"257.4942"	"2"	""		"2.7166398"	"7.530227"	"3s.3p"	"3P*"	"2"	"3s.11d"	"3D"	"3"	5	7		""	"L6095"	
Mg	1	"257.7888"	"257.7877"	"0"	""		"2.7115919"	"7.519699"	"3s.3p"	"3P*"	"1"	"3s.12s"	"3S"	"1"	3	3		""	"L6095"	
Mg	1	"258.0587"	"258.0587"	"1"	""		"2.7166398"	"7.519699"	"3s.3p"	"3P*"	"2"	"3s.12s"	"3S"	"1"	5	3		""	"L6095"	
Mg	2	""	"258.2019"	""	"8.28e+05"	C+	"8.863654"	"13.664049"	"2p6.3d"	"2D"	"5/2"	"2p6.7p"	"2P*"	"3/2"	6	4		"c31"	""	
Mg	2	""	"258.2077"	""	"9.23e+04"	C	"8.863762"	"13.664049"	"2p6.3d"	"2D"	"3/2"	"2p6.7p"	"2P*"	"3/2"	4	4		"c31"	""	
Mg	2	""	"258.2371"	""	"9.09e+05"	C+	"8.863762"	"13.663503"	"2p6.3d"	"2D"	"3/2"	"2p6.7p"	"2P*"	"1/2"	4	2		"c31"	""	
Mg	1	"258.4216"	"258.4212"	"1"	""		"2.7091049"	"7.505426"	"3s.3p"	"3P*"	"0"	"3s.10d"	"3D"	"1"	1	3		""	"L6095"	
Mg	1	"258.5558"	"258.5553"	"2"	""		"2.7115919"	"7.505426"	"3s.3p"	"3P*"	"1"	"3s.10d"	"3D"	"2"	3	5		""	"L6095"	
Mg	1	"258.8285"	"258.8279"	"3"	""		"2.7166398"	"7.505426"	"3s.3p"	"3P*"	"2"	"3s.10d"	"3D"	"3"	5	7		""	"L6095"	
Mg	1	"259.1891"	"259.1882"	"0"	""		"2.7091049"	"7.491233"	"3s.3p"	"3P*"	"0"	"3s.11s"	"3S"	"1"	1	3		""	"L6095"	
Mg	1	"259.3231"	"259.3231"	"1"	""		"2.7115919"	"7.491233"	"3s.3p"	"3P*"	"1"	"3s.11s"	"3S"	"1"	3	3		""	"L6095"	
Mg	1	"259.5973"	"259.5973"	"2"	""		"2.7166398"	"7.491233"	"3s.3p"	"3P*"	"2"	"3s.11s"	"3S"	"1"	5	3		""	"L6095"	
Mg	1	"260.2495"	"260.24956"	"2"	""		"2.7091049"	"7.4717320"	"3s.3p"	"3P*"	"0"	"3s.9d"	"3D"	"1"	1	3		""	"L6095"	
Mg	1	"260.3854"	"260.38554"	"4"	""		"2.7115919"	"7.4717320"	"3s.3p"	"3P*"	"1"	"3s.9d"	"3D"	"2"	3	5		""	"L6095"	
Mg	1	"260.6621"	"260.66197"	"5"	""		"2.7166398"	"7.4717320"	"3s.3p"	"3P*"	"2"	"3s.9d"	"3D"	"3"	5	7		""	"L6095"	
Mg	1	"261.3357"	"261.3353"	"1"	""		"2.7091049"	"7.451946"	"3s.3p"	"3P*"	"0"	"3s.10s"	"3S"	"1"	1	3		""	"L6095"	
Mg	1	"261.4726"	"261.4724"	"2"	""		"2.7115919"	"7.451946"	"3s.3p"	"3P*"	"1"	"3s.10s"	"3S"	"1"	3	3		""	"L6095"	
Mg	1	"261.7513"	"261.7512"	"3"	""		"2.7166398"	"7.451946"	"3s.3p"	"3P*"	"2"	"3s.10s"	"3S"	"1"	5	3		""	"L6095"	
Mg	3	"261.8011"	"261.8007"	"7"	"8.72e+07"	B	"61.49766"	"66.23207"	"2s2.2p5.3p"	"1S"	"0"	"2s2.2p5.3d"	"3D*"	"1"	1	3		"T6036"	"L1434"	
Mg	1	"262.8664"	"262.86644"	"3"	""		"2.7091049"	"7.4243221"	"3s.3p"	"3P*"	"0"	"3s.8d"	"3D"	"1"	1	3		""	"L6095"	
Mg	1	"263.0053"	"263.00527"	"6"	""		"2.7115919"	"7.4243202"	"3s.3p"	"3P*"	"1"	"3s.8d"	"3D"	"2"	3	5		""	"L6095"	
Mg	1	"263.2873"	"263.28739"	"8"	""		"2.7166398"	"7.4243186"	"3s.3p"	"3P*"	"2"	"3s.8d"	"3D"	"3"	5	7		""	"L6095"	
Mg	1	"264.4801"	"264.4803"	"2"	""		"2.7091049"	"7.395552"	"3s.3p"	"3P*"	"0"	"3s.9s"	"3S"	"1"	1	3		""	"L6095"	
Mg	1	"264.6206"	"264.6207"	"3"	""		"2.7115919"	"7.395552"	"3s.3p"	"3P*"	"1"	"3s.9s"	"3S"	"1"	3	3		""	"L6095"	
Mg	1	"264.9062"	"264.9062"	"4"	""		"2.7166398"	"7.395552"	"3s.3p"	"3P*"	"2"	"3s.9s"	"3S"	"1"	5	3		""	"L6095"	
Mg	2	"266.0755"	"266.0754"	"8"	"3.81e+07"	A	"8.863654"	"13.522008"	"2p6.3d"	"2D"	"5/2"	"2p6.6f"	"2F*"	"7/2"	6	8		"c31"	"L6095"	
