element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Na	2	"240.1014"	"0.0003"	"240.102"	"0.003"	"100"	""		"41.012615"	"46.17486"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<3/2>).7f"	"2[5/2]"	"2,3"	5	12		""	"L914"	
Na	2	"240.2019"	"0.0003"	"240.203"	"0.003"	"45"	""		"41.012615"	"46.17269"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<3/2>).7f"	"2[3/2]"	"2"	5	5		""	"L914"	
Na	2	"240.3299"	"0.0003"	""	""	"30"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"240.5938"	"0.0003"	""	""	"30"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	3	"240.6588"	"0.0005"	"240.6588"	"0.0016"	"15"	"7.37e+07"	A	"46.324504"	"51.474802"	"2s2.2p4.(3P).3s"	"2P"	"3/2"	"2s2.2p4.(3P).3p"	"2D*"	"3/2"	4	4		"c56,LS"	"L1882"	
Na	2	"240.9098"	"0.0003"	""	""	"30"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"241.0549"	"0.0003"	""	""	"30"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"241.2544"	"0.0003"	""	""	"30"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"241.7121"	"0.0003"	""	""	"30"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"241.9965"	"0.0003"	"241.997"	"0.003"	"70"	""		"41.054025"	"46.17584"	"2s2.2p5.(2P*<3/2>).3d"	"2[7/2]*"	"4"	"2s2.2p5.(2P*<3/2>).7f"	"2[7/2]"	"3,4"	9	16		""	"L914"	
