element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Si	3	""	"241.5222"	""	"4.64e+04"	E	"24.663327"	"29.795217"	"3p.3d"	"3F*"	"2"	"3s.6d"	"3D"	"3"	5	7		"T6298c4,LS"	""	
Si	3	""	"241.6994"	""	"2.29e+06"	D+	"24.663327"	"29.791454"	"3p.3d"	"3F*"	"2"	"3s.6d"	"3D"	"2"	5	5		"T6298c4,LS"	""	
Si	3	""	"241.8281"	""	"2.05e+07"	C	"24.663327"	"29.788726"	"3p.3d"	"3F*"	"2"	"3s.6d"	"3D"	"1"	5	3		"T6298c4,LS"	""	
Si	3	""	"242.1268"	""	"1.64e+06"	D+	"24.676140"	"29.795217"	"3p.3d"	"3F*"	"3"	"3s.6d"	"3D"	"3"	7	7		"T6298c4,LS"	""	
Si	3	""	"242.3049"	""	"1.81e+07"	C	"24.676140"	"29.791454"	"3p.3d"	"3F*"	"3"	"3s.6d"	"3D"	"2"	7	5		"T6298c4,LS"	""	
Si	2	""	"242.7628"	""	"1.36e+01"	C+	"5.309535"	"10.415201"	"3s.3p2"	"4P"	"1/2"	"3s.3p2"	"2P"	"3/2"	2	4	E2	"c22"	""	
Si	2	""	"242.7628"	""	"1.36e-03"	E	"5.309535"	"10.415201"	"3s.3p2"	"4P"	"1/2"	"3s.3p2"	"2P"	"3/2"	2	4	M1	"c22"	""	
Si	2	"242.845"	""	"10w"	""		""	""	""	""	""	""	""	""				""	"L3541"	
Si	3	""	"242.9365"	""	"1.86e+07"	C	"24.693201"	"29.795217"	"3p.3d"	"3F*"	"4"	"3s.6d"	"3D"	"3"	9	7		"T6298c4,LS"	""	
Si	2	""	"243.4032"	""	"2.84e-03"	E	"5.322966"	"10.415201"	"3s.3p2"	"4P"	"3/2"	"3s.3p2"	"2P"	"3/2"	4	4	M1	"c22"	""	
Si	1	"243.515"	"243.51545"	"300"	"4.43e+07"	B	"0.7809579"	"5.8708445"	"3s2.3p2"	"1D"	"2"	"3s2.3p.3d"	"1D*"	"2"	5	5		"T5814"	"L3521"	
Si	1	"243.877"	"243.87678"	"65"	"7.91e+05"	D	"0.0000000"	"5.0823459"	"3s2.3p2"	"3P"	"0"	"3s2.3p.4s"	"1P*"	"1"	1	3		"T5814"	"L3521"	
Si	2	""	"243.9614"	""	"5.22e-03"	E	"5.309535"	"10.390118"	"3s.3p2"	"4P"	"1/2"	"3s.3p2"	"2P"	"1/2"	2	2	M1	"c22"	""	
Si	2	""	"243.9943"	""	"3.47e+07"	D	"10.066443"	"15.146341"	"3s2.4p"	"2P*"	"1/2"	"3s2.7d"	"2D"	"3/2"	2	4		"T7166"	""	
Si	1	"244.336"	"244.33647"	"65"	"6.28e+05"	C+	"0.0095610"	"5.0823459"	"3s2.3p2"	"3P"	"1"	"3s2.3p.4s"	"1P*"	"1"	3	3		"T5814"	"L3521"	
